# _root_ Among those sighing with relief was John H. Gutfreund , chairman of Salomon Brothers , who took to the firm 's trading floor to monitor yesterday 's events .
#goldHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
#predictedHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
(11,1),-2.21047 # DEPENDENCYPART_ARC
(11,2),-2.18806 # DEPENDENCYPART_ARC
(11,3),-1.87756 # DEPENDENCYPART_ARC
(11,4),-2.22532 # DEPENDENCYPART_ARC
(11,5),-2.20623 # DEPENDENCYPART_ARC
(11,7),-1.20647 # DEPENDENCYPART_ARC
(11,8),-1.09 # DEPENDENCYPART_ARC
(11,9),-1.12415 # DEPENDENCYPART_ARC
(11,10),-1.1459 # DEPENDENCYPART_ARC
(11,12),1.46671 # DEPENDENCYPART_ARC
(11,13),-1.1855 # DEPENDENCYPART_ARC
(11,14),-0.807397 # DEPENDENCYPART_ARC
(11,15),-0.94092 # DEPENDENCYPART_ARC
(11,16),-2.05488 # DEPENDENCYPART_ARC
(11,17),-0.961105 # DEPENDENCYPART_ARC
(11,18),-1.16877 # DEPENDENCYPART_ARC
(11,20),-1.79486 # DEPENDENCYPART_ARC
(11,21),-2.62911 # DEPENDENCYPART_ARC
(11,23),-2.20441 # DEPENDENCYPART_ARC
(11,24),-1.89765 # DEPENDENCYPART_ARC
(11,29),-2.31152 # DEPENDENCYPART_ARC
(12,13),-0.00449953 # DEPENDENCYPART_ARC
(12,14),0.555736 # DEPENDENCYPART_ARC
(12,15),-1.39253 # DEPENDENCYPART_ARC
(12,16),-1.96912 # DEPENDENCYPART_ARC
(12,17),-1.11322 # DEPENDENCYPART_ARC
(12,22),-2.55065 # DEPENDENCYPART_ARC
(12,28),-2.43353 # DEPENDENCYPART_ARC
(13,14),-0.636259 # DEPENDENCYPART_ARC
(13,15),-1.24497 # DEPENDENCYPART_ARC
(13,17),-1.88679 # DEPENDENCYPART_ARC
(13,21),-3.20252 # DEPENDENCYPART_ARC
(14,2),-4.1687 # DEPENDENCYPART_ARC
(14,5),-2.73248 # DEPENDENCYPART_ARC
(14,7),-2.19888 # DEPENDENCYPART_ARC
(14,8),-2.846 # DEPENDENCYPART_ARC
(14,9),-2.39422 # DEPENDENCYPART_ARC
(14,10),-2.09033 # DEPENDENCYPART_ARC
(14,11),-1.40416 # DEPENDENCYPART_ARC
(14,13),1.48053 # DEPENDENCYPART_ARC
(14,15),0.407166 # DEPENDENCYPART_ARC
(14,16),-1.7656 # DEPENDENCYPART_ARC
(14,17),-0.9504 # DEPENDENCYPART_ARC
(14,18),-1.69596 # DEPENDENCYPART_ARC
(14,20),-2.34939 # DEPENDENCYPART_ARC
(14,21),-1.92183 # DEPENDENCYPART_ARC
(14,22),-2.69535 # DEPENDENCYPART_ARC
(14,23),-2.82124 # DEPENDENCYPART_ARC
(14,24),-2.24275 # DEPENDENCYPART_ARC
(14,27),-2.99599 # DEPENDENCYPART_ARC
(16,14),-2.41812 # DEPENDENCYPART_ARC
(16,18),-1.79164 # DEPENDENCYPART_ARC
(17,1),-2.51571 # DEPENDENCYPART_ARC
(17,3),-2.30867 # DEPENDENCYPART_ARC
(17,4),-2.35814 # DEPENDENCYPART_ARC
(17,5),-2.40873 # DEPENDENCYPART_ARC
(17,6),-2.17801 # DEPENDENCYPART_ARC
(17,8),-2.31496 # DEPENDENCYPART_ARC
(17,9),-2.23513 # DEPENDENCYPART_ARC
(17,10),-2.40741 # DEPENDENCYPART_ARC
(17,11),-1.53245 # DEPENDENCYPART_ARC
(17,13),-2.28623 # DEPENDENCYPART_ARC
(17,14),-1.98034 # DEPENDENCYPART_ARC
(17,15),-1.68838 # DEPENDENCYPART_ARC
(17,16),1.6623 # DEPENDENCYPART_ARC
(17,18),1.73912 # DEPENDENCYPART_ARC
(17,19),-1.304 # DEPENDENCYPART_ARC
(17,20),-0.196101 # DEPENDENCYPART_ARC
(17,21),-1.53401 # DEPENDENCYPART_ARC
(17,22),-0.67639 # DEPENDENCYPART_ARC
(17,23),-0.778904 # DEPENDENCYPART_ARC
(17,24),0.0588513 # DEPENDENCYPART_ARC
(17,25),-2.00234 # DEPENDENCYPART_ARC
(17,26),-0.893152 # DEPENDENCYPART_ARC
(17,27),-2.26101 # DEPENDENCYPART_ARC
(17,28),-1.75388 # DEPENDENCYPART_ARC
(17,29),-0.844298 # DEPENDENCYPART_ARC
(18,16),-1.14988 # DEPENDENCYPART_ARC
(18,19),-0.856901 # DEPENDENCYPART_ARC
(18,20),0.439439 # DEPENDENCYPART_ARC
(18,21),-1.66615 # DEPENDENCYPART_ARC
(18,22),-0.396716 # DEPENDENCYPART_ARC
(18,23),-0.557778 # DEPENDENCYPART_ARC
(18,24),-1.59723 # DEPENDENCYPART_ARC
(18,25),-1.81085 # DEPENDENCYPART_ARC
(18,26),-2.16506 # DEPENDENCYPART_ARC
(18,28),-1.50993 # DEPENDENCYPART_ARC
(18,29),-1.64525 # DEPENDENCYPART_ARC
(20,16),-1.51288 # DEPENDENCYPART_ARC
(20,18),-1.56714 # DEPENDENCYPART_ARC
(20,19),2.01293 # DEPENDENCYPART_ARC
(20,21),1.7007 # DEPENDENCYPART_ARC
(20,22),-1.39262 # DEPENDENCYPART_ARC
(20,23),-1.47421 # DEPENDENCYPART_ARC
(20,24),-1.10693 # DEPENDENCYPART_ARC
(20,27),-1.78399 # DEPENDENCYPART_ARC
(20,28),-2.29695 # DEPENDENCYPART_ARC
(20,29),-2.24917 # DEPENDENCYPART_ARC
(21,22),-1.83284 # DEPENDENCYPART_ARC
(22,19),-2.76007 # DEPENDENCYPART_ARC
(22,20),-0.226309 # DEPENDENCYPART_ARC
(22,21),-1.27289 # DEPENDENCYPART_ARC
(22,24),-1.39403 # DEPENDENCYPART_ARC
(22,27),-2.55362 # DEPENDENCYPART_ARC
(23,16),-2.2081 # DEPENDENCYPART_ARC
(23,18),-2.47677 # DEPENDENCYPART_ARC
(23,19),-1.17564 # DEPENDENCYPART_ARC
(23,20),0.391819 # DEPENDENCYPART_ARC
(23,21),-0.90194 # DEPENDENCYPART_ARC
(23,22),1.41804 # DEPENDENCYPART_ARC
(23,24),-0.371672 # DEPENDENCYPART_ARC
(23,25),-1.11592 # DEPENDENCYPART_ARC
(23,26),-1.07606 # DEPENDENCYPART_ARC
(23,27),-1.4147 # DEPENDENCYPART_ARC
(23,28),-1.73599 # DEPENDENCYPART_ARC
(23,29),-1.87536 # DEPENDENCYPART_ARC
(24,20),-2.06386 # DEPENDENCYPART_ARC
(24,22),-2.05369 # DEPENDENCYPART_ARC
(24,23),-1.45815 # DEPENDENCYPART_ARC
(24,25),1.65071 # DEPENDENCYPART_ARC
(24,26),-0.530899 # DEPENDENCYPART_ARC
(24,27),-1.84584 # DEPENDENCYPART_ARC
(24,28),-0.708614 # DEPENDENCYPART_ARC
(25,1),-1.62516 # DEPENDENCYPART_ARC
(25,16),-0.814077 # DEPENDENCYPART_ARC
(25,20),-1.26912 # DEPENDENCYPART_ARC
(25,22),-0.786695 # DEPENDENCYPART_ARC
(25,23),-1.08167 # DEPENDENCYPART_ARC
(25,24),-0.259515 # DEPENDENCYPART_ARC
(25,26),0.558114 # DEPENDENCYPART_ARC
(25,27),-0.799576 # DEPENDENCYPART_ARC
(25,28),0.0510128 # DEPENDENCYPART_ARC
(25,29),-1.74203 # DEPENDENCYPART_ARC
(26,27),1.57608 # DEPENDENCYPART_ARC
(26,28),-1.0684 # DEPENDENCYPART_ARC
(27,28),-1.77494 # DEPENDENCYPART_ARC
(28,13),-2.38141 # DEPENDENCYPART_ARC
(28,14),-2.77923 # DEPENDENCYPART_ARC
(28,20),-1.22464 # DEPENDENCYPART_ARC
(28,22),-1.29944 # DEPENDENCYPART_ARC
(28,23),-1.55751 # DEPENDENCYPART_ARC
(28,25),-1.62138 # DEPENDENCYPART_ARC
(28,26),0.442945 # DEPENDENCYPART_ARC
(28,27),-0.308393 # DEPENDENCYPART_ARC
(28,29),-1.37009 # DEPENDENCYPART_ARC
(29,28),-2.59465 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.103831 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0747058 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0653457 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.78214 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.128791 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.731343 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0767958 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.067457 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.709999 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0926345 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.660184 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.116338 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.767991 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.113344 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.718121 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.775813 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.1486 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.718783 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.623111 # DEPENDENCYPART_SIBL
(0,6),(0,17),-1.78549 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.771607 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.378426 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.143287 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.437363 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.494875 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.328033 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.327411 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0596862 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.438364 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0596862 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.42547 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.0689369 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.163682 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.571595 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.585251 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.37456 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.373939 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0863367 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.576087 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0863367 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.510686 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.024697 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.116666 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.312809 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.191203 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.190508 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0408603 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.117305 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0408603 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.234636 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.0675774 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.645116 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.503634 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.50177 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0366315 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.836077 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0366315 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.620048 # DEPENDENCYPART_SIBL
(1,5),(1,29),-0.0421918 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.218868 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.218246 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.134086 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.412529 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.134086 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.729812 # DEPENDENCYPART_SIBL
(1,6),(1,29),0.332445 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.631574 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0494682 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.696905 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0494682 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.604357 # DEPENDENCYPART_SIBL
(1,8),(1,29),-0.0892124 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0394804 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.696202 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0394804 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.604355 # DEPENDENCYPART_SIBL
(1,9),(1,29),-0.0882997 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0424078 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0303424 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.152765 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.108836 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.129243 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.619355 # DEPENDENCYPART_SIBL
(1,11),(1,29),-0.0357103 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.152765 # DEPENDENCYPART_SIBL
(1,15),(1,29),0.108836 # DEPENDENCYPART_SIBL
(1,17),(1,29),0.265538 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0133981 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0317329 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0261624 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0130138 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0450186 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0817189 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0917436 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0990937 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.024052 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.102898 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0303007 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0277547 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0344699 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0919952 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00212895 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00212603 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0674705 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0395273 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0418101 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0674705 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0639429 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0179361 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0179361 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0924312 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0401525 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0119318 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0702322 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0722661 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0947188 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0492232 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.110647 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0947188 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0622716 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0780487 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0780487 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0662937 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0922565 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.100711 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.100637 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0124756 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0680384 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.1583 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0124756 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0460211 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0549441 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0549441 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0780364 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0826393 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.082018 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0197207 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.202699 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00237972 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0197207 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0851044 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.03422 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.03422 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.112362 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.112362 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0477863 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.182186 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0598509 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0477863 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.392921 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0937881 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0937881 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.203733 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0341956 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.138108 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.030279 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0341956 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.11091 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.00534016 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.00534016 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0230844 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.136283 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0336983 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0230844 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.109785 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00646528 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00646528 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.19976 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.275999 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.00469255 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.272629 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.065714 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.065714 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0114875 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0664728 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.094031 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.012 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.012 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.00403243 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.238197 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.201856 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.201856 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.272629 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.065714 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.065714 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0841193 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.0841193 # DEPENDENCYPART_SIBL
(3,18),(3,24),-0.30856 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0144052 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0330742 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0107939 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0297519 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0196031 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0196779 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0196809 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.111511 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00234167 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0228439 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.153781 # DEPENDENCYPART_SIBL
