# _root_ Other , more thinly traded Asian markets were hit harder than Tokyo 's , but there were no free-fall declines .
#goldHeads=7,7,5,5,7,7,8,0,8,9,10,11,12,8,8,17,15,20,20,17,8,
#predictedHeads=7,8,4,5,7,7,8,0,8,9,10,11,12,8,8,17,15,20,20,17,8,
(0,9),(0,17),-0.737519 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0321119 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.282422 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.444489 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.613291 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.286841 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0780224 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.775307 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00477695 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00831169 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0809811 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0684431 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.046791 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0464689 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.053904 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0167898 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0302682 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0873024 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0480833 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0266088 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0462972 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.212436 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.142883 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0804223 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.00166984 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0116651 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.157568 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.130306 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.775307 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0621099 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.210225 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0036954 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.037002 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0955213 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0162152 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.060088 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0153028 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0143861 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0926173 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0512623 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.00765304 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0658254 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0194147 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00810749 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0483141 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.042545 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.037066 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0396673 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0312739 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00939502 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0195805 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.116789 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0103128 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0237434 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0674837 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00657036 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0557176 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0121533 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.023039 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0318124 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.012838 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00394025 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0346111 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0176316 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0923296 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0412986 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.274371 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00738143 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0572843 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0549876 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0877858 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.109553 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0223018 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00490239 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.05139 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0282643 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.219327 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0474045 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0518312 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0609764 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.117739 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.058738 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.025105 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.01621 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.078596 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.00419305 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0128636 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0743945 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0247661 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0405969 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.029566 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0806397 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0839909 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0113846 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0778709 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0485808 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0598694 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0763435 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.169457 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0211022 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0489843 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0219281 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.212062 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.264457 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.147894 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0276563 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.03029 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.171355 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.3069 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00675667 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0635278 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0264988 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0148208 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0339386 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0609559 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.126549 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0220092 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0799278 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00425655 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0345699 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0718346 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0152939 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0855897 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0530841 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.141631 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.150517 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.363764 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.106895 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0649345 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0516932 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.732577 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.118378 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.035209 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0558492 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0163671 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0313721 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.131268 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.180714 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0386758 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00876505 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0320351 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.296195 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.15158 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.103072 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00953857 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.070438 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0992109 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0201359 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.141677 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.217946 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.34648 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.066965 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.276401 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.191394 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0603606 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0666086 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.110947 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.026097 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0271819 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0404694 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0809831 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.203712 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0189603 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0344513 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0168641 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.044206 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0412382 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0271819 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0256766 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0223824 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0884617 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00804936 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.101723 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0147889 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.025521 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0478751 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0473934 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0589657 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0406474 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.233059 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00669728 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.017555 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0579095 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.025521 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0301526 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.136267 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0302217 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0582062 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0465857 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0452022 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00362943 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0119659 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.471248 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0140996 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0129077 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.045124 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.195161 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00830666 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0452022 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0494898 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.12176 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.101657 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0273323 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0487157 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0502537 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0158623 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00795389 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0738923 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.204344 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0298959 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.222792 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0591207 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0487157 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0328577 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0829367 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.20844 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.129645 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0356905 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.102231 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.155179 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.110124 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0942079 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0460749 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00577789 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0561118 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.129645 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.206351 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0458342 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0810436 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0185742 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0776189 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.103266 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0842878 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0106986 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0369537 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0701616 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0386373 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0810436 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.310178 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.106189 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.103401 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0920907 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.18232 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.137237 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.117741 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0368524 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0484838 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0848605 # DEPENDENCYPART_SIBL
