# _root_ On Oct. 16 , 1987 -- the Friday before the Black Monday crash -- the New York market dropped 4.6 % , and Tokyo followed on Monday with a 2.4 % drop .
#goldHeads=19,1,2,2,2,8,8,2,8,13,13,13,9,8,18,18,18,19,0,21,19,19,19,25,23,25,26,25,32,31,32,28,19,
#predictedHeads=19,1,2,2,2,9,8,9,19,13,13,13,9,9,18,18,18,19,0,21,19,19,19,25,23,25,26,25,32,31,32,28,19,
(5,1),-2.14153 # DEPENDENCYPART_ARC
(5,2),-2.75201 # DEPENDENCYPART_ARC
(5,3),-1.41151 # DEPENDENCYPART_ARC
(5,4),-1.46607 # DEPENDENCYPART_ARC
(5,6),-0.731653 # DEPENDENCYPART_ARC
(5,7),-2.19457 # DEPENDENCYPART_ARC
(5,8),-2.2611 # DEPENDENCYPART_ARC
(5,9),-1.77434 # DEPENDENCYPART_ARC
(5,14),-1.24884 # DEPENDENCYPART_ARC
(5,19),-2.24486 # DEPENDENCYPART_ARC
(5,22),-2.14228 # DEPENDENCYPART_ARC
(6,1),-2.90188 # DEPENDENCYPART_ARC
(6,4),-2.47496 # DEPENDENCYPART_ARC
(6,5),-2.05863 # DEPENDENCYPART_ARC
(6,7),-2.05506 # DEPENDENCYPART_ARC
(6,8),-2.42431 # DEPENDENCYPART_ARC
(6,9),-2.40021 # DEPENDENCYPART_ARC
(6,14),-1.01553 # DEPENDENCYPART_ARC
(7,1),-2.53985 # DEPENDENCYPART_ARC
(7,6),-1.52261 # DEPENDENCYPART_ARC
(7,9),-1.76265 # DEPENDENCYPART_ARC
(8,2),-3.93537 # DEPENDENCYPART_ARC
(8,3),-2.85704 # DEPENDENCYPART_ARC
(8,4),-2.8355 # DEPENDENCYPART_ARC
(8,5),-2.31981 # DEPENDENCYPART_ARC
(8,6),-1.9513 # DEPENDENCYPART_ARC
(8,7),0.120307 # DEPENDENCYPART_ARC
(8,9),-0.860431 # DEPENDENCYPART_ARC
(8,13),-2.41217 # DEPENDENCYPART_ARC
(8,14),-1.40588 # DEPENDENCYPART_ARC
(8,18),-3.24327 # DEPENDENCYPART_ARC
(8,23),-2.63577 # DEPENDENCYPART_ARC
(8,33),-3.13492 # DEPENDENCYPART_ARC
(9,1),-1.77303 # DEPENDENCYPART_ARC
(9,4),-2.15121 # DEPENDENCYPART_ARC
(9,6),-1.33455 # DEPENDENCYPART_ARC
(9,7),-1.67322 # DEPENDENCYPART_ARC
(9,8),-1.42836 # DEPENDENCYPART_ARC
(9,10),-1.08451 # DEPENDENCYPART_ARC
(9,11),-0.787832 # DEPENDENCYPART_ARC
(9,12),-1.26126 # DEPENDENCYPART_ARC
(9,13),-0.175767 # DEPENDENCYPART_ARC
(9,14),-1.04746 # DEPENDENCYPART_ARC
(9,17),-2.43238 # DEPENDENCYPART_ARC
(9,18),-1.89891 # DEPENDENCYPART_ARC
(9,19),0.462817 # DEPENDENCYPART_ARC
(9,22),-1.53128 # DEPENDENCYPART_ARC
(9,23),-1.50183 # DEPENDENCYPART_ARC
(9,24),-3.36161 # DEPENDENCYPART_ARC
(9,25),-1.19681 # DEPENDENCYPART_ARC
(9,33),-3.72536 # DEPENDENCYPART_ARC
(11,7),-2.92175 # DEPENDENCYPART_ARC
(11,8),-2.54371 # DEPENDENCYPART_ARC
(11,10),-0.867518 # DEPENDENCYPART_ARC
(11,12),-1.83207 # DEPENDENCYPART_ARC
(11,18),-3.54163 # DEPENDENCYPART_ARC
(12,7),-2.61499 # DEPENDENCYPART_ARC
(12,8),-3.08017 # DEPENDENCYPART_ARC
(12,10),-0.993093 # DEPENDENCYPART_ARC
(12,11),-1.125 # DEPENDENCYPART_ARC
(12,13),-1.6133 # DEPENDENCYPART_ARC
(12,18),-3.54619 # DEPENDENCYPART_ARC
(13,1),-1.7953 # DEPENDENCYPART_ARC
(13,2),-3.32533 # DEPENDENCYPART_ARC
(13,3),-2.57184 # DEPENDENCYPART_ARC
(13,4),-2.35787 # DEPENDENCYPART_ARC
(13,5),-2.22911 # DEPENDENCYPART_ARC
(13,6),-1.81368 # DEPENDENCYPART_ARC
(13,7),-1.72632 # DEPENDENCYPART_ARC
(13,8),-0.606755 # DEPENDENCYPART_ARC
(13,9),-0.905363 # DEPENDENCYPART_ARC
(13,10),1.07296 # DEPENDENCYPART_ARC
(13,11),1.06384 # DEPENDENCYPART_ARC
(13,12),1.35556 # DEPENDENCYPART_ARC
(13,14),-0.539299 # DEPENDENCYPART_ARC
(13,15),-2.21755 # DEPENDENCYPART_ARC
(13,16),-1.61844 # DEPENDENCYPART_ARC
(13,17),-1.75692 # DEPENDENCYPART_ARC
(13,18),-1.68548 # DEPENDENCYPART_ARC
(13,19),-1.76174 # DEPENDENCYPART_ARC
(13,21),-2.34684 # DEPENDENCYPART_ARC
(13,22),-2.16714 # DEPENDENCYPART_ARC
(13,23),-2.04961 # DEPENDENCYPART_ARC
(13,24),-3.03127 # DEPENDENCYPART_ARC
(13,25),-2.26203 # DEPENDENCYPART_ARC
(13,26),-2.47985 # DEPENDENCYPART_ARC
(13,27),-2.65723 # DEPENDENCYPART_ARC
(13,28),-2.55892 # DEPENDENCYPART_ARC
(13,32),-3.59819 # DEPENDENCYPART_ARC
(13,33),-2.57132 # DEPENDENCYPART_ARC
(14,13),-2.23355 # DEPENDENCYPART_ARC
(15,16),-1.90217 # DEPENDENCYPART_ARC
(15,25),-2.18954 # DEPENDENCYPART_ARC
(16,13),-2.67792 # DEPENDENCYPART_ARC
(16,15),-1.27597 # DEPENDENCYPART_ARC
(16,17),-1.96324 # DEPENDENCYPART_ARC
(16,21),-3.40456 # DEPENDENCYPART_ARC
(16,23),-2.43611 # DEPENDENCYPART_ARC
(17,12),-2.80233 # DEPENDENCYPART_ARC
(17,13),-2.20295 # DEPENDENCYPART_ARC
(17,15),-0.728356 # DEPENDENCYPART_ARC
(17,16),-0.776552 # DEPENDENCYPART_ARC
(17,21),-3.23608 # DEPENDENCYPART_ARC
(17,23),-2.16296 # DEPENDENCYPART_ARC
(18,7),-3.74612 # DEPENDENCYPART_ARC
(18,8),-2.20787 # DEPENDENCYPART_ARC
(18,9),-1.54881 # DEPENDENCYPART_ARC
(18,10),-1.30796 # DEPENDENCYPART_ARC
(18,11),-1.34681 # DEPENDENCYPART_ARC
(18,12),-1.77654 # DEPENDENCYPART_ARC
(18,13),-1.34209 # DEPENDENCYPART_ARC
(18,14),-1.15968 # DEPENDENCYPART_ARC
(18,15),1.13448 # DEPENDENCYPART_ARC
(18,16),0.932579 # DEPENDENCYPART_ARC
(18,17),1.20534 # DEPENDENCYPART_ARC
(18,19),-1.316 # DEPENDENCYPART_ARC
(18,21),-2.03308 # DEPENDENCYPART_ARC
(18,22),-2.16362 # DEPENDENCYPART_ARC
(18,25),-2.42459 # DEPENDENCYPART_ARC
(19,1),-0.337752 # DEPENDENCYPART_ARC
(19,2),-1.47313 # DEPENDENCYPART_ARC
(19,3),-2.40314 # DEPENDENCYPART_ARC
(19,4),-0.785992 # DEPENDENCYPART_ARC
(19,5),-2.20007 # DEPENDENCYPART_ARC
(19,6),-0.947972 # DEPENDENCYPART_ARC
(19,7),-2.79119 # DEPENDENCYPART_ARC
(19,8),-1.352 # DEPENDENCYPART_ARC
(19,9),-1.03686 # DEPENDENCYPART_ARC
(19,11),-1.46359 # DEPENDENCYPART_ARC
(19,12),-1.11894 # DEPENDENCYPART_ARC
(19,13),-0.682432 # DEPENDENCYPART_ARC
(19,14),-0.990028 # DEPENDENCYPART_ARC
(19,15),-1.7534 # DEPENDENCYPART_ARC
(19,16),-1.08033 # DEPENDENCYPART_ARC
(19,17),-0.603542 # DEPENDENCYPART_ARC
(19,18),0.698251 # DEPENDENCYPART_ARC
(19,20),-0.433716 # DEPENDENCYPART_ARC
(19,21),0.593439 # DEPENDENCYPART_ARC
(19,22),-0.415466 # DEPENDENCYPART_ARC
(19,23),-0.356092 # DEPENDENCYPART_ARC
(19,24),-1.21399 # DEPENDENCYPART_ARC
(19,25),-0.676443 # DEPENDENCYPART_ARC
(19,26),-0.712768 # DEPENDENCYPART_ARC
(19,27),-1.46816 # DEPENDENCYPART_ARC
(19,28),-0.763757 # DEPENDENCYPART_ARC
(19,32),-1.97602 # DEPENDENCYPART_ARC
(19,33),0.403447 # DEPENDENCYPART_ARC
(20,18),-2.07526 # DEPENDENCYPART_ARC
(20,19),-0.96146 # DEPENDENCYPART_ARC
(20,21),-1.46105 # DEPENDENCYPART_ARC
(20,22),-1.75824 # DEPENDENCYPART_ARC
(20,23),-1.89785 # DEPENDENCYPART_ARC
(20,24),-2.6598 # DEPENDENCYPART_ARC
(20,25),-1.88968 # DEPENDENCYPART_ARC
(21,3),-4.3919 # DEPENDENCYPART_ARC
(21,5),-3.80436 # DEPENDENCYPART_ARC
(21,15),-1.8893 # DEPENDENCYPART_ARC
(21,16),-1.35312 # DEPENDENCYPART_ARC
(21,17),-1.46996 # DEPENDENCYPART_ARC
(21,18),-0.874881 # DEPENDENCYPART_ARC
(21,19),-1.28792 # DEPENDENCYPART_ARC
(21,20),1.57242 # DEPENDENCYPART_ARC
(21,22),-0.918508 # DEPENDENCYPART_ARC
(21,23),-1.46215 # DEPENDENCYPART_ARC
(21,24),-2.4236 # DEPENDENCYPART_ARC
(21,25),-1.78942 # DEPENDENCYPART_ARC
(21,26),-2.13563 # DEPENDENCYPART_ARC
(21,27),-2.61709 # DEPENDENCYPART_ARC
(21,28),-2.37499 # DEPENDENCYPART_ARC
(21,32),-3.45029 # DEPENDENCYPART_ARC
(21,33),-2.85398 # DEPENDENCYPART_ARC
(23,24),-0.129516 # DEPENDENCYPART_ARC
(23,25),1.35451 # DEPENDENCYPART_ARC
(23,26),-1.5066 # DEPENDENCYPART_ARC
(23,27),-2.0883 # DEPENDENCYPART_ARC
(23,28),-2.17121 # DEPENDENCYPART_ARC
(23,32),-2.4085 # DEPENDENCYPART_ARC
(24,21),-2.64689 # DEPENDENCYPART_ARC
(24,25),-1.00298 # DEPENDENCYPART_ARC
(24,26),-1.40421 # DEPENDENCYPART_ARC
(24,27),-2.18964 # DEPENDENCYPART_ARC
(24,28),-1.94501 # DEPENDENCYPART_ARC
(25,1),-0.972777 # DEPENDENCYPART_ARC
(25,2),-2.52288 # DEPENDENCYPART_ARC
(25,4),-1.91022 # DEPENDENCYPART_ARC
(25,5),-2.75549 # DEPENDENCYPART_ARC
(25,6),-1.60971 # DEPENDENCYPART_ARC
(25,8),-1.84433 # DEPENDENCYPART_ARC
(25,9),-0.977147 # DEPENDENCYPART_ARC
(25,11),-2.16858 # DEPENDENCYPART_ARC
(25,12),-1.84995 # DEPENDENCYPART_ARC
(25,13),-1.93379 # DEPENDENCYPART_ARC
(25,14),-1.53265 # DEPENDENCYPART_ARC
(25,16),-1.85931 # DEPENDENCYPART_ARC
(25,17),-1.68839 # DEPENDENCYPART_ARC
(25,18),-1.60936 # DEPENDENCYPART_ARC
(25,19),-1.6526 # DEPENDENCYPART_ARC
(25,20),-2.0815 # DEPENDENCYPART_ARC
(25,21),-1.33242 # DEPENDENCYPART_ARC
(25,22),-1.27925 # DEPENDENCYPART_ARC
(25,23),-1.21551 # DEPENDENCYPART_ARC
(25,24),0.295105 # DEPENDENCYPART_ARC
(25,26),1.32779 # DEPENDENCYPART_ARC
(25,27),-0.449451 # DEPENDENCYPART_ARC
(25,28),0.308284 # DEPENDENCYPART_ARC
(25,30),-2.38631 # DEPENDENCYPART_ARC
(25,31),-1.60446 # DEPENDENCYPART_ARC
(25,32),-1.30748 # DEPENDENCYPART_ARC
(25,33),-0.140532 # DEPENDENCYPART_ARC
(26,24),-2.16658 # DEPENDENCYPART_ARC
(26,27),0.847085 # DEPENDENCYPART_ARC
(26,28),-1.49283 # DEPENDENCYPART_ARC
(26,30),-2.55411 # DEPENDENCYPART_ARC
(26,31),-1.66553 # DEPENDENCYPART_ARC
(26,32),-1.22289 # DEPENDENCYPART_ARC
(27,24),-2.60923 # DEPENDENCYPART_ARC
(27,26),-1.52718 # DEPENDENCYPART_ARC
(27,28),-0.837986 # DEPENDENCYPART_ARC
(27,30),-1.88407 # DEPENDENCYPART_ARC
(27,31),-2.22468 # DEPENDENCYPART_ARC
(27,32),-2.46831 # DEPENDENCYPART_ARC
(27,33),-2.64072 # DEPENDENCYPART_ARC
(28,26),-1.79682 # DEPENDENCYPART_ARC
(28,27),-1.90995 # DEPENDENCYPART_ARC
(28,29),-0.936446 # DEPENDENCYPART_ARC
(28,30),-1.0875 # DEPENDENCYPART_ARC
(28,31),-0.860869 # DEPENDENCYPART_ARC
(28,32),0.187597 # DEPENDENCYPART_ARC
(29,30),-0.947993 # DEPENDENCYPART_ARC
(29,31),-1.52362 # DEPENDENCYPART_ARC
(30,26),-2.04086 # DEPENDENCYPART_ARC
(30,27),-2.57788 # DEPENDENCYPART_ARC
(30,28),-1.70728 # DEPENDENCYPART_ARC
(30,29),-0.831449 # DEPENDENCYPART_ARC
(30,31),-0.874885 # DEPENDENCYPART_ARC
(30,32),-1.74963 # DEPENDENCYPART_ARC
(31,29),-1.16316 # DEPENDENCYPART_ARC
(31,30),0.611957 # DEPENDENCYPART_ARC
(31,32),-1.37494 # DEPENDENCYPART_ARC
(32,24),-2.46237 # DEPENDENCYPART_ARC
(32,26),-1.56352 # DEPENDENCYPART_ARC
(32,27),-1.33619 # DEPENDENCYPART_ARC
(32,28),-1.39701 # DEPENDENCYPART_ARC
(32,29),1.11112 # DEPENDENCYPART_ARC
(32,30),-0.0382517 # DEPENDENCYPART_ARC
(32,31),1.10918 # DEPENDENCYPART_ARC
(32,33),-1.39813 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0516563 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.724781 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.682015 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.762639 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.763376 # DEPENDENCYPART_SIBL
(0,19),(0,25),-1.65007 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.454705 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.118994 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.464932 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.128377 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.117484 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.128377 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.641208 # DEPENDENCYPART_SIBL
(1,2),(1,33),-0.036696 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0189859 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.338063 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.102325 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0754046 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.102325 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.490347 # DEPENDENCYPART_SIBL
(1,3),(1,33),-0.0378652 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0748266 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00469724 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.579785 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.00469724 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.13247 # DEPENDENCYPART_SIBL
(1,4),(1,33),0.152733 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.107324 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0762922 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.107324 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.497304 # DEPENDENCYPART_SIBL
(1,5),(1,33),-0.0466813 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.278318 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.373913 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.117238 # DEPENDENCYPART_SIBL
(1,6),(1,33),0.248702 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.129413 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.259828 # DEPENDENCYPART_SIBL
(1,9),(1,33),0.140269 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.117238 # DEPENDENCYPART_SIBL
(1,14),(1,33),0.248702 # DEPENDENCYPART_SIBL
(1,19),(1,33),0.298221 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0646889 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.122686 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0551731 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0338168 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0611448 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0999605 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0667035 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0557212 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0338168 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0737446 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0464071 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.078843 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.122686 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0840858 # DEPENDENCYPART_SIBL
(2,1),(2,33),-0.0644871 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.125959 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.213714 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0237732 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0593277 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0387378 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0525149 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0346185 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0237732 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0157915 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.00680138 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0544602 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.125959 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0385853 # DEPENDENCYPART_SIBL
(2,3),(2,33),-0.100811 # DEPENDENCYPART_SIBL
(2,4),(2,5),1.01933 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0752193 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0746248 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.615015 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.424547 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.707187 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0752193 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.743507 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.509981 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.505302 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0470338 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.427458 # DEPENDENCYPART_SIBL
(2,4),(2,33),-0.0111326 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00247432 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0821021 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0586236 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0715397 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0552279 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00247432 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0345446 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0123715 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0731534 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0175046 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0619415 # DEPENDENCYPART_SIBL
(2,5),(2,33),-0.125917 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.13875 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.407744 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.135757 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.379008 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.666959 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.433064 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.236618 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.377098 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.00158865 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.20825 # DEPENDENCYPART_SIBL
(2,6),(2,33),0.345365 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0381989 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0325024 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0378492 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0477505 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0201858 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.00605179 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0787278 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0501377 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0765476 # DEPENDENCYPART_SIBL
(2,7),(2,33),-0.0788494 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00685393 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0710992 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.048165 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0591159 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0767839 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0824923 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0612617 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0698019 # DEPENDENCYPART_SIBL
(2,8),(2,33),-0.0400447 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0313954 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.116862 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0682332 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0488022 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0719078 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.00627398 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0995992 # DEPENDENCYPART_SIBL
(2,9),(2,33),0.065054 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.126307 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.287158 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0710396 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.299753 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.180498 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.00212046 # DEPENDENCYPART_SIBL
(2,13),(2,33),0.0273164 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.433064 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.236618 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.377098 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.00158865 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.20825 # DEPENDENCYPART_SIBL
(2,14),(2,33),0.345365 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0649201 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.256726 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.235038 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.0565817 # DEPENDENCYPART_SIBL
(2,18),(2,33),0.0234582 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.109691 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.43439 # DEPENDENCYPART_SIBL
(2,19),(2,23),0.109197 # DEPENDENCYPART_SIBL
(2,19),(2,33),-0.0177346 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.125536 # DEPENDENCYPART_SIBL
(2,21),(2,23),0.032455 # DEPENDENCYPART_SIBL
(2,21),(2,33),0.0394059 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.427458 # DEPENDENCYPART_SIBL
(2,22),(2,33),-0.0111326 # DEPENDENCYPART_SIBL
(2,23),(2,33),-0.224818 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0130951 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.058706 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00215727 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0178868 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.058706 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.106236 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0630295 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0241696 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.106236 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.662241 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.15922 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.268765 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00506887 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0340453 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0103504 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0298013 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0511775 # DEPENDENCYPART_SIBL
