# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(4,23),-2.6639 # DEPENDENCYPART_ARC
(6,1),-2.30717 # DEPENDENCYPART_ARC
(6,3),-1.39501 # DEPENDENCYPART_ARC
(6,4),-1.58385 # DEPENDENCYPART_ARC
(6,5),-1.01883 # DEPENDENCYPART_ARC
(6,7),-0.399151 # DEPENDENCYPART_ARC
(6,8),-0.968552 # DEPENDENCYPART_ARC
(6,9),-0.580856 # DEPENDENCYPART_ARC
(6,10),-2.25313 # DEPENDENCYPART_ARC
(6,11),-1.56206 # DEPENDENCYPART_ARC
(6,12),-1.38217 # DEPENDENCYPART_ARC
(7,5),-2.69466 # DEPENDENCYPART_ARC
(7,9),-2.13183 # DEPENDENCYPART_ARC
(7,10),-2.98568 # DEPENDENCYPART_ARC
(8,1),-2.46073 # DEPENDENCYPART_ARC
(8,3),-1.12245 # DEPENDENCYPART_ARC
(8,4),-1.47418 # DEPENDENCYPART_ARC
(8,5),-1.60858 # DEPENDENCYPART_ARC
(8,6),0.426868 # DEPENDENCYPART_ARC
(8,7),0.519219 # DEPENDENCYPART_ARC
(8,9),1.66716 # DEPENDENCYPART_ARC
(8,10),-1.23402 # DEPENDENCYPART_ARC
(8,11),-0.710301 # DEPENDENCYPART_ARC
(8,12),-0.661082 # DEPENDENCYPART_ARC
(8,13),-1.44062 # DEPENDENCYPART_ARC
(8,14),-1.8703 # DEPENDENCYPART_ARC
(8,15),-1.96476 # DEPENDENCYPART_ARC
(8,16),-1.72931 # DEPENDENCYPART_ARC
(8,19),-2.43593 # DEPENDENCYPART_ARC
(8,20),-1.94223 # DEPENDENCYPART_ARC
(8,22),-3.3912 # DEPENDENCYPART_ARC
(8,23),-2.63857 # DEPENDENCYPART_ARC
(9,10),0.401763 # DEPENDENCYPART_ARC
(9,11),-0.347261 # DEPENDENCYPART_ARC
(9,12),-1.0196 # DEPENDENCYPART_ARC
(9,13),-0.684335 # DEPENDENCYPART_ARC
(9,14),-1.66025 # DEPENDENCYPART_ARC
(9,15),-2.03509 # DEPENDENCYPART_ARC
(9,16),-2.17002 # DEPENDENCYPART_ARC
(9,19),-2.28395 # DEPENDENCYPART_ARC
(10,1),-4.41538 # DEPENDENCYPART_ARC
(10,6),-2.26305 # DEPENDENCYPART_ARC
(10,7),-2.07161 # DEPENDENCYPART_ARC
(10,8),-1.75734 # DEPENDENCYPART_ARC
(10,11),0.730189 # DEPENDENCYPART_ARC
(10,12),-0.719835 # DEPENDENCYPART_ARC
(10,13),-1.07983 # DEPENDENCYPART_ARC
(10,14),-1.76214 # DEPENDENCYPART_ARC
(10,15),-1.91316 # DEPENDENCYPART_ARC
(10,16),-1.84488 # DEPENDENCYPART_ARC
(10,19),-2.49098 # DEPENDENCYPART_ARC
(10,23),-2.28823 # DEPENDENCYPART_ARC
(11,4),-3.9887 # DEPENDENCYPART_ARC
(11,6),-2.54923 # DEPENDENCYPART_ARC
(11,7),-2.39825 # DEPENDENCYPART_ARC
(11,8),-2.7219 # DEPENDENCYPART_ARC
(11,10),-0.330666 # DEPENDENCYPART_ARC
(11,12),-1.97594 # DEPENDENCYPART_ARC
(11,13),-2.35378 # DEPENDENCYPART_ARC
(11,14),-2.95469 # DEPENDENCYPART_ARC
(13,1),-1.46182 # DEPENDENCYPART_ARC
(13,3),-1.82656 # DEPENDENCYPART_ARC
(13,4),-1.52171 # DEPENDENCYPART_ARC
(13,5),-1.34925 # DEPENDENCYPART_ARC
(13,6),-1.66164 # DEPENDENCYPART_ARC
(13,7),-2.0405 # DEPENDENCYPART_ARC
(13,8),-1.50318 # DEPENDENCYPART_ARC
(13,9),-1.68243 # DEPENDENCYPART_ARC
(13,10),-1.07824 # DEPENDENCYPART_ARC
(13,11),-0.664657 # DEPENDENCYPART_ARC
(13,12),-0.800316 # DEPENDENCYPART_ARC
(13,14),2.04939 # DEPENDENCYPART_ARC
(13,15),0.312838 # DEPENDENCYPART_ARC
(13,16),-1.03543 # DEPENDENCYPART_ARC
(13,17),-1.36046 # DEPENDENCYPART_ARC
(13,19),-1.90436 # DEPENDENCYPART_ARC
(13,20),-1.53526 # DEPENDENCYPART_ARC
(13,23),-0.024781 # DEPENDENCYPART_ARC
(14,4),-2.38875 # DEPENDENCYPART_ARC
(14,5),-2.31133 # DEPENDENCYPART_ARC
(14,6),-2.27845 # DEPENDENCYPART_ARC
(14,7),-2.23425 # DEPENDENCYPART_ARC
(14,8),-2.09007 # DEPENDENCYPART_ARC
(14,10),-1.95855 # DEPENDENCYPART_ARC
(14,11),-1.69179 # DEPENDENCYPART_ARC
(14,13),-0.925143 # DEPENDENCYPART_ARC
(14,15),1.5559 # DEPENDENCYPART_ARC
(14,16),-0.15595 # DEPENDENCYPART_ARC
(14,17),-1.19146 # DEPENDENCYPART_ARC
(14,18),-1.38528 # DEPENDENCYPART_ARC
(14,19),-1.11134 # DEPENDENCYPART_ARC
(14,20),-0.796001 # DEPENDENCYPART_ARC
(14,22),-1.73878 # DEPENDENCYPART_ARC
(14,23),-2.01488 # DEPENDENCYPART_ARC
(15,4),-2.18652 # DEPENDENCYPART_ARC
(15,5),-2.07557 # DEPENDENCYPART_ARC
(15,6),-2.06217 # DEPENDENCYPART_ARC
(15,7),-2.0515 # DEPENDENCYPART_ARC
(15,8),-1.91336 # DEPENDENCYPART_ARC
(15,10),-1.86901 # DEPENDENCYPART_ARC
(15,11),-1.74341 # DEPENDENCYPART_ARC
(15,12),-1.43948 # DEPENDENCYPART_ARC
(15,13),-1.52858 # DEPENDENCYPART_ARC
(15,14),-0.983777 # DEPENDENCYPART_ARC
(15,16),1.0985 # DEPENDENCYPART_ARC
(15,17),-0.56705 # DEPENDENCYPART_ARC
(15,18),-1.19411 # DEPENDENCYPART_ARC
(15,19),-1.00536 # DEPENDENCYPART_ARC
(15,20),-0.659792 # DEPENDENCYPART_ARC
(15,22),-1.45757 # DEPENDENCYPART_ARC
(15,23),-1.85006 # DEPENDENCYPART_ARC
(16,8),-2.65315 # DEPENDENCYPART_ARC
(16,15),-1.24653 # DEPENDENCYPART_ARC
(16,17),1.82159 # DEPENDENCYPART_ARC
(16,18),-0.875484 # DEPENDENCYPART_ARC
(16,19),-0.180029 # DEPENDENCYPART_ARC
(16,20),-1.04472 # DEPENDENCYPART_ARC
(17,4),-2.39845 # DEPENDENCYPART_ARC
(17,18),-0.00771744 # DEPENDENCYPART_ARC
(17,19),0.834266 # DEPENDENCYPART_ARC
(17,20),0.171974 # DEPENDENCYPART_ARC
(17,22),-0.59388 # DEPENDENCYPART_ARC
(17,23),-1.44874 # DEPENDENCYPART_ARC
(18,20),-1.65486 # DEPENDENCYPART_ARC
(19,1),-2.75144 # DEPENDENCYPART_ARC
(19,6),-2.87522 # DEPENDENCYPART_ARC
(19,8),-3.06197 # DEPENDENCYPART_ARC
(19,10),-2.06925 # DEPENDENCYPART_ARC
(19,14),-1.38498 # DEPENDENCYPART_ARC
(19,15),-1.18079 # DEPENDENCYPART_ARC
(19,17),-0.846152 # DEPENDENCYPART_ARC
(19,18),1.63578 # DEPENDENCYPART_ARC
(19,20),0.428723 # DEPENDENCYPART_ARC
(19,22),-1.27142 # DEPENDENCYPART_ARC
(19,23),-1.9235 # DEPENDENCYPART_ARC
(20,19),-1.53132 # DEPENDENCYPART_ARC
(20,21),-1.16979 # DEPENDENCYPART_ARC
(20,22),1.26326 # DEPENDENCYPART_ARC
(20,23),-2.46651 # DEPENDENCYPART_ARC
(22,18),-1.41505 # DEPENDENCYPART_ARC
(22,19),-1.2249 # DEPENDENCYPART_ARC
(22,20),-0.879444 # DEPENDENCYPART_ARC
(22,21),1.74478 # DEPENDENCYPART_ARC
(0,4),(0,7),-0.0561614 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.732152 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.099476 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0909571 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.639315 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0479162 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.04638 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.635211 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.628815 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.459457 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.243412 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.21904 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0873793 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0291315 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0775828 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0338204 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00843032 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0708216 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0873793 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0775828 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.271541 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.216485 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0256181 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0420553 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0308791 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0902417 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.120904 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.216485 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0420553 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.270897 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0110071 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0952418 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.016268 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0787284 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.106293 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.270897 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0952418 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.692382 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00426558 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.674924 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.391822 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.3887 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0761993 # DEPENDENCYPART_SIBL
(1,5),(1,23),0.00426558 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00342459 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0673797 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.190193 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.176306 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00571745 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.00342459 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.241473 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0807643 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.191746 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0238265 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.625026 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.19381 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.167403 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.00401309 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.00369512 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.146472 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0572227 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.350342 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0620759 # DEPENDENCYPART_SIBL
(1,11),(1,23),0.103514 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.00426558 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0480903 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0484684 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0143261 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0484684 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00920902 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0636992 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00920902 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.590988 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0768274 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0363131 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0063735 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.106491 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.122527 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0596778 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00458189 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.070074 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0323755 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0574921 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.125764 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.122527 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0243274 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0148914 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0113715 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.141718 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0554734 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0209341 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.00458189 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.121248 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0186232 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0127913 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.209318 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00771784 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0166291 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0129983 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.054254 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0186232 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0142403 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0682022 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0254172 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0400327 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0107424 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0576365 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.209318 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.19387 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.111468 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0062335 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.110018 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.111298 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.10897 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0799737 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.19387 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0162685 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.114299 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0479391 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.241002 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0839771 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0176529 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0062335 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.644906 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0102174 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.620664 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.564801 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.649399 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.44528 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.187943 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.566875 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.559821 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.627247 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.15531 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.214221 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.777001 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0102174 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0363339 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.126136 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0702402 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.12792 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.140608 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.10327 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0259139 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0691882 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0461062 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0185397 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.104606 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0936181 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0363339 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0907159 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.027278 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0926567 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0911935 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0251357 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00530975 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0464953 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0549599 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.00089491 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0806919 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0804392 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.760724 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0631285 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.113553 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.126261 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.116636 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0171809 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.060429 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.037347 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.026834 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0955044 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0843915 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.02521 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.018975 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0702134 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0806061 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0997915 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0158932 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00376548 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.105782 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.173527 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0858257 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.219924 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.142814 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0964343 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0264992 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0697735 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0466915 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0234093 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.106793 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0954735 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0447377 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0280343 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0553568 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.114152 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0910699 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0408376 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.18094 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.109384 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.0279041 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.566875 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.559821 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.627247 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.15531 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.214221 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.777001 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.0102174 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0789448 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0619413 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0150727 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.056534 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.00483598 # DEPENDENCYPART_SIBL
(4,13),(4,23),0.104892 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.363992 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.067608 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0389562 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.142142 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.0206081 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0399204 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.00359381 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.131201 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.0141995 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0356936 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0857618 # DEPENDENCYPART_SIBL
(4,16),(4,23),0.0262805 # DEPENDENCYPART_SIBL
(4,20),(4,22),0.121377 # DEPENDENCYPART_SIBL
(4,20),(4,23),0.126398 # DEPENDENCYPART_SIBL
(4,22),(4,23),-0.00618026 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.317699 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.335308 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.473084 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.050756 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.054537 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0888731 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0162036 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.35817 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0740658 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.199236 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0683675 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0572892 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0645184 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0225066 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.029681 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.166098 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0213496 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0940511 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0844377 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0219811 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0368034 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0128563 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.131776 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0372272 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.12152 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.10798 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.299004 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.138752 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0335625 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00163155 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.241114 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0808709 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.247613 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.191485 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0353752 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.197585 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0570446 # DEPENDENCYPART_SIBL
