# _root_ Similarly , Agfa is sponsoring scores of photography contests at high schools and colleges , offering free black-and-white film and paper as prizes .
#goldHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
#predictedHeads=4,4,4,0,4,5,6,9,7,5,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
(5,10),-0.655389 # DEPENDENCYPART_ARC
(5,11),-1.73995 # DEPENDENCYPART_ARC
(5,12),-1.78492 # DEPENDENCYPART_ARC
(5,13),-1.0972 # DEPENDENCYPART_ARC
(5,14),-1.97994 # DEPENDENCYPART_ARC
(5,15),-1.17269 # DEPENDENCYPART_ARC
(5,16),-1.35733 # DEPENDENCYPART_ARC
(5,20),-1.91665 # DEPENDENCYPART_ARC
(5,22),-1.4491 # DEPENDENCYPART_ARC
(6,1),-2.20713 # DEPENDENCYPART_ARC
(6,2),-2.11928 # DEPENDENCYPART_ARC
(6,3),-0.984264 # DEPENDENCYPART_ARC
(6,5),0.130098 # DEPENDENCYPART_ARC
(6,7),1.098 # DEPENDENCYPART_ARC
(6,8),-0.618472 # DEPENDENCYPART_ARC
(6,9),-0.85852 # DEPENDENCYPART_ARC
(6,10),-0.69282 # DEPENDENCYPART_ARC
(6,11),-1.28209 # DEPENDENCYPART_ARC
(6,12),-1.71288 # DEPENDENCYPART_ARC
(6,13),-0.236206 # DEPENDENCYPART_ARC
(6,14),-2.18406 # DEPENDENCYPART_ARC
(6,15),-1.15476 # DEPENDENCYPART_ARC
(6,16),-1.37546 # DEPENDENCYPART_ARC
(6,17),-1.73871 # DEPENDENCYPART_ARC
(6,19),-2.54222 # DEPENDENCYPART_ARC
(6,20),-1.47532 # DEPENDENCYPART_ARC
(6,22),-1.88312 # DEPENDENCYPART_ARC
(6,24),-2.75089 # DEPENDENCYPART_ARC
(7,1),-2.23279 # DEPENDENCYPART_ARC
(7,2),-2.4953 # DEPENDENCYPART_ARC
(7,8),0.533756 # DEPENDENCYPART_ARC
(7,9),0.879211 # DEPENDENCYPART_ARC
(7,10),-1.63445 # DEPENDENCYPART_ARC
(7,12),-1.15426 # DEPENDENCYPART_ARC
(7,13),-1.67191 # DEPENDENCYPART_ARC
(7,14),-2.24601 # DEPENDENCYPART_ARC
(7,16),-2.09507 # DEPENDENCYPART_ARC
(8,10),-1.30726 # DEPENDENCYPART_ARC
(8,12),-1.8266 # DEPENDENCYPART_ARC
(8,13),-1.46107 # DEPENDENCYPART_ARC
(9,1),-3.06339 # DEPENDENCYPART_ARC
(9,2),-2.68217 # DEPENDENCYPART_ARC
(9,3),-1.84616 # DEPENDENCYPART_ARC
(9,5),-1.61592 # DEPENDENCYPART_ARC
(9,6),-1.11005 # DEPENDENCYPART_ARC
(9,7),-1.27947 # DEPENDENCYPART_ARC
(9,8),1.87979 # DEPENDENCYPART_ARC
(9,10),-0.187536 # DEPENDENCYPART_ARC
(9,11),-1.25442 # DEPENDENCYPART_ARC
(9,12),-1.18513 # DEPENDENCYPART_ARC
(9,13),-0.521309 # DEPENDENCYPART_ARC
(9,14),-1.8268 # DEPENDENCYPART_ARC
(9,15),-1.21938 # DEPENDENCYPART_ARC
(9,16),-1.58162 # DEPENDENCYPART_ARC
(9,17),-1.97597 # DEPENDENCYPART_ARC
(9,19),-2.43567 # DEPENDENCYPART_ARC
(9,20),-1.6821 # DEPENDENCYPART_ARC
(9,22),-1.91464 # DEPENDENCYPART_ARC
(9,24),-2.9044 # DEPENDENCYPART_ARC
(10,1),-2.72833 # DEPENDENCYPART_ARC
(10,7),-1.51517 # DEPENDENCYPART_ARC
(10,9),-1.52357 # DEPENDENCYPART_ARC
(10,11),-0.250004 # DEPENDENCYPART_ARC
(10,12),1.2248 # DEPENDENCYPART_ARC
(10,13),-1.24564 # DEPENDENCYPART_ARC
(10,14),-0.11596 # DEPENDENCYPART_ARC
(10,15),-1.63464 # DEPENDENCYPART_ARC
(10,16),-1.97839 # DEPENDENCYPART_ARC
(10,19),-1.53469 # DEPENDENCYPART_ARC
(10,24),-2.76223 # DEPENDENCYPART_ARC
(11,13),-1.24776 # DEPENDENCYPART_ARC
(12,3),-2.38632 # DEPENDENCYPART_ARC
(12,7),-2.28369 # DEPENDENCYPART_ARC
(12,8),-0.650936 # DEPENDENCYPART_ARC
(12,9),-1.32438 # DEPENDENCYPART_ARC
(12,10),-1.39872 # DEPENDENCYPART_ARC
(12,11),1.15434 # DEPENDENCYPART_ARC
(12,13),1.29085 # DEPENDENCYPART_ARC
(12,14),-0.700282 # DEPENDENCYPART_ARC
(12,15),-0.936226 # DEPENDENCYPART_ARC
(12,16),-0.963227 # DEPENDENCYPART_ARC
(12,17),-1.39821 # DEPENDENCYPART_ARC
(12,18),-1.65075 # DEPENDENCYPART_ARC
(12,19),-1.96361 # DEPENDENCYPART_ARC
(12,20),-1.2833 # DEPENDENCYPART_ARC
(12,21),-2.38994 # DEPENDENCYPART_ARC
(12,22),-1.24965 # DEPENDENCYPART_ARC
(12,23),-2.87897 # DEPENDENCYPART_ARC
(12,24),-2.42899 # DEPENDENCYPART_ARC
(13,14),1.80606 # DEPENDENCYPART_ARC
(13,15),-1.06958 # DEPENDENCYPART_ARC
(13,16),-1.45525 # DEPENDENCYPART_ARC
(13,17),-1.95565 # DEPENDENCYPART_ARC
(13,18),-2.18729 # DEPENDENCYPART_ARC
(13,19),-1.83936 # DEPENDENCYPART_ARC
(13,21),-1.78862 # DEPENDENCYPART_ARC
(13,23),-2.26456 # DEPENDENCYPART_ARC
(14,11),-1.44253 # DEPENDENCYPART_ARC
(14,12),-1.67707 # DEPENDENCYPART_ARC
(14,15),-0.884379 # DEPENDENCYPART_ARC
(14,16),-1.29405 # DEPENDENCYPART_ARC
(14,17),-1.74305 # DEPENDENCYPART_ARC
(14,18),-1.98534 # DEPENDENCYPART_ARC
(14,19),-1.96998 # DEPENDENCYPART_ARC
(14,20),-1.65955 # DEPENDENCYPART_ARC
(14,21),-2.62459 # DEPENDENCYPART_ARC
(14,22),-1.7657 # DEPENDENCYPART_ARC
(14,23),-2.66078 # DEPENDENCYPART_ARC
(16,1),-3.12261 # DEPENDENCYPART_ARC
(16,10),-1.89172 # DEPENDENCYPART_ARC
(16,12),-1.92788 # DEPENDENCYPART_ARC
(16,13),-1.99185 # DEPENDENCYPART_ARC
(16,14),-1.92595 # DEPENDENCYPART_ARC
(16,15),-1.44662 # DEPENDENCYPART_ARC
(16,17),0.0226128 # DEPENDENCYPART_ARC
(16,18),-0.470409 # DEPENDENCYPART_ARC
(16,19),0.180258 # DEPENDENCYPART_ARC
(16,20),-0.304167 # DEPENDENCYPART_ARC
(16,21),-0.152726 # DEPENDENCYPART_ARC
(16,22),-0.0989122 # DEPENDENCYPART_ARC
(16,23),-0.604858 # DEPENDENCYPART_ARC
(16,24),-2.17003 # DEPENDENCYPART_ARC
(17,18),-0.904748 # DEPENDENCYPART_ARC
(17,19),-1.01238 # DEPENDENCYPART_ARC
(17,20),-1.1024 # DEPENDENCYPART_ARC
(17,21),-1.71207 # DEPENDENCYPART_ARC
(17,23),-2.0903 # DEPENDENCYPART_ARC
(18,17),-0.196055 # DEPENDENCYPART_ARC
(18,20),-0.992067 # DEPENDENCYPART_ARC
(18,21),-1.95154 # DEPENDENCYPART_ARC
(19,10),-2.05909 # DEPENDENCYPART_ARC
(19,11),-1.19654 # DEPENDENCYPART_ARC
(19,12),-2.05838 # DEPENDENCYPART_ARC
(19,14),-1.4296 # DEPENDENCYPART_ARC
(19,15),-1.82821 # DEPENDENCYPART_ARC
(19,16),-0.979666 # DEPENDENCYPART_ARC
(19,17),0.882146 # DEPENDENCYPART_ARC
(19,18),1.76572 # DEPENDENCYPART_ARC
(19,20),1.39256 # DEPENDENCYPART_ARC
(19,21),-1.10435 # DEPENDENCYPART_ARC
(19,22),-0.311236 # DEPENDENCYPART_ARC
(19,23),-1.22278 # DEPENDENCYPART_ARC
(19,24),-1.90763 # DEPENDENCYPART_ARC
(20,21),1.73466 # DEPENDENCYPART_ARC
(20,22),-0.834438 # DEPENDENCYPART_ARC
(20,23),-1.26092 # DEPENDENCYPART_ARC
(21,17),-1.11673 # DEPENDENCYPART_ARC
(21,18),-0.946727 # DEPENDENCYPART_ARC
(21,19),-1.30407 # DEPENDENCYPART_ARC
(21,22),-0.405388 # DEPENDENCYPART_ARC
(21,23),-1.2791 # DEPENDENCYPART_ARC
(22,21),-1.12597 # DEPENDENCYPART_ARC
(22,23),1.1088 # DEPENDENCYPART_ARC
(22,24),-2.16673 # DEPENDENCYPART_ARC
(23,17),-1.88074 # DEPENDENCYPART_ARC
(23,18),-1.70253 # DEPENDENCYPART_ARC
(23,19),-2.13552 # DEPENDENCYPART_ARC
(23,21),-1.39818 # DEPENDENCYPART_ARC
(23,22),-1.02146 # DEPENDENCYPART_ARC
(23,24),-1.33571 # DEPENDENCYPART_ARC
(24,23),-2.5643 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0542108 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.729096 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.697166 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.277863 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.399154 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.458381 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.255362 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.139741 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0353939 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.318083 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0695471 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0965936 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.114035 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0606158 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00583146 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0142329 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00709901 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00457778 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.116163 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0775714 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.267662 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0734456 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.105481 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0196765 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.117561 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00988668 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0540702 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.034599 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0144921 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.0316092 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.047839 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00719887 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0682756 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0335431 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.034177 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00639248 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00381573 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0495605 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0722063 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0532932 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0085069 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0148633 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.219086 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0554657 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0550371 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00875427 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.106973 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0307555 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00756666 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.111266 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0147284 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0223682 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0425135 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0946598 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0223682 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0870789 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0397416 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0130466 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0544796 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.180834 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0233239 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0559697 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0765703 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0604123 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0601042 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00896419 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0705817 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0601042 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0582691 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0403312 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0949902 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.14583 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0143279 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0981255 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0839566 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0998321 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0111452 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.025581 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.041508 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0111452 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.00237452 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.359969 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.344033 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.404074 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.365395 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.344282 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.365665 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0518062 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0372787 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.401868 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0518062 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0196266 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.136541 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.170093 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.395299 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0348991 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.395746 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0750778 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0135488 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0757799 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0750778 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0791573 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0176252 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0773252 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00235242 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0783465 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0890467 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00649531 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0705749 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0890467 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.049361 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.309417 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0251615 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.309472 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0140031 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0105772 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.072963 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0140031 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.00707234 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0515341 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.402285 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0664833 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00428607 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0783447 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0664833 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0819962 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.192163 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0542421 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.121392 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0234944 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0542421 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0513089 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0635103 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.00870609 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0787337 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0635103 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0863799 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0377599 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.00794743 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.992762 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.00647169 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.63499 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.692413 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.0047359 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0196993 # DEPENDENCYPART_SIBL
(4,16),(4,24),0.0588004 # DEPENDENCYPART_SIBL
(4,20),(4,24),0.00647169 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0741156 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0210619 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0544529 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0466739 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0211409 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0581825 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0664389 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00388255 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0508506 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0616339 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0581824 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0384584 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0375722 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0616339 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0157121 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0592467 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00930919 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0214636 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0152516 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00718829 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00560651 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.047335 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0116828 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0935064 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00832537 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.067932 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0644429 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0935064 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0109032 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00601922 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0270863 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0545086 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00638719 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0150468 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0267408 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00463261 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0917493 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00619592 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0281749 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00689213 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0917493 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.00877686 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00283002 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0665109 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.320586 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.119195 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0390109 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.320991 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0532015 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.321244 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.027584 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0849704 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0532015 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0233574 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0809541 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.107123 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.128091 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.110318 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.108102 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0204989 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.10718 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0185369 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.00631674 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0204989 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.120997 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.334624 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0927559 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00509626 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.334638 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0246804 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.334747 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0392227 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0025751 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0246804 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0184099 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.120155 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0449721 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.31503 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0678133 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.315283 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0394209 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0978521 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0678133 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.0243243 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0778033 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.183883 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.177514 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.182965 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.117412 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.137805 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.177514 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.112024 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.167401 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0567158 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.167393 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0883834 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0122722 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.0567158 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.110749 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0865076 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.304108 # DEPENDENCYPART_SIBL
