# _root_ `` It was simply overbought , '' he said , and selling by funds that are computer guided helped depress prices .
#goldHeads=3,3,9,3,3,3,3,9,0,9,3,19,12,13,16,14,16,17,11,19,20,3,
#predictedHeads=9,3,9,3,3,9,9,9,0,9,9,11,12,13,16,14,16,16,18,19,20,3,
(8,4),-2.57922 # DEPENDENCYPART_ARC
(8,5),-2.1968 # DEPENDENCYPART_ARC
(8,6),-1.42597 # DEPENDENCYPART_ARC
(8,7),-1.517 # DEPENDENCYPART_ARC
(8,10),-1.29969 # DEPENDENCYPART_ARC
(8,11),-0.955893 # DEPENDENCYPART_ARC
(9,1),-1.11996 # DEPENDENCYPART_ARC
(9,2),-1.53542 # DEPENDENCYPART_ARC
(9,3),-1.15597 # DEPENDENCYPART_ARC
(9,4),-1.93735 # DEPENDENCYPART_ARC
(9,5),-2.16106 # DEPENDENCYPART_ARC
(9,6),-0.38862 # DEPENDENCYPART_ARC
(9,7),-0.511846 # DEPENDENCYPART_ARC
(9,8),1.6401 # DEPENDENCYPART_ARC
(9,10),0.709094 # DEPENDENCYPART_ARC
(9,11),-1.79045 # DEPENDENCYPART_ARC
(9,12),-1.70548 # DEPENDENCYPART_ARC
(9,13),-2.0526 # DEPENDENCYPART_ARC
(9,14),-2.50095 # DEPENDENCYPART_ARC
(9,15),-3.10169 # DEPENDENCYPART_ARC
(9,16),-1.25157 # DEPENDENCYPART_ARC
(9,19),-0.800117 # DEPENDENCYPART_ARC
(9,22),-1.6609 # DEPENDENCYPART_ARC
(10,11),-1.4815 # DEPENDENCYPART_ARC
(11,9),-1.78088 # DEPENDENCYPART_ARC
(11,10),-1.70478 # DEPENDENCYPART_ARC
(11,12),0.6603 # DEPENDENCYPART_ARC
(11,13),-0.823559 # DEPENDENCYPART_ARC
(11,14),-1.16681 # DEPENDENCYPART_ARC
(11,15),-2.36828 # DEPENDENCYPART_ARC
(11,16),-0.311985 # DEPENDENCYPART_ARC
(11,17),-2.27692 # DEPENDENCYPART_ARC
(11,18),-1.60392 # DEPENDENCYPART_ARC
(11,19),-0.414381 # DEPENDENCYPART_ARC
(11,20),-2.21301 # DEPENDENCYPART_ARC
(12,9),-2.10524 # DEPENDENCYPART_ARC
(12,11),-1.50755 # DEPENDENCYPART_ARC
(12,13),0.745344 # DEPENDENCYPART_ARC
(12,14),-0.0185581 # DEPENDENCYPART_ARC
(12,15),-1.81623 # DEPENDENCYPART_ARC
(12,16),-0.902287 # DEPENDENCYPART_ARC
(12,17),-1.04621 # DEPENDENCYPART_ARC
(12,18),-1.49815 # DEPENDENCYPART_ARC
(12,19),-1.25641 # DEPENDENCYPART_ARC
(12,20),-1.84375 # DEPENDENCYPART_ARC
(12,21),-1.90146 # DEPENDENCYPART_ARC
(13,12),-1.93727 # DEPENDENCYPART_ARC
(13,14),1.45057 # DEPENDENCYPART_ARC
(13,15),-0.605441 # DEPENDENCYPART_ARC
(13,16),-0.104826 # DEPENDENCYPART_ARC
(13,17),-1.27029 # DEPENDENCYPART_ARC
(13,18),-1.68426 # DEPENDENCYPART_ARC
(13,19),-0.908244 # DEPENDENCYPART_ARC
(13,20),-2.00262 # DEPENDENCYPART_ARC
(13,21),-2.25012 # DEPENDENCYPART_ARC
(14,7),-3.45972 # DEPENDENCYPART_ARC
(14,12),-1.63286 # DEPENDENCYPART_ARC
(14,13),-1.30204 # DEPENDENCYPART_ARC
(14,15),-1.22346 # DEPENDENCYPART_ARC
(14,16),0.323995 # DEPENDENCYPART_ARC
(14,17),-1.3464 # DEPENDENCYPART_ARC
(14,18),-1.14427 # DEPENDENCYPART_ARC
(14,19),-0.763677 # DEPENDENCYPART_ARC
(14,20),-2.24987 # DEPENDENCYPART_ARC
(14,21),-1.88158 # DEPENDENCYPART_ARC
(14,22),-2.192 # DEPENDENCYPART_ARC
(15,14),-1.39336 # DEPENDENCYPART_ARC
(16,1),-1.40425 # DEPENDENCYPART_ARC
(16,2),-3.22028 # DEPENDENCYPART_ARC
(16,3),-2.2099 # DEPENDENCYPART_ARC
(16,4),-2.14353 # DEPENDENCYPART_ARC
(16,5),-2.42211 # DEPENDENCYPART_ARC
(16,6),-2.76748 # DEPENDENCYPART_ARC
(16,7),-2.48914 # DEPENDENCYPART_ARC
(16,8),-2.38456 # DEPENDENCYPART_ARC
(16,9),-2.18611 # DEPENDENCYPART_ARC
(16,10),-2.82128 # DEPENDENCYPART_ARC
(16,12),-1.92831 # DEPENDENCYPART_ARC
(16,13),-1.52624 # DEPENDENCYPART_ARC
(16,14),-0.765173 # DEPENDENCYPART_ARC
(16,15),1.86741 # DEPENDENCYPART_ARC
(16,17),0.531896 # DEPENDENCYPART_ARC
(16,18),0.236684 # DEPENDENCYPART_ARC
(16,19),-0.445341 # DEPENDENCYPART_ARC
(16,20),-1.36666 # DEPENDENCYPART_ARC
(16,21),-0.90423 # DEPENDENCYPART_ARC
(16,22),-1.11893 # DEPENDENCYPART_ARC
(17,12),-2.3205 # DEPENDENCYPART_ARC
(17,14),-1.38385 # DEPENDENCYPART_ARC
(17,15),-0.621808 # DEPENDENCYPART_ARC
(17,16),-0.74678 # DEPENDENCYPART_ARC
(17,18),-0.0342437 # DEPENDENCYPART_ARC
(17,19),-0.742913 # DEPENDENCYPART_ARC
(17,20),-1.68194 # DEPENDENCYPART_ARC
(17,21),-1.62907 # DEPENDENCYPART_ARC
(17,22),-2.41431 # DEPENDENCYPART_ARC
(18,1),-2.08067 # DEPENDENCYPART_ARC
(18,3),-1.69652 # DEPENDENCYPART_ARC
(18,4),-1.82602 # DEPENDENCYPART_ARC
(18,5),-2.10097 # DEPENDENCYPART_ARC
(18,6),-2.02267 # DEPENDENCYPART_ARC
(18,7),-2.42729 # DEPENDENCYPART_ARC
(18,9),-1.60165 # DEPENDENCYPART_ARC
(18,10),-1.82505 # DEPENDENCYPART_ARC
(18,12),-1.25745 # DEPENDENCYPART_ARC
(18,13),-1.30851 # DEPENDENCYPART_ARC
(18,14),-1.23411 # DEPENDENCYPART_ARC
(18,15),-0.282582 # DEPENDENCYPART_ARC
(18,16),-1.14052 # DEPENDENCYPART_ARC
(18,17),-0.359865 # DEPENDENCYPART_ARC
(18,19),-0.174613 # DEPENDENCYPART_ARC
(18,20),-0.813499 # DEPENDENCYPART_ARC
(18,21),-1.10547 # DEPENDENCYPART_ARC
(18,22),-1.77985 # DEPENDENCYPART_ARC
(19,1),-1.02453 # DEPENDENCYPART_ARC
(19,2),-2.72404 # DEPENDENCYPART_ARC
(19,3),-1.22942 # DEPENDENCYPART_ARC
(19,4),-1.90748 # DEPENDENCYPART_ARC
(19,5),-2.03334 # DEPENDENCYPART_ARC
(19,6),-2.57613 # DEPENDENCYPART_ARC
(19,7),-2.34288 # DEPENDENCYPART_ARC
(19,8),-1.98492 # DEPENDENCYPART_ARC
(19,9),-1.78838 # DEPENDENCYPART_ARC
(19,10),-2.38868 # DEPENDENCYPART_ARC
(19,11),-1.89715 # DEPENDENCYPART_ARC
(19,12),-1.18943 # DEPENDENCYPART_ARC
(19,13),-1.1616 # DEPENDENCYPART_ARC
(19,14),-0.725645 # DEPENDENCYPART_ARC
(19,15),-0.185865 # DEPENDENCYPART_ARC
(19,16),-1.09591 # DEPENDENCYPART_ARC
(19,17),-0.537495 # DEPENDENCYPART_ARC
(19,18),-0.521953 # DEPENDENCYPART_ARC
(19,20),1.03901 # DEPENDENCYPART_ARC
(19,21),0.144539 # DEPENDENCYPART_ARC
(19,22),-0.561252 # DEPENDENCYPART_ARC
(20,13),-1.30143 # DEPENDENCYPART_ARC
(20,15),-0.872685 # DEPENDENCYPART_ARC
(20,17),-1.12839 # DEPENDENCYPART_ARC
(20,18),-1.40454 # DEPENDENCYPART_ARC
(20,21),1.40908 # DEPENDENCYPART_ARC
(20,22),-0.926518 # DEPENDENCYPART_ARC
(21,1),-3.47486 # DEPENDENCYPART_ARC
(21,17),-1.22333 # DEPENDENCYPART_ARC
(21,18),-1.08335 # DEPENDENCYPART_ARC
(21,20),-0.413449 # DEPENDENCYPART_ARC
(21,22),-1.5389 # DEPENDENCYPART_ARC
(0,3),(0,9),-2.43279 # DEPENDENCYPART_SIBL
(0,3),(0,19),-1.78593 # DEPENDENCYPART_SIBL
(0,9),(0,19),-1.91739 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0934587 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0434956 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0448935 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0434119 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0451433 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0279938 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0269801 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0791631 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.319308 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.153246 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0225168 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.240702 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00512562 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.274083 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.082735 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.452694 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.105728 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0156184 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0681851 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0635154 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.211635 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.110645 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.138627 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0635154 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0106085 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0626911 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0397898 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.214628 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0681814 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0787679 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0507427 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0920124 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.158953 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.134205 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.000490416 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0236196 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.105613 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.131211 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.000490416 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0267894 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.103343 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.10888 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00321545 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.1342 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0058317 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0202607 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0576134 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00100841 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0205376 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0368181 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.116368 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0408827 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0205376 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.085067 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00742085 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0168778 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.260109 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.00100841 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0758433 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.00740194 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.000994689 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0452201 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00376317 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.28402 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.177037 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0452201 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0388802 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.389031 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.430702 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.345029 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.598984 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0882573 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.289762 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0371261 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0615398 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.124877 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0261724 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.127741 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.70236 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.491854 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0574218 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.117021 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.254145 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.363842 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0807288 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0041776 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0133424 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0564708 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.000361021 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.537417 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.282095 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.373327 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0130152 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.013409 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.209267 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.013464 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0590334 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0536044 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0682824 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0606297 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0786748 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0990412 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.20012 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.101455 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.040843 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0263 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.131535 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0580648 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.106169 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.188026 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.248017 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.401334 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.273973 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.400311 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.224059 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0119182 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.70236 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.491854 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0574218 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.117021 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.254145 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.363842 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0807288 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0041776 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0709329 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.109025 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.277579 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.135885 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0512672 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.237576 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.00100235 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.265064 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.271874 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.297802 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0591467 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.212125 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0261118 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.300848 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0648587 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0240971 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.16068 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0934539 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.22431 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.136414 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.206876 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0376934 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0882602 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.289765 # DEPENDENCYPART_SIBL
(3,18),(3,22),0.0318563 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.210053 # DEPENDENCYPART_SIBL
(3,19),(3,22),0.0621421 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.0324344 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.140423 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.139318 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.131638 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.483984 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0225938 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.131638 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0152721 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0924562 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0685708 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0122534 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0564591 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0685708 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.112937 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.142248 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.240541 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0270222 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.142248 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.129537 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.313744 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.224546 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.161543 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.549069 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.022281 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0505802 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.267245 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.16857 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0364528 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.549069 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.130414 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0455144 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.035296 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.108645 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.525978 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0356909 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0565244 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.108645 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.08411 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0462728 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.153265 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0857684 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.012656 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0173755 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0883142 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0217249 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.11576 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0164446 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0652836 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0826216 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0352141 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0164446 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0323621 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0393704 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0716237 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0469429 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0974388 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0695514 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.160125 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.072368 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0345381 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0563026 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0491311 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0897978 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0345381 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0365775 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0543697 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.105132 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0370564 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0683904 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0228775 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.00385064 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00179981 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.046214 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.126352 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.101984 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00179981 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.045625 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0619312 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.042793 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0352814 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0385087 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0057848 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0896792 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.18283 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0434622 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.119615 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0282582 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.391544 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.752325 # DEPENDENCYPART_SIBL
