# _root_ But prices of junk bonds , which were battered Friday in near standstill trading , rebounded to post small gains after a volatile trading session .
#goldHeads=16,16,2,5,3,5,8,5,8,9,9,13,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
#predictedHeads=16,16,2,5,3,5,8,5,8,9,9,14,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
(20,24),-1.66393 # DEPENDENCYPART_ARC
(20,25),-1.984 # DEPENDENCYPART_ARC
(20,26),-2.24376 # DEPENDENCYPART_ARC
(21,11),-1.79583 # DEPENDENCYPART_ARC
(21,19),-2.06906 # DEPENDENCYPART_ARC
(21,20),-1.09124 # DEPENDENCYPART_ARC
(21,22),-1.03708 # DEPENDENCYPART_ARC
(21,23),-1.08558 # DEPENDENCYPART_ARC
(21,24),-0.610796 # DEPENDENCYPART_ARC
(21,25),-0.293437 # DEPENDENCYPART_ARC
(22,23),-1.35477 # DEPENDENCYPART_ARC
(23,22),-0.842558 # DEPENDENCYPART_ARC
(23,24),-0.861222 # DEPENDENCYPART_ARC
(24,22),-0.394888 # DEPENDENCYPART_ARC
(24,23),-0.236134 # DEPENDENCYPART_ARC
(24,25),-1.35502 # DEPENDENCYPART_ARC
(25,12),-2.20859 # DEPENDENCYPART_ARC
(25,19),-1.41185 # DEPENDENCYPART_ARC
(25,20),-0.895343 # DEPENDENCYPART_ARC
(25,21),-0.894055 # DEPENDENCYPART_ARC
(25,22),1.19648 # DEPENDENCYPART_ARC
(25,23),1.15357 # DEPENDENCYPART_ARC
(25,24),1.77547 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0259549 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0344429 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.679106 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0420958 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.679447 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0811774 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.800419 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.107757 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.7671 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.905934 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0731784 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.852775 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.641033 # DEPENDENCYPART_SIBL
(0,8),(0,16),-1.70491 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.709181 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0527363 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.510389 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.490708 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.104118 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0308437 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0739303 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0571502 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0884003 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0501959 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0546907 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0719888 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.143819 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0571502 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0417107 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.127353 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.119471 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0205458 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0418738 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00619987 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.163417 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.296111 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0219658 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0724762 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0787766 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00619987 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.259438 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.200354 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.0952558 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.122797 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0449102 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.124863 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0273914 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0522012 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0395044 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0887656 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0449102 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0752473 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.055049 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0189679 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0289531 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.13499 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0832616 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0727167 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0464312 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0193239 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0289531 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0973549 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0766794 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.00388091 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0408248 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.599229 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.443086 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.53505 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.211137 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.210235 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.50996 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.357183 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.025332 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0279639 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.064719 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0360456 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.111987 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0174932 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0566806 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.126733 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.101325 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.110403 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0264119 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.121147 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.22196 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.328343 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.15501 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.0173551 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0342775 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.127427 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.246586 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0372051 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.10547 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.00178422 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0222998 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.110246 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00250186 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0298686 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.0595388 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0871762 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0399496 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0178607 # DEPENDENCYPART_SIBL
(2,11),(2,26),-0.0044531 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.50996 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.357183 # DEPENDENCYPART_SIBL
(2,15),(2,26),0.025332 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0785331 # DEPENDENCYPART_SIBL
(2,16),(2,26),0.0560156 # DEPENDENCYPART_SIBL
(2,21),(2,26),0.0933959 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0510337 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0390076 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.111787 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.042638 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.000815125 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0121635 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0138798 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.149697 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.247865 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0899416 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0625931 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0607536 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0601485 # DEPENDENCYPART_SIBL
(3,4),(3,5),-1.18424 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00262247 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.638922 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.657941 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.469929 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0507721 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.554301 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.595658 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.414525 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0523757 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.386853 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.392524 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.509021 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.368976 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.218098 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.466431 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.119353 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.143047 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.011203 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00238221 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0873179 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0672611 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0728916 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0570578 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0838386 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0123449 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0615704 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00238221 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0508884 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0682851 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.0318526 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.0780609 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.38691 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0222697 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0265011 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0835681 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0235287 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0668219 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00829301 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0242753 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0298316 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0263661 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0265011 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.008431 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0199863 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0112428 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.0428008 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.209709 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0739785 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0705329 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0823715 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0603158 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.021734 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0170956 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0287284 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0481586 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0739785 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0584377 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0368337 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.00779269 # DEPENDENCYPART_SIBL
(5,3),(5,26),-0.0185833 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0356009 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.117407 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.127916 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0337459 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0139586 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0364471 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0485084 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0413296 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0356009 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0862242 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0388025 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.0052204 # DEPENDENCYPART_SIBL
(5,4),(5,26),-0.112204 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00256567 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.526352 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.441027 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.572671 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0867307 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.27332 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.492258 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0134702 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.451788 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.696345 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.587104 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.0469876 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0397338 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0360628 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0195625 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.122823 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0517074 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0809101 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0528608 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0608723 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0292207 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.0709615 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.12651 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0822391 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0104433 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.129663 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.107832 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0647462 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.173645 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.333036 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0154154 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.0543766 # DEPENDENCYPART_SIBL
(5,8),(5,26),-0.0439184 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0276888 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.144468 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.073279 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.131763 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.189625 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0501116 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0209241 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.119668 # DEPENDENCYPART_SIBL
