# _root_ But analysts , while applauding the acquisition , say Applied 's chief executive faces a tough challenge in integrating the two companies .
#goldHeads=9,9,9,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
#predictedHeads=9,9,2,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
(2,1),(2,9),0.0529291 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0562392 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.253232 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0458036 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0284668 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0889353 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.640157 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.503051 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.607949 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.179581 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.395522 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.568919 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0226806 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.605176 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.324266 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.737711 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0106498 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0131972 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0974128 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0775124 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0107825 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0969944 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0246382 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.011576 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.00255028 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0631538 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.202396 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0391801 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0254932 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.084423 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0684212 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00857959 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0284745 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0634617 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0705607 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0590389 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.130334 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.121871 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0700071 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.118116 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.395522 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.568919 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0226806 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.605176 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.324266 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.737711 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0765867 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0330481 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0416137 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.15209 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.130013 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.156951 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0501281 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0405649 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.00957615 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.238858 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.219932 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.149977 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0835558 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.120172 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0444702 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.12019 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0600599 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0400649 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0967042 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0172665 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0813653 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.041061 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0464661 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0367621 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00249835 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0818548 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0525695 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0834782 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.074934 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0406341 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.042399 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0339732 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0834855 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0616262 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0188529 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.618166 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0502736 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0377059 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0616347 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.620728 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0255296 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.469659 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.562552 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.557612 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0412467 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.590115 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.663466 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.576998 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.091394 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00425293 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.161368 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.565382 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.264716 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.335067 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0227801 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0729585 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0540359 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0863568 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0470441 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00146424 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00399788 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0830914 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.122864 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0694012 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.052983 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0535047 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0499426 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.104056 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.100175 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0839163 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0681459 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0565746 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0226801 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0276468 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.05947 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.022035 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00655064 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0241562 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0217399 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0281351 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.017725 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0581902 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00740838 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.00366335 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0241155 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0752339 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0251761 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00309421 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.067932 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0702476 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00615675 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.214752 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0676458 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0182422 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0122114 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0173338 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0299661 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.00263464 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0317443 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0304115 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0323885 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.173543 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0435418 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.037564 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0593365 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00705887 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0310404 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0332606 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0305135 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0110934 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0574176 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.013161 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.154463 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0913125 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.10795 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.156279 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.087026 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0371787 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.154255 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.110023 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.153472 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0989777 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0557161 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.117848 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0154145 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0754391 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.104139 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0651654 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0146391 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.222422 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0885941 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.221032 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00864339 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.00355459 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.332703 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.106838 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.158315 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0604421 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.250932 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.214749 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.234807 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.181116 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.162817 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.76185 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0887364 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.101659 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0650701 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0992848 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.143275 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.246562 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.142786 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.00677302 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.00350486 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.120879 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.117929 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0339027 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.146581 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0735271 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.14457 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0372901 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0168297 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.180761 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00935883 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.227517 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.150238 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.227093 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0810974 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0507773 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.221829 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.143001 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0741366 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.142627 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.106373 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0271777 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.189216 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0929675 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.214993 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0436411 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.00956784 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.325578 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.126873 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0572761 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.000305798 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.190998 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0358887 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.00127097 # DEPENDENCYPART_SIBL
(5,17),(5,22),-0.333327 # DEPENDENCYPART_SIBL
(5,18),(5,19),0.0689448 # DEPENDENCYPART_SIBL
(5,18),(5,22),-0.0755977 # DEPENDENCYPART_SIBL
(5,19),(5,22),-0.226821 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00443741 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0549718 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.100819 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.133945 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.242948 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.10782 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0114003 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0421005 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0321156 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0279829 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.106219 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.197541 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0674757 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.106261 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0573808 # DEPENDENCYPART_SIBL
