# _root_ Burmah Oil PLC , a British independent oil and specialty chemicals marketing concern , said SHV Holdings N.V. of the Netherlands has built up a 6.7 % stake in the company .
#goldHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
#predictedHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
(3,22),-3.70882 # DEPENDENCYPART_ARC
(5,4),-1.74402 # DEPENDENCYPART_ARC
(5,6),-1.47418 # DEPENDENCYPART_ARC
(5,9),-1.41895 # DEPENDENCYPART_ARC
(6,1),-3.0237 # DEPENDENCYPART_ARC
(6,2),-2.81224 # DEPENDENCYPART_ARC
(6,3),-2.632 # DEPENDENCYPART_ARC
(6,4),-2.07314 # DEPENDENCYPART_ARC
(6,5),-0.48006 # DEPENDENCYPART_ARC
(6,7),-0.875914 # DEPENDENCYPART_ARC
(6,8),-1.69102 # DEPENDENCYPART_ARC
(6,9),-1.76238 # DEPENDENCYPART_ARC
(6,11),-2.52182 # DEPENDENCYPART_ARC
(6,14),-1.44063 # DEPENDENCYPART_ARC
(7,3),-2.00545 # DEPENDENCYPART_ARC
(7,4),-1.79274 # DEPENDENCYPART_ARC
(7,5),-1.34755 # DEPENDENCYPART_ARC
(7,6),-0.465303 # DEPENDENCYPART_ARC
(7,9),-1.1773 # DEPENDENCYPART_ARC
(8,1),-2.39681 # DEPENDENCYPART_ARC
(8,2),-2.19723 # DEPENDENCYPART_ARC
(8,3),-2.13969 # DEPENDENCYPART_ARC
(8,4),-1.94247 # DEPENDENCYPART_ARC
(8,5),0.685021 # DEPENDENCYPART_ARC
(8,6),0.362045 # DEPENDENCYPART_ARC
(8,7),1.39613 # DEPENDENCYPART_ARC
(8,9),1.34554 # DEPENDENCYPART_ARC
(8,10),-1.10384 # DEPENDENCYPART_ARC
(8,11),-1.17896 # DEPENDENCYPART_ARC
(8,12),-1.69004 # DEPENDENCYPART_ARC
(8,13),-1.85041 # DEPENDENCYPART_ARC
(8,14),-0.904398 # DEPENDENCYPART_ARC
(8,15),-1.05497 # DEPENDENCYPART_ARC
(8,16),-2.47993 # DEPENDENCYPART_ARC
(8,17),-2.25013 # DEPENDENCYPART_ARC
(8,18),-2.28138 # DEPENDENCYPART_ARC
(8,19),-2.14329 # DEPENDENCYPART_ARC
(8,21),-3.0028 # DEPENDENCYPART_ARC
(8,22),-2.21365 # DEPENDENCYPART_ARC
(8,23),-2.3318 # DEPENDENCYPART_ARC
(8,24),-2.32837 # DEPENDENCYPART_ARC
(8,29),-2.6026 # DEPENDENCYPART_ARC
(9,10),0.654049 # DEPENDENCYPART_ARC
(9,11),0.0252727 # DEPENDENCYPART_ARC
(9,12),-1.14262 # DEPENDENCYPART_ARC
(9,13),-0.83185 # DEPENDENCYPART_ARC
(9,15),-1.10523 # DEPENDENCYPART_ARC
(9,17),-3.01375 # DEPENDENCYPART_ARC
(9,18),-3.11305 # DEPENDENCYPART_ARC
(9,22),-1.68382 # DEPENDENCYPART_ARC
(9,28),-2.65927 # DEPENDENCYPART_ARC
(10,5),-2.73844 # DEPENDENCYPART_ARC
(10,11),-0.905013 # DEPENDENCYPART_ARC
(11,5),-2.84588 # DEPENDENCYPART_ARC
(11,6),-2.03053 # DEPENDENCYPART_ARC
(11,7),-1.3769 # DEPENDENCYPART_ARC
(11,8),-1.82274 # DEPENDENCYPART_ARC
(11,10),0.118081 # DEPENDENCYPART_ARC
(11,12),-1.65647 # DEPENDENCYPART_ARC
(11,13),-2.16571 # DEPENDENCYPART_ARC
(11,14),-1.92149 # DEPENDENCYPART_ARC
(12,5),-2.0909 # DEPENDENCYPART_ARC
(12,6),-1.83459 # DEPENDENCYPART_ARC
(12,7),-1.55018 # DEPENDENCYPART_ARC
(12,8),-1.5552 # DEPENDENCYPART_ARC
(12,10),-0.00332708 # DEPENDENCYPART_ARC
(12,11),0.337143 # DEPENDENCYPART_ARC
(12,17),-2.75552 # DEPENDENCYPART_ARC
(13,1),-3.02343 # DEPENDENCYPART_ARC
(13,2),-2.97489 # DEPENDENCYPART_ARC
(13,3),-3.00008 # DEPENDENCYPART_ARC
(13,5),-0.59711 # DEPENDENCYPART_ARC
(13,6),-0.998237 # DEPENDENCYPART_ARC
(13,7),-0.831792 # DEPENDENCYPART_ARC
(13,8),-0.904683 # DEPENDENCYPART_ARC
(13,9),-1.71398 # DEPENDENCYPART_ARC
(13,10),0.462003 # DEPENDENCYPART_ARC
(13,11),0.795411 # DEPENDENCYPART_ARC
(13,12),2.09864 # DEPENDENCYPART_ARC
(13,14),-1.16048 # DEPENDENCYPART_ARC
(13,15),-1.71846 # DEPENDENCYPART_ARC
(13,16),-2.30541 # DEPENDENCYPART_ARC
(13,17),-2.30505 # DEPENDENCYPART_ARC
(13,18),-2.4091 # DEPENDENCYPART_ARC
(13,19),-2.55422 # DEPENDENCYPART_ARC
(13,21),-3.18338 # DEPENDENCYPART_ARC
(13,22),-2.51196 # DEPENDENCYPART_ARC
(13,23),-3.24793 # DEPENDENCYPART_ARC
(15,1),-1.52879 # DEPENDENCYPART_ARC
(15,2),-1.55065 # DEPENDENCYPART_ARC
(15,3),-1.09455 # DEPENDENCYPART_ARC
(15,4),-1.2771 # DEPENDENCYPART_ARC
(15,6),-1.38211 # DEPENDENCYPART_ARC
(15,7),-2.2737 # DEPENDENCYPART_ARC
(15,8),-1.27322 # DEPENDENCYPART_ARC
(15,9),-1.95263 # DEPENDENCYPART_ARC
(15,10),-1.53402 # DEPENDENCYPART_ARC
(15,11),-1.30832 # DEPENDENCYPART_ARC
(15,12),-1.09946 # DEPENDENCYPART_ARC
(15,13),-1.03044 # DEPENDENCYPART_ARC
(15,14),0.115681 # DEPENDENCYPART_ARC
(15,16),-0.460643 # DEPENDENCYPART_ARC
(15,17),-0.89861 # DEPENDENCYPART_ARC
(15,18),-0.86655 # DEPENDENCYPART_ARC
(15,19),-0.157535 # DEPENDENCYPART_ARC
(15,20),-2.51089 # DEPENDENCYPART_ARC
(15,21),-1.86453 # DEPENDENCYPART_ARC
(15,22),0.170065 # DEPENDENCYPART_ARC
(15,23),-1.96249 # DEPENDENCYPART_ARC
(15,24),-1.70881 # DEPENDENCYPART_ARC
(15,29),-1.13969 # DEPENDENCYPART_ARC
(15,32),1.44174 # DEPENDENCYPART_ARC
(16,17),-1.56018 # DEPENDENCYPART_ARC
(16,19),-1.88935 # DEPENDENCYPART_ARC
(17,13),-2.29553 # DEPENDENCYPART_ARC
(17,16),0.467325 # DEPENDENCYPART_ARC
(17,18),0.255453 # DEPENDENCYPART_ARC
(17,19),-0.791486 # DEPENDENCYPART_ARC
(17,20),-2.04578 # DEPENDENCYPART_ARC
(17,21),-1.94923 # DEPENDENCYPART_ARC
(17,22),-1.68304 # DEPENDENCYPART_ARC
(17,23),-2.47179 # DEPENDENCYPART_ARC
(17,24),-2.34195 # DEPENDENCYPART_ARC
(17,28),-3.17187 # DEPENDENCYPART_ARC
(18,2),-5.43779 # DEPENDENCYPART_ARC
(18,3),-5.78559 # DEPENDENCYPART_ARC
(18,5),-3.90395 # DEPENDENCYPART_ARC
(18,7),-3.20794 # DEPENDENCYPART_ARC
(18,8),-2.5515 # DEPENDENCYPART_ARC
(18,10),-2.13264 # DEPENDENCYPART_ARC
(18,11),-2.12078 # DEPENDENCYPART_ARC
(18,12),-1.82085 # DEPENDENCYPART_ARC
(18,13),-1.95329 # DEPENDENCYPART_ARC
(18,14),-2.15396 # DEPENDENCYPART_ARC
(18,15),-1.66099 # DEPENDENCYPART_ARC
(18,16),0.2289 # DEPENDENCYPART_ARC
(18,17),0.395987 # DEPENDENCYPART_ARC
(18,19),-0.38662 # DEPENDENCYPART_ARC
(18,20),-1.76779 # DEPENDENCYPART_ARC
(18,21),-1.77005 # DEPENDENCYPART_ARC
(18,22),-1.37084 # DEPENDENCYPART_ARC
(18,23),-2.12569 # DEPENDENCYPART_ARC
(18,24),-2.26724 # DEPENDENCYPART_ARC
(18,26),-3.02015 # DEPENDENCYPART_ARC
(18,27),-2.58456 # DEPENDENCYPART_ARC
(18,28),-2.56327 # DEPENDENCYPART_ARC
(19,20),-1.1369 # DEPENDENCYPART_ARC
(19,21),0.177956 # DEPENDENCYPART_ARC
(19,22),-0.0261335 # DEPENDENCYPART_ARC
(19,23),-1.43242 # DEPENDENCYPART_ARC
(19,24),-1.43065 # DEPENDENCYPART_ARC
(19,28),-1.04715 # DEPENDENCYPART_ARC
(20,22),-1.43031 # DEPENDENCYPART_ARC
(21,16),-1.65463 # DEPENDENCYPART_ARC
(21,17),-1.63952 # DEPENDENCYPART_ARC
(21,18),-1.46497 # DEPENDENCYPART_ARC
(21,19),-1.38909 # DEPENDENCYPART_ARC
(21,20),1.01278 # DEPENDENCYPART_ARC
(21,22),-0.74406 # DEPENDENCYPART_ARC
(21,23),-1.66623 # DEPENDENCYPART_ARC
(22,1),-1.60269 # DEPENDENCYPART_ARC
(22,2),-1.62123 # DEPENDENCYPART_ARC
(22,3),-1.77976 # DEPENDENCYPART_ARC
(22,4),-0.873004 # DEPENDENCYPART_ARC
(22,6),-1.37418 # DEPENDENCYPART_ARC
(22,7),-2.32016 # DEPENDENCYPART_ARC
(22,8),-1.95293 # DEPENDENCYPART_ARC
(22,9),-1.36569 # DEPENDENCYPART_ARC
(22,10),-1.66933 # DEPENDENCYPART_ARC
(22,12),-1.67589 # DEPENDENCYPART_ARC
(22,13),-1.63001 # DEPENDENCYPART_ARC
(22,14),-1.2195 # DEPENDENCYPART_ARC
(22,15),-1.72269 # DEPENDENCYPART_ARC
(22,16),-1.2326 # DEPENDENCYPART_ARC
(22,17),-1.28239 # DEPENDENCYPART_ARC
(22,18),-1.19021 # DEPENDENCYPART_ARC
(22,19),-1.45929 # DEPENDENCYPART_ARC
(22,20),-1.40629 # DEPENDENCYPART_ARC
(22,21),0.754779 # DEPENDENCYPART_ARC
(22,23),1.93022 # DEPENDENCYPART_ARC
(22,24),-0.423697 # DEPENDENCYPART_ARC
(22,26),-2.10224 # DEPENDENCYPART_ARC
(22,27),-1.64097 # DEPENDENCYPART_ARC
(22,28),-1.87918 # DEPENDENCYPART_ARC
(22,29),-1.51609 # DEPENDENCYPART_ARC
(22,31),-2.20246 # DEPENDENCYPART_ARC
(22,32),-0.285981 # DEPENDENCYPART_ARC
(23,3),-2.53745 # DEPENDENCYPART_ARC
(23,4),-1.89089 # DEPENDENCYPART_ARC
(23,13),-2.15709 # DEPENDENCYPART_ARC
(23,17),-1.98705 # DEPENDENCYPART_ARC
(23,18),-2.00874 # DEPENDENCYPART_ARC
(23,19),-1.48313 # DEPENDENCYPART_ARC
(23,20),-1.61966 # DEPENDENCYPART_ARC
(23,21),-1.63348 # DEPENDENCYPART_ARC
(23,24),1.16328 # DEPENDENCYPART_ARC
(23,25),-1.24726 # DEPENDENCYPART_ARC
(23,26),-1.1874 # DEPENDENCYPART_ARC
(23,27),-0.386722 # DEPENDENCYPART_ARC
(23,28),-0.283692 # DEPENDENCYPART_ARC
(23,29),-0.0938349 # DEPENDENCYPART_ARC
(23,31),-1.03042 # DEPENDENCYPART_ARC
(23,32),-1.3469 # DEPENDENCYPART_ARC
(24,20),-2.09316 # DEPENDENCYPART_ARC
(24,21),-1.94914 # DEPENDENCYPART_ARC
(24,25),-1.88203 # DEPENDENCYPART_ARC
(24,26),-2.04684 # DEPENDENCYPART_ARC
(24,27),-1.82003 # DEPENDENCYPART_ARC
(24,28),-2.21492 # DEPENDENCYPART_ARC
(24,29),-2.24236 # DEPENDENCYPART_ARC
(25,24),-1.7563 # DEPENDENCYPART_ARC
(25,26),-0.806984 # DEPENDENCYPART_ARC
(25,27),-1.56355 # DEPENDENCYPART_ARC
(25,29),-1.70243 # DEPENDENCYPART_ARC
(26,24),-1.61693 # DEPENDENCYPART_ARC
(26,25),-0.693673 # DEPENDENCYPART_ARC
(26,27),-0.856943 # DEPENDENCYPART_ARC
(26,29),-1.32466 # DEPENDENCYPART_ARC
(26,31),-2.34913 # DEPENDENCYPART_ARC
(27,25),-0.75864 # DEPENDENCYPART_ARC
(27,26),0.851568 # DEPENDENCYPART_ARC
(27,28),-1.10572 # DEPENDENCYPART_ARC
(27,29),-1.6553 # DEPENDENCYPART_ARC
(27,31),-2.43972 # DEPENDENCYPART_ARC
(28,20),-2.01192 # DEPENDENCYPART_ARC
(28,21),-1.82081 # DEPENDENCYPART_ARC
(28,23),-1.214 # DEPENDENCYPART_ARC
(28,24),-1.74201 # DEPENDENCYPART_ARC
(28,25),0.968059 # DEPENDENCYPART_ARC
(28,26),-0.0155097 # DEPENDENCYPART_ARC
(28,27),1.38717 # DEPENDENCYPART_ARC
(28,29),0.546729 # DEPENDENCYPART_ARC
(28,31),-1.29225 # DEPENDENCYPART_ARC
(29,28),-1.66576 # DEPENDENCYPART_ARC
(29,31),1.12709 # DEPENDENCYPART_ARC
(31,25),-2.04996 # DEPENDENCYPART_ARC
(31,26),-1.99284 # DEPENDENCYPART_ARC
(31,27),-1.722 # DEPENDENCYPART_ARC
(31,28),-1.86082 # DEPENDENCYPART_ARC
(31,29),-0.989981 # DEPENDENCYPART_ARC
(31,30),2.13128 # DEPENDENCYPART_ARC
(1,2),(1,3),-0.0231425 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0435466 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0367716 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0150293 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0435466 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0112141 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0555277 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0269528 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0112141 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.666065 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.450871 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.08065 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0356994 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.265906 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0669421 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0515327 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0482125 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0338265 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0100447 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0339731 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0247111 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.153179 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0140149 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0304726 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00315397 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0482125 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.260488 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0358345 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0677491 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0964133 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0536651 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0551257 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0724576 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0837174 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0597478 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0457301 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0358345 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0933 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.140314 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.665383 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.333492 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.687638 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.385803 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.661903 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.369714 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.565403 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0646744 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.682783 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00378001 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0418161 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0112769 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0870793 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00447221 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0360739 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00896976 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00154599 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00887175 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0376733 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0327358 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0547932 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0613276 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0438657 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0233402 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0243917 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0749007 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.062698 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0578781 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0780919 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.036736 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0873097 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0478159 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0132099 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00638755 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.289954 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.097893 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.306004 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.26416 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0207874 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0591759 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.149558 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0946506 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0833595 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00953686 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.106064 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.307659 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.218547 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0279391 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.106685 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0809507 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0128088 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.327166 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.00421145 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.682783 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.152178 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.165487 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00461724 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0198132 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0178702 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.083313 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0989448 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0592614 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0724799 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0414359 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0277626 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.165487 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.270345 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0917801 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0228373 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.186555 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00781133 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0317968 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0288397 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0987477 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.117269 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0746665 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0784999 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0568409 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0437206 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.186555 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.282329 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0357899 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0173927 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.107093 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.632397 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.320137 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.558084 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.398217 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.525648 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.35107 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.461729 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.421621 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0101743 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.649896 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.32008 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.451585 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00572648 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.047754 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0204373 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0516482 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0395377 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0390791 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.051359 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0479292 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0111491 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0108679 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0594439 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.03599 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0461308 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0775498 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0380355 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.109493 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0593216 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.129236 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0753995 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0455067 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0833339 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0106143 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.059574 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0894513 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0174948 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.108196 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0287784 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.120028 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.121308 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0539525 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0203664 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0127177 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0399898 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0395441 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.323154 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.08778 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.342535 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.34336 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.236319 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0144857 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0551363 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0763874 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.112346 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.136441 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.115985 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.151715 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.101035 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0260848 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0696066 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.138412 # DEPENDENCYPART_SIBL
