# _root_ A Fidelity spokesman says the 800-line , which already was operating but which many clients did n't know about , received about double the usual volume of calls over the weekend .
#goldHeads=3,3,4,0,6,21,6,10,10,6,10,10,19,15,16,12,16,16,18,6,4,23,26,26,26,21,26,27,21,31,29,4,
#predictedHeads=3,3,4,0,6,4,6,10,10,6,10,10,16,15,16,12,16,16,18,19,19,23,26,26,26,21,26,27,28,31,29,4,
(11,12),0.083222 # DEPENDENCYPART_ARC
(11,13),-1.13471 # DEPENDENCYPART_ARC
(11,14),-1.327 # DEPENDENCYPART_ARC
(11,15),-0.569344 # DEPENDENCYPART_ARC
(11,16),-1.10339 # DEPENDENCYPART_ARC
(11,17),-1.41447 # DEPENDENCYPART_ARC
(11,18),-1.87303 # DEPENDENCYPART_ARC
(11,19),-1.60603 # DEPENDENCYPART_ARC
(11,20),-1.55015 # DEPENDENCYPART_ARC
(11,21),-1.92068 # DEPENDENCYPART_ARC
(11,22),-2.4187 # DEPENDENCYPART_ARC
(11,23),-2.47319 # DEPENDENCYPART_ARC
(11,26),-2.51047 # DEPENDENCYPART_ARC
(11,29),-2.4568 # DEPENDENCYPART_ARC
(12,8),-1.86232 # DEPENDENCYPART_ARC
(12,9),-1.99777 # DEPENDENCYPART_ARC
(12,11),-0.971256 # DEPENDENCYPART_ARC
(12,13),-0.923858 # DEPENDENCYPART_ARC
(12,14),-0.957981 # DEPENDENCYPART_ARC
(12,15),-1.68037 # DEPENDENCYPART_ARC
(12,16),-0.227143 # DEPENDENCYPART_ARC
(12,18),-2.24279 # DEPENDENCYPART_ARC
(13,14),-1.33164 # DEPENDENCYPART_ARC
(13,15),-1.85844 # DEPENDENCYPART_ARC
(14,12),-2.21011 # DEPENDENCYPART_ARC
(14,13),-1.02472 # DEPENDENCYPART_ARC
(14,16),-1.23496 # DEPENDENCYPART_ARC
(14,17),-2.07304 # DEPENDENCYPART_ARC
(15,5),-1.60722 # DEPENDENCYPART_ARC
(15,6),-2.03161 # DEPENDENCYPART_ARC
(15,8),-2.28449 # DEPENDENCYPART_ARC
(15,9),-2.04086 # DEPENDENCYPART_ARC
(15,10),-1.80504 # DEPENDENCYPART_ARC
(15,11),-1.11413 # DEPENDENCYPART_ARC
(15,12),-1.76794 # DEPENDENCYPART_ARC
(15,13),-0.158411 # DEPENDENCYPART_ARC
(15,14),1.69269 # DEPENDENCYPART_ARC
(15,16),-0.889927 # DEPENDENCYPART_ARC
(15,17),-1.77009 # DEPENDENCYPART_ARC
(15,18),-2.24483 # DEPENDENCYPART_ARC
(15,19),-1.24472 # DEPENDENCYPART_ARC
(15,20),-1.71927 # DEPENDENCYPART_ARC
(16,2),-1.9701 # DEPENDENCYPART_ARC
(16,3),-1.5798 # DEPENDENCYPART_ARC
(16,4),-1.71188 # DEPENDENCYPART_ARC
(16,6),-1.27392 # DEPENDENCYPART_ARC
(16,7),-2.4182 # DEPENDENCYPART_ARC
(16,8),-0.962565 # DEPENDENCYPART_ARC
(16,9),-1.49317 # DEPENDENCYPART_ARC
(16,10),-1.4828 # DEPENDENCYPART_ARC
(16,11),-1.61458 # DEPENDENCYPART_ARC
(16,12),-1.4094 # DEPENDENCYPART_ARC
(16,13),-0.112201 # DEPENDENCYPART_ARC
(16,14),-1.03845 # DEPENDENCYPART_ARC
(16,15),0.85565 # DEPENDENCYPART_ARC
(16,17),1.09056 # DEPENDENCYPART_ARC
(16,18),0.656222 # DEPENDENCYPART_ARC
(16,19),-0.654265 # DEPENDENCYPART_ARC
(16,20),-0.825185 # DEPENDENCYPART_ARC
(16,21),-0.678072 # DEPENDENCYPART_ARC
(16,22),-1.49624 # DEPENDENCYPART_ARC
(16,23),-1.61745 # DEPENDENCYPART_ARC
(16,26),-1.75054 # DEPENDENCYPART_ARC
(16,29),-2.35277 # DEPENDENCYPART_ARC
(16,31),-2.52862 # DEPENDENCYPART_ARC
(16,32),-0.385608 # DEPENDENCYPART_ARC
(17,15),-1.75148 # DEPENDENCYPART_ARC
(17,18),-1.43187 # DEPENDENCYPART_ARC
(17,19),-1.74245 # DEPENDENCYPART_ARC
(18,3),-2.35149 # DEPENDENCYPART_ARC
(18,4),-2.41281 # DEPENDENCYPART_ARC
(18,7),-2.44103 # DEPENDENCYPART_ARC
(18,8),-1.23363 # DEPENDENCYPART_ARC
(18,9),-2.11404 # DEPENDENCYPART_ARC
(18,11),-1.98991 # DEPENDENCYPART_ARC
(18,13),-0.893513 # DEPENDENCYPART_ARC
(18,14),-1.70324 # DEPENDENCYPART_ARC
(18,15),-0.802628 # DEPENDENCYPART_ARC
(18,17),-0.699853 # DEPENDENCYPART_ARC
(18,19),0.715124 # DEPENDENCYPART_ARC
(18,20),-1.1198 # DEPENDENCYPART_ARC
(18,21),-0.716424 # DEPENDENCYPART_ARC
(18,22),-1.00385 # DEPENDENCYPART_ARC
(18,23),-1.30385 # DEPENDENCYPART_ARC
(18,26),-1.70667 # DEPENDENCYPART_ARC
(18,27),-1.32599 # DEPENDENCYPART_ARC
(18,28),-1.91195 # DEPENDENCYPART_ARC
(18,29),-1.15639 # DEPENDENCYPART_ARC
(18,32),-1.19209 # DEPENDENCYPART_ARC
(19,17),-1.38108 # DEPENDENCYPART_ARC
(19,18),-0.763272 # DEPENDENCYPART_ARC
(19,20),-0.65061 # DEPENDENCYPART_ARC
(19,21),-0.953107 # DEPENDENCYPART_ARC
(19,22),-2.13548 # DEPENDENCYPART_ARC
(19,23),-2.23648 # DEPENDENCYPART_ARC
(19,26),-1.9444 # DEPENDENCYPART_ARC
(19,27),-1.91578 # DEPENDENCYPART_ARC
(19,29),-2.40096 # DEPENDENCYPART_ARC
(21,3),-2.57271 # DEPENDENCYPART_ARC
(21,4),-2.07187 # DEPENDENCYPART_ARC
(21,6),-2.6905 # DEPENDENCYPART_ARC
(21,8),-2.04845 # DEPENDENCYPART_ARC
(21,9),-2.36966 # DEPENDENCYPART_ARC
(21,11),-2.04974 # DEPENDENCYPART_ARC
(21,13),-1.82137 # DEPENDENCYPART_ARC
(21,15),-1.8762 # DEPENDENCYPART_ARC
(21,17),-1.67681 # DEPENDENCYPART_ARC
(21,18),-1.8449 # DEPENDENCYPART_ARC
(21,19),-1.61081 # DEPENDENCYPART_ARC
(21,20),-1.33216 # DEPENDENCYPART_ARC
(21,22),0.143189 # DEPENDENCYPART_ARC
(21,23),-0.533396 # DEPENDENCYPART_ARC
(21,24),-1.93637 # DEPENDENCYPART_ARC
(21,25),-1.35873 # DEPENDENCYPART_ARC
(21,26),-0.654204 # DEPENDENCYPART_ARC
(21,27),-0.787059 # DEPENDENCYPART_ARC
(21,28),-1.35619 # DEPENDENCYPART_ARC
(21,29),-0.778968 # DEPENDENCYPART_ARC
(21,31),-1.38031 # DEPENDENCYPART_ARC
(21,32),-0.973907 # DEPENDENCYPART_ARC
(22,19),-1.10324 # DEPENDENCYPART_ARC
(22,21),-1.08631 # DEPENDENCYPART_ARC
(22,23),-0.086966 # DEPENDENCYPART_ARC
(22,24),-1.51625 # DEPENDENCYPART_ARC
(22,25),-1.1431 # DEPENDENCYPART_ARC
(22,26),-1.63636 # DEPENDENCYPART_ARC
(22,27),-1.19906 # DEPENDENCYPART_ARC
(22,28),-2.01627 # DEPENDENCYPART_ARC
(22,29),-1.50235 # DEPENDENCYPART_ARC
(22,31),-2.45471 # DEPENDENCYPART_ARC
(23,19),-1.11215 # DEPENDENCYPART_ARC
(23,20),-1.61031 # DEPENDENCYPART_ARC
(23,21),-1.58586 # DEPENDENCYPART_ARC
(23,22),-0.278171 # DEPENDENCYPART_ARC
(23,24),-1.27105 # DEPENDENCYPART_ARC
(23,25),-1.18088 # DEPENDENCYPART_ARC
(23,26),-1.82012 # DEPENDENCYPART_ARC
(23,27),-1.37155 # DEPENDENCYPART_ARC
(23,28),-2.14867 # DEPENDENCYPART_ARC
(23,29),-1.56862 # DEPENDENCYPART_ARC
(24,22),-2.19619 # DEPENDENCYPART_ARC
(24,23),-1.42999 # DEPENDENCYPART_ARC
(25,22),-1.62381 # DEPENDENCYPART_ARC
(25,23),-1.20525 # DEPENDENCYPART_ARC
(25,24),-0.675002 # DEPENDENCYPART_ARC
(25,27),-1.33575 # DEPENDENCYPART_ARC
(26,19),-1.48244 # DEPENDENCYPART_ARC
(26,21),-1.5505 # DEPENDENCYPART_ARC
(26,22),-0.740575 # DEPENDENCYPART_ARC
(26,23),-0.149227 # DEPENDENCYPART_ARC
(26,24),1.20996 # DEPENDENCYPART_ARC
(26,25),1.88451 # DEPENDENCYPART_ARC
(26,27),1.058 # DEPENDENCYPART_ARC
(26,28),-0.577089 # DEPENDENCYPART_ARC
(26,29),-0.0705095 # DEPENDENCYPART_ARC
(26,31),-1.44631 # DEPENDENCYPART_ARC
(26,32),-1.68378 # DEPENDENCYPART_ARC
(27,28),1.63633 # DEPENDENCYPART_ARC
(27,29),-1.62602 # DEPENDENCYPART_ARC
(27,31),-1.31353 # DEPENDENCYPART_ARC
(28,24),-1.56436 # DEPENDENCYPART_ARC
(28,25),-1.52401 # DEPENDENCYPART_ARC
(28,29),0.437287 # DEPENDENCYPART_ARC
(28,31),-1.23441 # DEPENDENCYPART_ARC
(29,26),-1.8135 # DEPENDENCYPART_ARC
(29,27),-1.69625 # DEPENDENCYPART_ARC
(29,28),-1.29557 # DEPENDENCYPART_ARC
(29,30),-1.32107 # DEPENDENCYPART_ARC
(29,31),0.75697 # DEPENDENCYPART_ARC
(31,27),-1.79913 # DEPENDENCYPART_ARC
(31,28),-1.55589 # DEPENDENCYPART_ARC
(31,30),1.41647 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.99215 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.75082 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.752287 # DEPENDENCYPART_SIBL
(0,4),(0,10),-1.56441 # DEPENDENCYPART_SIBL
(0,4),(0,16),-1.51475 # DEPENDENCYPART_SIBL
(0,10),(0,16),-1.79847 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0682982 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.034619 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.106909 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0432872 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.168513 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.105916 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0160596 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.259378 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00364751 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.046232 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.284498 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0195856 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.281798 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.253342 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0244524 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0577163 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.311829 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.160419 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.230148 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0355884 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.47412 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.19504 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.233121 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0387684 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0414039 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0732547 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00473037 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0972183 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0133189 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00569461 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0724533 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0236142 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0196774 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0555726 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0230947 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.263339 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.149204 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0261841 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.148679 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0390572 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0237252 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0780703 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0812278 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.475927 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.658115 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.313894 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00509318 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.379 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.115467 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.159299 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.133999 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.158469 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.128603 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0835679 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.101704 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.108839 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0624094 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0252431 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0154698 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.101704 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.194134 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0649005 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0346681 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.122523 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0835679 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0075938 # DEPENDENCYPART_SIBL
(4,1),(4,32),-0.0614138 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.328135 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0920861 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0903041 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.110004 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0715747 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0810906 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0330414 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0346449 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00491323 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0715747 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.163791 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.046558 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0832151 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0112956 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.110004 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0470789 # DEPENDENCYPART_SIBL
(4,2),(4,32),0.210853 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0777214 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.040569 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0531204 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.032121 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.11114 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0973931 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0589798 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0842618 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.032121 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0680986 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0886973 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.10874 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0112821 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0531204 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0152145 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.311396 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.248679 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.157193 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.108811 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.140852 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.152481 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0721975 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.202566 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.108811 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.180542 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.142375 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.16203 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.133272 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.157193 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.132839 # DEPENDENCYPART_SIBL
(4,5),(4,32),-0.243852 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0219756 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.14455 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0424892 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0773021 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00963593 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.119932 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.14455 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.354583 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.144393 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0727904 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0816047 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0219756 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.138776 # DEPENDENCYPART_SIBL
(4,6),(4,32),-0.200054 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.223097 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0121459 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.177431 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.559005 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.666756 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.223097 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.109539 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0383336 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0819417 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.021993 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.333295 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.13544 # DEPENDENCYPART_SIBL
(4,7),(4,32),-0.347156 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0981388 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0974495 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0153035 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0860633 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0809742 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.249036 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.116595 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.119818 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0837199 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.187492 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.125617 # DEPENDENCYPART_SIBL
(4,8),(4,32),-0.188665 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0471234 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.154517 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0160372 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0310027 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00575876 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0343756 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0336576 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.156982 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.125734 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.158266 # DEPENDENCYPART_SIBL
(4,9),(4,32),0.056649 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0247884 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.00819084 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.116235 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.249564 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.464555 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.171687 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.132605 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0855255 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.203692 # DEPENDENCYPART_SIBL
(4,10),(4,32),-0.0085128 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0837769 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.115725 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.294084 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.173433 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.176691 # DEPENDENCYPART_SIBL
