# _root_ Gatoil Suisse owns an oil refinery in Switzerland with a capacity of 70,000 barrels a day , along with a network of gasoline retailing outlets .
#goldHeads=2,3,0,6,6,3,6,7,6,11,9,11,14,12,16,14,3,3,18,21,19,21,25,25,22,3,
#predictedHeads=2,3,0,6,6,3,6,7,3,11,9,11,14,12,16,14,14,14,18,21,19,21,25,25,22,3,
(19,21),0.493934 # DEPENDENCYPART_ARC
(19,22),-1.2656 # DEPENDENCYPART_ARC
(19,23),-1.23009 # DEPENDENCYPART_ARC
(19,24),-0.749841 # DEPENDENCYPART_ARC
(19,25),-1.83292 # DEPENDENCYPART_ARC
(20,22),-1.54994 # DEPENDENCYPART_ARC
(21,18),-1.65134 # DEPENDENCYPART_ARC
(21,19),-1.51144 # DEPENDENCYPART_ARC
(21,20),1.41756 # DEPENDENCYPART_ARC
(21,22),0.939845 # DEPENDENCYPART_ARC
(21,23),-0.790469 # DEPENDENCYPART_ARC
(21,24),-0.599406 # DEPENDENCYPART_ARC
(21,25),-1.2085 # DEPENDENCYPART_ARC
(22,23),1.46525 # DEPENDENCYPART_ARC
(22,24),-0.45532 # DEPENDENCYPART_ARC
(22,25),0.00224652 # DEPENDENCYPART_ARC
(23,20),-1.35447 # DEPENDENCYPART_ARC
(23,21),-1.33409 # DEPENDENCYPART_ARC
(23,22),-0.976668 # DEPENDENCYPART_ARC
(23,24),-0.213107 # DEPENDENCYPART_ARC
(23,25),-1.22229 # DEPENDENCYPART_ARC
(24,6),-2.38382 # DEPENDENCYPART_ARC
(24,14),-1.97547 # DEPENDENCYPART_ARC
(24,16),-2.07086 # DEPENDENCYPART_ARC
(24,19),-1.83605 # DEPENDENCYPART_ARC
(24,21),-1.23681 # DEPENDENCYPART_ARC
(24,22),-1.41943 # DEPENDENCYPART_ARC
(24,23),-0.731529 # DEPENDENCYPART_ARC
(24,25),0.32476 # DEPENDENCYPART_ARC
(25,20),-1.76465 # DEPENDENCYPART_ARC
(25,21),-1.5435 # DEPENDENCYPART_ARC
(25,22),-1.59024 # DEPENDENCYPART_ARC
(25,23),0.174063 # DEPENDENCYPART_ARC
(25,24),0.498657 # DEPENDENCYPART_ARC
(26,25),-2.55393 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.634671 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0374772 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0600347 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0295134 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00485948 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0155439 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.00611799 # DEPENDENCYPART_SIBL
(1,2),(1,26),0.00564001 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.051527 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0547294 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0478613 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0121404 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.29594 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.172288 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0194968 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.00737997 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00512 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.228322 # DEPENDENCYPART_SIBL
(1,6),(1,26),0.0763845 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0614722 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0390407 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0259492 # DEPENDENCYPART_SIBL
(1,7),(1,26),-0.00169471 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.00676018 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.00175075 # DEPENDENCYPART_SIBL
(1,8),(1,26),0.0128721 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.208884 # DEPENDENCYPART_SIBL
(1,9),(1,26),0.0825885 # DEPENDENCYPART_SIBL
(1,17),(1,26),0.00426558 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.010494 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00404519 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0057949 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.069542 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0529205 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0802137 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00401936 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0333517 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0102113 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0421239 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.053766 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0547206 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0419529 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0121335 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0535534 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.289301 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.172268 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.299214 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00325833 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00860765 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00244627 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.299425 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.25806 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0632223 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0190802 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00106389 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00470536 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.29993 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.220457 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0759603 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0517608 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0426984 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0460898 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0411003 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.00535804 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00676392 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0550516 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.00838632 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.0128616 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0663185 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.193771 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0789621 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.205987 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.0633673 # DEPENDENCYPART_SIBL
(2,17),(2,26),0.00100658 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.376345 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0523362 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0116608 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0355929 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.000317237 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0228335 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.000725429 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.000415854 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.130871 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0342183 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00141059 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0320704 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0556504 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.000725429 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0192796 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0394196 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.0393696 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0526145 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0117357 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0356678 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00156438 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0326758 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00106034 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.000490758 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.1306 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0336112 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.00133568 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0362031 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0553155 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.00106034 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0195477 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0388125 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0416562 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.149452 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.141174 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.159911 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.165987 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0459258 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.155191 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.107189 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.149736 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.146515 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0590215 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0871596 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0459258 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0525872 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.153617 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.0931464 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.232718 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0363808 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.14309 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.101769 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.247211 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00787755 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.265491 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.210823 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0406464 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0151191 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.101769 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0194182 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.267055 # DEPENDENCYPART_SIBL
(3,5),(3,26),0.00554581 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0668477 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.130243 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.124152 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.227261 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0370277 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.253153 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.190872 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0495908 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0407588 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.124152 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0411065 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.254717 # DEPENDENCYPART_SIBL
(3,6),(3,26),0.0518806 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.179974 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0966104 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.102795 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.220955 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.177655 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0422904 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0574943 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0930936 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0966104 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0484729 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.17797 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.124689 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0429781 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.168221 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.01106 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.193806 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.154353 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.00456909 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.00877218 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0429781 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0102729 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.196885 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.0165919 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.141666 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.261516 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.261888 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0892896 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0388715 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.148417 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.127437 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.0063431 # DEPENDENCYPART_SIBL
(3,9),(3,25),-0.26216 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.0108682 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0236603 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.270006 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.210028 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0173105 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0302516 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.11364 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.0232234 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.27157 # DEPENDENCYPART_SIBL
(3,11),(3,26),0.00627143 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.111916 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0117789 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0617047 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.18528 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.120735 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.0401211 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.116169 # DEPENDENCYPART_SIBL
(3,12),(3,26),-0.0896682 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.149726 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0320349 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.005883 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0306985 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0408525 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.3725 # DEPENDENCYPART_SIBL
(3,14),(3,26),-0.031749 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0648871 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.00474274 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0779851 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0101803 # DEPENDENCYPART_SIBL
(3,16),(3,25),-0.276725 # DEPENDENCYPART_SIBL
(3,16),(3,26),-0.00674104 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.193924 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.410175 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.557021 # DEPENDENCYPART_SIBL
(3,17),(3,25),-0.0331243 # DEPENDENCYPART_SIBL
(3,17),(3,26),-0.0554491 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.17855 # DEPENDENCYPART_SIBL
(3,18),(3,24),-0.0121051 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.226059 # DEPENDENCYPART_SIBL
(3,18),(3,26),-0.083022 # DEPENDENCYPART_SIBL
(3,19),(3,24),-0.0063431 # DEPENDENCYPART_SIBL
(3,19),(3,25),-0.26216 # DEPENDENCYPART_SIBL
(3,19),(3,26),-0.0108682 # DEPENDENCYPART_SIBL
(3,24),(3,25),-0.297073 # DEPENDENCYPART_SIBL
(3,24),(3,26),0.0417023 # DEPENDENCYPART_SIBL
(3,25),(3,26),0.0230199 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00853368 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0672831 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0258812 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0222416 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0178601 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0240716 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.389441 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.011115 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.081459 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0129737 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0236131 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0290449 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.134963 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0296532 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.134863 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0982347 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.185258 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0139021 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.328286 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00946609 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0694856 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0192446 # DEPENDENCYPART_SIBL
