# _root_ Texas Air Corp. , which owns Continental , and the Air Transport Association were prominent in the lobbying .
#goldHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
#predictedHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
(9,11),-0.99995 # DEPENDENCYPART_ARC
(9,12),-1.7164 # DEPENDENCYPART_ARC
(9,13),-1.43445 # DEPENDENCYPART_ARC
(9,14),0.615831 # DEPENDENCYPART_ARC
(9,15),-2.2824 # DEPENDENCYPART_ARC
(9,16),-1.95342 # DEPENDENCYPART_ARC
(9,17),-3.3264 # DEPENDENCYPART_ARC
(9,18),-1.69016 # DEPENDENCYPART_ARC
(9,19),-1.88234 # DEPENDENCYPART_ARC
(10,11),-2.08227 # DEPENDENCYPART_ARC
(11,10),-1.34987 # DEPENDENCYPART_ARC
(11,12),-1.89153 # DEPENDENCYPART_ARC
(11,15),-2.81212 # DEPENDENCYPART_ARC
(12,7),-3.47852 # DEPENDENCYPART_ARC
(12,8),-2.92977 # DEPENDENCYPART_ARC
(12,10),-1.00363 # DEPENDENCYPART_ARC
(12,11),-0.888699 # DEPENDENCYPART_ARC
(12,13),-0.645166 # DEPENDENCYPART_ARC
(12,14),-2.2509 # DEPENDENCYPART_ARC
(12,15),-2.61911 # DEPENDENCYPART_ARC
(12,16),-2.78424 # DEPENDENCYPART_ARC
(13,1),-3.43144 # DEPENDENCYPART_ARC
(13,2),-3.58755 # DEPENDENCYPART_ARC
(13,3),-3.87272 # DEPENDENCYPART_ARC
(13,4),-2.70633 # DEPENDENCYPART_ARC
(13,5),-3.00786 # DEPENDENCYPART_ARC
(13,6),-2.19727 # DEPENDENCYPART_ARC
(13,7),-2.58179 # DEPENDENCYPART_ARC
(13,8),-1.49486 # DEPENDENCYPART_ARC
(13,9),-1.68797 # DEPENDENCYPART_ARC
(13,10),0.926257 # DEPENDENCYPART_ARC
(13,11),1.10515 # DEPENDENCYPART_ARC
(13,12),1.44823 # DEPENDENCYPART_ARC
(13,14),-1.30546 # DEPENDENCYPART_ARC
(13,15),-1.73978 # DEPENDENCYPART_ARC
(13,16),-2.00746 # DEPENDENCYPART_ARC
(13,17),-2.88813 # DEPENDENCYPART_ARC
(13,18),-2.58457 # DEPENDENCYPART_ARC
(13,19),-2.79822 # DEPENDENCYPART_ARC
(14,1),-1.65628 # DEPENDENCYPART_ARC
(14,2),-1.67297 # DEPENDENCYPART_ARC
(14,3),-2.04311 # DEPENDENCYPART_ARC
(14,4),-2.56119 # DEPENDENCYPART_ARC
(14,5),-1.30948 # DEPENDENCYPART_ARC
(14,6),-1.94357 # DEPENDENCYPART_ARC
(14,7),-1.44387 # DEPENDENCYPART_ARC
(14,8),-1.95357 # DEPENDENCYPART_ARC
(14,9),-1.73941 # DEPENDENCYPART_ARC
(14,10),-2.06661 # DEPENDENCYPART_ARC
(14,11),-1.21134 # DEPENDENCYPART_ARC
(14,12),-0.871574 # DEPENDENCYPART_ARC
(14,13),0.300637 # DEPENDENCYPART_ARC
(14,15),0.941677 # DEPENDENCYPART_ARC
(14,16),0.372653 # DEPENDENCYPART_ARC
(14,17),-1.847 # DEPENDENCYPART_ARC
(14,18),-0.593596 # DEPENDENCYPART_ARC
(14,19),-0.36596 # DEPENDENCYPART_ARC
(15,2),-2.68346 # DEPENDENCYPART_ARC
(15,10),-1.87261 # DEPENDENCYPART_ARC
(15,12),-1.65446 # DEPENDENCYPART_ARC
(15,13),-1.38215 # DEPENDENCYPART_ARC
(15,16),0.137611 # DEPENDENCYPART_ARC
(15,17),-1.57218 # DEPENDENCYPART_ARC
(15,18),-1.02394 # DEPENDENCYPART_ARC
(15,19),-1.72444 # DEPENDENCYPART_ARC
(16,13),-2.41573 # DEPENDENCYPART_ARC
(16,15),-1.74267 # DEPENDENCYPART_ARC
(16,17),-0.937545 # DEPENDENCYPART_ARC
(16,18),-0.0783312 # DEPENDENCYPART_ARC
(16,19),-1.7746 # DEPENDENCYPART_ARC
(17,16),-1.99317 # DEPENDENCYPART_ARC
(17,18),-1.51176 # DEPENDENCYPART_ARC
(18,2),-2.38028 # DEPENDENCYPART_ARC
(18,5),-1.51424 # DEPENDENCYPART_ARC
(18,6),-2.12157 # DEPENDENCYPART_ARC
(18,13),-1.92548 # DEPENDENCYPART_ARC
(18,15),-1.71245 # DEPENDENCYPART_ARC
(18,16),-1.23434 # DEPENDENCYPART_ARC
(18,17),-0.404829 # DEPENDENCYPART_ARC
(18,19),-1.69501 # DEPENDENCYPART_ARC
(19,17),-2.76514 # DEPENDENCYPART_ARC
(19,18),-2.01367 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.224931 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.26406 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.638885 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0874291 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.780003 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.258583 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.634727 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0794254 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.775021 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.653286 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0287105 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.814524 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.433777 # DEPENDENCYPART_SIBL
(0,6),(0,14),-1.41785 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.648051 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.245158 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0382373 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0233803 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0751226 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0382373 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0457113 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0756524 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0877832 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0711559 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0756524 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.156302 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.477575 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.658558 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.00557154 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.391086 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00992532 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.275835 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0531336 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0402641 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0352088 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.391086 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.288546 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.141685 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0298445 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0588364 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0474232 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.141685 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.157945 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0109322 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0098974 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00550788 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0506344 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0231289 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0221886 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0858359 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0109322 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00351982 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0583598 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.064751 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0790618 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0774363 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0600898 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.064751 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.127723 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0323032 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0653098 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0579244 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0779488 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0191808 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00437677 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0216646 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0323032 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.104387 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.170815 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00523321 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.541925 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.706536 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.142533 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.42875 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0641032 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.715552 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.704022 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.748463 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.462298 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.349209 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.235552 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0641032 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.407327 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0154446 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0367193 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0227238 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0305377 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0870702 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0848999 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0175384 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0248953 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00784633 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0374874 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0516249 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0318766 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0848999 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0984118 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0794842 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00111036 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.319138 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0416853 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0344325 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0223712 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00850004 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0247845 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.120802 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0177945 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0544506 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0344325 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0273842 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.168797 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0425783 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0619718 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.084381 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0819646 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0893439 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0693098 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.074311 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0651957 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0519939 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.084381 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.167929 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0189399 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.42875 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0641032 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.715552 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.704022 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.748463 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.462298 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.349209 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.235552 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0641032 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.407327 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0154446 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0344015 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00343556 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00895878 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0011876 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.087029 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.00670015 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.115522 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0344015 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0633022 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.171652 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00233716 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00501574 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0120331 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.00979109 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.152006 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0271411 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0525783 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0974971 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0476168 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0860618 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0660276 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0719773 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0628489 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.028024 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0822175 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.161334 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0202658 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0600214 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0686464 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0582035 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0450134 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0773885 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.160936 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0139142 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.090036 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0797935 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0662006 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0990006 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.18477 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.051219 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0367596 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0305346 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0472221 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0596143 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0457632 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0895268 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0675522 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.107826 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0245989 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.0775386 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0654621 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.00884077 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0974971 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0476168 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.168714 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.343296 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.136807 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0817225 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.141546 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0618549 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.136807 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.273344 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0400263 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.125418 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0553254 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.303341 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.120813 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.16868 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.145395 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.303341 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.282902 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0383851 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.150221 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.106204 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0668323 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.431116 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.468383 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0902474 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.386612 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.504574 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.37967 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0280544 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0503848 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0776583 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0370165 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0686089 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0666054 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0406147 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.027982 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0467889 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.383267 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0614464 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0288515 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.122624 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.221805 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.147811 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0362822 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0564273 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00157046 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.138389 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.386612 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.504574 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.37967 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0280544 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0190312 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.123501 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0857087 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0192078 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.104197 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0916293 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.050502 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0221974 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0047389 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0586341 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0293559 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00714315 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.038493 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0949079 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.124473 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0851965 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0688786 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00341228 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0147466 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0250937 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.2919 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.373112 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.387261 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0424824 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.308781 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00488136 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0612635 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0466493 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0240234 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0155848 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0319236 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0322657 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0337974 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0225577 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.09504 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0227327 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.015396 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.400918 # DEPENDENCYPART_SIBL
