# _root_ The 7 1\/8 % issue of Triborough Bridge and Tunnel Authority of New York , due 2019 , was off 5\/8 at 98 1\/8 bid .
#goldHeads=5,3,5,3,19,5,8,6,8,11,9,8,14,12,5,5,16,5,0,19,20,19,24,25,22,19,
#predictedHeads=5,3,5,3,19,5,8,6,8,11,9,11,14,12,5,5,16,19,0,19,20,19,24,22,24,19,
(6,11),-0.839852 # DEPENDENCYPART_ARC
(6,14),-1.22193 # DEPENDENCYPART_ARC
(7,5),-2.54585 # DEPENDENCYPART_ARC
(7,8),-0.764194 # DEPENDENCYPART_ARC
(7,9),-0.488366 # DEPENDENCYPART_ARC
(7,11),-2.72594 # DEPENDENCYPART_ARC
(7,12),-1.53942 # DEPENDENCYPART_ARC
(7,15),-1.73991 # DEPENDENCYPART_ARC
(7,18),-1.7052 # DEPENDENCYPART_ARC
(7,26),-2.41526 # DEPENDENCYPART_ARC
(8,1),-2.28681 # DEPENDENCYPART_ARC
(8,2),-2.54438 # DEPENDENCYPART_ARC
(8,3),-1.83046 # DEPENDENCYPART_ARC
(8,4),-0.921891 # DEPENDENCYPART_ARC
(8,5),-1.17598 # DEPENDENCYPART_ARC
(8,6),-1.46948 # DEPENDENCYPART_ARC
(8,7),1.51508 # DEPENDENCYPART_ARC
(8,9),1.57334 # DEPENDENCYPART_ARC
(8,10),-1.55742 # DEPENDENCYPART_ARC
(8,11),-1.4227 # DEPENDENCYPART_ARC
(8,12),-0.50728 # DEPENDENCYPART_ARC
(8,14),-1.78404 # DEPENDENCYPART_ARC
(8,15),-0.653354 # DEPENDENCYPART_ARC
(8,17),-2.95294 # DEPENDENCYPART_ARC
(8,18),-0.475834 # DEPENDENCYPART_ARC
(8,19),-2.3184 # DEPENDENCYPART_ARC
(8,26),-1.6172 # DEPENDENCYPART_ARC
(9,10),0.435664 # DEPENDENCYPART_ARC
(9,11),-0.236745 # DEPENDENCYPART_ARC
(9,12),-1.599 # DEPENDENCYPART_ARC
(9,13),-2.02125 # DEPENDENCYPART_ARC
(9,14),-1.61302 # DEPENDENCYPART_ARC
(9,15),-0.743603 # DEPENDENCYPART_ARC
(9,16),-2.48206 # DEPENDENCYPART_ARC
(9,19),-1.48659 # DEPENDENCYPART_ARC
(9,25),-2.3288 # DEPENDENCYPART_ARC
(10,11),-1.19573 # DEPENDENCYPART_ARC
(10,12),-1.42971 # DEPENDENCYPART_ARC
(10,14),-2.40995 # DEPENDENCYPART_ARC
(10,18),-2.19134 # DEPENDENCYPART_ARC
(11,1),-2.99665 # DEPENDENCYPART_ARC
(11,2),-3.17222 # DEPENDENCYPART_ARC
(11,3),-3.13163 # DEPENDENCYPART_ARC
(11,4),-2.41816 # DEPENDENCYPART_ARC
(11,5),-2.86161 # DEPENDENCYPART_ARC
(11,7),-1.09374 # DEPENDENCYPART_ARC
(11,8),-1.57912 # DEPENDENCYPART_ARC
(11,9),-1.60269 # DEPENDENCYPART_ARC
(11,10),1.25114 # DEPENDENCYPART_ARC
(11,12),0.496578 # DEPENDENCYPART_ARC
(11,13),-1.40171 # DEPENDENCYPART_ARC
(11,14),-0.926414 # DEPENDENCYPART_ARC
(11,15),-0.852224 # DEPENDENCYPART_ARC
(11,16),-1.83014 # DEPENDENCYPART_ARC
(11,17),-2.53593 # DEPENDENCYPART_ARC
(11,18),-0.82112 # DEPENDENCYPART_ARC
(11,19),-2.09073 # DEPENDENCYPART_ARC
(11,20),-2.32666 # DEPENDENCYPART_ARC
(11,21),-3.52233 # DEPENDENCYPART_ARC
(11,22),-2.49855 # DEPENDENCYPART_ARC
(11,24),-4.491 # DEPENDENCYPART_ARC
(11,26),-1.07776 # DEPENDENCYPART_ARC
(12,13),0.0332646 # DEPENDENCYPART_ARC
(12,14),0.55477 # DEPENDENCYPART_ARC
(12,16),-2.46006 # DEPENDENCYPART_ARC
(12,17),-2.16385 # DEPENDENCYPART_ARC
(12,21),-2.97596 # DEPENDENCYPART_ARC
(13,10),-2.61367 # DEPENDENCYPART_ARC
(13,11),-2.34917 # DEPENDENCYPART_ARC
(13,14),-1.0166 # DEPENDENCYPART_ARC
(13,15),-1.77145 # DEPENDENCYPART_ARC
(13,16),-2.32078 # DEPENDENCYPART_ARC
(13,17),-2.38788 # DEPENDENCYPART_ARC
(13,18),-1.79585 # DEPENDENCYPART_ARC
(13,26),-2.24388 # DEPENDENCYPART_ARC
(14,5),-3.4029 # DEPENDENCYPART_ARC
(14,7),-2.89327 # DEPENDENCYPART_ARC
(14,8),-3.64644 # DEPENDENCYPART_ARC
(14,10),-1.0077 # DEPENDENCYPART_ARC
(14,11),-1.41407 # DEPENDENCYPART_ARC
(14,12),-1.5064 # DEPENDENCYPART_ARC
(14,13),1.53353 # DEPENDENCYPART_ARC
(14,15),-0.627184 # DEPENDENCYPART_ARC
(14,16),-1.56442 # DEPENDENCYPART_ARC
(14,17),-1.91996 # DEPENDENCYPART_ARC
(14,18),-0.687045 # DEPENDENCYPART_ARC
(14,19),-2.41343 # DEPENDENCYPART_ARC
(14,20),-2.63372 # DEPENDENCYPART_ARC
(14,24),-4.46394 # DEPENDENCYPART_ARC
(14,26),-1.97081 # DEPENDENCYPART_ARC
(16,8),-2.69253 # DEPENDENCYPART_ARC
(16,11),-2.37511 # DEPENDENCYPART_ARC
(16,13),-1.4452 # DEPENDENCYPART_ARC
(16,14),-1.39177 # DEPENDENCYPART_ARC
(16,15),-1.18293 # DEPENDENCYPART_ARC
(16,17),-0.00508568 # DEPENDENCYPART_ARC
(16,18),-1.08323 # DEPENDENCYPART_ARC
(16,19),-0.818422 # DEPENDENCYPART_ARC
(16,20),-1.5061 # DEPENDENCYPART_ARC
(16,21),-1.68424 # DEPENDENCYPART_ARC
(16,22),-1.11581 # DEPENDENCYPART_ARC
(16,23),-1.8938 # DEPENDENCYPART_ARC
(16,24),-1.92916 # DEPENDENCYPART_ARC
(16,25),-1.95549 # DEPENDENCYPART_ARC
(16,26),-1.76093 # DEPENDENCYPART_ARC
(17,2),-2.68459 # DEPENDENCYPART_ARC
(17,3),-3.03305 # DEPENDENCYPART_ARC
(17,5),-3.14113 # DEPENDENCYPART_ARC
(17,12),-1.77261 # DEPENDENCYPART_ARC
(17,15),-1.50987 # DEPENDENCYPART_ARC
(17,16),-0.53273 # DEPENDENCYPART_ARC
(17,18),-1.08746 # DEPENDENCYPART_ARC
(17,19),-1.18895 # DEPENDENCYPART_ARC
(17,20),-1.85735 # DEPENDENCYPART_ARC
(17,21),-2.43719 # DEPENDENCYPART_ARC
(17,22),-2.09763 # DEPENDENCYPART_ARC
(17,24),-2.98098 # DEPENDENCYPART_ARC
(17,25),-2.67682 # DEPENDENCYPART_ARC
(19,2),-2.46642 # DEPENDENCYPART_ARC
(19,3),-2.50294 # DEPENDENCYPART_ARC
(19,4),-1.95105 # DEPENDENCYPART_ARC
(19,5),-1.06237 # DEPENDENCYPART_ARC
(19,6),-2.37776 # DEPENDENCYPART_ARC
(19,7),-1.92937 # DEPENDENCYPART_ARC
(19,8),-1.30138 # DEPENDENCYPART_ARC
(19,9),-1.76051 # DEPENDENCYPART_ARC
(19,10),-1.5813 # DEPENDENCYPART_ARC
(19,11),-1.16925 # DEPENDENCYPART_ARC
(19,12),-1.96669 # DEPENDENCYPART_ARC
(19,13),-1.3767 # DEPENDENCYPART_ARC
(19,14),-1.27357 # DEPENDENCYPART_ARC
(19,15),-1.27957 # DEPENDENCYPART_ARC
(19,16),-1.45949 # DEPENDENCYPART_ARC
(19,17),-1.39881 # DEPENDENCYPART_ARC
(19,18),-0.765717 # DEPENDENCYPART_ARC
(19,20),0.819277 # DEPENDENCYPART_ARC
(19,21),-0.541853 # DEPENDENCYPART_ARC
(19,22),0.456085 # DEPENDENCYPART_ARC
(19,23),-1.68908 # DEPENDENCYPART_ARC
(19,24),-1.79202 # DEPENDENCYPART_ARC
(19,25),-1.24566 # DEPENDENCYPART_ARC
(19,26),1.0306 # DEPENDENCYPART_ARC
(20,21),-0.363135 # DEPENDENCYPART_ARC
(20,22),-0.713792 # DEPENDENCYPART_ARC
(20,23),-1.36874 # DEPENDENCYPART_ARC
(20,24),-1.51987 # DEPENDENCYPART_ARC
(20,25),-1.46374 # DEPENDENCYPART_ARC
(20,26),-1.64312 # DEPENDENCYPART_ARC
(21,5),-3.47165 # DEPENDENCYPART_ARC
(21,16),-2.30748 # DEPENDENCYPART_ARC
(21,17),-1.99493 # DEPENDENCYPART_ARC
(21,20),-0.520094 # DEPENDENCYPART_ARC
(21,22),-0.960656 # DEPENDENCYPART_ARC
(21,23),-1.87056 # DEPENDENCYPART_ARC
(21,24),-2.43437 # DEPENDENCYPART_ARC
(21,25),-2.23238 # DEPENDENCYPART_ARC
(22,20),-2.50102 # DEPENDENCYPART_ARC
(22,21),-1.9923 # DEPENDENCYPART_ARC
(22,23),-0.225366 # DEPENDENCYPART_ARC
(22,24),-1.03709 # DEPENDENCYPART_ARC
(22,25),-0.701884 # DEPENDENCYPART_ARC
(23,21),-1.66537 # DEPENDENCYPART_ARC
(23,22),-1.32433 # DEPENDENCYPART_ARC
(23,24),-1.48215 # DEPENDENCYPART_ARC
(23,25),-1.49447 # DEPENDENCYPART_ARC
(24,17),-2.3915 # DEPENDENCYPART_ARC
(24,20),-2.12431 # DEPENDENCYPART_ARC
(24,21),-1.36838 # DEPENDENCYPART_ARC
(24,22),-0.662439 # DEPENDENCYPART_ARC
(24,23),0.910011 # DEPENDENCYPART_ARC
(24,25),-0.656596 # DEPENDENCYPART_ARC
(25,1),-3.47732 # DEPENDENCYPART_ARC
(25,3),-4.26573 # DEPENDENCYPART_ARC
(25,16),-2.02174 # DEPENDENCYPART_ARC
(25,17),-3.19395 # DEPENDENCYPART_ARC
(25,20),-0.990781 # DEPENDENCYPART_ARC
(25,21),-1.85372 # DEPENDENCYPART_ARC
(25,22),-1.20633 # DEPENDENCYPART_ARC
(25,23),-0.788804 # DEPENDENCYPART_ARC
(25,24),0.203556 # DEPENDENCYPART_ARC
(25,26),-1.66245 # DEPENDENCYPART_ARC
(0,5),(0,19),-0.753389 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.144107 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0397821 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.033601 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.467923 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0272517 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.220939 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0237367 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0133395 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0485181 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0352926 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.030131 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00791526 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0953218 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.173959 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.129829 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.012116 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.142726 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0784693 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0508574 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.46908 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0279857 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.21984 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.698727 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.358959 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.148445 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0643145 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0709684 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0173352 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0212887 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0067403 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0972353 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0790851 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0224449 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0217098 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.176435 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.132625 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0117792 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0317923 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0525528 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.120502 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.372034 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00527889 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0276279 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.372034 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0437196 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0316801 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0573211 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0300258 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.276751 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0573211 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0894307 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0452849 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0503679 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0923312 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0452849 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.136273 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.108681 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00137823 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.136273 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.130597 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.335872 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.351301 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0270927 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0771711 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.483916 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.271747 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.288355 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.260605 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.325583 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0036064 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0135364 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.173098 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00361044 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.013983 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.325583 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0272518 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0382809 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.169907 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0382809 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.000611045 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0722058 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.1329 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0265174 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.140995 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0213826 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.142643 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0866157 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0215845 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0159948 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.122243 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0215462 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0190556 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0866157 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0162776 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0355563 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.147476 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0355563 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.00846116 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0989127 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0519666 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0633529 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.0516983 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.127474 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.108683 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0256597 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.02007 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00210769 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0256214 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0231307 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.108683 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0203527 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0424758 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.198361 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0424758 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.000431484 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.127242 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0708613 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.0287595 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.055294 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.051178 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00902985 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.019478 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0386482 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00906696 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00503425 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.051178 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0262032 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00130639 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0100079 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00130639 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.00414518 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0298673 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0394124 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.00593478 # DEPENDENCYPART_SIBL
(5,4),(5,26),-0.0352556 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.101859 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0938554 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.101542 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.101493 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0976303 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.488172 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0827448 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0857332 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.268364 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0857332 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.180281 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.045838 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.178455 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.060927 # DEPENDENCYPART_SIBL
(5,6),(5,26),0.0218679 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.134506 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0139951 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.129211 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.120051 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00472533 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.149981 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0379449 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0269358 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0379449 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0540971 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0304873 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.0274101 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.119334 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.0456064 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00972756 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.133564 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.124405 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0046674 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.154334 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0355925 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0225769 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0355925 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0584522 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0348463 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0368028 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.121662 # DEPENDENCYPART_SIBL
(5,8),(5,26),-0.0512172 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0436092 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0420699 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.125608 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0690836 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0111716 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0625095 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0111716 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0223442 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.02452 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.132286 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.085018 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.0431003 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.12006 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00441999 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.14999 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.037803 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0269267 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.037803 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0541061 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0304964 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0277151 # DEPENDENCYPART_SIBL
(5,10),(5,25),-0.119343 # DEPENDENCYPART_SIBL
(5,10),(5,26),-0.0456268 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0157529 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.15072 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0407795 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0261964 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0407795 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0571689 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0312268 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0514136 # DEPENDENCYPART_SIBL
(5,11),(5,25),-0.124365 # DEPENDENCYPART_SIBL
(5,11),(5,26),-0.0522206 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0827448 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0857332 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.268364 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0857332 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.180281 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.045838 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.178455 # DEPENDENCYPART_SIBL
(5,12),(5,25),0.060927 # DEPENDENCYPART_SIBL
(5,12),(5,26),0.0218679 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0825734 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0209629 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.0825734 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.060688 # DEPENDENCYPART_SIBL
