# _root_ In the first nine months of 1988 , net was $ 85 million , or $ 3.76 a share .
#goldHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
#predictedHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
(7,11),-2.03244 # DEPENDENCYPART_ARC
(7,14),-1.58847 # DEPENDENCYPART_ARC
(7,15),-2.02034 # DEPENDENCYPART_ARC
(9,1),-2.36962 # DEPENDENCYPART_ARC
(9,5),-2.02996 # DEPENDENCYPART_ARC
(9,6),-1.53258 # DEPENDENCYPART_ARC
(9,7),-1.51928 # DEPENDENCYPART_ARC
(9,8),-1.04638 # DEPENDENCYPART_ARC
(9,10),-0.383392 # DEPENDENCYPART_ARC
(9,11),-1.83642 # DEPENDENCYPART_ARC
(9,14),-1.75354 # DEPENDENCYPART_ARC
(9,15),-1.48308 # DEPENDENCYPART_ARC
(9,19),-2.67387 # DEPENDENCYPART_ARC
(10,1),-0.433492 # DEPENDENCYPART_ARC
(10,2),-2.2795 # DEPENDENCYPART_ARC
(10,3),-1.5881 # DEPENDENCYPART_ARC
(10,4),-1.81373 # DEPENDENCYPART_ARC
(10,5),-1.29712 # DEPENDENCYPART_ARC
(10,6),-1.48531 # DEPENDENCYPART_ARC
(10,7),-1.54986 # DEPENDENCYPART_ARC
(10,8),-0.36653 # DEPENDENCYPART_ARC
(10,9),-0.152565 # DEPENDENCYPART_ARC
(10,11),0.693483 # DEPENDENCYPART_ARC
(10,12),-0.76555 # DEPENDENCYPART_ARC
(10,13),-1.46816 # DEPENDENCYPART_ARC
(10,14),-0.432998 # DEPENDENCYPART_ARC
(10,15),-1.0221 # DEPENDENCYPART_ARC
(10,16),-1.57613 # DEPENDENCYPART_ARC
(10,19),-1.62412 # DEPENDENCYPART_ARC
(10,20),0.0329156 # DEPENDENCYPART_ARC
(11,1),-2.34578 # DEPENDENCYPART_ARC
(11,5),-2.18864 # DEPENDENCYPART_ARC
(11,6),-1.7766 # DEPENDENCYPART_ARC
(11,7),-2.31388 # DEPENDENCYPART_ARC
(11,8),-1.71079 # DEPENDENCYPART_ARC
(11,9),-1.17241 # DEPENDENCYPART_ARC
(11,12),1.7492 # DEPENDENCYPART_ARC
(11,13),1.24645 # DEPENDENCYPART_ARC
(11,14),-0.228688 # DEPENDENCYPART_ARC
(11,15),-0.997232 # DEPENDENCYPART_ARC
(11,16),-1.39584 # DEPENDENCYPART_ARC
(11,17),-1.71277 # DEPENDENCYPART_ARC
(11,19),-1.93511 # DEPENDENCYPART_ARC
(11,20),-2.04099 # DEPENDENCYPART_ARC
(12,7),-2.84361 # DEPENDENCYPART_ARC
(12,9),-2.56401 # DEPENDENCYPART_ARC
(12,13),-1.07812 # DEPENDENCYPART_ARC
(12,15),-1.43547 # DEPENDENCYPART_ARC
(12,16),-2.2336 # DEPENDENCYPART_ARC
(12,19),-2.58611 # DEPENDENCYPART_ARC
(13,1),-2.67998 # DEPENDENCYPART_ARC
(13,5),-2.52113 # DEPENDENCYPART_ARC
(13,6),-2.03978 # DEPENDENCYPART_ARC
(13,7),-2.24199 # DEPENDENCYPART_ARC
(13,8),-2.20802 # DEPENDENCYPART_ARC
(13,9),-2.0566 # DEPENDENCYPART_ARC
(13,12),-0.062552 # DEPENDENCYPART_ARC
(13,14),-1.46496 # DEPENDENCYPART_ARC
(13,15),-1.4037 # DEPENDENCYPART_ARC
(13,16),-2.20573 # DEPENDENCYPART_ARC
(13,19),-2.5608 # DEPENDENCYPART_ARC
(15,14),-1.85014 # DEPENDENCYPART_ARC
(15,16),0.880024 # DEPENDENCYPART_ARC
(15,17),-0.903187 # DEPENDENCYPART_ARC
(15,19),-1.18741 # DEPENDENCYPART_ARC
(15,20),-1.97873 # DEPENDENCYPART_ARC
(16,1),-2.87945 # DEPENDENCYPART_ARC
(16,6),-2.29097 # DEPENDENCYPART_ARC
(16,13),-2.25169 # DEPENDENCYPART_ARC
(16,14),-1.6487 # DEPENDENCYPART_ARC
(16,15),-0.922762 # DEPENDENCYPART_ARC
(16,17),1.62084 # DEPENDENCYPART_ARC
(16,18),-0.997186 # DEPENDENCYPART_ARC
(16,19),-0.969973 # DEPENDENCYPART_ARC
(16,20),-1.6665 # DEPENDENCYPART_ARC
(17,1),-2.9916 # DEPENDENCYPART_ARC
(17,13),-2.1201 # DEPENDENCYPART_ARC
(17,16),-1.02515 # DEPENDENCYPART_ARC
(17,19),-1.21411 # DEPENDENCYPART_ARC
(17,20),-1.79346 # DEPENDENCYPART_ARC
(19,2),-1.9885 # DEPENDENCYPART_ARC
(19,9),-2.375 # DEPENDENCYPART_ARC
(19,16),-0.859204 # DEPENDENCYPART_ARC
(19,17),-1.04071 # DEPENDENCYPART_ARC
(19,18),1.79805 # DEPENDENCYPART_ARC
(19,20),-2.01275 # DEPENDENCYPART_ARC
(20,19),-2.83141 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0807334 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.768698 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.818404 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.242296 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.349987 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.480081 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.121973 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.36419 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.115124 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.229068 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.405434 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.344158 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.115124 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0751971 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.129917 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.367742 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.579391 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0499967 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.382377 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0641635 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.347298 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.351851 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.375953 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0641635 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0103584 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0219719 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.849623 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.126575 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.517201 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.153334 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.422966 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.408655 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.401367 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.153334 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.072605 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.133265 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0804061 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.50724 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.105964 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.368481 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.49934 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.503379 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.105964 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0102704 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0580257 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.196344 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0558121 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0450851 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.169672 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.153265 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0558121 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0135846 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0725186 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.235332 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.458219 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.444302 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.43957 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.235332 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.108311 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.182723 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.170408 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.00356853 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0335941 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0166881 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.876618 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.395117 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.342823 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.358241 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.041709 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00089106 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0276177 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.26915 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0254944 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0806742 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0393911 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.112271 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0196055 # DEPENDENCYPART_SIBL
(1,13),(1,20),-0.097819 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.876618 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.395117 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.0709827 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0400581 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.178375 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0251117 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00843696 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0603409 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0196657 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00542502 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0141797 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0165021 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00542502 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0679069 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0381677 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0676758 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.201235 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.652688 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0810291 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.167267 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0913913 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.20486 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.167267 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.279414 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.11721 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.199913 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0117923 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0268658 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0770836 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0633852 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.054677 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0770836 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.030842 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.073743 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0231425 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0250214 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00106618 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0571015 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.078008 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00106618 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0304374 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0796194 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0782272 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.169213 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.117598 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0375792 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.169213 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0165873 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0158562 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.119837 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0642554 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0560092 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.119837 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0319551 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0849053 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.594021 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0714386 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.013521 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.880978 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0225966 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.118395 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0573755 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0124022 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0178104 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.14577 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.223469 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.132474 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.880978 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0225966 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.196294 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0406887 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0480129 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0523642 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0442495 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0146732 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.358121 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.46058 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0314777 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.215708 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.212925 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0635547 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00149912 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0667346 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.17611 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0221566 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.15964 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0748048 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0440199 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0384835 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0349859 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0635025 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0364919 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0742253 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0321151 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0635025 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0974665 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0321151 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0392314 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0216529 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.262685 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.325881 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.559293 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0621485 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0501294 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00317709 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.261807 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0474123 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0501294 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.102466 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0474123 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.126856 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.045348 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0521337 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.285344 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0533382 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0166025 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0859143 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0383072 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0411556 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0166025 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00484354 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0411556 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0812164 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.104863 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0798559 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.099958 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.219741 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.144902 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0884995 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0975562 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.219741 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0430493 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0975562 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0504639 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.112532 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.082563 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0686747 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0010896 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.332203 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.127179 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0686747 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.108644 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.127179 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0903231 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0736682 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0514301 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0517392 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0498709 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0455047 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0514301 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0175342 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0455047 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.00862896 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0183654 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.25154 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.417234 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.325028 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00360217 # DEPENDENCYPART_SIBL
(5,8),(5,15),1.00285 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.325028 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.289212 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0553686 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0603021 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0115624 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0892122 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0499213 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0115624 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0342906 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0400244 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.00253695 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.235352 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0952145 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.00253695 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.046495 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0722557 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0378559 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.105081 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.171782 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0751727 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.0507168 # DEPENDENCYPART_SIBL
(5,14),(5,15),1.00285 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.325028 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.289212 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0553686 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0692297 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0361128 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.175567 # DEPENDENCYPART_SIBL
(5,16),(5,19),0.0751727 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.0507168 # DEPENDENCYPART_SIBL
(5,19),(5,20),0.0445753 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0455219 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0109064 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0778495 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0107582 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0257339 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0467422 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0467422 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00667594 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0895254 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.141529 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.052503 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.187966 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.137843 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.137843 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0625401 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.1767 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.413317 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.507132 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.445358 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.445358 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.151166 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.254565 # DEPENDENCYPART_SIBL
