# _root_ Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off the auction block .
#goldHeads=13,1,4,1,4,5,8,6,6,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
#predictedHeads=13,1,4,1,4,5,8,6,8,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
(6,10),-1.05546 # DEPENDENCYPART_ARC
(6,11),-0.525614 # DEPENDENCYPART_ARC
(6,12),-0.813301 # DEPENDENCYPART_ARC
(6,13),-1.05489 # DEPENDENCYPART_ARC
(6,15),-1.52599 # DEPENDENCYPART_ARC
(6,16),-1.02929 # DEPENDENCYPART_ARC
(6,17),-1.05519 # DEPENDENCYPART_ARC
(6,18),-2.244 # DEPENDENCYPART_ARC
(6,19),-1.84198 # DEPENDENCYPART_ARC
(6,20),-1.56731 # DEPENDENCYPART_ARC
(6,21),-1.84803 # DEPENDENCYPART_ARC
(6,22),-1.38598 # DEPENDENCYPART_ARC
(6,25),-2.39344 # DEPENDENCYPART_ARC
(7,9),-1.63874 # DEPENDENCYPART_ARC
(8,3),-2.01738 # DEPENDENCYPART_ARC
(8,4),-2.16384 # DEPENDENCYPART_ARC
(8,5),-1.54453 # DEPENDENCYPART_ARC
(8,6),-1.30323 # DEPENDENCYPART_ARC
(8,7),1.61654 # DEPENDENCYPART_ARC
(8,9),0.432095 # DEPENDENCYPART_ARC
(8,10),-1.34151 # DEPENDENCYPART_ARC
(8,11),-1.2056 # DEPENDENCYPART_ARC
(8,12),-1.22211 # DEPENDENCYPART_ARC
(8,13),-1.34118 # DEPENDENCYPART_ARC
(8,16),-2.07056 # DEPENDENCYPART_ARC
(8,17),-1.7398 # DEPENDENCYPART_ARC
(8,19),-2.16158 # DEPENDENCYPART_ARC
(8,20),-2.11702 # DEPENDENCYPART_ARC
(8,22),-2.41504 # DEPENDENCYPART_ARC
(8,26),-2.60986 # DEPENDENCYPART_ARC
(9,3),-2.02586 # DEPENDENCYPART_ARC
(9,8),-1.4663 # DEPENDENCYPART_ARC
(9,10),-0.1392 # DEPENDENCYPART_ARC
(9,11),2.14294 # DEPENDENCYPART_ARC
(9,12),-1.22506 # DEPENDENCYPART_ARC
(9,13),-0.878952 # DEPENDENCYPART_ARC
(9,16),-1.94788 # DEPENDENCYPART_ARC
(9,19),-1.64684 # DEPENDENCYPART_ARC
(10,12),-1.46408 # DEPENDENCYPART_ARC
(10,13),-1.44948 # DEPENDENCYPART_ARC
(11,1),-2.93561 # DEPENDENCYPART_ARC
(11,3),-2.79677 # DEPENDENCYPART_ARC
(11,6),-1.90616 # DEPENDENCYPART_ARC
(11,7),-1.51038 # DEPENDENCYPART_ARC
(11,8),-1.25624 # DEPENDENCYPART_ARC
(11,9),-1.58248 # DEPENDENCYPART_ARC
(11,10),1.39751 # DEPENDENCYPART_ARC
(11,12),-1.06901 # DEPENDENCYPART_ARC
(11,13),-1.35313 # DEPENDENCYPART_ARC
(11,16),-2.42441 # DEPENDENCYPART_ARC
(11,17),-2.03975 # DEPENDENCYPART_ARC
(11,18),-2.68006 # DEPENDENCYPART_ARC
(13,1),-1.35777 # DEPENDENCYPART_ARC
(13,2),-2.19393 # DEPENDENCYPART_ARC
(13,3),-1.25632 # DEPENDENCYPART_ARC
(13,4),-2.02492 # DEPENDENCYPART_ARC
(13,5),-1.98274 # DEPENDENCYPART_ARC
(13,6),-1.25018 # DEPENDENCYPART_ARC
(13,8),-0.960334 # DEPENDENCYPART_ARC
(13,9),-1.79176 # DEPENDENCYPART_ARC
(13,10),-1.31158 # DEPENDENCYPART_ARC
(13,11),-0.667653 # DEPENDENCYPART_ARC
(13,12),-0.702268 # DEPENDENCYPART_ARC
(13,14),-0.527986 # DEPENDENCYPART_ARC
(13,15),0.461197 # DEPENDENCYPART_ARC
(13,16),0.41506 # DEPENDENCYPART_ARC
(13,17),-0.116806 # DEPENDENCYPART_ARC
(13,18),-1.03968 # DEPENDENCYPART_ARC
(13,19),0.300101 # DEPENDENCYPART_ARC
(13,20),-0.741533 # DEPENDENCYPART_ARC
(13,21),-1.48479 # DEPENDENCYPART_ARC
(13,22),-0.919675 # DEPENDENCYPART_ARC
(13,25),-1.12861 # DEPENDENCYPART_ARC
(13,26),0.913476 # DEPENDENCYPART_ARC
(14,15),-0.920635 # DEPENDENCYPART_ARC
(15,14),0.111325 # DEPENDENCYPART_ARC
(15,17),-1.19606 # DEPENDENCYPART_ARC
(15,18),-2.09165 # DEPENDENCYPART_ARC
(15,20),-1.49619 # DEPENDENCYPART_ARC
(16,3),-2.80158 # DEPENDENCYPART_ARC
(16,4),-2.42106 # DEPENDENCYPART_ARC
(16,5),-2.24213 # DEPENDENCYPART_ARC
(16,6),-2.01598 # DEPENDENCYPART_ARC
(16,7),-2.23819 # DEPENDENCYPART_ARC
(16,8),-2.3634 # DEPENDENCYPART_ARC
(16,9),-1.87648 # DEPENDENCYPART_ARC
(16,10),-1.59108 # DEPENDENCYPART_ARC
(16,11),-1.1817 # DEPENDENCYPART_ARC
(16,12),-1.6804 # DEPENDENCYPART_ARC
(16,13),-1.26628 # DEPENDENCYPART_ARC
(16,14),1.10292 # DEPENDENCYPART_ARC
(16,15),1.96069 # DEPENDENCYPART_ARC
(16,17),0.21757 # DEPENDENCYPART_ARC
(16,18),-1.62621 # DEPENDENCYPART_ARC
(16,19),-0.890401 # DEPENDENCYPART_ARC
(16,20),-1.05438 # DEPENDENCYPART_ARC
(16,21),-1.84196 # DEPENDENCYPART_ARC
(16,22),-1.47132 # DEPENDENCYPART_ARC
(16,25),-2.11117 # DEPENDENCYPART_ARC
(17,16),-1.79099 # DEPENDENCYPART_ARC
(17,18),1.40226 # DEPENDENCYPART_ARC
(17,19),-0.76269 # DEPENDENCYPART_ARC
(17,20),-0.350714 # DEPENDENCYPART_ARC
(17,21),-1.58708 # DEPENDENCYPART_ARC
(17,25),-1.80752 # DEPENDENCYPART_ARC
(18,16),-1.77833 # DEPENDENCYPART_ARC
(18,19),-0.187082 # DEPENDENCYPART_ARC
(18,20),-1.19392 # DEPENDENCYPART_ARC
(18,21),-1.48185 # DEPENDENCYPART_ARC
(18,22),-1.44139 # DEPENDENCYPART_ARC
(18,25),-3.07565 # DEPENDENCYPART_ARC
(19,1),-2.2474 # DEPENDENCYPART_ARC
(19,17),-1.97246 # DEPENDENCYPART_ARC
(19,18),-1.44261 # DEPENDENCYPART_ARC
(19,20),1.55883 # DEPENDENCYPART_ARC
(19,21),-1.12766 # DEPENDENCYPART_ARC
(19,22),-1.45179 # DEPENDENCYPART_ARC
(19,25),-2.24628 # DEPENDENCYPART_ARC
(20,1),-2.44663 # DEPENDENCYPART_ARC
(20,3),-2.82897 # DEPENDENCYPART_ARC
(20,4),-2.48363 # DEPENDENCYPART_ARC
(20,5),-2.67598 # DEPENDENCYPART_ARC
(20,6),-2.09693 # DEPENDENCYPART_ARC
(20,8),-2.0942 # DEPENDENCYPART_ARC
(20,9),-2.56318 # DEPENDENCYPART_ARC
(20,16),-1.50252 # DEPENDENCYPART_ARC
(20,17),-1.73642 # DEPENDENCYPART_ARC
(20,18),-1.27261 # DEPENDENCYPART_ARC
(20,21),0.828111 # DEPENDENCYPART_ARC
(20,22),0.664253 # DEPENDENCYPART_ARC
(20,23),-1.76608 # DEPENDENCYPART_ARC
(20,24),-0.502257 # DEPENDENCYPART_ARC
(20,25),-0.406328 # DEPENDENCYPART_ARC
(20,26),-0.56325 # DEPENDENCYPART_ARC
(21,22),-1.28875 # DEPENDENCYPART_ARC
(21,25),-2.22461 # DEPENDENCYPART_ARC
(22,21),-1.77033 # DEPENDENCYPART_ARC
(22,23),-1.19822 # DEPENDENCYPART_ARC
(22,24),0.12085 # DEPENDENCYPART_ARC
(22,25),0.0813243 # DEPENDENCYPART_ARC
(24,23),-0.204831 # DEPENDENCYPART_ARC
(24,25),-1.33664 # DEPENDENCYPART_ARC
(25,18),-2.64229 # DEPENDENCYPART_ARC
(25,21),-1.87318 # DEPENDENCYPART_ARC
(25,22),-1.03474 # DEPENDENCYPART_ARC
(25,23),0.684437 # DEPENDENCYPART_ARC
(25,24),1.48849 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.771449 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.152077 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.764269 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.627163 # DEPENDENCYPART_SIBL
(0,4),(0,13),-1.67915 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.709644 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0204195 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.334996 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.386778 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.376788 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.642345 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0945969 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.346272 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0546832 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.413426 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.583764 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.689474 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.422 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.452389 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.0899865 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.00716985 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0766651 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0711545 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0978069 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.143061 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0652462 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0839058 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0602843 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0589294 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.156679 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0166597 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0748053 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0595189 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0794293 # DEPENDENCYPART_SIBL
(1,3),(1,26),-0.0778144 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.112006 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0880053 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.145694 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0231275 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0555644 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.479845 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.306616 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.161861 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.00210547 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0875368 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.305872 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.0666204 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.0233569 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.141058 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.174244 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00949206 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.050885 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.253669 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.022732 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.191262 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.00318419 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.219286 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0107433 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0499838 # DEPENDENCYPART_SIBL
(1,5),(1,26),0.138622 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.04828 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0958646 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.00437141 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.20657 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0252469 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0645549 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0698903 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0823748 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0205128 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0179581 # DEPENDENCYPART_SIBL
(1,6),(1,26),0.163318 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0198497 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.109685 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.198934 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0616381 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.331327 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0131395 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.023333 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.0648763 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.0777855 # DEPENDENCYPART_SIBL
(1,8),(1,26),0.0615444 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.133991 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.17086 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.105811 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.2008 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.123407 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.254057 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.102388 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.020157 # DEPENDENCYPART_SIBL
(1,9),(1,26),0.139979 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0329014 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.102206 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.166653 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.00919792 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0598576 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.108092 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.0776564 # DEPENDENCYPART_SIBL
(1,11),(1,26),0.0797791 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.413426 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.583764 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.689474 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.422 # DEPENDENCYPART_SIBL
(1,12),(1,20),0.452389 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.0899865 # DEPENDENCYPART_SIBL
(1,12),(1,26),-0.00716985 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.143553 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0033678 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.05603 # DEPENDENCYPART_SIBL
(1,13),(1,20),-0.2945 # DEPENDENCYPART_SIBL
(1,13),(1,21),-0.0643403 # DEPENDENCYPART_SIBL
(1,13),(1,26),0.00381696 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0120468 # DEPENDENCYPART_SIBL
(1,16),(1,19),0.00862009 # DEPENDENCYPART_SIBL
(1,16),(1,20),-0.0722835 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.0798967 # DEPENDENCYPART_SIBL
(1,16),(1,26),0.0653572 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.0364279 # DEPENDENCYPART_SIBL
(1,18),(1,20),-0.0931287 # DEPENDENCYPART_SIBL
(1,18),(1,21),-0.0840659 # DEPENDENCYPART_SIBL
(1,18),(1,26),0.00905655 # DEPENDENCYPART_SIBL
(1,19),(1,20),-0.00542105 # DEPENDENCYPART_SIBL
(1,19),(1,21),0.0325562 # DEPENDENCYPART_SIBL
(1,19),(1,26),-0.175738 # DEPENDENCYPART_SIBL
(1,20),(1,21),-0.0416789 # DEPENDENCYPART_SIBL
(1,20),(1,26),0.0157298 # DEPENDENCYPART_SIBL
(1,21),(1,26),-0.0202163 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0141395 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0603398 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00536411 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0307194 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0235106 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0190462 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0867248 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00594873 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.343994 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0145072 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00816018 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0294424 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0404126 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0229377 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0972751 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00367654 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0331457 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00403129 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0303195 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.192347 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0724861 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.05475 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.122656 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0179937 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.01172 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0394823 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0481081 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0113765 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0398038 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0634279 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.191296 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0608008 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00951471 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0142812 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0416326 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.22309 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.136175 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0227565 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.180645 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.590427 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.454526 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.657017 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.411619 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.526523 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0336792 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.200032 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.457771 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0524751 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.029088 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.341636 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.169466 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.330913 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0071576 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0381737 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.155029 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.01161 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.0587692 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.093108 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.39477 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0441441 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.039783 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.121173 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.015524 # DEPENDENCYPART_SIBL
(4,8),(4,26),-0.0876116 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.151753 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.129565 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0161758 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0202928 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0205532 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.0295594 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0658441 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0447172 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.00108932 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0171305 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.068469 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.42191 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.1279 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.647844 # DEPENDENCYPART_SIBL
(4,12),(4,26),0.0282557 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.183168 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0174185 # DEPENDENCYPART_SIBL
(4,13),(4,26),0.0329903 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.00773191 # DEPENDENCYPART_SIBL
(4,17),(4,26),-0.0386792 # DEPENDENCYPART_SIBL
(4,19),(4,26),0.00866382 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0128426 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0892642 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0472533 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0410152 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00890266 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0597168 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0440763 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0463647 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0179542 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.00955474 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0146103 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0174548 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0596115 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.00727934 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0459071 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.289778 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0612123 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0338883 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0400535 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0588995 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0233882 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.105962 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00530694 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.000653916 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0192566 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0503595 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.000233888 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.100137 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0299733 # DEPENDENCYPART_SIBL
