# _root_ Mr. Jarrell , former top economist at the Securities and Exchange Commission , teaches at the University of Rochester 's Simon Business School .
#goldHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,17,23,17,18,17,23,23,15,14,
#predictedHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,17,23,17,18,17,23,23,15,14,
(2,4),(2,10),-0.019531 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0173786 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0354353 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0367557 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0240396 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0218502 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0221834 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0601382 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0267868 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.000874677 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0261655 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0209725 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0144605 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0357161 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0267868 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0201882 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.00105558 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00894247 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0698327 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0207134 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0386772 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.169915 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0645898 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.00894247 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0773661 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0489627 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0117076 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.296935 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0134624 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.115525 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0325931 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0466615 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0501382 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.00707185 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0477369 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0705176 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00475935 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0403788 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0223156 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.00658266 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.00820387 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00919825 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0683324 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0341235 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0752837 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.081361 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.175504 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0130067 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0316274 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0150598 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0191129 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.00197905 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.449063 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.152392 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.347133 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.00426558 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.040899 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0581409 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.183842 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0501382 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.00707185 # DEPENDENCYPART_SIBL
(2,18),(2,24),-0.020456 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.575595 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0820261 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0434735 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0963174 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0543988 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0724899 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0375338 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0963174 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.103531 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.102887 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0537531 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0893756 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.344081 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0544254 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0537531 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0627736 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.106122 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00875923 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0356426 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0468064 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.106122 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.111622 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0456355 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.000914434 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0101006 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.111622 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0854521 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.298122 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.160925 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.078719 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0290475 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.128445 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0820646 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0170002 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.000419411 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.103859 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.605892 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.02306 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0446002 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0952143 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0546582 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0810736 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.149935 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.10551 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.054113 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0910627 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.338189 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0492302 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0345268 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0164329 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.139118 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.11544 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0454563 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00908873 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0873913 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.280433 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0157495 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.144872 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0538494 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0527532 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0146286 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.16529 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.103957 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0464618 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0567432 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0546604 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.000188542 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00748716 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.16529 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.129433 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0874397 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00554008 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0318335 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.107036 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0760499 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0072753 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0191989 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0123364 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0496594 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0112571 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.107036 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0179788 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0797186 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0789527 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0813606 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.084635 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0763615 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0777121 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0564731 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0091681 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0163953 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0813606 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.0561386 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0460573 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0926497 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.019161 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.106891 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.057831 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.10303 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.111093 # DEPENDENCYPART_SIBL
