# _root_ `` Spain is down 10 % and suspended , Sweden 's down 8 % , Norway 11 % .
#goldHeads=3,3,0,3,6,4,4,7,3,11,3,11,14,12,11,11,18,11,3,
#predictedHeads=3,3,0,3,6,4,3,7,11,11,7,11,14,12,14,18,18,14,3,
(11,6),-1.79219 # DEPENDENCYPART_ARC
(11,7),-1.52215 # DEPENDENCYPART_ARC
(11,8),-1.64045 # DEPENDENCYPART_ARC
(11,9),0.032598 # DEPENDENCYPART_ARC
(11,10),0.235119 # DEPENDENCYPART_ARC
(11,12),0.173763 # DEPENDENCYPART_ARC
(11,13),-0.484495 # DEPENDENCYPART_ARC
(11,14),-0.25126 # DEPENDENCYPART_ARC
(11,15),-0.972015 # DEPENDENCYPART_ARC
(11,16),-1.65681 # DEPENDENCYPART_ARC
(11,17),-2.20765 # DEPENDENCYPART_ARC
(11,18),-1.42497 # DEPENDENCYPART_ARC
(11,19),-1.11383 # DEPENDENCYPART_ARC
(12,13),0.504935 # DEPENDENCYPART_ARC
(12,14),-0.400409 # DEPENDENCYPART_ARC
(12,15),-1.25233 # DEPENDENCYPART_ARC
(12,16),-1.97613 # DEPENDENCYPART_ARC
(12,17),-1.6391 # DEPENDENCYPART_ARC
(12,18),-1.4743 # DEPENDENCYPART_ARC
(12,19),-2.24332 # DEPENDENCYPART_ARC
(13,3),-2.8362 # DEPENDENCYPART_ARC
(13,7),-2.74583 # DEPENDENCYPART_ARC
(13,8),-2.59811 # DEPENDENCYPART_ARC
(13,10),-2.45187 # DEPENDENCYPART_ARC
(13,12),-0.999863 # DEPENDENCYPART_ARC
(13,14),-1.28897 # DEPENDENCYPART_ARC
(13,16),-2.309 # DEPENDENCYPART_ARC
(13,18),-2.57046 # DEPENDENCYPART_ARC
(14,1),-2.61363 # DEPENDENCYPART_ARC
(14,4),-2.60237 # DEPENDENCYPART_ARC
(14,5),-2.33633 # DEPENDENCYPART_ARC
(14,6),-2.30971 # DEPENDENCYPART_ARC
(14,7),-2.64715 # DEPENDENCYPART_ARC
(14,8),-1.88538 # DEPENDENCYPART_ARC
(14,9),-1.85913 # DEPENDENCYPART_ARC
(14,10),-1.05961 # DEPENDENCYPART_ARC
(14,11),-1.43215 # DEPENDENCYPART_ARC
(14,12),0.0145527 # DEPENDENCYPART_ARC
(14,13),1.25237 # DEPENDENCYPART_ARC
(14,15),-0.376972 # DEPENDENCYPART_ARC
(14,16),-1.65199 # DEPENDENCYPART_ARC
(14,17),-1.75263 # DEPENDENCYPART_ARC
(14,18),-1.8303 # DEPENDENCYPART_ARC
(14,19),-2.18675 # DEPENDENCYPART_ARC
(16,15),-1.91377 # DEPENDENCYPART_ARC
(16,17),0.185318 # DEPENDENCYPART_ARC
(16,18),-1.28067 # DEPENDENCYPART_ARC
(16,19),-1.68925 # DEPENDENCYPART_ARC
(17,13),-2.20654 # DEPENDENCYPART_ARC
(17,16),-1.38566 # DEPENDENCYPART_ARC
(18,1),-2.64196 # DEPENDENCYPART_ARC
(18,4),-3.27471 # DEPENDENCYPART_ARC
(18,5),-3.03635 # DEPENDENCYPART_ARC
(18,6),-3.17502 # DEPENDENCYPART_ARC
(18,8),-1.94007 # DEPENDENCYPART_ARC
(18,10),-2.47568 # DEPENDENCYPART_ARC
(18,12),-1.97896 # DEPENDENCYPART_ARC
(18,13),-1.01837 # DEPENDENCYPART_ARC
(18,14),-0.988407 # DEPENDENCYPART_ARC
(18,15),-1.23689 # DEPENDENCYPART_ARC
(18,16),0.0539269 # DEPENDENCYPART_ARC
(18,17),1.8708 # DEPENDENCYPART_ARC
(18,19),-1.93368 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.699822 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.690808 # DEPENDENCYPART_SIBL
(0,3),(0,11),-1.59234 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0609796 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.084244 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.160264 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.173886 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.206145 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.102667 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.104034 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0726123 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0179213 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0170258 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0347647 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0982997 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.374441 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.206167 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0307434 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0201272 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0617569 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.111816 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00894978 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0262051 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.024755 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.252276 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0726024 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0657244 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.180321 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0589127 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0826008 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0522938 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.34329 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0193228 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0162937 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00526436 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0190598 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0778917 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0328797 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0610918 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0491562 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0359887 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0162937 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0190598 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0610918 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0190598 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.1023 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0620142 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.052325 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0379607 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.015776 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.000675011 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0252858 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0222745 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00786308 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0620142 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0379607 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0252858 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0379607 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0157006 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.068794 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0856596 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0730962 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0180896 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0716028 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0753478 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0751399 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.202729 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0856596 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0716028 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0856596 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0409561 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.151336 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0624285 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.127102 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.034471 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.146238 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00336588 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0530565 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.151336 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.034471 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.151336 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0785703 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00577124 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.165982 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0211462 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.237838 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0947936 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.03065 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.245308 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0211462 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.245308 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0655178 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0660908 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0377599 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0779298 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0658471 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0416994 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.111851 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0377599 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.111851 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.00647169 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.092035 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.360897 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.109992 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.435618 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.511795 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.092035 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.511795 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0533823 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.147664 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.400881 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.390039 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.099955 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0283337 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.099955 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0047359 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0275968 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.073173 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.133467 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0223454 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.133467 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00284943 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0951079 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.167854 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0259798 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.167854 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.101133 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0856596 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0716028 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0856596 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0409561 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0211462 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.245308 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0655178 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.099955 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0047359 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0655178 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00850279 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.168566 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.111051 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.079493 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0474887 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.171608 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.145312 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0875217 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0638122 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.136179 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.131478 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.079493 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.145312 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.128679 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.079493 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.091416 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0264491 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0196081 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0113289 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0460303 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0529693 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.134156 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0393035 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0476877 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.059015 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0399037 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0113289 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.134156 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0400286 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0113289 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00919953 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00697059 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0189087 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0337214 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0394201 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0810554 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0499976 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0389651 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00839207 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0201674 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0189087 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0810554 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0132293 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0189087 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0328595 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0792919 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.000197519 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0783573 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0100861 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.109331 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0717303 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0717056 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0232004 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0792919 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0100861 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0323433 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0792919 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0409463 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.379681 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.10423 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.173822 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0233472 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0213846 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.135347 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0010521 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0464206 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.173822 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0224456 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0464206 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0505058 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.127348 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0150587 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0277913 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0116901 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0262822 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0807203 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0723838 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0150587 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.100034 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0723838 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0325107 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0989143 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0462331 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.00854211 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.125154 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00784517 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.180305 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0989143 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0125004 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.180305 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.129998 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.227888 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.222284 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.451924 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0954514 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0425987 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.119211 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0830181 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0425987 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.197189 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.111584 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.04623 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0617631 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.112683 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0312085 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0827648 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.112683 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0335238 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0229876 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0536322 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.049214 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.115435 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0286544 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.049214 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.232276 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0455208 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.00650941 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0428747 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0823674 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.00650941 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.00136181 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0913492 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0306769 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.120773 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0913492 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0963102 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.173822 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0224456 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0464206 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0505058 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.0830181 # DEPENDENCYPART_SIBL
