# _root_ The Tokyo Stock Exchange index for the second section fell 100.96 , or 2.7 % , to 3655.40 .
#goldHeads=5,5,5,5,10,5,9,9,6,0,10,11,11,15,13,11,10,17,10,
#predictedHeads=5,5,5,5,10,5,9,9,6,0,10,11,11,15,13,11,10,17,10,
(6,19),-2.25422 # DEPENDENCYPART_ARC
(7,5),-3.08873 # DEPENDENCYPART_ARC
(7,6),-2.20355 # DEPENDENCYPART_ARC
(8,5),-1.81114 # DEPENDENCYPART_ARC
(8,6),-1.59248 # DEPENDENCYPART_ARC
(8,7),-0.540909 # DEPENDENCYPART_ARC
(8,10),-0.918448 # DEPENDENCYPART_ARC
(8,11),-2.1135 # DEPENDENCYPART_ARC
(8,13),-1.75608 # DEPENDENCYPART_ARC
(8,15),-2.50759 # DEPENDENCYPART_ARC
(9,1),-3.00173 # DEPENDENCYPART_ARC
(9,2),-2.0072 # DEPENDENCYPART_ARC
(9,3),-2.10091 # DEPENDENCYPART_ARC
(9,4),-1.44058 # DEPENDENCYPART_ARC
(9,5),-1.71566 # DEPENDENCYPART_ARC
(9,6),-1.41188 # DEPENDENCYPART_ARC
(9,7),1.10804 # DEPENDENCYPART_ARC
(9,8),1.5935 # DEPENDENCYPART_ARC
(9,10),-0.709993 # DEPENDENCYPART_ARC
(9,11),-1.17607 # DEPENDENCYPART_ARC
(9,12),-1.39066 # DEPENDENCYPART_ARC
(9,13),-1.61235 # DEPENDENCYPART_ARC
(9,15),-2.50538 # DEPENDENCYPART_ARC
(9,16),-1.58424 # DEPENDENCYPART_ARC
(9,17),-1.95497 # DEPENDENCYPART_ARC
(9,18),-2.73972 # DEPENDENCYPART_ARC
(9,19),-2.39024 # DEPENDENCYPART_ARC
(10,2),-1.59813 # DEPENDENCYPART_ARC
(10,3),-1.38028 # DEPENDENCYPART_ARC
(10,4),-1.11408 # DEPENDENCYPART_ARC
(10,5),-0.52665 # DEPENDENCYPART_ARC
(10,6),-1.77634 # DEPENDENCYPART_ARC
(10,7),-1.64158 # DEPENDENCYPART_ARC
(10,8),-1.11719 # DEPENDENCYPART_ARC
(10,9),0.453068 # DEPENDENCYPART_ARC
(10,11),-0.128951 # DEPENDENCYPART_ARC
(10,12),-0.566916 # DEPENDENCYPART_ARC
(10,13),-0.905819 # DEPENDENCYPART_ARC
(10,14),-2.14034 # DEPENDENCYPART_ARC
(10,15),-0.832561 # DEPENDENCYPART_ARC
(10,16),-0.754921 # DEPENDENCYPART_ARC
(10,17),0.118063 # DEPENDENCYPART_ARC
(10,18),-2.79186 # DEPENDENCYPART_ARC
(10,19),-0.316014 # DEPENDENCYPART_ARC
(11,5),-2.83061 # DEPENDENCYPART_ARC
(11,6),-2.46774 # DEPENDENCYPART_ARC
(11,7),-1.52131 # DEPENDENCYPART_ARC
(11,9),-1.98538 # DEPENDENCYPART_ARC
(11,10),-0.847754 # DEPENDENCYPART_ARC
(11,12),-0.736703 # DEPENDENCYPART_ARC
(11,13),-0.570616 # DEPENDENCYPART_ARC
(11,14),-2.0192 # DEPENDENCYPART_ARC
(11,15),-2.02088 # DEPENDENCYPART_ARC
(11,16),-1.17936 # DEPENDENCYPART_ARC
(11,17),-1.95128 # DEPENDENCYPART_ARC
(11,18),-2.72743 # DEPENDENCYPART_ARC
(11,19),-1.9768 # DEPENDENCYPART_ARC
(12,11),-2.26549 # DEPENDENCYPART_ARC
(12,13),-1.53056 # DEPENDENCYPART_ARC
(13,11),-2.77379 # DEPENDENCYPART_ARC
(13,12),-1.95985 # DEPENDENCYPART_ARC
(13,14),-0.527685 # DEPENDENCYPART_ARC
(13,15),0.4568 # DEPENDENCYPART_ARC
(13,16),-1.23146 # DEPENDENCYPART_ARC
(13,17),-1.18628 # DEPENDENCYPART_ARC
(13,18),-2.2487 # DEPENDENCYPART_ARC
(13,19),-1.94481 # DEPENDENCYPART_ARC
(14,6),-2.5749 # DEPENDENCYPART_ARC
(14,11),-1.58844 # DEPENDENCYPART_ARC
(14,12),-1.56075 # DEPENDENCYPART_ARC
(14,13),-0.972349 # DEPENDENCYPART_ARC
(14,15),-1.18022 # DEPENDENCYPART_ARC
(14,16),-1.77452 # DEPENDENCYPART_ARC
(14,17),-2.0252 # DEPENDENCYPART_ARC
(14,18),-2.61283 # DEPENDENCYPART_ARC
(15,5),-3.52985 # DEPENDENCYPART_ARC
(15,6),-2.36648 # DEPENDENCYPART_ARC
(15,7),-2.06589 # DEPENDENCYPART_ARC
(15,8),-1.43661 # DEPENDENCYPART_ARC
(15,11),-1.51917 # DEPENDENCYPART_ARC
(15,12),-1.36298 # DEPENDENCYPART_ARC
(15,13),-0.910107 # DEPENDENCYPART_ARC
(15,14),1.81039 # DEPENDENCYPART_ARC
(15,16),-0.989513 # DEPENDENCYPART_ARC
(15,17),-1.4806 # DEPENDENCYPART_ARC
(15,18),-1.95956 # DEPENDENCYPART_ARC
(15,19),-2.39158 # DEPENDENCYPART_ARC
(16,17),-1.65371 # DEPENDENCYPART_ARC
(17,15),-2.44781 # DEPENDENCYPART_ARC
(17,16),-1.4229 # DEPENDENCYPART_ARC
(17,18),0.638858 # DEPENDENCYPART_ARC
(17,19),-1.26456 # DEPENDENCYPART_ARC
(18,11),-2.74457 # DEPENDENCYPART_ARC
(18,13),-2.3876 # DEPENDENCYPART_ARC
(18,14),-2.08215 # DEPENDENCYPART_ARC
(18,15),-2.27144 # DEPENDENCYPART_ARC
(18,16),-1.83521 # DEPENDENCYPART_ARC
(18,17),-1.05504 # DEPENDENCYPART_ARC
(18,19),-1.587 # DEPENDENCYPART_ARC
(19,18),-2.34775 # DEPENDENCYPART_ARC
(0,5),(0,6),-0.0913148 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.764803 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.750827 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0492091 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0325926 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0506108 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0147823 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0793838 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0751454 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0432326 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.108942 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0266733 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.252586 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.311304 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.130892 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0159697 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.044856 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.151339 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.170578 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0692681 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0604414 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0651793 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0464912 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.100728 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.117221 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.069837 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0456427 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0948469 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.250703 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0614823 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.18684 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.121756 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0412316 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.385089 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.435163 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.415297 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0226095 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.054946 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0113644 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.219014 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0949399 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.156791 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0358766 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0967061 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.156791 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.130611 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0949399 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.117255 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.206586 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.27514 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0410313 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0182757 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00115635 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0382942 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0297107 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0276829 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0439783 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0908976 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0276829 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0980947 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0297107 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0345126 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.291273 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.139117 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0431845 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0500932 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0684448 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0230409 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0475733 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0193171 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.13367 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0475733 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0894975 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0230409 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.065585 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.127907 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0849222 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0896124 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0293432 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0361118 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.181752 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0229874 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.180014 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.181752 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.224312 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0361118 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0808401 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.133717 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.168016 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0590667 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.100346 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0977079 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0335306 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0847936 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0977079 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0487696 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.100346 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.152897 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0280167 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0255187 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0556021 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.042609 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0454687 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0397632 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.042609 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0123781 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0556021 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0246536 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0477569 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0717577 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0570362 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0387285 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.111719 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0570362 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.023322 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0717577 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0175458 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.061683 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.196389 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00444908 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0760399 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.196389 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0390723 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.061683 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0245363 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0746227 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0443235 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.026448 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0746227 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0502997 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.00357434 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0113741 # DEPENDENCYPART_SIBL
(5,12),(5,13),1.10677 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.526203 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0339766 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.134698 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.293569 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.012354 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.173669 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0804797 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.131505 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.15473 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.254683 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0636314 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0225699 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.104871 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.0127377 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.134698 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.293569 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.012354 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.27821 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.0256768 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.0113741 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.133365 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0574334 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.141648 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0413024 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0998309 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.087832 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.197997 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.203789 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.087832 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0646114 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0998309 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0157225 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.201836 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.608846 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.448496 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.288686 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0465436 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0711699 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.634642 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0465436 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.840237 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.288686 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.153767 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.574561 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.467859 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.323181 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0216874 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0193494 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.579371 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0216874 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.779394 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.323181 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0273227 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.664425 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.480052 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0494673 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0281098 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.985433 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0494673 # DEPENDENCYPART_SIBL
(6,9),(6,17),-1.07866 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.480052 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0166145 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.210894 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.169543 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.172738 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.507556 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.169543 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.718544 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.210894 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.354065 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0363966 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0321391 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.66351 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0363966 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.854562 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.363539 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0820421 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.942859 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.191228 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0201353 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.387887 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0286736 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.199741 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.268106 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.122155 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.697604 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.186587 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.108588 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.114011 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.732555 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.377305 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.10957 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.387887 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.0286736 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.199741 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0409631 # DEPENDENCYPART_SIBL
(6,17),(6,19),0.0117229 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0820421 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.173321 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.175637 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0566206 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0115999 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0046307 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0654496 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0105884 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.157402 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.032922 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0263549 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.024112 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0425643 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.307622 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0563624 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.270356 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.156875 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0439622 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0459293 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0461715 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0157576 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0433655 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0198479 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.185614 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.223165 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.193707 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.224094 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0106014 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.868393 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0939838 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.167974 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.123504 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0242381 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.084661 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.110195 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0242381 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.132312 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.123504 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.116699 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0848249 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.1336 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.14174 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0855107 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.459359 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0845294 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.00312702 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0372535 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.00499695 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0599199 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0921571 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.00499695 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.087145 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0372535 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0252906 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.144967 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.175681 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.114213 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.446993 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.116265 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0908795 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.00239687 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0414124 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0563596 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.116372 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0414124 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.060623 # DEPENDENCYPART_SIBL
