# _root_ He was flawless afield ( ditto in game two ) , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .
#goldHeads=2,0,2,2,6,2,6,7,8,6,2,2,14,12,12,12,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
#predictedHeads=2,0,2,3,6,2,6,7,8,6,2,2,14,12,14,15,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
(12,26),-1.57671 # DEPENDENCYPART_ARC
(12,28),-1.92391 # DEPENDENCYPART_ARC
(12,29),-2.5467 # DEPENDENCYPART_ARC
(12,31),-1.7511 # DEPENDENCYPART_ARC
(12,32),0.84663 # DEPENDENCYPART_ARC
(13,15),-1.63901 # DEPENDENCYPART_ARC
(14,9),-2.3373 # DEPENDENCYPART_ARC
(14,10),-2.41362 # DEPENDENCYPART_ARC
(14,11),-1.89563 # DEPENDENCYPART_ARC
(14,13),1.5372 # DEPENDENCYPART_ARC
(14,15),-0.0385692 # DEPENDENCYPART_ARC
(14,16),-1.10545 # DEPENDENCYPART_ARC
(14,18),-1.99815 # DEPENDENCYPART_ARC
(14,19),-2.0601 # DEPENDENCYPART_ARC
(14,20),-2.02985 # DEPENDENCYPART_ARC
(14,22),-1.94175 # DEPENDENCYPART_ARC
(14,23),-1.42857 # DEPENDENCYPART_ARC
(14,24),-1.79678 # DEPENDENCYPART_ARC
(14,25),-1.80305 # DEPENDENCYPART_ARC
(14,26),-2.13081 # DEPENDENCYPART_ARC
(14,32),-2.61489 # DEPENDENCYPART_ARC
(15,2),-2.09356 # DEPENDENCYPART_ARC
(15,5),-2.06646 # DEPENDENCYPART_ARC
(15,13),-1.69907 # DEPENDENCYPART_ARC
(15,14),-1.1955 # DEPENDENCYPART_ARC
(15,16),0.721066 # DEPENDENCYPART_ARC
(15,17),-1.97997 # DEPENDENCYPART_ARC
(15,18),-2.07679 # DEPENDENCYPART_ARC
(15,19),-1.78928 # DEPENDENCYPART_ARC
(15,20),-2.28308 # DEPENDENCYPART_ARC
(15,22),-1.10817 # DEPENDENCYPART_ARC
(15,23),-1.56945 # DEPENDENCYPART_ARC
(15,24),-1.80633 # DEPENDENCYPART_ARC
(15,25),-1.31755 # DEPENDENCYPART_ARC
(15,26),-1.58557 # DEPENDENCYPART_ARC
(15,31),-2.48456 # DEPENDENCYPART_ARC
(15,32),-3.21039 # DEPENDENCYPART_ARC
(16,14),-2.47321 # DEPENDENCYPART_ARC
(16,15),-1.37548 # DEPENDENCYPART_ARC
(16,17),-1.40197 # DEPENDENCYPART_ARC
(16,18),-0.674328 # DEPENDENCYPART_ARC
(16,19),-1.22789 # DEPENDENCYPART_ARC
(16,20),-2.06372 # DEPENDENCYPART_ARC
(16,21),-1.91477 # DEPENDENCYPART_ARC
(16,22),-0.202955 # DEPENDENCYPART_ARC
(16,23),-1.39765 # DEPENDENCYPART_ARC
(16,24),-1.69377 # DEPENDENCYPART_ARC
(16,25),-1.81486 # DEPENDENCYPART_ARC
(16,31),-1.79718 # DEPENDENCYPART_ARC
(16,32),-2.62126 # DEPENDENCYPART_ARC
(17,19),-2.80039 # DEPENDENCYPART_ARC
(18,17),-0.751523 # DEPENDENCYPART_ARC
(18,19),-0.88475 # DEPENDENCYPART_ARC
(18,20),-1.73618 # DEPENDENCYPART_ARC
(19,17),0.0160339 # DEPENDENCYPART_ARC
(19,18),-0.252139 # DEPENDENCYPART_ARC
(19,20),-1.20709 # DEPENDENCYPART_ARC
(19,21),-1.75026 # DEPENDENCYPART_ARC
(19,22),-1.95531 # DEPENDENCYPART_ARC
(19,23),-1.70728 # DEPENDENCYPART_ARC
(19,24),-2.49535 # DEPENDENCYPART_ARC
(19,25),-2.61736 # DEPENDENCYPART_ARC
(19,29),-2.81691 # DEPENDENCYPART_ARC
(20,17),-1.6095 # DEPENDENCYPART_ARC
(20,18),-0.839286 # DEPENDENCYPART_ARC
(20,19),-0.56295 # DEPENDENCYPART_ARC
(20,21),-1.13089 # DEPENDENCYPART_ARC
(20,23),-1.4044 # DEPENDENCYPART_ARC
(20,24),-1.819 # DEPENDENCYPART_ARC
(20,25),-1.57076 # DEPENDENCYPART_ARC
(20,26),-1.70923 # DEPENDENCYPART_ARC
(21,17),-1.78482 # DEPENDENCYPART_ARC
(21,18),-1.24059 # DEPENDENCYPART_ARC
(21,19),-1.46689 # DEPENDENCYPART_ARC
(21,20),-0.31148 # DEPENDENCYPART_ARC
(21,24),-1.66223 # DEPENDENCYPART_ARC
(22,13),-2.59317 # DEPENDENCYPART_ARC
(22,17),-0.0997138 # DEPENDENCYPART_ARC
(22,18),0.0745693 # DEPENDENCYPART_ARC
(22,19),-0.308184 # DEPENDENCYPART_ARC
(22,20),0.760198 # DEPENDENCYPART_ARC
(22,21),1.41026 # DEPENDENCYPART_ARC
(22,23),-0.957404 # DEPENDENCYPART_ARC
(22,24),-1.16208 # DEPENDENCYPART_ARC
(22,25),-1.12368 # DEPENDENCYPART_ARC
(22,26),-1.43453 # DEPENDENCYPART_ARC
(22,28),-2.38428 # DEPENDENCYPART_ARC
(22,29),-2.31653 # DEPENDENCYPART_ARC
(22,31),-2.72115 # DEPENDENCYPART_ARC
(24,25),2.21128 # DEPENDENCYPART_ARC
(24,26),-0.847306 # DEPENDENCYPART_ARC
(24,28),-1.69417 # DEPENDENCYPART_ARC
(24,29),-2.26581 # DEPENDENCYPART_ARC
(24,31),-2.28571 # DEPENDENCYPART_ARC
(25,2),-2.44414 # DEPENDENCYPART_ARC
(25,4),-2.7611 # DEPENDENCYPART_ARC
(25,5),-2.70517 # DEPENDENCYPART_ARC
(25,6),-2.60297 # DEPENDENCYPART_ARC
(25,7),-1.99844 # DEPENDENCYPART_ARC
(25,14),-1.8928 # DEPENDENCYPART_ARC
(25,15),-2.01351 # DEPENDENCYPART_ARC
(25,16),-1.55659 # DEPENDENCYPART_ARC
(25,18),-2.12059 # DEPENDENCYPART_ARC
(25,19),-1.64357 # DEPENDENCYPART_ARC
(25,22),-1.50674 # DEPENDENCYPART_ARC
(25,23),-1.92604 # DEPENDENCYPART_ARC
(25,26),1.00006 # DEPENDENCYPART_ARC
(25,27),-1.42012 # DEPENDENCYPART_ARC
(25,28),-0.972299 # DEPENDENCYPART_ARC
(25,29),-1.90463 # DEPENDENCYPART_ARC
(25,30),-1.87986 # DEPENDENCYPART_ARC
(25,31),-1.48491 # DEPENDENCYPART_ARC
(25,32),-0.996008 # DEPENDENCYPART_ARC
(26,27),-0.778067 # DEPENDENCYPART_ARC
(26,28),0.62884 # DEPENDENCYPART_ARC
(26,29),-1.9472 # DEPENDENCYPART_ARC
(26,30),-1.65262 # DEPENDENCYPART_ARC
(26,31),0.195797 # DEPENDENCYPART_ARC
(27,29),-1.98471 # DEPENDENCYPART_ARC
(28,17),-3.44404 # DEPENDENCYPART_ARC
(28,20),-2.23936 # DEPENDENCYPART_ARC
(28,26),-1.25822 # DEPENDENCYPART_ARC
(28,27),1.87866 # DEPENDENCYPART_ARC
(28,29),1.6697 # DEPENDENCYPART_ARC
(28,30),-1.04177 # DEPENDENCYPART_ARC
(28,31),-1.40985 # DEPENDENCYPART_ARC
(29,27),-1.1819 # DEPENDENCYPART_ARC
(29,30),-1.6707 # DEPENDENCYPART_ARC
(29,31),-2.41756 # DEPENDENCYPART_ARC
(30,27),-1.45193 # DEPENDENCYPART_ARC
(30,28),-1.72033 # DEPENDENCYPART_ARC
(30,29),-1.58798 # DEPENDENCYPART_ARC
(31,17),-4.52265 # DEPENDENCYPART_ARC
(31,18),-2.69903 # DEPENDENCYPART_ARC
(31,20),-2.23646 # DEPENDENCYPART_ARC
(31,21),-2.17835 # DEPENDENCYPART_ARC
(31,22),-2.59673 # DEPENDENCYPART_ARC
(31,27),-0.284034 # DEPENDENCYPART_ARC
(31,28),0.120915 # DEPENDENCYPART_ARC
(31,29),-0.651325 # DEPENDENCYPART_ARC
(31,30),1.33479 # DEPENDENCYPART_ARC
(32,31),-2.80608 # DEPENDENCYPART_ARC
(0,2),(0,12),-1.7845 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0630297 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0161207 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0155371 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0224611 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00106087 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0244074 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.155259 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.178646 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.146494 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0514324 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0129129 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0378425 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0246628 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.155259 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.126632 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.178646 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.155251 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0378425 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0588216 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0388532 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0195766 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.02247 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0539005 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00151241 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.113324 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.154844 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.113428 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.148077 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0350036 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0525838 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0178932 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.113324 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0343013 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.154844 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.113334 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0525838 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0367595 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.00205532 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.0586979 # DEPENDENCYPART_SIBL
(2,3),(2,32),0.00373081 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0267029 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0497962 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00555915 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0427098 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.11765 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0727957 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0336719 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0542037 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0497962 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00443828 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00555915 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0498063 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0336719 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0898686 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0227776 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0566596 # DEPENDENCYPART_SIBL
(2,4),(2,32),-0.034961 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0517728 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0335199 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0524791 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0743678 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.21569 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00522578 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0900067 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0517728 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00482052 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0335199 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0517828 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.00522578 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0300056 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0773264 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.115624 # DEPENDENCYPART_SIBL
(2,5),(2,32),0.0612395 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0316652 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.247654 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.184678 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0288575 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0371918 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0158712 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.253461 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0528749 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0316652 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.253436 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0371918 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0295674 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.0136087 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0628842 # DEPENDENCYPART_SIBL
(2,6),(2,32),-0.00390648 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0154042 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.114884 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0465575 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0142903 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0655116 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.00892117 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.133315 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.234256 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.00971083 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0142903 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.00364378 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0562241 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.00724141 # DEPENDENCYPART_SIBL
(2,7),(2,32),-0.0326129 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.193509 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0174397 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0381617 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00764764 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.262663 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0584842 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.023592 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.262638 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0381617 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0344893 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.0218322 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.0644896 # DEPENDENCYPART_SIBL
(2,8),(2,32),-0.0281861 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0607241 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0359526 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0180879 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.252517 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.215651 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.175726 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.252527 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0359526 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0672556 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.0258568 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.107765 # DEPENDENCYPART_SIBL
(2,9),(2,32),-0.180531 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.233088 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0166583 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.230358 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.216286 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.164573 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.230368 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.233088 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.143407 # DEPENDENCYPART_SIBL
(2,10),(2,25),-0.0293386 # DEPENDENCYPART_SIBL
(2,10),(2,26),-0.1664 # DEPENDENCYPART_SIBL
(2,10),(2,32),-0.255186 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.33322 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0858025 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.221597 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.149107 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.085791 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.127741 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.70236 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.338578 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.139933 # DEPENDENCYPART_SIBL
(2,11),(2,32),0.0041776 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.193422 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.144571 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.092997 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.193432 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.00271015 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0454761 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.298467 # DEPENDENCYPART_SIBL
(2,12),(2,26),-0.0789326 # DEPENDENCYPART_SIBL
(2,12),(2,32),0.114767 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0533236 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0312164 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.253436 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0371918 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0295674 # DEPENDENCYPART_SIBL
(2,14),(2,25),-0.0136087 # DEPENDENCYPART_SIBL
(2,14),(2,26),0.0624354 # DEPENDENCYPART_SIBL
(2,14),(2,32),-0.00391952 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.190698 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0917036 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.0179732 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.0207442 # DEPENDENCYPART_SIBL
(2,15),(2,25),0.0229584 # DEPENDENCYPART_SIBL
(2,15),(2,26),-0.0989298 # DEPENDENCYPART_SIBL
(2,15),(2,32),-0.0324364 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.00971083 # DEPENDENCYPART_SIBL
