# _root_ Under the agreement , Intel will invest $ 3 million to acquire a 4 % stake in Alliant , a maker of minisupercomputers for scientists and engineers .
#goldHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
#predictedHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
(6,28),1.04385 # DEPENDENCYPART_ARC
(7,1),-1.41258 # DEPENDENCYPART_ARC
(7,3),-1.56035 # DEPENDENCYPART_ARC
(7,4),-1.53998 # DEPENDENCYPART_ARC
(7,5),-1.69859 # DEPENDENCYPART_ARC
(7,6),-0.960686 # DEPENDENCYPART_ARC
(7,8),0.338853 # DEPENDENCYPART_ARC
(7,9),-0.997486 # DEPENDENCYPART_ARC
(7,10),-1.43547 # DEPENDENCYPART_ARC
(7,11),0.0658453 # DEPENDENCYPART_ARC
(7,12),-1.01885 # DEPENDENCYPART_ARC
(7,14),-2.35768 # DEPENDENCYPART_ARC
(7,15),-1.16498 # DEPENDENCYPART_ARC
(7,16),-0.781254 # DEPENDENCYPART_ARC
(7,17),-0.394087 # DEPENDENCYPART_ARC
(7,18),-2.17849 # DEPENDENCYPART_ARC
(7,19),-0.808279 # DEPENDENCYPART_ARC
(7,21),-1.90698 # DEPENDENCYPART_ARC
(7,22),-1.76726 # DEPENDENCYPART_ARC
(7,24),-0.851305 # DEPENDENCYPART_ARC
(7,26),-1.6747 # DEPENDENCYPART_ARC
(7,28),-2.05641 # DEPENDENCYPART_ARC
(8,1),-1.88312 # DEPENDENCYPART_ARC
(8,3),-2.02157 # DEPENDENCYPART_ARC
(8,4),-1.99599 # DEPENDENCYPART_ARC
(8,5),-2.00172 # DEPENDENCYPART_ARC
(8,6),-1.24543 # DEPENDENCYPART_ARC
(8,7),-0.717973 # DEPENDENCYPART_ARC
(8,9),2.044 # DEPENDENCYPART_ARC
(8,10),1.51925 # DEPENDENCYPART_ARC
(8,11),-0.517801 # DEPENDENCYPART_ARC
(8,12),-0.990898 # DEPENDENCYPART_ARC
(8,13),-1.73663 # DEPENDENCYPART_ARC
(8,14),-1.07633 # DEPENDENCYPART_ARC
(8,15),-1.49625 # DEPENDENCYPART_ARC
(8,16),-1.81486 # DEPENDENCYPART_ARC
(8,17),-1.73731 # DEPENDENCYPART_ARC
(8,18),-2.44912 # DEPENDENCYPART_ARC
(8,19),-1.51112 # DEPENDENCYPART_ARC
(8,21),-2.11363 # DEPENDENCYPART_ARC
(8,22),-2.7746 # DEPENDENCYPART_ARC
(8,24),-2.03859 # DEPENDENCYPART_ARC
(8,26),-1.78158 # DEPENDENCYPART_ARC
(8,28),-1.81768 # DEPENDENCYPART_ARC
(9,10),-1.15755 # DEPENDENCYPART_ARC
(9,11),-1.65616 # DEPENDENCYPART_ARC
(10,1),-2.04937 # DEPENDENCYPART_ARC
(10,4),-2.51517 # DEPENDENCYPART_ARC
(10,5),-2.62073 # DEPENDENCYPART_ARC
(10,9),0.487302 # DEPENDENCYPART_ARC
(10,11),-1.15243 # DEPENDENCYPART_ARC
(10,12),-1.52704 # DEPENDENCYPART_ARC
(11,1),-1.91029 # DEPENDENCYPART_ARC
(11,4),-2.45694 # DEPENDENCYPART_ARC
(11,5),-2.58749 # DEPENDENCYPART_ARC
(11,8),-1.69953 # DEPENDENCYPART_ARC
(11,10),-1.23808 # DEPENDENCYPART_ARC
(11,12),1.85268 # DEPENDENCYPART_ARC
(11,14),-1.75272 # DEPENDENCYPART_ARC
(11,15),-1.28168 # DEPENDENCYPART_ARC
(11,16),-1.58757 # DEPENDENCYPART_ARC
(11,17),-1.34254 # DEPENDENCYPART_ARC
(12,1),-1.76101 # DEPENDENCYPART_ARC
(12,4),-2.66743 # DEPENDENCYPART_ARC
(12,5),-2.50217 # DEPENDENCYPART_ARC
(12,8),-1.7206 # DEPENDENCYPART_ARC
(12,10),-1.63106 # DEPENDENCYPART_ARC
(12,11),-1.02251 # DEPENDENCYPART_ARC
(12,13),-0.798519 # DEPENDENCYPART_ARC
(12,14),-1.07167 # DEPENDENCYPART_ARC
(12,15),-0.378198 # DEPENDENCYPART_ARC
(12,16),0.0818223 # DEPENDENCYPART_ARC
(12,17),-0.462082 # DEPENDENCYPART_ARC
(12,18),-1.71657 # DEPENDENCYPART_ARC
(12,19),-1.12627 # DEPENDENCYPART_ARC
(12,21),-1.29302 # DEPENDENCYPART_ARC
(12,22),-1.43083 # DEPENDENCYPART_ARC
(12,24),-0.479366 # DEPENDENCYPART_ARC
(12,26),-1.31123 # DEPENDENCYPART_ARC
(12,28),-1.72576 # DEPENDENCYPART_ARC
(13,14),-0.634769 # DEPENDENCYPART_ARC
(13,15),-1.44662 # DEPENDENCYPART_ARC
(13,17),-1.53894 # DEPENDENCYPART_ARC
(14,11),-2.10067 # DEPENDENCYPART_ARC
(14,13),-0.734464 # DEPENDENCYPART_ARC
(14,15),-0.869108 # DEPENDENCYPART_ARC
(14,16),-1.74278 # DEPENDENCYPART_ARC
(14,17),-1.38261 # DEPENDENCYPART_ARC
(14,18),-2.37144 # DEPENDENCYPART_ARC
(14,21),-2.61503 # DEPENDENCYPART_ARC
(15,8),-2.53681 # DEPENDENCYPART_ARC
(15,10),-2.91122 # DEPENDENCYPART_ARC
(15,13),-0.84234 # DEPENDENCYPART_ARC
(15,14),0.791171 # DEPENDENCYPART_ARC
(15,16),-1.16046 # DEPENDENCYPART_ARC
(15,17),-1.76573 # DEPENDENCYPART_ARC
(15,18),-2.16641 # DEPENDENCYPART_ARC
(15,19),-1.74522 # DEPENDENCYPART_ARC
(15,21),-2.9333 # DEPENDENCYPART_ARC
(16,1),-2.11528 # DEPENDENCYPART_ARC
(16,2),-2.36023 # DEPENDENCYPART_ARC
(16,5),-2.43074 # DEPENDENCYPART_ARC
(16,8),-1.22528 # DEPENDENCYPART_ARC
(16,10),-2.66051 # DEPENDENCYPART_ARC
(16,11),-2.38751 # DEPENDENCYPART_ARC
(16,13),0.940295 # DEPENDENCYPART_ARC
(16,14),0.0164461 # DEPENDENCYPART_ARC
(16,15),1.4194 # DEPENDENCYPART_ARC
(16,17),0.664931 # DEPENDENCYPART_ARC
(16,18),-1.18345 # DEPENDENCYPART_ARC
(16,19),-1.15355 # DEPENDENCYPART_ARC
(16,21),-1.72611 # DEPENDENCYPART_ARC
(16,22),-1.82162 # DEPENDENCYPART_ARC
(16,23),-1.9802 # DEPENDENCYPART_ARC
(16,24),-1.63087 # DEPENDENCYPART_ARC
(16,25),-1.94043 # DEPENDENCYPART_ARC
(16,26),-1.56074 # DEPENDENCYPART_ARC
(16,28),-1.83462 # DEPENDENCYPART_ARC
(17,16),-1.70415 # DEPENDENCYPART_ARC
(17,18),1.45676 # DEPENDENCYPART_ARC
(17,19),-1.58043 # DEPENDENCYPART_ARC
(17,21),-1.20561 # DEPENDENCYPART_ARC
(18,16),-1.98018 # DEPENDENCYPART_ARC
(18,19),-0.331768 # DEPENDENCYPART_ARC
(18,21),-1.38004 # DEPENDENCYPART_ARC
(18,22),-1.49234 # DEPENDENCYPART_ARC
(18,23),-2.06747 # DEPENDENCYPART_ARC
(18,24),-1.87046 # DEPENDENCYPART_ARC
(18,25),-2.51771 # DEPENDENCYPART_ARC
(18,26),-1.61472 # DEPENDENCYPART_ARC
(18,28),-2.52898 # DEPENDENCYPART_ARC
(20,22),-1.44543 # DEPENDENCYPART_ARC
(21,13),-1.87992 # DEPENDENCYPART_ARC
(21,18),-2.27352 # DEPENDENCYPART_ARC
(21,19),-1.5728 # DEPENDENCYPART_ARC
(21,20),1.62342 # DEPENDENCYPART_ARC
(21,22),0.938451 # DEPENDENCYPART_ARC
(21,23),-0.851628 # DEPENDENCYPART_ARC
(21,24),-0.344102 # DEPENDENCYPART_ARC
(21,25),-1.15713 # DEPENDENCYPART_ARC
(21,26),-0.688073 # DEPENDENCYPART_ARC
(21,27),-1.68347 # DEPENDENCYPART_ARC
(21,28),-1.64954 # DEPENDENCYPART_ARC
(22,23),1.86323 # DEPENDENCYPART_ARC
(22,24),-1.14495 # DEPENDENCYPART_ARC
(22,25),-0.63234 # DEPENDENCYPART_ARC
(22,27),-1.56032 # DEPENDENCYPART_ARC
(23,24),0.398213 # DEPENDENCYPART_ARC
(23,25),-1.05576 # DEPENDENCYPART_ARC
(23,26),-0.159969 # DEPENDENCYPART_ARC
(23,27),-1.78952 # DEPENDENCYPART_ARC
(24,21),-1.9464 # DEPENDENCYPART_ARC
(24,22),-1.78856 # DEPENDENCYPART_ARC
(24,23),-1.58661 # DEPENDENCYPART_ARC
(24,25),1.8608 # DEPENDENCYPART_ARC
(24,26),-0.829074 # DEPENDENCYPART_ARC
(24,27),-0.134391 # DEPENDENCYPART_ARC
(25,23),-1.28503 # DEPENDENCYPART_ARC
(25,26),1.30072 # DEPENDENCYPART_ARC
(25,27),-0.846219 # DEPENDENCYPART_ARC
(25,28),-1.42417 # DEPENDENCYPART_ARC
(26,27),1.55419 # DEPENDENCYPART_ARC
(27,25),-1.55397 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.153332 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.337266 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.130585 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.401732 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.122265 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.348337 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.476217 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0532455 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.354298 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.495337 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.274499 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.36457 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.329702 # DEPENDENCYPART_SIBL
(1,2),(1,28),-0.197766 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0427635 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.492983 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.735385 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.418725 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.451755 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.44896 # DEPENDENCYPART_SIBL
(1,3),(1,28),-0.0609527 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0959601 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0874268 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.087497 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0673827 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0406101 # DEPENDENCYPART_SIBL
(1,4),(1,28),0.0942186 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.662923 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.332082 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.403334 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.417355 # DEPENDENCYPART_SIBL
(1,5),(1,28),-0.129204 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.209225 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.191209 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.261276 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.176642 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.190544 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.179836 # DEPENDENCYPART_SIBL
(1,7),(1,28),0.0554484 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.154182 # DEPENDENCYPART_SIBL
(1,8),(1,28),-0.0759759 # DEPENDENCYPART_SIBL
(1,11),(1,28),-0.0151997 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.151952 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.12706 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.108212 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0259633 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0508764 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0437798 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0476273 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0243644 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.103172 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.108209 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.12706 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0465269 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0298193 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0514711 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0290896 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0235281 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.2182 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0365964 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.161432 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0304593 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0129361 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0744575 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0235339 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0290896 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0256057 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.129988 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.117017 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.566929 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.293219 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.271727 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.127008 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.057934 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.638177 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0682643 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.565631 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.118734 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.526523 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.124539 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0644571 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.151862 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0262864 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.000319791 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00354326 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.075576 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0347913 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.14348 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0659122 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0938673 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.113951 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0496202 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.046706 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00410164 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0777319 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.00241224 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.00175221 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0183916 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0944921 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0240291 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0287997 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0569751 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0315804 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0035686 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0821789 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00629381 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0652296 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.141816 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.110091 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0521585 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0242987 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.213044 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.103773 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.210228 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0547079 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.226221 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0782272 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0906796 # DEPENDENCYPART_SIBL
(3,8),(3,28),0.0619604 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.086157 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.160598 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.00115108 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0648344 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0537436 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.00462232 # DEPENDENCYPART_SIBL
(3,11),(3,28),-0.0114344 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0215068 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0504722 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0807794 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.106861 # DEPENDENCYPART_SIBL
(3,16),(3,24),-0.0258291 # DEPENDENCYPART_SIBL
(3,16),(3,28),-0.00508466 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.14326 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.174235 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.162527 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.162359 # DEPENDENCYPART_SIBL
(3,17),(3,28),0.0754059 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0750372 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0937766 # DEPENDENCYPART_SIBL
(3,18),(3,24),-0.113311 # DEPENDENCYPART_SIBL
(3,18),(3,28),-0.0486909 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.526523 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.124539 # DEPENDENCYPART_SIBL
(3,19),(3,28),-0.0644571 # DEPENDENCYPART_SIBL
(3,21),(3,24),-0.0736379 # DEPENDENCYPART_SIBL
(3,21),(3,28),-0.0013637 # DEPENDENCYPART_SIBL
(3,24),(3,28),0.161281 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0275802 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.10724 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.213217 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.078611 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0123176 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.250414 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00764884 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0884717 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0775229 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0664398 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0942889 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0129215 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.146215 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0501999 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0129729 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0814164 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.035559 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.313252 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0438625 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0304474 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0326306 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00203181 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0365664 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0533527 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0462219 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0780534 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.149716 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0512166 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.00236027 # DEPENDENCYPART_SIBL
(6,1),(6,28),0.117194 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.227156 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0485403 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.218765 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.23508 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.231932 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.196023 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.228794 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.224286 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.206641 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0893418 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.129865 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0825975 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.128148 # DEPENDENCYPART_SIBL
(6,2),(6,28),-0.236984 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0593155 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.488936 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0446842 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0969442 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.121778 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.154297 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0321853 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.102445 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0786087 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0406911 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0519999 # DEPENDENCYPART_SIBL
(6,3),(6,26),-0.0266921 # DEPENDENCYPART_SIBL
(6,3),(6,28),-0.008096 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0634499 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0790175 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0831082 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0963358 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0662064 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0523519 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.096604 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0616268 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0642557 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0764449 # DEPENDENCYPART_SIBL
(6,4),(6,26),-0.0338348 # DEPENDENCYPART_SIBL
(6,4),(6,28),0.0362674 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0108266 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0628259 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0243522 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0619635 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0350359 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0908141 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0620659 # DEPENDENCYPART_SIBL
(6,5),(6,19),4.07709e-05 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.0645281 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.0509008 # DEPENDENCYPART_SIBL
(6,5),(6,28),-0.0083254 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.282239 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.292889 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.255119 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.814401 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.353547 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.212885 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0766429 # DEPENDENCYPART_SIBL
(6,7),(6,24),-0.121331 # DEPENDENCYPART_SIBL
(6,7),(6,26),0.0221694 # DEPENDENCYPART_SIBL
(6,7),(6,28),0.013608 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0140141 # DEPENDENCYPART_SIBL
