# _root_ But then it shot upward 7 1\/2 as Goldman , Sachs & Co. stepped in and bought , traders said .
#goldHeads=4,4,4,20,4,7,5,4,14,9,9,11,12,8,14,14,16,20,20,0,20,
#predictedHeads=4,4,4,20,4,7,5,4,8,9,9,11,12,20,14,14,16,20,20,0,20,
(8,16),-2.13978 # DEPENDENCYPART_ARC
(8,17),-0.997415 # DEPENDENCYPART_ARC
(8,20),-2.07559 # DEPENDENCYPART_ARC
(9,5),-2.63832 # DEPENDENCYPART_ARC
(9,6),-2.28157 # DEPENDENCYPART_ARC
(9,7),-1.75959 # DEPENDENCYPART_ARC
(9,8),-1.42505 # DEPENDENCYPART_ARC
(9,10),0.546493 # DEPENDENCYPART_ARC
(9,11),-0.479126 # DEPENDENCYPART_ARC
(9,12),-0.688899 # DEPENDENCYPART_ARC
(9,13),-1.93929 # DEPENDENCYPART_ARC
(9,14),-1.40814 # DEPENDENCYPART_ARC
(9,15),-2.06223 # DEPENDENCYPART_ARC
(9,16),-2.44859 # DEPENDENCYPART_ARC
(9,17),-1.84134 # DEPENDENCYPART_ARC
(9,18),-1.40785 # DEPENDENCYPART_ARC
(9,19),-2.4665 # DEPENDENCYPART_ARC
(9,20),-2.32575 # DEPENDENCYPART_ARC
(11,6),-2.21793 # DEPENDENCYPART_ARC
(11,7),-2.13756 # DEPENDENCYPART_ARC
(11,8),-2.00891 # DEPENDENCYPART_ARC
(11,9),-1.16588 # DEPENDENCYPART_ARC
(11,10),-1.06849 # DEPENDENCYPART_ARC
(11,12),2.0157 # DEPENDENCYPART_ARC
(11,13),-0.0103701 # DEPENDENCYPART_ARC
(11,14),-0.988512 # DEPENDENCYPART_ARC
(11,15),-1.44904 # DEPENDENCYPART_ARC
(11,16),-1.57587 # DEPENDENCYPART_ARC
(11,17),-1.46052 # DEPENDENCYPART_ARC
(11,18),-1.34965 # DEPENDENCYPART_ARC
(11,19),-2.17494 # DEPENDENCYPART_ARC
(11,20),-1.84324 # DEPENDENCYPART_ARC
(12,11),-0.95125 # DEPENDENCYPART_ARC
(12,13),2.21712 # DEPENDENCYPART_ARC
(12,14),0.883775 # DEPENDENCYPART_ARC
(12,15),-1.06769 # DEPENDENCYPART_ARC
(12,16),-0.400436 # DEPENDENCYPART_ARC
(12,17),0.0489923 # DEPENDENCYPART_ARC
(12,18),-0.621742 # DEPENDENCYPART_ARC
(12,19),-1.2233 # DEPENDENCYPART_ARC
(12,20),-0.849495 # DEPENDENCYPART_ARC
(13,14),-1.77053 # DEPENDENCYPART_ARC
(14,1),-1.2693 # DEPENDENCYPART_ARC
(14,2),-1.59031 # DEPENDENCYPART_ARC
(14,3),-2.00784 # DEPENDENCYPART_ARC
(14,4),-1.66784 # DEPENDENCYPART_ARC
(14,5),-1.60876 # DEPENDENCYPART_ARC
(14,6),-2.14419 # DEPENDENCYPART_ARC
(14,7),-1.97103 # DEPENDENCYPART_ARC
(14,8),-1.32726 # DEPENDENCYPART_ARC
(14,9),-1.72003 # DEPENDENCYPART_ARC
(14,10),-0.501904 # DEPENDENCYPART_ARC
(14,11),-0.416184 # DEPENDENCYPART_ARC
(14,12),-0.957939 # DEPENDENCYPART_ARC
(14,13),0.0423876 # DEPENDENCYPART_ARC
(14,15),1.04806 # DEPENDENCYPART_ARC
(14,16),0.723736 # DEPENDENCYPART_ARC
(14,17),-0.0774472 # DEPENDENCYPART_ARC
(14,18),-0.907943 # DEPENDENCYPART_ARC
(14,19),-0.757754 # DEPENDENCYPART_ARC
(14,20),-0.993506 # DEPENDENCYPART_ARC
(14,21),0.0352633 # DEPENDENCYPART_ARC
(15,16),-0.133872 # DEPENDENCYPART_ARC
(15,17),-0.859238 # DEPENDENCYPART_ARC
(15,19),-1.68796 # DEPENDENCYPART_ARC
(15,20),-1.51905 # DEPENDENCYPART_ARC
(16,15),-1.76526 # DEPENDENCYPART_ARC
(16,17),1.80098 # DEPENDENCYPART_ARC
(16,18),-0.966793 # DEPENDENCYPART_ARC
(16,19),-1.02595 # DEPENDENCYPART_ARC
(16,20),-0.455151 # DEPENDENCYPART_ARC
(17,1),-2.6425 # DEPENDENCYPART_ARC
(17,2),-2.73102 # DEPENDENCYPART_ARC
(17,4),-2.57923 # DEPENDENCYPART_ARC
(17,5),-2.69455 # DEPENDENCYPART_ARC
(17,7),-3.02872 # DEPENDENCYPART_ARC
(17,8),-2.62112 # DEPENDENCYPART_ARC
(17,9),-2.68688 # DEPENDENCYPART_ARC
(17,11),-2.05285 # DEPENDENCYPART_ARC
(17,15),-1.4565 # DEPENDENCYPART_ARC
(17,16),-1.30585 # DEPENDENCYPART_ARC
(17,18),0.0337728 # DEPENDENCYPART_ARC
(17,19),-0.610836 # DEPENDENCYPART_ARC
(17,20),-0.890426 # DEPENDENCYPART_ARC
(17,21),-2.42412 # DEPENDENCYPART_ARC
(18,19),-1.71126 # DEPENDENCYPART_ARC
(19,15),-2.2887 # DEPENDENCYPART_ARC
(19,17),-1.66974 # DEPENDENCYPART_ARC
(19,18),-1.34585 # DEPENDENCYPART_ARC
(19,20),-0.393868 # DEPENDENCYPART_ARC
(20,1),-1.67705 # DEPENDENCYPART_ARC
(20,2),-1.53425 # DEPENDENCYPART_ARC
(20,3),-2.3829 # DEPENDENCYPART_ARC
(20,4),-0.611199 # DEPENDENCYPART_ARC
(20,5),-1.71338 # DEPENDENCYPART_ARC
(20,6),-2.35839 # DEPENDENCYPART_ARC
(20,7),-2.09631 # DEPENDENCYPART_ARC
(20,8),-1.54078 # DEPENDENCYPART_ARC
(20,9),-2.17973 # DEPENDENCYPART_ARC
(20,10),-2.2411 # DEPENDENCYPART_ARC
(20,11),-1.56091 # DEPENDENCYPART_ARC
(20,12),-1.87331 # DEPENDENCYPART_ARC
(20,13),-1.92141 # DEPENDENCYPART_ARC
(20,14),-0.881767 # DEPENDENCYPART_ARC
(20,15),-1.72617 # DEPENDENCYPART_ARC
(20,16),-1.64298 # DEPENDENCYPART_ARC
(20,17),-0.645936 # DEPENDENCYPART_ARC
(20,18),0.469028 # DEPENDENCYPART_ARC
(20,19),1.55766 # DEPENDENCYPART_ARC
(20,21),1.07907 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.713326 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.712225 # DEPENDENCYPART_SIBL
(0,2),(0,20),-1.12261 # DEPENDENCYPART_SIBL
(0,4),(0,14),-1.64831 # DEPENDENCYPART_SIBL
(0,4),(0,20),-2.27324 # DEPENDENCYPART_SIBL
(0,14),(0,20),-2.27291 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.102857 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.304536 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.330218 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00765958 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00236266 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0360006 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0426199 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0507453 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0357304 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0562044 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.153376 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0067563 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0612936 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0203808 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0163494 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00153432 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0442252 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0377812 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.087674 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0449918 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0159743 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0148158 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.000949228 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0981248 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00970921 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.129903 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0492712 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0569664 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0368004 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.349531 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0229737 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0072629 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0263 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0191609 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0662167 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.100669 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0673801 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0455932 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0887789 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0970645 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0532777 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0713055 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0896298 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0276328 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0903053 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.039946 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0805046 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.493226 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.101952 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0365408 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00575229 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00532644 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0385915 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0167761 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.209923 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.123299 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0407951 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0238425 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0346267 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.120267 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0253929 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0457621 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0294962 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0683249 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0418068 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0759608 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.133952 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0485725 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0457621 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0191983 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.362333 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.265085 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00093414 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0119837 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0192048 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0768379 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0132306 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0309656 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0221072 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0535787 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0220528 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0365746 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0248695 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0345723 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0309656 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0246449 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0494758 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0633843 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0190605 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0262175 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.130091 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0132321 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0284546 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00913069 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.104277 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00111648 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0461186 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0133131 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0303351 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0284546 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0245087 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00765817 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.101637 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0900408 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.149463 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0370502 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0442383 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0370019 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.08553 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.00932076 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0853959 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0263786 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0103146 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0442383 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.123304 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0226161 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.141574 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0576284 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0919149 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0350428 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0913812 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0324565 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0154928 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00876717 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.118248 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0034297 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0350428 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.285817 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0592175 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0667435 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0556011 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.103201 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0550675 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0217942 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0555624 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00445517 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.104267 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0434993 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.103201 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.251249 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0273359 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.144372 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0143452 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.143883 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.148288 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.071477 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00619696 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0322252 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.112965 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0143452 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.171445 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.0622704 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0151997 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.206248 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.14138 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0265866 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0537948 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0151473 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0431085 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0151997 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.176736 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.00373636 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0528655 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.353002 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.376184 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0380265 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.520065 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.341802 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.138242 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.00670805 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.008165 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.164768 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.047737 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0607122 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0442341 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0642589 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0293033 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.184301 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0379289 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0722346 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0101054 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.818065 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0843058 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0195155 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0991816 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.166971 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.121048 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0129623 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.378548 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0298867 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.272243 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.00199751 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0836759 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.044926 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0946693 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0132255 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.0403285 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0784036 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0642201 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0436192 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.00779479 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0711718 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.287794 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.0433266 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.00670805 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.008165 # DEPENDENCYPART_SIBL
(4,19),(4,21),0.0736501 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.270677 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.124599 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0471943 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00984022 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0179656 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0653244 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0268149 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.167991 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0268154 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0411384 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0323611 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0115415 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0299907 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.283208 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.10981 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.223631 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.233957 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.156706 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0642331 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.202158 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0594593 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0818194 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.061164 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.028111 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.103337 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.014665 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0103113 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0124607 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00581973 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0541887 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0719619 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0541874 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.109003 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0124773 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0336542 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.109551 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.000820919 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00468115 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0178794 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0289437 # DEPENDENCYPART_SIBL
