# _root_ The new offer , which seeks 50.3 % of the cellular and broadcasting concern , is for $ 125 a share for 22 million LIN shares .
#goldHeads=3,3,16,3,6,3,8,6,8,14,14,11,12,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
#predictedHeads=3,3,16,3,6,3,8,6,8,14,14,11,14,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
(12,14),0.2721 # DEPENDENCYPART_ARC
(12,15),-0.874198 # DEPENDENCYPART_ARC
(12,16),-0.166405 # DEPENDENCYPART_ARC
(12,17),-1.63232 # DEPENDENCYPART_ARC
(12,18),-1.78582 # DEPENDENCYPART_ARC
(12,22),-1.4162 # DEPENDENCYPART_ARC
(13,10),-2.50694 # DEPENDENCYPART_ARC
(13,11),-1.66386 # DEPENDENCYPART_ARC
(13,12),-2.30179 # DEPENDENCYPART_ARC
(13,14),-1.13646 # DEPENDENCYPART_ARC
(13,15),-1.90382 # DEPENDENCYPART_ARC
(13,16),-1.63822 # DEPENDENCYPART_ARC
(14,2),-2.25719 # DEPENDENCYPART_ARC
(14,3),-3.41057 # DEPENDENCYPART_ARC
(14,4),-2.82619 # DEPENDENCYPART_ARC
(14,5),-2.3832 # DEPENDENCYPART_ARC
(14,7),-2.19026 # DEPENDENCYPART_ARC
(14,8),-2.73818 # DEPENDENCYPART_ARC
(14,9),-1.93187 # DEPENDENCYPART_ARC
(14,10),-0.175379 # DEPENDENCYPART_ARC
(14,11),0.0822952 # DEPENDENCYPART_ARC
(14,12),-1.24533 # DEPENDENCYPART_ARC
(14,13),1.65358 # DEPENDENCYPART_ARC
(14,15),-1.36768 # DEPENDENCYPART_ARC
(14,16),-1.96331 # DEPENDENCYPART_ARC
(14,17),-1.82991 # DEPENDENCYPART_ARC
(14,18),-2.63447 # DEPENDENCYPART_ARC
(14,21),-2.89962 # DEPENDENCYPART_ARC
(14,22),-2.54663 # DEPENDENCYPART_ARC
(16,3),-1.11427 # DEPENDENCYPART_ARC
(16,4),-2.35969 # DEPENDENCYPART_ARC
(16,5),-2.16681 # DEPENDENCYPART_ARC
(16,6),-1.67161 # DEPENDENCYPART_ARC
(16,7),-2.13869 # DEPENDENCYPART_ARC
(16,8),-1.13514 # DEPENDENCYPART_ARC
(16,9),-1.85363 # DEPENDENCYPART_ARC
(16,10),-2.32101 # DEPENDENCYPART_ARC
(16,11),-1.84418 # DEPENDENCYPART_ARC
(16,12),-1.0296 # DEPENDENCYPART_ARC
(16,13),-0.501407 # DEPENDENCYPART_ARC
(16,14),-0.110997 # DEPENDENCYPART_ARC
(16,15),-0.66024 # DEPENDENCYPART_ARC
(16,17),1.13376 # DEPENDENCYPART_ARC
(16,18),-0.49597 # DEPENDENCYPART_ARC
(16,19),-1.45236 # DEPENDENCYPART_ARC
(16,21),-0.843618 # DEPENDENCYPART_ARC
(16,22),-0.658278 # DEPENDENCYPART_ARC
(16,23),-2.42297 # DEPENDENCYPART_ARC
(16,24),-2.44992 # DEPENDENCYPART_ARC
(16,26),-1.34895 # DEPENDENCYPART_ARC
(16,27),1.42996 # DEPENDENCYPART_ARC
(17,18),0.518806 # DEPENDENCYPART_ARC
(17,19),-0.875606 # DEPENDENCYPART_ARC
(17,21),-0.7085 # DEPENDENCYPART_ARC
(17,22),-1.56361 # DEPENDENCYPART_ARC
(17,23),-2.99952 # DEPENDENCYPART_ARC
(17,24),-3.14109 # DEPENDENCYPART_ARC
(17,26),-1.1685 # DEPENDENCYPART_ARC
(18,3),-3.22189 # DEPENDENCYPART_ARC
(18,14),-2.19401 # DEPENDENCYPART_ARC
(18,17),-0.28242 # DEPENDENCYPART_ARC
(18,19),1.71815 # DEPENDENCYPART_ARC
(18,20),-0.784763 # DEPENDENCYPART_ARC
(18,21),-0.371335 # DEPENDENCYPART_ARC
(18,22),-0.963839 # DEPENDENCYPART_ARC
(18,23),-1.43954 # DEPENDENCYPART_ARC
(18,24),-1.34956 # DEPENDENCYPART_ARC
(18,26),-1.79045 # DEPENDENCYPART_ARC
(18,27),-1.72952 # DEPENDENCYPART_ARC
(19,3),-3.60973 # DEPENDENCYPART_ARC
(19,17),-1.21854 # DEPENDENCYPART_ARC
(19,21),-1.34746 # DEPENDENCYPART_ARC
(19,23),-2.26351 # DEPENDENCYPART_ARC
(19,24),-2.37405 # DEPENDENCYPART_ARC
(21,11),-2.29641 # DEPENDENCYPART_ARC
(21,18),-0.797341 # DEPENDENCYPART_ARC
(21,19),-1.06956 # DEPENDENCYPART_ARC
(21,20),1.9746 # DEPENDENCYPART_ARC
(21,22),-0.314309 # DEPENDENCYPART_ARC
(21,23),-1.63541 # DEPENDENCYPART_ARC
(21,24),-2.19746 # DEPENDENCYPART_ARC
(21,26),-2.27687 # DEPENDENCYPART_ARC
(22,21),-1.88438 # DEPENDENCYPART_ARC
(22,23),-0.420608 # DEPENDENCYPART_ARC
(22,24),-1.01462 # DEPENDENCYPART_ARC
(22,25),-1.50359 # DEPENDENCYPART_ARC
(22,26),0.445238 # DEPENDENCYPART_ARC
(23,24),-1.42829 # DEPENDENCYPART_ARC
(23,25),-1.96466 # DEPENDENCYPART_ARC
(23,26),-1.98218 # DEPENDENCYPART_ARC
(24,17),-1.92311 # DEPENDENCYPART_ARC
(24,21),-1.96226 # DEPENDENCYPART_ARC
(24,22),-0.979729 # DEPENDENCYPART_ARC
(24,23),1.10348 # DEPENDENCYPART_ARC
(24,25),-1.55024 # DEPENDENCYPART_ARC
(24,26),-1.90479 # DEPENDENCYPART_ARC
(25,23),-1.4549 # DEPENDENCYPART_ARC
(25,24),-1.03041 # DEPENDENCYPART_ARC
(26,10),-3.03837 # DEPENDENCYPART_ARC
(26,11),-2.8465 # DEPENDENCYPART_ARC
(26,18),-2.02686 # DEPENDENCYPART_ARC
(26,20),-1.68384 # DEPENDENCYPART_ARC
(26,21),-1.91223 # DEPENDENCYPART_ARC
(26,23),-0.982855 # DEPENDENCYPART_ARC
(26,24),0.222944 # DEPENDENCYPART_ARC
(26,25),1.31422 # DEPENDENCYPART_ARC
(26,27),-1.33677 # DEPENDENCYPART_ARC
(27,26),-2.54936 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.66507 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.252163 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.701701 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.517906 # DEPENDENCYPART_SIBL
(0,6),(0,16),-1.49292 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.714672 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.225179 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0514854 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.196043 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.165214 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.188868 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.328933 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0548491 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.172628 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0196384 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0934944 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.149635 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.181865 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.170304 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.376241 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.137734 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.111718 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.186573 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0604472 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0851354 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0196384 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00247965 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.14764 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0326473 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.14764 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.176162 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.153481 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0571187 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.128751 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0530552 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.10247 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0287195 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0294681 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0563741 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0878261 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0246052 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0313031 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.153481 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.123473 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.179662 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0832302 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.179662 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.037697 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0275846 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.469333 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.323903 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.480206 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.163087 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.116967 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.351989 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.590394 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.644491 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.543563 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0639536 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.507475 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0802318 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.514175 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0802318 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.0400615 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0715354 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0204644 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.119016 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.107668 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0498363 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0718622 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0155538 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0975757 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.111987 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0567723 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0958676 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.155978 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0740172 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.155978 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.141098 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0457345 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0231395 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00544671 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0093103 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0140424 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.148921 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0166908 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00156097 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.175614 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.228236 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0492677 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0400811 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0492677 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0844686 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0360245 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.037639 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0239234 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0867662 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0670699 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00338836 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0178016 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0439992 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0436789 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.107709 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0786723 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.107709 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.0631805 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00409676 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00404017 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0809699 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0774891 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0545376 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0766543 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0174108 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0817926 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.120352 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0491796 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.120352 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.0288625 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0199576 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.00684305 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.160146 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0568826 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0188751 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0451695 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.287352 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.00968448 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.022324 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.00968448 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0409947 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0481028 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0479284 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.102752 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.11754 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0598301 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.137353 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.149306 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0813091 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.149306 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.200388 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0446685 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0512275 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0704528 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0341732 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0635166 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.106501 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0279122 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.106501 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.0465649 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0895701 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.120217 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0362251 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.041339 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.117189 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0720144 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.117189 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0570576 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.128544 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0352383 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.043658 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0737355 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0981655 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0737355 # DEPENDENCYPART_SIBL
(3,13),(3,27),-0.00123281 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0517315 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0548898 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.114846 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.111754 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.114846 # DEPENDENCYPART_SIBL
(3,14),(3,27),0.0150011 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.507475 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.0802318 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.514175 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0802318 # DEPENDENCYPART_SIBL
(3,15),(3,27),-0.0400615 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0796108 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.0393218 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0796108 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.0227584 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.170575 # DEPENDENCYPART_SIBL
(3,17),(3,22),0.0163052 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.151944 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.144732 # DEPENDENCYPART_SIBL
(3,21),(3,27),-0.0188457 # DEPENDENCYPART_SIBL
(3,22),(3,27),0.151944 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.023485 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0185435 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0020691 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0170526 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0287653 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0345166 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0604217 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.478391 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0540529 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0105572 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0416891 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.100898 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0577453 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0111371 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0100092 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0492501 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0121087 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0240468 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0219019 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0163926 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0219019 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0378107 # DEPENDENCYPART_SIBL
(6,3),(6,27),-0.0151218 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.120706 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0504133 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0250744 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.121332 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.107428 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0382684 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.064174 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0269137 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0158809 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0360523 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0628562 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0250083 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.084266 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0250083 # DEPENDENCYPART_SIBL
(6,4),(6,26),0.0310508 # DEPENDENCYPART_SIBL
(6,4),(6,27),0.0633972 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00327732 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.178246 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.013414 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0252481 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.132355 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.124216 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.077343 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.170711 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0752134 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0163666 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.125812 # DEPENDENCYPART_SIBL
