# _root_ Now in its 13th day , the strike has idled about 55,000 machinists and has started to delay delivery of some jetliners .
#goldHeads=2,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
(8,13),-1.82086 # DEPENDENCYPART_ARC
(8,14),-1.46783 # DEPENDENCYPART_ARC
(8,15),-1.98685 # DEPENDENCYPART_ARC
(8,16),-2.22548 # DEPENDENCYPART_ARC
(8,20),-1.62075 # DEPENDENCYPART_ARC
(9,1),-0.797211 # DEPENDENCYPART_ARC
(9,2),-0.828665 # DEPENDENCYPART_ARC
(9,3),-1.74684 # DEPENDENCYPART_ARC
(9,4),-2.05526 # DEPENDENCYPART_ARC
(9,5),-1.09355 # DEPENDENCYPART_ARC
(9,6),0.18613 # DEPENDENCYPART_ARC
(9,7),-1.37877 # DEPENDENCYPART_ARC
(9,8),1.14354 # DEPENDENCYPART_ARC
(9,10),2.0013 # DEPENDENCYPART_ARC
(9,11),-1.28717 # DEPENDENCYPART_ARC
(9,12),-1.80987 # DEPENDENCYPART_ARC
(9,13),-1.01172 # DEPENDENCYPART_ARC
(9,14),-0.223759 # DEPENDENCYPART_ARC
(9,15),-1.29708 # DEPENDENCYPART_ARC
(9,16),-1.05261 # DEPENDENCYPART_ARC
(9,17),-1.91527 # DEPENDENCYPART_ARC
(9,23),-0.344681 # DEPENDENCYPART_ARC
(10,1),-2.05417 # DEPENDENCYPART_ARC
(10,2),-1.50301 # DEPENDENCYPART_ARC
(10,5),-1.73627 # DEPENDENCYPART_ARC
(10,6),-1.616 # DEPENDENCYPART_ARC
(10,7),-1.44976 # DEPENDENCYPART_ARC
(10,8),-1.35261 # DEPENDENCYPART_ARC
(10,9),-0.857297 # DEPENDENCYPART_ARC
(10,11),0.158629 # DEPENDENCYPART_ARC
(10,12),-0.960128 # DEPENDENCYPART_ARC
(10,13),-0.548666 # DEPENDENCYPART_ARC
(10,14),-0.671505 # DEPENDENCYPART_ARC
(10,15),-1.25129 # DEPENDENCYPART_ARC
(10,16),-1.28041 # DEPENDENCYPART_ARC
(10,17),-0.692367 # DEPENDENCYPART_ARC
(10,18),-1.84973 # DEPENDENCYPART_ARC
(10,19),-1.41897 # DEPENDENCYPART_ARC
(10,20),-1.30399 # DEPENDENCYPART_ARC
(10,22),-1.93245 # DEPENDENCYPART_ARC
(10,23),-1.81799 # DEPENDENCYPART_ARC
(11,2),-2.08141 # DEPENDENCYPART_ARC
(11,8),-1.86472 # DEPENDENCYPART_ARC
(11,10),-1.17493 # DEPENDENCYPART_ARC
(11,12),1.26007 # DEPENDENCYPART_ARC
(11,13),-0.879169 # DEPENDENCYPART_ARC
(11,14),-0.594262 # DEPENDENCYPART_ARC
(11,15),-0.692179 # DEPENDENCYPART_ARC
(11,16),-1.49935 # DEPENDENCYPART_ARC
(11,17),-0.811874 # DEPENDENCYPART_ARC
(11,19),-2.00547 # DEPENDENCYPART_ARC
(11,20),-0.936359 # DEPENDENCYPART_ARC
(11,23),-1.72985 # DEPENDENCYPART_ARC
(12,2),-2.50109 # DEPENDENCYPART_ARC
(12,7),-1.93942 # DEPENDENCYPART_ARC
(12,8),-2.4977 # DEPENDENCYPART_ARC
(12,9),-1.87697 # DEPENDENCYPART_ARC
(12,10),-1.47443 # DEPENDENCYPART_ARC
(12,11),-0.570682 # DEPENDENCYPART_ARC
(12,13),-1.35527 # DEPENDENCYPART_ARC
(12,14),-1.46024 # DEPENDENCYPART_ARC
(12,15),-1.55603 # DEPENDENCYPART_ARC
(13,1),-2.79878 # DEPENDENCYPART_ARC
(13,3),-0.856564 # DEPENDENCYPART_ARC
(13,4),-1.76256 # DEPENDENCYPART_ARC
(13,5),-2.35377 # DEPENDENCYPART_ARC
(13,7),-1.52392 # DEPENDENCYPART_ARC
(13,8),-1.41781 # DEPENDENCYPART_ARC
(13,9),-1.82554 # DEPENDENCYPART_ARC
(13,10),-1.04428 # DEPENDENCYPART_ARC
(13,11),0.7439 # DEPENDENCYPART_ARC
(13,12),0.94986 # DEPENDENCYPART_ARC
(13,14),-0.00180318 # DEPENDENCYPART_ARC
(13,15),-0.660151 # DEPENDENCYPART_ARC
(13,16),-0.946911 # DEPENDENCYPART_ARC
(13,17),-1.1218 # DEPENDENCYPART_ARC
(13,19),-1.98876 # DEPENDENCYPART_ARC
(13,20),-0.831788 # DEPENDENCYPART_ARC
(13,22),-2.00901 # DEPENDENCYPART_ARC
(14,13),-1.28787 # DEPENDENCYPART_ARC
(14,15),2.0201 # DEPENDENCYPART_ARC
(14,16),-0.354763 # DEPENDENCYPART_ARC
(14,17),-1.52767 # DEPENDENCYPART_ARC
(14,18),-1.6154 # DEPENDENCYPART_ARC
(14,19),-1.36005 # DEPENDENCYPART_ARC
(15,1),-1.92563 # DEPENDENCYPART_ARC
(15,2),-2.11073 # DEPENDENCYPART_ARC
(15,5),-2.30442 # DEPENDENCYPART_ARC
(15,6),-2.61986 # DEPENDENCYPART_ARC
(15,8),-1.51993 # DEPENDENCYPART_ARC
(15,9),-2.20469 # DEPENDENCYPART_ARC
(15,11),-2.23714 # DEPENDENCYPART_ARC
(15,12),-2.37178 # DEPENDENCYPART_ARC
(15,13),-2.10735 # DEPENDENCYPART_ARC
(15,14),-1.17538 # DEPENDENCYPART_ARC
(15,16),1.7779 # DEPENDENCYPART_ARC
(15,17),-0.567869 # DEPENDENCYPART_ARC
(15,18),-1.21049 # DEPENDENCYPART_ARC
(15,19),-1.4262 # DEPENDENCYPART_ARC
(15,20),-1.49912 # DEPENDENCYPART_ARC
(15,22),-1.88644 # DEPENDENCYPART_ARC
(15,23),-0.745658 # DEPENDENCYPART_ARC
(16,1),-2.63022 # DEPENDENCYPART_ARC
(16,2),-2.1338 # DEPENDENCYPART_ARC
(16,8),-2.03478 # DEPENDENCYPART_ARC
(16,9),-2.04168 # DEPENDENCYPART_ARC
(16,11),-1.7803 # DEPENDENCYPART_ARC
(16,12),-2.30005 # DEPENDENCYPART_ARC
(16,13),-1.41154 # DEPENDENCYPART_ARC
(16,15),-1.10529 # DEPENDENCYPART_ARC
(16,17),1.27013 # DEPENDENCYPART_ARC
(16,18),-0.520689 # DEPENDENCYPART_ARC
(16,19),-0.607204 # DEPENDENCYPART_ARC
(16,20),-0.658931 # DEPENDENCYPART_ARC
(16,22),-1.53543 # DEPENDENCYPART_ARC
(16,23),-1.64736 # DEPENDENCYPART_ARC
(17,13),-2.09479 # DEPENDENCYPART_ARC
(17,16),-1.34806 # DEPENDENCYPART_ARC
(17,18),1.75767 # DEPENDENCYPART_ARC
(17,19),-0.120339 # DEPENDENCYPART_ARC
(17,20),-1.06644 # DEPENDENCYPART_ARC
(17,22),-0.993368 # DEPENDENCYPART_ARC
(18,2),-2.26627 # DEPENDENCYPART_ARC
(18,19),0.916783 # DEPENDENCYPART_ARC
(18,20),-0.207619 # DEPENDENCYPART_ARC
(18,21),-1.87494 # DEPENDENCYPART_ARC
(18,22),-0.487399 # DEPENDENCYPART_ARC
(18,23),-1.7177 # DEPENDENCYPART_ARC
(19,11),-2.22922 # DEPENDENCYPART_ARC
(19,16),-1.44782 # DEPENDENCYPART_ARC
(19,18),-0.781825 # DEPENDENCYPART_ARC
(19,20),1.0403 # DEPENDENCYPART_ARC
(19,21),-1.38131 # DEPENDENCYPART_ARC
(19,22),-0.746351 # DEPENDENCYPART_ARC
(19,23),-1.3739 # DEPENDENCYPART_ARC
(20,21),-0.474157 # DEPENDENCYPART_ARC
(20,22),1.50237 # DEPENDENCYPART_ARC
(22,21),1.43926 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0840566 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0805911 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.659237 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0564659 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.659237 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.10992 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.754909 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.109329 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.754909 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.732383 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0908255 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.732383 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.628773 # DEPENDENCYPART_SIBL
(0,9),(0,15),-1.54046 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.634401 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0435681 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0667035 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.155301 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0108262 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0853691 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0853287 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.132818 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0351843 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0352224 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0760825 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0369856 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0503634 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0642531 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00947369 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0603575 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0274424 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0650035 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0977605 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0596372 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.107268 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0224231 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0611329 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.356172 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.542905 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.292929 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0905932 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.26883 # DEPENDENCYPART_SIBL
(1,14),(1,23),0.0197177 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0477985 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0799097 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0517489 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0688114 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0230574 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00948224 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0383447 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00393213 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.118229 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0860922 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.143491 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.463697 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0040032 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.457769 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.364421 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.117179 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.000327209 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0309016 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0835245 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.613498 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0304166 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.629714 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.498368 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.200558 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.153747 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.088518 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.00846009 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.136797 # DEPENDENCYPART_SIBL
(2,5),(2,8),-1.01446 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.648738 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.303067 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.093683 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0160853 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0797446 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0657534 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.178314 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.350448 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.415304 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.480329 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.395117 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.643515 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.305929 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0779785 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0432082 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0989903 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.238343 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0526155 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0834309 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.340738 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.171689 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0173682 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.146632 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0564164 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.0220227 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0687683 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0349531 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0222551 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0223709 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.124992 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0199796 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0182825 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.03012 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.149005 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.149998 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.116754 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.141895 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0945922 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.074961 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0787175 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0651593 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0159776 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0286484 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.074961 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0905116 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.174842 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0592714 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.248468 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.144846 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0578738 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0868784 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00493135 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0570587 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.033156 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0549312 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.012664 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0539023 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0570587 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0435624 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0495438 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0182206 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.129356 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0684113 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0861424 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0799055 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0171758 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0661363 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0534459 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0246912 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0288133 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0171758 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.094453 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0598789 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0147479 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0704958 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0645026 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0242023 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0124558 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0236823 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00418634 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0051618 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0731788 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0124558 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0505043 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.112458 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0379413 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.133149 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.673431 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.532331 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.606636 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.16803 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.614543 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.517505 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.532331 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.604871 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.322854 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0249519 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0866102 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.12068 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0598629 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.142663 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0112859 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.120785 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.12068 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.065816 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0503074 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.198899 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.077973 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0359808 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0909656 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.152674 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0353734 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.077973 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0422807 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0722347 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0113212 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0450464 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0062998 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0318346 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.109374 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.140133 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0512153 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.195854 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.111783 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.15306 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0201081 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0996846 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0293743 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.224692 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0141392 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0166316 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0150751 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.00499282 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0336062 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0396137 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.010523 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.136588 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0240956 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.111427 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0578762 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.00147935 # DEPENDENCYPART_SIBL
(5,13),(5,23),-0.0217554 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.04755 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.113165 # DEPENDENCYPART_SIBL
(5,14),(5,20),0.276775 # DEPENDENCYPART_SIBL
(5,14),(5,23),-0.02099 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0512153 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.195854 # DEPENDENCYPART_SIBL
(5,15),(5,23),0.111783 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.00653625 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0293412 # DEPENDENCYPART_SIBL
(5,20),(5,23),-0.0671627 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0967622 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.117231 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.191781 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.380876 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.38099 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0444251 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0520401 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.00344716 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0370944 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0365595 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0444251 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0803569 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0468084 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0467426 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.291411 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.629746 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0695857 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0153027 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0921496 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0385541 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.00245505 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0695857 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0115193 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0502434 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.220042 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.530244 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0156161 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0183745 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0033518 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.00881465 # DEPENDENCYPART_SIBL
