# _root_ `` Markets in this region are n't so geared to leveraged buy-outs , and their economies generally are in good shape , but there 's no doubt that Asia is still following America 's lead . ''
#goldHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
#predictedHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
(11,14),-1.16723 # DEPENDENCYPART_ARC
(11,16),-1.46085 # DEPENDENCYPART_ARC
(11,17),-1.53417 # DEPENDENCYPART_ARC
(11,18),-1.78426 # DEPENDENCYPART_ARC
(11,19),-1.56126 # DEPENDENCYPART_ARC
(11,21),-1.99102 # DEPENDENCYPART_ARC
(11,36),-2.59761 # DEPENDENCYPART_ARC
(12,1),-2.659 # DEPENDENCYPART_ARC
(12,2),-2.39253 # DEPENDENCYPART_ARC
(12,4),-2.30223 # DEPENDENCYPART_ARC
(12,5),-1.54732 # DEPENDENCYPART_ARC
(12,7),-1.28874 # DEPENDENCYPART_ARC
(12,8),-1.11352 # DEPENDENCYPART_ARC
(12,9),-0.632074 # DEPENDENCYPART_ARC
(12,10),-1.05641 # DEPENDENCYPART_ARC
(12,11),1.0608 # DEPENDENCYPART_ARC
(12,13),-0.775415 # DEPENDENCYPART_ARC
(12,14),-0.988004 # DEPENDENCYPART_ARC
(12,15),-1.81864 # DEPENDENCYPART_ARC
(12,16),-1.57006 # DEPENDENCYPART_ARC
(12,17),-1.74218 # DEPENDENCYPART_ARC
(12,18),-1.85608 # DEPENDENCYPART_ARC
(12,19),-1.78798 # DEPENDENCYPART_ARC
(12,21),-2.13543 # DEPENDENCYPART_ARC
(12,22),-1.33726 # DEPENDENCYPART_ARC
(12,37),-2.15863 # DEPENDENCYPART_ARC
(14,15),-0.649347 # DEPENDENCYPART_ARC
(14,16),0.103142 # DEPENDENCYPART_ARC
(14,17),-1.71046 # DEPENDENCYPART_ARC
(14,18),0.26406 # DEPENDENCYPART_ARC
(14,19),-1.43898 # DEPENDENCYPART_ARC
(14,20),-2.35028 # DEPENDENCYPART_ARC
(14,21),-1.88471 # DEPENDENCYPART_ARC
(14,23),-1.46722 # DEPENDENCYPART_ARC
(14,24),-2.65939 # DEPENDENCYPART_ARC
(14,25),-1.03513 # DEPENDENCYPART_ARC
(14,30),-0.961768 # DEPENDENCYPART_ARC
(16,11),-1.70067 # DEPENDENCYPART_ARC
(16,12),-2.01121 # DEPENDENCYPART_ARC
(16,15),1.70673 # DEPENDENCYPART_ARC
(16,17),-1.05346 # DEPENDENCYPART_ARC
(16,18),-1.34533 # DEPENDENCYPART_ARC
(16,19),-1.16908 # DEPENDENCYPART_ARC
(16,20),-1.88909 # DEPENDENCYPART_ARC
(16,21),-2.01987 # DEPENDENCYPART_ARC
(16,22),-1.55914 # DEPENDENCYPART_ARC
(16,23),-1.83339 # DEPENDENCYPART_ARC
(16,25),-2.09368 # DEPENDENCYPART_ARC
(17,15),-1.49295 # DEPENDENCYPART_ARC
(17,16),-0.966945 # DEPENDENCYPART_ARC
(17,19),-1.89052 # DEPENDENCYPART_ARC
(18,1),-0.621178 # DEPENDENCYPART_ARC
(18,2),-1.02619 # DEPENDENCYPART_ARC
(18,3),-1.50818 # DEPENDENCYPART_ARC
(18,4),-2.23781 # DEPENDENCYPART_ARC
(18,5),-1.95906 # DEPENDENCYPART_ARC
(18,6),-1.27729 # DEPENDENCYPART_ARC
(18,7),-1.49423 # DEPENDENCYPART_ARC
(18,8),-1.5087 # DEPENDENCYPART_ARC
(18,9),-1.72627 # DEPENDENCYPART_ARC
(18,10),-1.67374 # DEPENDENCYPART_ARC
(18,11),-1.54832 # DEPENDENCYPART_ARC
(18,12),-0.438832 # DEPENDENCYPART_ARC
(18,13),-1.46405 # DEPENDENCYPART_ARC
(18,14),-1.30659 # DEPENDENCYPART_ARC
(18,15),-0.776641 # DEPENDENCYPART_ARC
(18,16),0.752606 # DEPENDENCYPART_ARC
(18,17),0.664247 # DEPENDENCYPART_ARC
(18,19),1.09449 # DEPENDENCYPART_ARC
(18,20),-0.351171 # DEPENDENCYPART_ARC
(18,21),-0.838649 # DEPENDENCYPART_ARC
(18,22),-0.309818 # DEPENDENCYPART_ARC
(18,23),-0.559204 # DEPENDENCYPART_ARC
(18,24),-1.98548 # DEPENDENCYPART_ARC
(18,25),-1.25964 # DEPENDENCYPART_ARC
(18,27),-2.09384 # DEPENDENCYPART_ARC
(18,29),-2.68965 # DEPENDENCYPART_ARC
(18,30),-1.86541 # DEPENDENCYPART_ARC
(18,31),-1.87096 # DEPENDENCYPART_ARC
(18,32),-1.73629 # DEPENDENCYPART_ARC
(18,35),-2.64499 # DEPENDENCYPART_ARC
(18,36),-0.389033 # DEPENDENCYPART_ARC
(18,37),-0.758607 # DEPENDENCYPART_ARC
(19,20),-0.160586 # DEPENDENCYPART_ARC
(19,21),1.56823 # DEPENDENCYPART_ARC
(19,22),-1.00632 # DEPENDENCYPART_ARC
(19,23),-1.15683 # DEPENDENCYPART_ARC
(19,24),-1.62676 # DEPENDENCYPART_ARC
(19,25),-0.863416 # DEPENDENCYPART_ARC
(21,15),-1.30515 # DEPENDENCYPART_ARC
(21,16),-1.70296 # DEPENDENCYPART_ARC
(21,17),-1.40919 # DEPENDENCYPART_ARC
(21,20),1.11833 # DEPENDENCYPART_ARC
(21,22),-0.955208 # DEPENDENCYPART_ARC
(21,23),-0.866318 # DEPENDENCYPART_ARC
(21,24),-1.85325 # DEPENDENCYPART_ARC
(21,25),-1.4767 # DEPENDENCYPART_ARC
(21,27),-2.39982 # DEPENDENCYPART_ARC
(21,29),-2.8937 # DEPENDENCYPART_ARC
(21,30),-2.13388 # DEPENDENCYPART_ARC
(21,35),-3.31071 # DEPENDENCYPART_ARC
(23,24),-0.710975 # DEPENDENCYPART_ARC
(23,25),1.18728 # DEPENDENCYPART_ARC
(23,27),-1.99069 # DEPENDENCYPART_ARC
(23,28),-2.96394 # DEPENDENCYPART_ARC
(23,30),-0.308197 # DEPENDENCYPART_ARC
(24,25),-0.778116 # DEPENDENCYPART_ARC
(24,27),-2.00465 # DEPENDENCYPART_ARC
(25,1),-1.9259 # DEPENDENCYPART_ARC
(25,3),-2.10339 # DEPENDENCYPART_ARC
(25,5),-2.44218 # DEPENDENCYPART_ARC
(25,6),-1.59754 # DEPENDENCYPART_ARC
(25,7),-2.17174 # DEPENDENCYPART_ARC
(25,8),-2.32854 # DEPENDENCYPART_ARC
(25,9),-2.27512 # DEPENDENCYPART_ARC
(25,10),-2.40201 # DEPENDENCYPART_ARC
(25,11),-2.2338 # DEPENDENCYPART_ARC
(25,13),-3.30139 # DEPENDENCYPART_ARC
(25,14),-2.18809 # DEPENDENCYPART_ARC
(25,15),-2.1044 # DEPENDENCYPART_ARC
(25,16),-2.39334 # DEPENDENCYPART_ARC
(25,17),-1.71575 # DEPENDENCYPART_ARC
(25,18),-1.50655 # DEPENDENCYPART_ARC
(25,19),-1.20218 # DEPENDENCYPART_ARC
(25,20),-2.18735 # DEPENDENCYPART_ARC
(25,21),-1.70954 # DEPENDENCYPART_ARC
(25,22),-1.60945 # DEPENDENCYPART_ARC
(25,23),-1.02751 # DEPENDENCYPART_ARC
(25,24),1.24231 # DEPENDENCYPART_ARC
(25,26),-0.76108 # DEPENDENCYPART_ARC
(25,27),0.188169 # DEPENDENCYPART_ARC
(25,28),-2.15765 # DEPENDENCYPART_ARC
(25,29),-1.81469 # DEPENDENCYPART_ARC
(25,30),-0.348306 # DEPENDENCYPART_ARC
(25,31),-1.47636 # DEPENDENCYPART_ARC
(25,32),-1.30774 # DEPENDENCYPART_ARC
(25,33),-2.60799 # DEPENDENCYPART_ARC
(25,34),-2.3247 # DEPENDENCYPART_ARC
(25,35),-1.51016 # DEPENDENCYPART_ARC
(25,36),-1.32713 # DEPENDENCYPART_ARC
(25,37),-1.10594 # DEPENDENCYPART_ARC
(26,28),-2.06678 # DEPENDENCYPART_ARC
(26,29),-2.0357 # DEPENDENCYPART_ARC
(26,30),-0.916395 # DEPENDENCYPART_ARC
(27,24),-1.12531 # DEPENDENCYPART_ARC
(27,26),1.31173 # DEPENDENCYPART_ARC
(27,28),-0.999828 # DEPENDENCYPART_ARC
(27,29),-1.31382 # DEPENDENCYPART_ARC
(27,30),-0.187656 # DEPENDENCYPART_ARC
(27,31),-1.3531 # DEPENDENCYPART_ARC
(27,32),-1.27667 # DEPENDENCYPART_ARC
(27,33),-1.942 # DEPENDENCYPART_ARC
(27,34),-2.00371 # DEPENDENCYPART_ARC
(27,35),-2.09403 # DEPENDENCYPART_ARC
(27,36),-1.62546 # DEPENDENCYPART_ARC
(27,37),-1.36935 # DEPENDENCYPART_ARC
(28,26),-2.06015 # DEPENDENCYPART_ARC
(28,27),-1.79336 # DEPENDENCYPART_ARC
(28,29),-1.86774 # DEPENDENCYPART_ARC
(28,30),-0.144458 # DEPENDENCYPART_ARC
(28,31),-1.97825 # DEPENDENCYPART_ARC
(28,32),-2.13975 # DEPENDENCYPART_ARC
(29,24),-2.21133 # DEPENDENCYPART_ARC
(29,26),-1.7842 # DEPENDENCYPART_ARC
(29,27),-1.14183 # DEPENDENCYPART_ARC
(29,28),-0.361543 # DEPENDENCYPART_ARC
(29,34),-1.9414 # DEPENDENCYPART_ARC
(30,1),-0.893778 # DEPENDENCYPART_ARC
(30,2),-2.80381 # DEPENDENCYPART_ARC
(30,3),-2.71122 # DEPENDENCYPART_ARC
(30,5),-2.27942 # DEPENDENCYPART_ARC
(30,6),-2.03676 # DEPENDENCYPART_ARC
(30,7),-2.45825 # DEPENDENCYPART_ARC
(30,8),-2.64212 # DEPENDENCYPART_ARC
(30,9),-2.35656 # DEPENDENCYPART_ARC
(30,10),-2.11418 # DEPENDENCYPART_ARC
(30,11),-2.1415 # DEPENDENCYPART_ARC
(30,13),-3.45941 # DEPENDENCYPART_ARC
(30,14),-2.27683 # DEPENDENCYPART_ARC
(30,15),-2.43995 # DEPENDENCYPART_ARC
(30,17),-1.74434 # DEPENDENCYPART_ARC
(30,18),-1.82847 # DEPENDENCYPART_ARC
(30,19),-1.42359 # DEPENDENCYPART_ARC
(30,20),-2.23511 # DEPENDENCYPART_ARC
(30,21),-1.80368 # DEPENDENCYPART_ARC
(30,22),-2.41194 # DEPENDENCYPART_ARC
(30,23),-1.7849 # DEPENDENCYPART_ARC
(30,24),-0.915083 # DEPENDENCYPART_ARC
(30,25),-1.79487 # DEPENDENCYPART_ARC
(30,26),-1.80836 # DEPENDENCYPART_ARC
(30,27),-0.702228 # DEPENDENCYPART_ARC
(30,28),-0.747249 # DEPENDENCYPART_ARC
(30,29),0.523618 # DEPENDENCYPART_ARC
(30,31),0.97801 # DEPENDENCYPART_ARC
(30,32),0.633915 # DEPENDENCYPART_ARC
(30,33),-1.3008 # DEPENDENCYPART_ARC
(30,34),-1.56254 # DEPENDENCYPART_ARC
(30,35),-0.773322 # DEPENDENCYPART_ARC
(30,36),-0.478329 # DEPENDENCYPART_ARC
(30,37),-0.765424 # DEPENDENCYPART_ARC
(31,28),-2.04911 # DEPENDENCYPART_ARC
(31,32),-1.2167 # DEPENDENCYPART_ARC
(31,33),-2.22213 # DEPENDENCYPART_ARC
(31,35),-2.3496 # DEPENDENCYPART_ARC
(32,26),-2.50038 # DEPENDENCYPART_ARC
(32,27),-1.97544 # DEPENDENCYPART_ARC
(32,28),-1.72013 # DEPENDENCYPART_ARC
(32,29),-1.80373 # DEPENDENCYPART_ARC
(32,31),-0.210557 # DEPENDENCYPART_ARC
(32,33),0.14062 # DEPENDENCYPART_ARC
(32,34),-0.798942 # DEPENDENCYPART_ARC
(32,35),0.108896 # DEPENDENCYPART_ARC
(32,36),-1.81319 # DEPENDENCYPART_ARC
(32,37),-0.947501 # DEPENDENCYPART_ARC
(33,28),-2.12729 # DEPENDENCYPART_ARC
(33,29),-1.23036 # DEPENDENCYPART_ARC
(33,31),-1.25621 # DEPENDENCYPART_ARC
(33,32),-0.849442 # DEPENDENCYPART_ARC
(33,34),1.81692 # DEPENDENCYPART_ARC
(33,35),-1.43877 # DEPENDENCYPART_ARC
(33,37),-1.37753 # DEPENDENCYPART_ARC
(34,31),-1.74034 # DEPENDENCYPART_ARC
(35,26),-3.51154 # DEPENDENCYPART_ARC
(35,27),-2.39128 # DEPENDENCYPART_ARC
(35,28),-2.71245 # DEPENDENCYPART_ARC
(35,29),-1.54496 # DEPENDENCYPART_ARC
(35,31),-1.48425 # DEPENDENCYPART_ARC
(35,32),-1.53027 # DEPENDENCYPART_ARC
(35,33),0.623441 # DEPENDENCYPART_ARC
(35,34),-0.567866 # DEPENDENCYPART_ARC
(35,37),-1.63498 # DEPENDENCYPART_ARC
(36,35),-2.45919 # DEPENDENCYPART_ARC
(36,37),-2.12107 # DEPENDENCYPART_ARC
(37,35),-2.58891 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.43061 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.104815 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.43061 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.66366 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.7387 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.483797 # DEPENDENCYPART_SIBL
(0,6),(0,18),-1.09816 # DEPENDENCYPART_SIBL
(0,6),(0,25),-1.34597 # DEPENDENCYPART_SIBL
(0,6),(0,30),-1.46994 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.35207 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.600354 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.644824 # DEPENDENCYPART_SIBL
(0,18),(0,25),-1.34597 # DEPENDENCYPART_SIBL
(0,18),(0,30),-1.46994 # DEPENDENCYPART_SIBL
(0,25),(0,30),-1.62559 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0124749 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0242338 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0617898 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00313212 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00515398 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.030628 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0546263 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00109754 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0563637 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0145231 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0647243 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0356497 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00313212 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0647243 # DEPENDENCYPART_SIBL
(2,1),(2,36),0.0243505 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0183166 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0864893 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0528776 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00773938 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00765372 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.025099 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.011162 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0182106 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0512666 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0479895 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0650577 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0528776 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0479895 # DEPENDENCYPART_SIBL
(2,3),(2,36),0.000727938 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00340879 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0845529 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0909244 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.113334 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0601896 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0524951 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0602507 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0087712 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0428474 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.152581 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0845529 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0428474 # DEPENDENCYPART_SIBL
(2,4),(2,36),-0.0928263 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00799764 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0344308 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0439515 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0412397 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00934181 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0427358 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.13861 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0134044 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0541473 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00799764 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0134044 # DEPENDENCYPART_SIBL
(2,5),(2,36),0.0147705 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0796375 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.111 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0942284 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0388575 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0942895 # DEPENDENCYPART_SIBL
(2,6),(2,12),7.2763e-05 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.189162 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00374031 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.313961 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.189162 # DEPENDENCYPART_SIBL
(2,6),(2,36),-0.02475 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0184016 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0268709 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0774685 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0308 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0978346 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.036842 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0652201 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0950061 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.036842 # DEPENDENCYPART_SIBL
(2,7),(2,36),-0.0724423 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0869338 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0377592 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0830048 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.098012 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0177144 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0536463 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0391684 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0177144 # DEPENDENCYPART_SIBL
(2,8),(2,36),-0.0126806 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0606746 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.284198 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0187846 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.210018 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0683721 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0312918 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.210018 # DEPENDENCYPART_SIBL
(2,9),(2,36),0.000937975 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0420904 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.134073 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00491148 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.132919 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0233034 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.00491148 # DEPENDENCYPART_SIBL
(2,10),(2,36),0.143115 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0190071 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.20796 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0675472 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0304357 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.20796 # DEPENDENCYPART_SIBL
(2,11),(2,36),-0.00936718 # DEPENDENCYPART_SIBL
