# _root_ At Jefferies & Co. , J. Francis Palamara did n't reach the office until 5:30 a.m. , but then he had been up most of the night at home .
#goldHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,18,21,19,21,22,22,24,27,25,22,28,9,
#predictedHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,21,21,18,21,22,22,24,27,25,27,28,9,
(9,17),-0.662852 # DEPENDENCYPART_ARC
(9,18),-0.71198 # DEPENDENCYPART_ARC
(9,19),-0.810819 # DEPENDENCYPART_ARC
(9,20),-2.17548 # DEPENDENCYPART_ARC
(9,21),-1.61849 # DEPENDENCYPART_ARC
(9,22),-1.28834 # DEPENDENCYPART_ARC
(9,23),-2.07127 # DEPENDENCYPART_ARC
(9,24),-1.90987 # DEPENDENCYPART_ARC
(9,30),0.550303 # DEPENDENCYPART_ARC
(10,1),-1.86212 # DEPENDENCYPART_ARC
(10,8),-2.2867 # DEPENDENCYPART_ARC
(10,11),-1.37731 # DEPENDENCYPART_ARC
(10,14),-2.05137 # DEPENDENCYPART_ARC
(10,15),-2.62498 # DEPENDENCYPART_ARC
(11,1),-1.82487 # DEPENDENCYPART_ARC
(11,2),-2.34864 # DEPENDENCYPART_ARC
(11,5),-2.18983 # DEPENDENCYPART_ARC
(11,7),-1.94342 # DEPENDENCYPART_ARC
(11,8),-1.6783 # DEPENDENCYPART_ARC
(11,9),-1.78945 # DEPENDENCYPART_ARC
(11,10),-0.633062 # DEPENDENCYPART_ARC
(11,12),-0.709829 # DEPENDENCYPART_ARC
(11,13),0.495362 # DEPENDENCYPART_ARC
(11,14),0.583215 # DEPENDENCYPART_ARC
(11,15),-1.65694 # DEPENDENCYPART_ARC
(11,16),-0.487662 # DEPENDENCYPART_ARC
(11,17),-1.0197 # DEPENDENCYPART_ARC
(11,18),-1.17809 # DEPENDENCYPART_ARC
(11,19),-1.33024 # DEPENDENCYPART_ARC
(11,20),-1.82577 # DEPENDENCYPART_ARC
(11,21),-1.30329 # DEPENDENCYPART_ARC
(11,22),-1.60655 # DEPENDENCYPART_ARC
(11,23),-1.84697 # DEPENDENCYPART_ARC
(11,24),-1.90728 # DEPENDENCYPART_ARC
(11,25),-1.91185 # DEPENDENCYPART_ARC
(11,27),-2.19408 # DEPENDENCYPART_ARC
(11,28),-1.65339 # DEPENDENCYPART_ARC
(11,30),-1.32088 # DEPENDENCYPART_ARC
(12,14),-2.06926 # DEPENDENCYPART_ARC
(13,10),-1.44712 # DEPENDENCYPART_ARC
(13,11),-1.45493 # DEPENDENCYPART_ARC
(13,12),1.56176 # DEPENDENCYPART_ARC
(13,14),-0.576188 # DEPENDENCYPART_ARC
(13,15),-1.50425 # DEPENDENCYPART_ARC
(13,16),-1.60926 # DEPENDENCYPART_ARC
(13,17),-1.67273 # DEPENDENCYPART_ARC
(13,18),-1.99944 # DEPENDENCYPART_ARC
(13,19),-2.19342 # DEPENDENCYPART_ARC
(13,21),-1.85319 # DEPENDENCYPART_ARC
(13,22),-2.61867 # DEPENDENCYPART_ARC
(13,25),-2.71107 # DEPENDENCYPART_ARC
(14,10),-2.04336 # DEPENDENCYPART_ARC
(14,13),-1.48738 # DEPENDENCYPART_ARC
(14,15),-0.599065 # DEPENDENCYPART_ARC
(14,16),0.434019 # DEPENDENCYPART_ARC
(14,17),-1.3547 # DEPENDENCYPART_ARC
(14,18),-1.3891 # DEPENDENCYPART_ARC
(14,19),-1.54649 # DEPENDENCYPART_ARC
(14,21),-1.38362 # DEPENDENCYPART_ARC
(14,22),-2.24467 # DEPENDENCYPART_ARC
(15,13),-2.32776 # DEPENDENCYPART_ARC
(15,14),-1.02219 # DEPENDENCYPART_ARC
(15,16),-1.26247 # DEPENDENCYPART_ARC
(15,17),-1.68479 # DEPENDENCYPART_ARC
(15,18),-1.63823 # DEPENDENCYPART_ARC
(15,19),-1.99605 # DEPENDENCYPART_ARC
(15,21),-1.84899 # DEPENDENCYPART_ARC
(16,1),-2.52012 # DEPENDENCYPART_ARC
(16,7),-2.83868 # DEPENDENCYPART_ARC
(16,10),-2.10101 # DEPENDENCYPART_ARC
(16,12),-0.887373 # DEPENDENCYPART_ARC
(16,13),-1.03071 # DEPENDENCYPART_ARC
(16,14),-1.08022 # DEPENDENCYPART_ARC
(16,15),1.00993 # DEPENDENCYPART_ARC
(16,17),-0.678413 # DEPENDENCYPART_ARC
(16,18),-0.806194 # DEPENDENCYPART_ARC
(16,19),-1.61116 # DEPENDENCYPART_ARC
(16,20),-2.07739 # DEPENDENCYPART_ARC
(16,21),-1.69739 # DEPENDENCYPART_ARC
(16,22),-2.36518 # DEPENDENCYPART_ARC
(16,23),-1.95515 # DEPENDENCYPART_ARC
(16,24),-2.45686 # DEPENDENCYPART_ARC
(16,25),-1.83587 # DEPENDENCYPART_ARC
(16,27),-2.81989 # DEPENDENCYPART_ARC
(18,19),-0.519869 # DEPENDENCYPART_ARC
(18,20),-1.09017 # DEPENDENCYPART_ARC
(18,21),0.532982 # DEPENDENCYPART_ARC
(18,22),-1.19553 # DEPENDENCYPART_ARC
(18,23),-2.06432 # DEPENDENCYPART_ARC
(18,24),-2.36066 # DEPENDENCYPART_ARC
(18,25),-2.16383 # DEPENDENCYPART_ARC
(18,28),-1.87232 # DEPENDENCYPART_ARC
(19,18),-1.20849 # DEPENDENCYPART_ARC
(19,20),-0.815033 # DEPENDENCYPART_ARC
(19,21),-0.740368 # DEPENDENCYPART_ARC
(19,22),-1.88917 # DEPENDENCYPART_ARC
(19,23),-1.87388 # DEPENDENCYPART_ARC
(19,24),-2.29003 # DEPENDENCYPART_ARC
(19,25),-1.81272 # DEPENDENCYPART_ARC
(19,27),-2.79822 # DEPENDENCYPART_ARC
(19,28),-2.52938 # DEPENDENCYPART_ARC
(20,19),-2.00942 # DEPENDENCYPART_ARC
(20,22),-1.79061 # DEPENDENCYPART_ARC
(21,1),-1.66001 # DEPENDENCYPART_ARC
(21,2),-2.36147 # DEPENDENCYPART_ARC
(21,3),-2.36705 # DEPENDENCYPART_ARC
(21,5),-2.15023 # DEPENDENCYPART_ARC
(21,7),-2.5821 # DEPENDENCYPART_ARC
(21,8),-2.15563 # DEPENDENCYPART_ARC
(21,9),-1.68346 # DEPENDENCYPART_ARC
(21,10),-2.20157 # DEPENDENCYPART_ARC
(21,11),-2.21168 # DEPENDENCYPART_ARC
(21,13),-1.62745 # DEPENDENCYPART_ARC
(21,14),-1.44135 # DEPENDENCYPART_ARC
(21,15),-2.37066 # DEPENDENCYPART_ARC
(21,16),-1.81754 # DEPENDENCYPART_ARC
(21,17),-1.92993 # DEPENDENCYPART_ARC
(21,18),-1.57032 # DEPENDENCYPART_ARC
(21,19),-0.70867 # DEPENDENCYPART_ARC
(21,20),1.62773 # DEPENDENCYPART_ARC
(21,22),2.18414 # DEPENDENCYPART_ARC
(21,23),-0.664986 # DEPENDENCYPART_ARC
(21,24),-1.35013 # DEPENDENCYPART_ARC
(21,25),-1.68175 # DEPENDENCYPART_ARC
(21,27),-1.72544 # DEPENDENCYPART_ARC
(21,28),-1.28133 # DEPENDENCYPART_ARC
(21,29),-2.22046 # DEPENDENCYPART_ARC
(21,30),-0.621287 # DEPENDENCYPART_ARC
(22,1),-2.79228 # DEPENDENCYPART_ARC
(22,9),-2.18348 # DEPENDENCYPART_ARC
(22,14),-1.86646 # DEPENDENCYPART_ARC
(22,16),-2.04868 # DEPENDENCYPART_ARC
(22,19),-1.44608 # DEPENDENCYPART_ARC
(22,20),-1.36713 # DEPENDENCYPART_ARC
(22,23),0.646402 # DEPENDENCYPART_ARC
(22,24),-0.288862 # DEPENDENCYPART_ARC
(22,25),0.074731 # DEPENDENCYPART_ARC
(22,27),-0.415782 # DEPENDENCYPART_ARC
(22,28),-0.195951 # DEPENDENCYPART_ARC
(22,29),-0.944486 # DEPENDENCYPART_ARC
(22,30),-1.17642 # DEPENDENCYPART_ARC
(23,22),-1.2159 # DEPENDENCYPART_ARC
(23,24),-0.618117 # DEPENDENCYPART_ARC
(23,25),-0.34745 # DEPENDENCYPART_ARC
(23,27),-1.47492 # DEPENDENCYPART_ARC
(23,28),-1.51482 # DEPENDENCYPART_ARC
(23,29),-2.05494 # DEPENDENCYPART_ARC
(24,20),-2.88718 # DEPENDENCYPART_ARC
(24,23),-1.07771 # DEPENDENCYPART_ARC
(24,25),0.0527338 # DEPENDENCYPART_ARC
(24,27),-1.42753 # DEPENDENCYPART_ARC
(24,28),-1.24632 # DEPENDENCYPART_ARC
(24,29),-1.77181 # DEPENDENCYPART_ARC
(25,23),-1.41131 # DEPENDENCYPART_ARC
(25,24),-1.26193 # DEPENDENCYPART_ARC
(25,26),-1.26309 # DEPENDENCYPART_ARC
(25,27),0.856892 # DEPENDENCYPART_ARC
(25,28),-1.53494 # DEPENDENCYPART_ARC
(25,29),-0.320243 # DEPENDENCYPART_ARC
(27,23),-2.32252 # DEPENDENCYPART_ARC
(27,24),-1.95051 # DEPENDENCYPART_ARC
(27,26),1.04709 # DEPENDENCYPART_ARC
(27,28),-0.0967265 # DEPENDENCYPART_ARC
(27,29),-1.28903 # DEPENDENCYPART_ARC
(28,25),-1.33977 # DEPENDENCYPART_ARC
(28,27),-1.30305 # DEPENDENCYPART_ARC
(28,29),1.89632 # DEPENDENCYPART_ARC
(29,26),-2.02872 # DEPENDENCYPART_ARC
(29,27),-1.58477 # DEPENDENCYPART_ARC
(29,28),-0.881792 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.119257 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.774205 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.122105 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.766127 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.773938 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0699498 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.771462 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.606467 # DEPENDENCYPART_SIBL
(0,9),(0,21),-1.67964 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.701678 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.200868 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.723386 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0703267 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.699476 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.698917 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.698917 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.633717 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.356335 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0703267 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.11696 # DEPENDENCYPART_SIBL
(1,2),(1,30),-0.170461 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.186016 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.147195 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0591354 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0582036 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0582035 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.297055 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.152292 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.147195 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.265517 # DEPENDENCYPART_SIBL
(1,3),(1,30),-0.152374 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.134026 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.710895 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.710335 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.710335 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.6409 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.365256 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.134026 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.102028 # DEPENDENCYPART_SIBL
(1,4),(1,30),-0.202261 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00217308 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0126664 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0168283 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0047864 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0623003 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0589584 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.831777 # DEPENDENCYPART_SIBL
(1,5),(1,30),0.0214683 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.699376 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.699376 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.633705 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.356353 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0871561 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.116859 # DEPENDENCYPART_SIBL
(1,6),(1,30),-0.176091 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.698918 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.633704 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.356335 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0876598 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.11683 # DEPENDENCYPART_SIBL
(1,7),(1,30),-0.17046 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.633704 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.356335 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0772884 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.116823 # DEPENDENCYPART_SIBL
(1,8),(1,30),-0.169718 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.209942 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.165517 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.124215 # DEPENDENCYPART_SIBL
(1,9),(1,30),0.218683 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.173273 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0957917 # DEPENDENCYPART_SIBL
(1,11),(1,30),0.0253832 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.831777 # DEPENDENCYPART_SIBL
(1,17),(1,30),0.0214683 # DEPENDENCYPART_SIBL
(1,18),(1,30),0.105372 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0081776 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0371012 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0878962 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.112956 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.11166 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.111654 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00838588 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0530728 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.106403 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0528489 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0339749 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0878962 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.324105 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.000867113 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00319371 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00183177 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00183168 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0784505 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0594161 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.156556 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0420986 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0177703 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.000867113 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0221488 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0108727 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0118623 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0118623 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.030213 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0232306 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.053517 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0556648 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.033428 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0221488 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.685225 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.697006 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.701168 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.353975 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.301386 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.283096 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.519421 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.630216 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0666683 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0584936 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0584936 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0907469 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0447421 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00762183 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0951353 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0734165 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0174429 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0570492 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0899376 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0439339 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00679597 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0929818 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.071263 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0159414 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0899307 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0439271 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00678911 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0929744 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0712556 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.00554946 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0433735 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0664736 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.138016 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.120964 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.426604 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.155177 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0662703 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0878256 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0342407 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.177925 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.160876 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0854416 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.313481 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.175029 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.216833 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00253645 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0859705 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0506924 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.048777 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0491355 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0487732 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00321113 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0309856 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.029427 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00740165 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0258601 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.00343672 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0506924 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.028433 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0170668 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0191419 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.060736 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0407308 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.040151 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0385697 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.076121 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0194426 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0671606 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0517081 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0810994 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0463791 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.060736 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0506243 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.05967 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.951032 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.98241 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.98184 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.98184 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.938843 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.663085 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.676422 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.958326 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.704356 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.923237 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.951032 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.768023 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.953032 # DEPENDENCYPART_SIBL
