# _root_ New management at Kentucky Fried Chicken , a unit of PepsiCo Inc. , has fought back with new medium and large chicken sandwiches for the lunch crowd .
#goldHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,23,23,19,20,23,17,23,27,27,24,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,19,17,19,23,23,20,15,27,27,24,14,
(15,14),-1.02716 # DEPENDENCYPART_ARC
(15,16),0.86703 # DEPENDENCYPART_ARC
(15,17),0.636252 # DEPENDENCYPART_ARC
(15,18),-0.914265 # DEPENDENCYPART_ARC
(15,19),-0.459871 # DEPENDENCYPART_ARC
(15,20),-0.561377 # DEPENDENCYPART_ARC
(15,21),-1.43805 # DEPENDENCYPART_ARC
(15,22),-0.983627 # DEPENDENCYPART_ARC
(15,23),-1.01644 # DEPENDENCYPART_ARC
(15,24),-0.311797 # DEPENDENCYPART_ARC
(15,27),-1.48303 # DEPENDENCYPART_ARC
(15,28),-0.931054 # DEPENDENCYPART_ARC
(16,2),-2.85432 # DEPENDENCYPART_ARC
(16,3),-1.70761 # DEPENDENCYPART_ARC
(16,15),-1.08316 # DEPENDENCYPART_ARC
(16,17),-0.208171 # DEPENDENCYPART_ARC
(16,18),-1.04604 # DEPENDENCYPART_ARC
(16,19),-1.43865 # DEPENDENCYPART_ARC
(16,20),-1.06324 # DEPENDENCYPART_ARC
(16,21),-1.78942 # DEPENDENCYPART_ARC
(16,23),-2.44723 # DEPENDENCYPART_ARC
(16,24),-1.87701 # DEPENDENCYPART_ARC
(16,28),-2.67517 # DEPENDENCYPART_ARC
(17,2),-2.7864 # DEPENDENCYPART_ARC
(17,16),-1.11053 # DEPENDENCYPART_ARC
(17,18),-0.375547 # DEPENDENCYPART_ARC
(17,19),0.920079 # DEPENDENCYPART_ARC
(17,20),-0.794209 # DEPENDENCYPART_ARC
(17,21),-1.60574 # DEPENDENCYPART_ARC
(17,22),-0.997013 # DEPENDENCYPART_ARC
(17,23),-0.533549 # DEPENDENCYPART_ARC
(17,24),-0.854459 # DEPENDENCYPART_ARC
(17,27),-2.30356 # DEPENDENCYPART_ARC
(17,28),-2.52799 # DEPENDENCYPART_ARC
(18,16),-1.54276 # DEPENDENCYPART_ARC
(18,17),-1.3016 # DEPENDENCYPART_ARC
(18,19),-1.137 # DEPENDENCYPART_ARC
(18,20),-1.15344 # DEPENDENCYPART_ARC
(19,11),-2.91759 # DEPENDENCYPART_ARC
(19,15),-1.81512 # DEPENDENCYPART_ARC
(19,16),-1.48002 # DEPENDENCYPART_ARC
(19,17),-1.47547 # DEPENDENCYPART_ARC
(19,18),1.0377 # DEPENDENCYPART_ARC
(19,20),1.43678 # DEPENDENCYPART_ARC
(19,21),-0.998194 # DEPENDENCYPART_ARC
(19,22),-1.23353 # DEPENDENCYPART_ARC
(19,23),-1.38603 # DEPENDENCYPART_ARC
(19,24),-0.470629 # DEPENDENCYPART_ARC
(19,27),-2.22504 # DEPENDENCYPART_ARC
(19,28),-2.17426 # DEPENDENCYPART_ARC
(20,21),0.377129 # DEPENDENCYPART_ARC
(20,22),-0.142567 # DEPENDENCYPART_ARC
(20,23),-0.353941 # DEPENDENCYPART_ARC
(20,24),-1.27385 # DEPENDENCYPART_ARC
(20,27),-2.03714 # DEPENDENCYPART_ARC
(21,22),-1.10623 # DEPENDENCYPART_ARC
(22,18),-1.79351 # DEPENDENCYPART_ARC
(22,21),-0.654257 # DEPENDENCYPART_ARC
(22,24),-1.12431 # DEPENDENCYPART_ARC
(22,27),-2.36304 # DEPENDENCYPART_ARC
(23,1),-2.23027 # DEPENDENCYPART_ARC
(23,3),-2.08458 # DEPENDENCYPART_ARC
(23,11),-2.20041 # DEPENDENCYPART_ARC
(23,15),-1.47961 # DEPENDENCYPART_ARC
(23,16),-2.17827 # DEPENDENCYPART_ARC
(23,17),-2.05519 # DEPENDENCYPART_ARC
(23,18),0.30066 # DEPENDENCYPART_ARC
(23,19),-0.704066 # DEPENDENCYPART_ARC
(23,21),1.09288 # DEPENDENCYPART_ARC
(23,22),2.26119 # DEPENDENCYPART_ARC
(23,24),0.14395 # DEPENDENCYPART_ARC
(23,25),-2.10253 # DEPENDENCYPART_ARC
(23,26),-1.27059 # DEPENDENCYPART_ARC
(23,27),-1.66311 # DEPENDENCYPART_ARC
(23,28),-1.83424 # DEPENDENCYPART_ARC
(24,23),-1.40774 # DEPENDENCYPART_ARC
(24,25),-1.2258 # DEPENDENCYPART_ARC
(24,26),0.200158 # DEPENDENCYPART_ARC
(24,27),0.27648 # DEPENDENCYPART_ARC
(26,25),-0.303315 # DEPENDENCYPART_ARC
(26,27),-1.25431 # DEPENDENCYPART_ARC
(27,18),-2.20501 # DEPENDENCYPART_ARC
(27,21),-2.16954 # DEPENDENCYPART_ARC
(27,22),-1.3866 # DEPENDENCYPART_ARC
(27,23),-1.21153 # DEPENDENCYPART_ARC
(27,25),0.622323 # DEPENDENCYPART_ARC
(27,26),1.39189 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.143998 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0294193 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0812445 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.661267 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0529521 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0426082 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.138559 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.734218 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0926063 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.118853 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.717119 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.074703 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.696277 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.136381 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.628773 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.08575 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0460386 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.01337 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0573247 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.153077 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.106406 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.10095 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.176093 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.184347 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.176121 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.289791 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0122432 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0273914 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.175999 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0949896 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.289791 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.146719 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.125974 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0705177 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0732693 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0699382 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.0549781 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0204515 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0176976 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0204493 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00041708 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00883479 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.000922614 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0206033 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0432215 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00041708 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0277436 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0344567 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0117203 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.262436 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.02859 # DEPENDENCYPART_SIBL
(2,3),(2,28),0.0475862 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.128304 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.131045 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0439871 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0926732 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0993717 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.131081 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.145918 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0439871 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0164697 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0451723 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.000588611 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0555845 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0779134 # DEPENDENCYPART_SIBL
(2,4),(2,28),-0.0465404 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.108721 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0512257 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0835055 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.108526 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.108757 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.123594 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0512257 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00112359 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0360046 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00974268 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0647515 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0687594 # DEPENDENCYPART_SIBL
(2,5),(2,28),-0.0414263 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0466128 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.092691 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0993528 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.130013 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.14485 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0466128 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0165066 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0451902 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.000568482 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0555663 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0779324 # DEPENDENCYPART_SIBL
(2,6),(2,28),-0.0465631 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.830752 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.396212 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.684766 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.476717 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.130273 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.623956 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.656889 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.542707 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.631549 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.285052 # DEPENDENCYPART_SIBL
(2,7),(2,28),0.0424953 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0731202 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0774427 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.103141 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0353481 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0801395 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0503427 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0152545 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0089926 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0455022 # DEPENDENCYPART_SIBL
(2,9),(2,28),-0.0164487 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0344173 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00550882 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0368755 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.202409 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.020279 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0431999 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0808615 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0183035 # DEPENDENCYPART_SIBL
(2,10),(2,28),-0.0732129 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.146462 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0355933 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0164731 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0451757 # DEPENDENCYPART_SIBL
(2,11),(2,17),4.30576e-05 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0555356 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.078459 # DEPENDENCYPART_SIBL
(2,11),(2,28),-0.0488136 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0215059 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0423403 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0880114 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0568925 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0993774 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.150601 # DEPENDENCYPART_SIBL
(2,12),(2,28),-0.0354311 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.623956 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.656889 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.542707 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.631549 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.285052 # DEPENDENCYPART_SIBL
(2,13),(2,28),0.0424953 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0654003 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0698266 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.103126 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.0767199 # DEPENDENCYPART_SIBL
(2,14),(2,28),0.088853 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0312642 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.118247 # DEPENDENCYPART_SIBL
(2,15),(2,24),0.0267706 # DEPENDENCYPART_SIBL
(2,15),(2,28),-0.0207005 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.00927357 # DEPENDENCYPART_SIBL
(2,17),(2,24),-0.0273426 # DEPENDENCYPART_SIBL
(2,17),(2,28),-0.00514015 # DEPENDENCYPART_SIBL
(2,20),(2,24),-0.0346374 # DEPENDENCYPART_SIBL
(2,20),(2,28),-0.0546868 # DEPENDENCYPART_SIBL
(2,24),(2,28),0.095617 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.044472 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0363381 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.036355 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0363548 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.123515 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0817317 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0362277 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0124685 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0667576 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.041252 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0410394 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0410402 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0579455 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0455572 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0411394 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0358342 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0851363 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.700006 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.700006 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0799964 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.759546 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.700044 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.726059 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.72143 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.692881 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0796026 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.759543 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.692919 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.718934 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.717291 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0773194 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.759545 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.698957 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.724972 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.721439 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0639622 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0170183 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.136202 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.000564073 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.555862 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.580819 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.784534 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.726707 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.721537 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.723738 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0534086 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00632775 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0531705 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00632775 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00404701 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0531731 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00404701 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.775106 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.057718 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.332385 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.27872 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0404231 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.232827 # DEPENDENCYPART_SIBL
