# _root_ Purchase of the 76-story structure is subject to execution of a definitive agreement , approval by the boards of Seafirst and its parent company BankAmerica Corp. , and approval by regulators .
#goldHeads=6,1,5,5,2,0,6,7,8,9,13,13,10,9,9,15,18,16,18,19,20,25,25,25,21,25,15,15,28,29,30,6,
#predictedHeads=6,1,5,5,2,0,6,7,8,9,13,13,10,9,9,15,18,16,18,19,20,25,25,25,21,25,25,25,28,29,30,6,
(6,14),-1.09645 # DEPENDENCYPART_ARC
(6,15),-1.79792 # DEPENDENCYPART_ARC
(6,16),-1.2584 # DEPENDENCYPART_ARC
(6,18),-2.38659 # DEPENDENCYPART_ARC
(6,19),-2.47301 # DEPENDENCYPART_ARC
(6,21),-1.28365 # DEPENDENCYPART_ARC
(6,27),-1.10446 # DEPENDENCYPART_ARC
(6,28),-1.97249 # DEPENDENCYPART_ARC
(6,30),-2.39198 # DEPENDENCYPART_ARC
(6,32),0.921507 # DEPENDENCYPART_ARC
(7,1),-2.5669 # DEPENDENCYPART_ARC
(7,4),-1.70337 # DEPENDENCYPART_ARC
(7,5),-2.00104 # DEPENDENCYPART_ARC
(7,8),0.607481 # DEPENDENCYPART_ARC
(7,9),-1.05414 # DEPENDENCYPART_ARC
(7,10),-0.912787 # DEPENDENCYPART_ARC
(7,13),-2.04961 # DEPENDENCYPART_ARC
(7,14),-1.48091 # DEPENDENCYPART_ARC
(7,15),-2.11327 # DEPENDENCYPART_ARC
(7,16),-1.92638 # DEPENDENCYPART_ARC
(8,1),-2.42194 # DEPENDENCYPART_ARC
(8,7),-1.50142 # DEPENDENCYPART_ARC
(8,9),1.33081 # DEPENDENCYPART_ARC
(8,10),-1.33225 # DEPENDENCYPART_ARC
(8,13),-0.803255 # DEPENDENCYPART_ARC
(8,14),-1.60379 # DEPENDENCYPART_ARC
(8,15),-1.7226 # DEPENDENCYPART_ARC
(8,16),-2.0467 # DEPENDENCYPART_ARC
(8,18),-1.86031 # DEPENDENCYPART_ARC
(8,21),-1.91856 # DEPENDENCYPART_ARC
(9,1),-3.57062 # DEPENDENCYPART_ARC
(9,3),-2.22858 # DEPENDENCYPART_ARC
(9,4),-1.39696 # DEPENDENCYPART_ARC
(9,5),-1.60375 # DEPENDENCYPART_ARC
(9,7),-0.855049 # DEPENDENCYPART_ARC
(9,8),-1.27259 # DEPENDENCYPART_ARC
(9,10),1.02606 # DEPENDENCYPART_ARC
(9,12),-0.993539 # DEPENDENCYPART_ARC
(9,13),-0.55008 # DEPENDENCYPART_ARC
(9,14),-0.656296 # DEPENDENCYPART_ARC
(9,15),-0.85077 # DEPENDENCYPART_ARC
(9,16),-0.931155 # DEPENDENCYPART_ARC
(9,18),-1.50837 # DEPENDENCYPART_ARC
(9,19),-2.06378 # DEPENDENCYPART_ARC
(9,21),-1.05044 # DEPENDENCYPART_ARC
(9,27),-1.14749 # DEPENDENCYPART_ARC
(9,28),-1.60155 # DEPENDENCYPART_ARC
(9,32),-1.88189 # DEPENDENCYPART_ARC
(10,1),-2.37711 # DEPENDENCYPART_ARC
(10,11),-1.01067 # DEPENDENCYPART_ARC
(10,12),-0.979965 # DEPENDENCYPART_ARC
(10,13),0.958542 # DEPENDENCYPART_ARC
(10,14),-1.6192 # DEPENDENCYPART_ARC
(10,15),-0.766077 # DEPENDENCYPART_ARC
(10,16),-1.78873 # DEPENDENCYPART_ARC
(10,18),-1.61216 # DEPENDENCYPART_ARC
(12,11),-0.802653 # DEPENDENCYPART_ARC
(12,15),-1.74676 # DEPENDENCYPART_ARC
(12,16),-1.67281 # DEPENDENCYPART_ARC
(13,3),-3.64582 # DEPENDENCYPART_ARC
(13,4),-2.11125 # DEPENDENCYPART_ARC
(13,7),-2.59815 # DEPENDENCYPART_ARC
(13,8),-2.69259 # DEPENDENCYPART_ARC
(13,11),1.30904 # DEPENDENCYPART_ARC
(13,12),1.78463 # DEPENDENCYPART_ARC
(13,14),-0.0643464 # DEPENDENCYPART_ARC
(13,15),-1.04591 # DEPENDENCYPART_ARC
(13,16),-1.12732 # DEPENDENCYPART_ARC
(13,18),-1.9007 # DEPENDENCYPART_ARC
(13,19),-1.95847 # DEPENDENCYPART_ARC
(13,20),-2.59079 # DEPENDENCYPART_ARC
(13,21),-1.82944 # DEPENDENCYPART_ARC
(13,22),-2.59092 # DEPENDENCYPART_ARC
(13,23),-2.5744 # DEPENDENCYPART_ARC
(13,24),-2.78813 # DEPENDENCYPART_ARC
(13,25),-3.21768 # DEPENDENCYPART_ARC
(13,26),-2.65983 # DEPENDENCYPART_ARC
(13,27),-0.939009 # DEPENDENCYPART_ARC
(13,28),-2.29234 # DEPENDENCYPART_ARC
(13,29),-3.8581 # DEPENDENCYPART_ARC
(13,30),-2.39746 # DEPENDENCYPART_ARC
(13,32),-2.59043 # DEPENDENCYPART_ARC
(15,11),0.0211515 # DEPENDENCYPART_ARC
(15,12),-0.383751 # DEPENDENCYPART_ARC
(15,13),-1.0398 # DEPENDENCYPART_ARC
(15,14),-1.2051 # DEPENDENCYPART_ARC
(15,16),0.644109 # DEPENDENCYPART_ARC
(15,18),-1.20113 # DEPENDENCYPART_ARC
(15,19),-0.969708 # DEPENDENCYPART_ARC
(15,20),-1.89619 # DEPENDENCYPART_ARC
(15,21),-0.551554 # DEPENDENCYPART_ARC
(15,24),-1.72727 # DEPENDENCYPART_ARC
(15,25),-2.53352 # DEPENDENCYPART_ARC
(15,27),-1.48743 # DEPENDENCYPART_ARC
(15,28),-1.39609 # DEPENDENCYPART_ARC
(15,30),-1.35418 # DEPENDENCYPART_ARC
(15,32),-2.25433 # DEPENDENCYPART_ARC
(16,14),-2.13576 # DEPENDENCYPART_ARC
(16,15),-1.52716 # DEPENDENCYPART_ARC
(16,17),-1.13696 # DEPENDENCYPART_ARC
(16,18),0.8744 # DEPENDENCYPART_ARC
(16,19),-1.32961 # DEPENDENCYPART_ARC
(16,20),-1.21888 # DEPENDENCYPART_ARC
(16,21),-1.11079 # DEPENDENCYPART_ARC
(16,23),-2.22537 # DEPENDENCYPART_ARC
(16,24),-1.85891 # DEPENDENCYPART_ARC
(16,26),-2.51888 # DEPENDENCYPART_ARC
(16,30),-0.901951 # DEPENDENCYPART_ARC
(16,32),-3.28625 # DEPENDENCYPART_ARC
(17,19),-1.81324 # DEPENDENCYPART_ARC
(18,15),-1.88921 # DEPENDENCYPART_ARC
(18,16),-1.42799 # DEPENDENCYPART_ARC
(18,17),1.62994 # DEPENDENCYPART_ARC
(18,19),0.670681 # DEPENDENCYPART_ARC
(18,20),-1.33934 # DEPENDENCYPART_ARC
(18,21),-0.285494 # DEPENDENCYPART_ARC
(18,22),-1.66661 # DEPENDENCYPART_ARC
(18,23),-1.5075 # DEPENDENCYPART_ARC
(18,24),-1.86939 # DEPENDENCYPART_ARC
(18,25),-2.02241 # DEPENDENCYPART_ARC
(18,26),-1.95494 # DEPENDENCYPART_ARC
(18,27),-0.876417 # DEPENDENCYPART_ARC
(18,28),-1.14824 # DEPENDENCYPART_ARC
(18,29),-2.64028 # DEPENDENCYPART_ARC
(18,30),-1.60506 # DEPENDENCYPART_ARC
(18,32),-2.10206 # DEPENDENCYPART_ARC
(19,18),-1.68121 # DEPENDENCYPART_ARC
(19,20),0.937141 # DEPENDENCYPART_ARC
(19,21),-0.833301 # DEPENDENCYPART_ARC
(19,23),-1.08172 # DEPENDENCYPART_ARC
(19,24),-0.967639 # DEPENDENCYPART_ARC
(19,25),-2.62304 # DEPENDENCYPART_ARC
(19,26),-1.86469 # DEPENDENCYPART_ARC
(20,17),-1.30123 # DEPENDENCYPART_ARC
(20,18),-1.25205 # DEPENDENCYPART_ARC
(20,19),-1.03512 # DEPENDENCYPART_ARC
(20,21),0.48046 # DEPENDENCYPART_ARC
(20,22),-1.55782 # DEPENDENCYPART_ARC
(20,23),-1.7732 # DEPENDENCYPART_ARC
(20,24),-2.15026 # DEPENDENCYPART_ARC
(20,25),-2.44258 # DEPENDENCYPART_ARC
(20,26),-1.96401 # DEPENDENCYPART_ARC
(20,27),-1.33624 # DEPENDENCYPART_ARC
(20,29),-3.39835 # DEPENDENCYPART_ARC
(21,20),-1.54787 # DEPENDENCYPART_ARC
(21,22),-0.645149 # DEPENDENCYPART_ARC
(21,23),0.0265971 # DEPENDENCYPART_ARC
(21,24),-0.779286 # DEPENDENCYPART_ARC
(21,25),-1.57294 # DEPENDENCYPART_ARC
(21,26),-1.66908 # DEPENDENCYPART_ARC
(21,27),-0.749784 # DEPENDENCYPART_ARC
(21,28),-1.25004 # DEPENDENCYPART_ARC
(21,29),-1.5074 # DEPENDENCYPART_ARC
(21,31),-2.06187 # DEPENDENCYPART_ARC
(22,23),-1.50655 # DEPENDENCYPART_ARC
(23,20),-2.77663 # DEPENDENCYPART_ARC
(23,22),-0.19155 # DEPENDENCYPART_ARC
(23,24),-1.1453 # DEPENDENCYPART_ARC
(23,25),-2.04504 # DEPENDENCYPART_ARC
(23,26),-1.83463 # DEPENDENCYPART_ARC
(24,17),-2.42088 # DEPENDENCYPART_ARC
(24,19),-2.43689 # DEPENDENCYPART_ARC
(24,20),-1.60848 # DEPENDENCYPART_ARC
(24,22),0.525465 # DEPENDENCYPART_ARC
(24,23),0.529363 # DEPENDENCYPART_ARC
(24,25),-1.35367 # DEPENDENCYPART_ARC
(24,26),-1.65387 # DEPENDENCYPART_ARC
(24,27),-1.31877 # DEPENDENCYPART_ARC
(24,28),-1.44712 # DEPENDENCYPART_ARC
(24,29),-2.32624 # DEPENDENCYPART_ARC
(24,30),-1.77269 # DEPENDENCYPART_ARC
(24,31),-2.47287 # DEPENDENCYPART_ARC
(25,20),-1.62447 # DEPENDENCYPART_ARC
(25,22),-0.836528 # DEPENDENCYPART_ARC
(25,23),-0.0845872 # DEPENDENCYPART_ARC
(25,24),0.330723 # DEPENDENCYPART_ARC
(25,26),1.2757 # DEPENDENCYPART_ARC
(25,27),-0.461558 # DEPENDENCYPART_ARC
(25,28),-0.754251 # DEPENDENCYPART_ARC
(25,29),-1.1797 # DEPENDENCYPART_ARC
(25,30),-1.21619 # DEPENDENCYPART_ARC
(25,31),-1.70696 # DEPENDENCYPART_ARC
(25,32),-1.36672 # DEPENDENCYPART_ARC
(26,17),-3.6264 # DEPENDENCYPART_ARC
(26,20),-3.49463 # DEPENDENCYPART_ARC
(26,22),-1.66388 # DEPENDENCYPART_ARC
(26,23),-0.74282 # DEPENDENCYPART_ARC
(26,24),0.0549104 # DEPENDENCYPART_ARC
(26,25),-0.195967 # DEPENDENCYPART_ARC
(26,28),-2.44777 # DEPENDENCYPART_ARC
(26,29),-2.6929 # DEPENDENCYPART_ARC
(28,29),0.768021 # DEPENDENCYPART_ARC
(28,30),-0.900741 # DEPENDENCYPART_ARC
(28,31),-1.55072 # DEPENDENCYPART_ARC
(29,22),-1.81438 # DEPENDENCYPART_ARC
(29,25),-2.12418 # DEPENDENCYPART_ARC
(29,26),-2.38077 # DEPENDENCYPART_ARC
(29,30),0.206731 # DEPENDENCYPART_ARC
(29,31),-0.834715 # DEPENDENCYPART_ARC
(30,29),-1.4528 # DEPENDENCYPART_ARC
(30,31),1.80757 # DEPENDENCYPART_ARC
(31,22),-2.0091 # DEPENDENCYPART_ARC
(31,29),-1.74805 # DEPENDENCYPART_ARC
(31,32),-1.36289 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.698582 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0431024 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00654286 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00562813 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.295222 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00706456 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.132812 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00557111 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.478931 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0199648 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0459337 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0349621 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.14666 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0964032 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.478931 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.139157 # DEPENDENCYPART_SIBL
(1,2),(1,27),-0.0459337 # DEPENDENCYPART_SIBL
(1,2),(1,28),0.139157 # DEPENDENCYPART_SIBL
(1,2),(1,30),0.14666 # DEPENDENCYPART_SIBL
(1,2),(1,32),-0.041366 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0377622 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.113704 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.125525 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0433002 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.123652 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.113723 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.107526 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.107509 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0889769 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.108158 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0857316 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.00641669 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.107526 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0597746 # DEPENDENCYPART_SIBL
(1,3),(1,27),-0.0889769 # DEPENDENCYPART_SIBL
(1,3),(1,28),-0.0597746 # DEPENDENCYPART_SIBL
(1,3),(1,30),-0.0857316 # DEPENDENCYPART_SIBL
(1,3),(1,32),-0.191288 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0716067 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0611659 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.132527 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0165123 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0716178 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0186527 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0653558 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0151835 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0706577 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0544235 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0434222 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0186527 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0152401 # DEPENDENCYPART_SIBL
(1,4),(1,27),-0.0151835 # DEPENDENCYPART_SIBL
(1,4),(1,28),0.0152401 # DEPENDENCYPART_SIBL
(1,4),(1,30),-0.0544235 # DEPENDENCYPART_SIBL
(1,4),(1,32),-0.0552448 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0286068 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0136079 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0019666 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.114775 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0741318 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.106068 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.00490346 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.105793 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.104097 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.113143 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0741318 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0416001 # DEPENDENCYPART_SIBL
(1,5),(1,27),-0.00490346 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.0416001 # DEPENDENCYPART_SIBL
(1,5),(1,30),0.104097 # DEPENDENCYPART_SIBL
(1,5),(1,32),0.0132863 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0117615 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0491135 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00522154 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.035098 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0115184 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.112999 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0097323 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0176011 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0135345 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.035098 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.131165 # DEPENDENCYPART_SIBL
(1,6),(1,27),0.112999 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.131165 # DEPENDENCYPART_SIBL
(1,6),(1,30),0.0176011 # DEPENDENCYPART_SIBL
(1,6),(1,32),0.0312362 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0373957 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0729749 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0027235 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0667162 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.00719746 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0739052 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0360717 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0411944 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0027235 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.0303739 # DEPENDENCYPART_SIBL
(1,7),(1,27),0.00719746 # DEPENDENCYPART_SIBL
(1,7),(1,28),0.0303739 # DEPENDENCYPART_SIBL
(1,7),(1,30),-0.0360717 # DEPENDENCYPART_SIBL
(1,7),(1,32),-0.0494042 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0899552 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.00858969 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0954603 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0513325 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0950825 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.183877 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0678941 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.00858969 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.186167 # DEPENDENCYPART_SIBL
(1,8),(1,27),0.0513325 # DEPENDENCYPART_SIBL
(1,8),(1,28),0.186167 # DEPENDENCYPART_SIBL
(1,8),(1,30),0.183877 # DEPENDENCYPART_SIBL
(1,8),(1,32),0.0225928 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.054526 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.106135 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0149073 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.105859 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0844957 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.11175 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.054526 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0471691 # DEPENDENCYPART_SIBL
(1,9),(1,27),0.0149073 # DEPENDENCYPART_SIBL
(1,9),(1,28),0.0471691 # DEPENDENCYPART_SIBL
(1,9),(1,30),0.0844957 # DEPENDENCYPART_SIBL
(1,9),(1,32),0.00756616 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0199648 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0459337 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0349621 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.14666 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0964032 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.478931 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.139157 # DEPENDENCYPART_SIBL
(1,10),(1,27),-0.0459337 # DEPENDENCYPART_SIBL
(1,10),(1,28),0.139157 # DEPENDENCYPART_SIBL
(1,10),(1,30),0.14666 # DEPENDENCYPART_SIBL
(1,10),(1,32),-0.041366 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0183763 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.113413 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.131919 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.116031 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0690433 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0410481 # DEPENDENCYPART_SIBL
(1,13),(1,27),0.0183763 # DEPENDENCYPART_SIBL
(1,13),(1,28),0.0410481 # DEPENDENCYPART_SIBL
(1,13),(1,30),0.131919 # DEPENDENCYPART_SIBL
(1,13),(1,32),0.0286891 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.660446 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.159719 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.646779 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.260288 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.610902 # DEPENDENCYPART_SIBL
(1,14),(1,27),0.0564219 # DEPENDENCYPART_SIBL
(1,14),(1,28),0.610902 # DEPENDENCYPART_SIBL
(1,14),(1,30),0.159719 # DEPENDENCYPART_SIBL
(1,14),(1,32),-0.00981247 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0461806 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.108494 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0241354 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.0449184 # DEPENDENCYPART_SIBL
(1,15),(1,27),0.00526576 # DEPENDENCYPART_SIBL
(1,15),(1,28),0.0449184 # DEPENDENCYPART_SIBL
(1,15),(1,30),0.0461806 # DEPENDENCYPART_SIBL
(1,15),(1,32),0.0466914 # DEPENDENCYPART_SIBL
(1,16),(1,18),0.0508939 # DEPENDENCYPART_SIBL
(1,16),(1,19),0.206566 # DEPENDENCYPART_SIBL
(1,16),(1,21),0.298051 # DEPENDENCYPART_SIBL
(1,16),(1,27),0.0395202 # DEPENDENCYPART_SIBL
(1,16),(1,28),0.298051 # DEPENDENCYPART_SIBL
(1,16),(1,30),0.160693 # DEPENDENCYPART_SIBL
(1,16),(1,32),0.0911032 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.0435166 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.0378158 # DEPENDENCYPART_SIBL
(1,18),(1,27),-0.0504325 # DEPENDENCYPART_SIBL
(1,18),(1,28),0.0378158 # DEPENDENCYPART_SIBL
(1,18),(1,30),0.0547067 # DEPENDENCYPART_SIBL
(1,18),(1,32),-0.0143145 # DEPENDENCYPART_SIBL
(1,19),(1,21),0.139157 # DEPENDENCYPART_SIBL
(1,19),(1,27),-0.0459337 # DEPENDENCYPART_SIBL
(1,19),(1,28),0.139157 # DEPENDENCYPART_SIBL
(1,19),(1,30),0.14666 # DEPENDENCYPART_SIBL
(1,19),(1,32),-0.041366 # DEPENDENCYPART_SIBL
(1,21),(1,27),-0.057636 # DEPENDENCYPART_SIBL
(1,21),(1,28),-0.972264 # DEPENDENCYPART_SIBL
(1,21),(1,30),-0.00945866 # DEPENDENCYPART_SIBL
(1,21),(1,32),-0.061862 # DEPENDENCYPART_SIBL
(1,27),(1,28),0.610902 # DEPENDENCYPART_SIBL
(1,27),(1,30),0.159719 # DEPENDENCYPART_SIBL
(1,27),(1,32),-0.00981247 # DEPENDENCYPART_SIBL
(1,28),(1,30),-0.00945866 # DEPENDENCYPART_SIBL
(1,28),(1,32),-0.061862 # DEPENDENCYPART_SIBL
(1,30),(1,32),0.0911032 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.156966 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.624137 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.51876 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.158303 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.320858 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.624149 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.627698 # DEPENDENCYPART_SIBL
