# _root_ In a stark lesson in the power of the appropriations committees , the House deliberately killed a handful of projects backed by lawmakers in Florida , Illinois and Pennsylvania who had voted against the panel leadership on the House floor .
#goldHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,32,40,40,37,16,
#predictedHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,36,40,40,37,16,
(16,37),-2.49676 # DEPENDENCYPART_ARC
(16,41),0.0356933 # DEPENDENCYPART_ARC
(17,19),-1.37084 # DEPENDENCYPART_ARC
(18,13),-1.76788 # DEPENDENCYPART_ARC
(18,14),-1.92287 # DEPENDENCYPART_ARC
(18,15),-1.30308 # DEPENDENCYPART_ARC
(18,16),-1.54074 # DEPENDENCYPART_ARC
(18,17),1.56188 # DEPENDENCYPART_ARC
(18,19),0.966497 # DEPENDENCYPART_ARC
(18,20),-0.752878 # DEPENDENCYPART_ARC
(18,21),-0.473518 # DEPENDENCYPART_ARC
(18,22),-0.742961 # DEPENDENCYPART_ARC
(18,23),-1.37391 # DEPENDENCYPART_ARC
(18,24),-0.855189 # DEPENDENCYPART_ARC
(18,25),-1.87382 # DEPENDENCYPART_ARC
(18,26),-1.32696 # DEPENDENCYPART_ARC
(18,27),-2.50056 # DEPENDENCYPART_ARC
(18,28),-1.67948 # DEPENDENCYPART_ARC
(18,31),-1.0368 # DEPENDENCYPART_ARC
(18,32),-2.06575 # DEPENDENCYPART_ARC
(18,33),-1.83062 # DEPENDENCYPART_ARC
(18,37),-2.05638 # DEPENDENCYPART_ARC
(18,41),-2.67311 # DEPENDENCYPART_ARC
(19,20),1.66162 # DEPENDENCYPART_ARC
(19,21),-0.885265 # DEPENDENCYPART_ARC
(19,22),-1.46983 # DEPENDENCYPART_ARC
(19,23),-0.980186 # DEPENDENCYPART_ARC
(20,18),-1.25229 # DEPENDENCYPART_ARC
(20,21),0.467809 # DEPENDENCYPART_ARC
(20,22),-0.682454 # DEPENDENCYPART_ARC
(20,23),-1.27114 # DEPENDENCYPART_ARC
(20,24),-0.762388 # DEPENDENCYPART_ARC
(20,25),-2.09882 # DEPENDENCYPART_ARC
(20,26),-0.889443 # DEPENDENCYPART_ARC
(20,27),-2.5019 # DEPENDENCYPART_ARC
(20,28),-1.67018 # DEPENDENCYPART_ARC
(20,31),-1.08232 # DEPENDENCYPART_ARC
(20,32),-2.15252 # DEPENDENCYPART_ARC
(20,37),-1.64478 # DEPENDENCYPART_ARC
(21,1),-2.93927 # DEPENDENCYPART_ARC
(21,4),-2.51135 # DEPENDENCYPART_ARC
(21,5),-2.50489 # DEPENDENCYPART_ARC
(21,8),-2.22428 # DEPENDENCYPART_ARC
(21,11),-2.12825 # DEPENDENCYPART_ARC
(21,13),-2.60705 # DEPENDENCYPART_ARC
(21,14),-2.37783 # DEPENDENCYPART_ARC
(21,15),-1.88566 # DEPENDENCYPART_ARC
(21,16),-2.09053 # DEPENDENCYPART_ARC
(21,18),-1.39209 # DEPENDENCYPART_ARC
(21,19),-1.66668 # DEPENDENCYPART_ARC
(21,20),-1.13943 # DEPENDENCYPART_ARC
(21,22),1.30522 # DEPENDENCYPART_ARC
(21,23),-0.687458 # DEPENDENCYPART_ARC
(21,24),-0.0741104 # DEPENDENCYPART_ARC
(21,25),-1.29959 # DEPENDENCYPART_ARC
(21,26),-1.35144 # DEPENDENCYPART_ARC
(21,27),-1.86481 # DEPENDENCYPART_ARC
(21,28),-1.03845 # DEPENDENCYPART_ARC
(21,29),-2.01031 # DEPENDENCYPART_ARC
(21,33),-1.16398 # DEPENDENCYPART_ARC
(21,37),-1.76256 # DEPENDENCYPART_ARC
(21,41),-1.94907 # DEPENDENCYPART_ARC
(22,23),1.59848 # DEPENDENCYPART_ARC
(22,24),-1.19902 # DEPENDENCYPART_ARC
(22,25),-1.00554 # DEPENDENCYPART_ARC
(22,27),-2.02691 # DEPENDENCYPART_ARC
(22,28),-1.18899 # DEPENDENCYPART_ARC
(22,31),-1.37394 # DEPENDENCYPART_ARC
(23,20),-2.01793 # DEPENDENCYPART_ARC
(23,21),-1.3823 # DEPENDENCYPART_ARC
(23,24),0.409338 # DEPENDENCYPART_ARC
(23,25),-1.50011 # DEPENDENCYPART_ARC
(23,26),-1.18936 # DEPENDENCYPART_ARC
(23,27),-1.85649 # DEPENDENCYPART_ARC
(23,28),-1.47343 # DEPENDENCYPART_ARC
(23,29),-2.29878 # DEPENDENCYPART_ARC
(23,30),-2.55548 # DEPENDENCYPART_ARC
(23,31),-0.70846 # DEPENDENCYPART_ARC
(23,32),-1.76047 # DEPENDENCYPART_ARC
(23,33),-1.36285 # DEPENDENCYPART_ARC
(23,37),-1.48224 # DEPENDENCYPART_ARC
(24,22),-1.73623 # DEPENDENCYPART_ARC
(24,23),-1.56329 # DEPENDENCYPART_ARC
(24,25),1.67127 # DEPENDENCYPART_ARC
(24,27),-1.43434 # DEPENDENCYPART_ARC
(24,28),-1.52899 # DEPENDENCYPART_ARC
(24,29),-1.91354 # DEPENDENCYPART_ARC
(25,26),0.410096 # DEPENDENCYPART_ARC
(25,27),-0.410939 # DEPENDENCYPART_ARC
(25,28),-1.06453 # DEPENDENCYPART_ARC
(25,29),-2.26555 # DEPENDENCYPART_ARC
(25,30),-2.38331 # DEPENDENCYPART_ARC
(25,31),-1.52856 # DEPENDENCYPART_ARC
(25,32),-2.14879 # DEPENDENCYPART_ARC
(25,36),-3.54037 # DEPENDENCYPART_ARC
(27,23),-1.77743 # DEPENDENCYPART_ARC
(27,25),-1.08594 # DEPENDENCYPART_ARC
(27,26),-1.03179 # DEPENDENCYPART_ARC
(27,28),1.68081 # DEPENDENCYPART_ARC
(27,29),-1.1816 # DEPENDENCYPART_ARC
(27,30),-2.03003 # DEPENDENCYPART_ARC
(27,31),-1.26106 # DEPENDENCYPART_ARC
(27,32),-1.83396 # DEPENDENCYPART_ARC
(27,33),-1.67025 # DEPENDENCYPART_ARC
(27,36),-3.1033 # DEPENDENCYPART_ARC
(28,29),0.947227 # DEPENDENCYPART_ARC
(28,30),-1.46011 # DEPENDENCYPART_ARC
(28,31),-0.372511 # DEPENDENCYPART_ARC
(28,32),-1.3053 # DEPENDENCYPART_ARC
(28,33),-1.78986 # DEPENDENCYPART_ARC
(28,36),-2.01615 # DEPENDENCYPART_ARC
(28,40),-2.6054 # DEPENDENCYPART_ARC
(29,30),-1.49223 # DEPENDENCYPART_ARC
(29,31),-1.41608 # DEPENDENCYPART_ARC
(29,32),-2.05904 # DEPENDENCYPART_ARC
(29,33),-2.08938 # DEPENDENCYPART_ARC
(29,36),-3.19244 # DEPENDENCYPART_ARC
(30,27),-2.46589 # DEPENDENCYPART_ARC
(30,29),-1.53218 # DEPENDENCYPART_ARC
(30,32),-1.81301 # DEPENDENCYPART_ARC
(31,1),-2.87372 # DEPENDENCYPART_ARC
(31,4),-3.11141 # DEPENDENCYPART_ARC
(31,7),-3.13942 # DEPENDENCYPART_ARC
(31,11),-2.6943 # DEPENDENCYPART_ARC
(31,12),-2.69692 # DEPENDENCYPART_ARC
(31,14),-2.58243 # DEPENDENCYPART_ARC
(31,15),-2.56517 # DEPENDENCYPART_ARC
(31,16),-2.64957 # DEPENDENCYPART_ARC
(31,18),-1.96801 # DEPENDENCYPART_ARC
(31,20),-1.50669 # DEPENDENCYPART_ARC
(31,22),-2.32638 # DEPENDENCYPART_ARC
(31,23),-1.25539 # DEPENDENCYPART_ARC
(31,24),-2.02193 # DEPENDENCYPART_ARC
(31,25),-2.22201 # DEPENDENCYPART_ARC
(31,26),-2.0374 # DEPENDENCYPART_ARC
(31,27),-1.90202 # DEPENDENCYPART_ARC
(31,29),-1.60218 # DEPENDENCYPART_ARC
(31,30),1.33794 # DEPENDENCYPART_ARC
(31,32),1.86995 # DEPENDENCYPART_ARC
(31,33),-0.737668 # DEPENDENCYPART_ARC
(31,35),-1.30966 # DEPENDENCYPART_ARC
(31,36),-1.29599 # DEPENDENCYPART_ARC
(31,37),-1.26157 # DEPENDENCYPART_ARC
(31,40),-2.1254 # DEPENDENCYPART_ARC
(31,41),-1.149 # DEPENDENCYPART_ARC
(32,1),-2.54207 # DEPENDENCYPART_ARC
(32,5),-2.0211 # DEPENDENCYPART_ARC
(32,24),-1.52881 # DEPENDENCYPART_ARC
(32,29),-1.72306 # DEPENDENCYPART_ARC
(32,30),-0.662477 # DEPENDENCYPART_ARC
(32,33),1.18106 # DEPENDENCYPART_ARC
(32,34),-1.28962 # DEPENDENCYPART_ARC
(32,35),-0.26878 # DEPENDENCYPART_ARC
(32,36),-0.338443 # DEPENDENCYPART_ARC
(32,37),-0.121254 # DEPENDENCYPART_ARC
(32,40),-0.732986 # DEPENDENCYPART_ARC
(32,41),-1.27906 # DEPENDENCYPART_ARC
(33,30),-1.0389 # DEPENDENCYPART_ARC
(33,34),-1.17698 # DEPENDENCYPART_ARC
(33,35),-0.10452 # DEPENDENCYPART_ARC
(33,36),-0.187227 # DEPENDENCYPART_ARC
(33,37),-1.39874 # DEPENDENCYPART_ARC
(33,40),-1.68929 # DEPENDENCYPART_ARC
(35,34),-0.109819 # DEPENDENCYPART_ARC
(35,37),-1.08014 # DEPENDENCYPART_ARC
(36,30),-2.1111 # DEPENDENCYPART_ARC
(36,33),-1.11944 # DEPENDENCYPART_ARC
(36,34),0.685356 # DEPENDENCYPART_ARC
(36,35),1.77277 # DEPENDENCYPART_ARC
(36,37),0.149517 # DEPENDENCYPART_ARC
(36,39),-1.73329 # DEPENDENCYPART_ARC
(36,40),-1.48072 # DEPENDENCYPART_ARC
(37,36),-1.61886 # DEPENDENCYPART_ARC
(37,38),-1.21708 # DEPENDENCYPART_ARC
(37,39),-0.557946 # DEPENDENCYPART_ARC
(37,40),0.561059 # DEPENDENCYPART_ARC
(39,38),-0.129534 # DEPENDENCYPART_ARC
(40,30),-2.26878 # DEPENDENCYPART_ARC
(40,34),-2.77772 # DEPENDENCYPART_ARC
(40,35),-1.18935 # DEPENDENCYPART_ARC
(40,36),-1.79609 # DEPENDENCYPART_ARC
(40,38),1.35751 # DEPENDENCYPART_ARC
(40,39),1.38558 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.101471 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.72379 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.106123 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.748091 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0934001 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.609581 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.287085 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.654342 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.122341 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.651018 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.137955 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.516817 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.108219 # DEPENDENCYPART_SIBL
(1,2),(1,41),-0.0916571 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.629285 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0350438 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.630992 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0383524 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.555322 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0292554 # DEPENDENCYPART_SIBL
(1,3),(1,41),0.00902701 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0125749 # DEPENDENCYPART_SIBL
(1,4),(1,7),-1.00433 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0101118 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.944282 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.07924 # DEPENDENCYPART_SIBL
(1,4),(1,41),0.0950868 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.343735 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.17585 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.30454 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0355458 # DEPENDENCYPART_SIBL
(1,5),(1,41),0.0184423 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0162337 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.950812 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0520961 # DEPENDENCYPART_SIBL
(1,7),(1,41),0.100183 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.00777584 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0558121 # DEPENDENCYPART_SIBL
(1,8),(1,41),0.0725186 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0402214 # DEPENDENCYPART_SIBL
(1,11),(1,41),0.0238868 # DEPENDENCYPART_SIBL
(1,12),(1,41),0.395117 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.232534 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0537695 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0340484 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.128176 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.272342 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0065846 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0497426 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0703881 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0561276 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.012955 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.112659 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0280121 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0282567 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0312264 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0554525 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0638181 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0534945 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.00126836 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0284384 # DEPENDENCYPART_SIBL
(4,1),(4,41),0.0175381 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.134033 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.191733 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0187484 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.180923 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0442446 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0518343 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00336378 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0514479 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.04462 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.275139 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0210851 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.458302 # DEPENDENCYPART_SIBL
(4,2),(4,41),0.0350001 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0296928 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.022487 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.022907 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.03217 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0311052 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0372124 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0632591 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0210987 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0221896 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0218567 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0429116 # DEPENDENCYPART_SIBL
(4,3),(4,41),0.0194123 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.14932 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.029129 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.109768 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.107641 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0823546 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0777037 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.120479 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0361756 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.140944 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.091205 # DEPENDENCYPART_SIBL
(4,5),(4,41),0.0233146 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0568591 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.150579 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.151126 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0301642 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0685405 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0527291 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0348331 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.117096 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0300224 # DEPENDENCYPART_SIBL
(4,7),(4,41),-0.000267704 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0623755 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0603507 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0144694 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0428229 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0341922 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.156314 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0464359 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.0565094 # DEPENDENCYPART_SIBL
(4,8),(4,41),-0.0412255 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.247198 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0238137 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0755644 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.00346313 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0911326 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0946411 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0472768 # DEPENDENCYPART_SIBL
(4,10),(4,41),-0.0197486 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0157925 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0756665 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.00356109 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0912365 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0908688 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0473807 # DEPENDENCYPART_SIBL
(4,11),(4,41),-0.0172754 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.64907 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.3282 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.531417 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.6932 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.614534 # DEPENDENCYPART_SIBL
(4,12),(4,41),-0.00503514 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0392647 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00966431 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0579521 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0274893 # DEPENDENCYPART_SIBL
