# _root_ `` Because Tokyo did n't collapse , let 's pick up a little stock , '' Mr. Smith said .
#goldHeads=19,8,4,2,4,4,8,19,8,8,10,14,14,10,19,19,18,19,0,19,
#predictedHeads=19,19,4,2,4,4,6,6,8,8,10,14,14,10,19,19,18,19,0,19,
(10,12),-1.24607 # DEPENDENCYPART_ARC
(10,13),-1.01995 # DEPENDENCYPART_ARC
(10,14),-0.185672 # DEPENDENCYPART_ARC
(10,15),-1.15724 # DEPENDENCYPART_ARC
(10,16),-0.891032 # DEPENDENCYPART_ARC
(10,17),-1.67801 # DEPENDENCYPART_ARC
(10,18),-1.60933 # DEPENDENCYPART_ARC
(10,19),-1.10911 # DEPENDENCYPART_ARC
(10,20),-1.44908 # DEPENDENCYPART_ARC
(11,9),-2.0143 # DEPENDENCYPART_ARC
(11,10),-1.29574 # DEPENDENCYPART_ARC
(11,12),-1.92952 # DEPENDENCYPART_ARC
(11,14),-2.01333 # DEPENDENCYPART_ARC
(11,15),-2.17576 # DEPENDENCYPART_ARC
(11,18),-3.12308 # DEPENDENCYPART_ARC
(12,11),-1.74477 # DEPENDENCYPART_ARC
(13,11),-1.77538 # DEPENDENCYPART_ARC
(13,12),-0.344044 # DEPENDENCYPART_ARC
(13,16),-1.67522 # DEPENDENCYPART_ARC
(13,18),-2.35756 # DEPENDENCYPART_ARC
(14,1),-2.37734 # DEPENDENCYPART_ARC
(14,2),-1.92511 # DEPENDENCYPART_ARC
(14,3),-3.26518 # DEPENDENCYPART_ARC
(14,4),-2.10268 # DEPENDENCYPART_ARC
(14,5),-2.40598 # DEPENDENCYPART_ARC
(14,6),-2.49148 # DEPENDENCYPART_ARC
(14,7),-2.44176 # DEPENDENCYPART_ARC
(14,8),-2.2857 # DEPENDENCYPART_ARC
(14,9),-1.59386 # DEPENDENCYPART_ARC
(14,10),-1.64455 # DEPENDENCYPART_ARC
(14,11),-1.35802 # DEPENDENCYPART_ARC
(14,12),1.54955 # DEPENDENCYPART_ARC
(14,13),2.10484 # DEPENDENCYPART_ARC
(14,15),-0.881037 # DEPENDENCYPART_ARC
(14,16),-1.21597 # DEPENDENCYPART_ARC
(14,17),-1.88317 # DEPENDENCYPART_ARC
(14,18),-2.07465 # DEPENDENCYPART_ARC
(14,19),-1.67323 # DEPENDENCYPART_ARC
(15,14),-1.91816 # DEPENDENCYPART_ARC
(16,18),-2.40046 # DEPENDENCYPART_ARC
(17,8),-3.93415 # DEPENDENCYPART_ARC
(17,10),-3.74911 # DEPENDENCYPART_ARC
(17,13),-2.33706 # DEPENDENCYPART_ARC
(17,14),-2.39039 # DEPENDENCYPART_ARC
(17,15),-2.04374 # DEPENDENCYPART_ARC
(17,16),-1.3446 # DEPENDENCYPART_ARC
(17,18),-1.10026 # DEPENDENCYPART_ARC
(18,1),-2.94288 # DEPENDENCYPART_ARC
(18,2),-3.02967 # DEPENDENCYPART_ARC
(18,3),-4.38728 # DEPENDENCYPART_ARC
(18,4),-3.01791 # DEPENDENCYPART_ARC
(18,6),-3.19898 # DEPENDENCYPART_ARC
(18,8),-2.92731 # DEPENDENCYPART_ARC
(18,10),-2.80993 # DEPENDENCYPART_ARC
(18,12),-2.25777 # DEPENDENCYPART_ARC
(18,13),-1.26109 # DEPENDENCYPART_ARC
(18,14),-1.73676 # DEPENDENCYPART_ARC
(18,15),-1.43752 # DEPENDENCYPART_ARC
(18,16),-1.08238 # DEPENDENCYPART_ARC
(18,17),2.09012 # DEPENDENCYPART_ARC
(19,1),-0.719254 # DEPENDENCYPART_ARC
(19,2),-2.6891 # DEPENDENCYPART_ARC
(19,3),-2.22709 # DEPENDENCYPART_ARC
(19,4),-0.965745 # DEPENDENCYPART_ARC
(19,5),-2.50856 # DEPENDENCYPART_ARC
(19,6),-1.87439 # DEPENDENCYPART_ARC
(19,7),-1.75785 # DEPENDENCYPART_ARC
(19,8),-1.82628 # DEPENDENCYPART_ARC
(19,9),-2.24735 # DEPENDENCYPART_ARC
(19,10),-1.912 # DEPENDENCYPART_ARC
(19,11),-2.20711 # DEPENDENCYPART_ARC
(19,14),-1.8164 # DEPENDENCYPART_ARC
(19,15),-0.146626 # DEPENDENCYPART_ARC
(19,16),-0.302478 # DEPENDENCYPART_ARC
(19,17),-1.1867 # DEPENDENCYPART_ARC
(19,18),0.290357 # DEPENDENCYPART_ARC
(19,20),1.35286 # DEPENDENCYPART_ARC
(0,4),(0,6),-0.606468 # DEPENDENCYPART_SIBL
(0,4),(0,19),-2.29766 # DEPENDENCYPART_SIBL
(0,6),(0,19),-1.12126 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0667587 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0783754 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0916798 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0697393 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0532065 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0327194 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0419358 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0110599 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0482376 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0250357 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0405833 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0746116 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0772085 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0110599 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.333305 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0261261 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.717864 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.201346 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.341502 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0976017 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.325852 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.318479 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.345277 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.293642 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.565523 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0976017 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0488347 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.643241 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0264113 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.192162 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.140599 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.177161 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0506444 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.190592 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.113124 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.234588 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.140599 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.10933 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.80182 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00222405 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0509757 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00970524 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00968801 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0247882 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.178682 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.119213 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0509757 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0721679 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.372509 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.12043 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.506189 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0147801 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.509483 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0974553 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.270143 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.12043 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0907236 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.374073 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.021208 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0100242 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0521401 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.114707 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.196396 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.104876 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0907962 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0256225 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0118462 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.524695 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0951427 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.269298 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.157714 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.104672 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.371256 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.128712 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0600091 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.275081 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.104019 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.106257 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.34847 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0973637 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.270248 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.117931 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.09241 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.372379 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0204603 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00997676 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0352488 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.372076 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0187949 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.15809 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.781627 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0907962 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0256225 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.359034 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0836115 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.066935 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.108569 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.139089 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00188555 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0911086 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.168217 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.440649 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0111797 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00832009 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0276794 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0279661 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.214149 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0648917 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.1124 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0901458 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.047443 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.061431 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.128107 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.125252 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.1124 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.193532 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0992602 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0592555 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.206796 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0730356 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0317188 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0184002 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0966849 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0253444 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0721265 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0136816 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0338204 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00230438 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0966849 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0550562 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00630522 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0560562 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0621329 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.110839 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0229873 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0349202 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0609944 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00250963 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0107264 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0656578 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0507663 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0349202 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00174743 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0260816 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0583828 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0832735 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.419531 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0213809 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.416015 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0549415 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.398806 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.214612 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0370424 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0213809 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.022382 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0772177 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0295604 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0404049 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0287074 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.364642 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0549949 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.37333 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.191845 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.336654 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0287074 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0479479 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.248116 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0626239 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0893856 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.202099 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0831157 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.209556 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0134872 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0933259 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.145513 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0882488 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0470303 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.12239 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.00149823 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0584635 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.394944 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.196556 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.343844 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0606167 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0577027 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.249131 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0661608 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.116561 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0204065 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.149571 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.278463 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.216448 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0130866 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.198997 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0498849 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0806742 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.200331 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.346969 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0187432 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0410989 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.25139 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0694583 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0811007 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0703472 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0188288 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0542383 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0280327 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0305448 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0303269 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0383092 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0531439 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.14989 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0751395 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.00869142 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0882488 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0470303 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.12239 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.00149823 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.00641946 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0311037 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0458003 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0438456 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0067371 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0269568 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0577589 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0127847 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0117792 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.131625 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0543355 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0215337 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0445402 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00775935 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0475828 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.034704 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.150527 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.062708 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0377078 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0347027 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0361675 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0253674 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0539613 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0700593 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.018342 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0201895 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0359235 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0434911 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0264883 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0203265 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0357562 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0201895 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.690496 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0638319 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0357118 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0302095 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0434961 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0265909 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0844457 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0311916 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0661217 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0212949 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0282356 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0106274 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0844457 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0377229 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0286411 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0829441 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0565967 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.140304 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.000175943 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.017115 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.061053 # DEPENDENCYPART_SIBL
