# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,13,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(7,10),-1.4323 # DEPENDENCYPART_ARC
(7,11),-1.37834 # DEPENDENCYPART_ARC
(7,12),-1.23616 # DEPENDENCYPART_ARC
(7,13),-2.21545 # DEPENDENCYPART_ARC
(7,16),-1.59816 # DEPENDENCYPART_ARC
(7,17),-1.45473 # DEPENDENCYPART_ARC
(7,18),-2.31701 # DEPENDENCYPART_ARC
(7,19),-2.54329 # DEPENDENCYPART_ARC
(7,20),-2.40327 # DEPENDENCYPART_ARC
(7,21),-2.33539 # DEPENDENCYPART_ARC
(8,5),-2.00822 # DEPENDENCYPART_ARC
(8,6),-1.95391 # DEPENDENCYPART_ARC
(8,7),-1.36913 # DEPENDENCYPART_ARC
(8,9),-1.28498 # DEPENDENCYPART_ARC
(8,10),-1.06182 # DEPENDENCYPART_ARC
(8,11),0.748742 # DEPENDENCYPART_ARC
(8,12),-1.78299 # DEPENDENCYPART_ARC
(8,13),-1.83038 # DEPENDENCYPART_ARC
(8,16),-1.2925 # DEPENDENCYPART_ARC
(8,17),-1.63299 # DEPENDENCYPART_ARC
(8,20),-2.46214 # DEPENDENCYPART_ARC
(8,21),-2.48865 # DEPENDENCYPART_ARC
(8,25),-2.37044 # DEPENDENCYPART_ARC
(9,10),-1.29222 # DEPENDENCYPART_ARC
(9,12),-1.54358 # DEPENDENCYPART_ARC
(10,8),-1.90496 # DEPENDENCYPART_ARC
(10,9),-0.623841 # DEPENDENCYPART_ARC
(10,12),-1.52655 # DEPENDENCYPART_ARC
(10,13),-2.21503 # DEPENDENCYPART_ARC
(11,2),-2.57474 # DEPENDENCYPART_ARC
(11,3),-2.28957 # DEPENDENCYPART_ARC
(11,4),-1.80544 # DEPENDENCYPART_ARC
(11,5),-2.10548 # DEPENDENCYPART_ARC
(11,6),-1.97808 # DEPENDENCYPART_ARC
(11,7),-1.86095 # DEPENDENCYPART_ARC
(11,8),-1.38096 # DEPENDENCYPART_ARC
(11,9),1.28393 # DEPENDENCYPART_ARC
(11,10),1.29542 # DEPENDENCYPART_ARC
(11,12),0.317727 # DEPENDENCYPART_ARC
(11,13),-0.967059 # DEPENDENCYPART_ARC
(11,14),-1.69591 # DEPENDENCYPART_ARC
(11,16),-1.14021 # DEPENDENCYPART_ARC
(11,17),-1.3049 # DEPENDENCYPART_ARC
(11,18),-1.80836 # DEPENDENCYPART_ARC
(11,19),-1.70617 # DEPENDENCYPART_ARC
(11,20),-1.91922 # DEPENDENCYPART_ARC
(11,21),-1.76832 # DEPENDENCYPART_ARC
(11,23),-2.31165 # DEPENDENCYPART_ARC
(11,25),-2.45939 # DEPENDENCYPART_ARC
(11,26),-1.70234 # DEPENDENCYPART_ARC
(11,27),-3.28125 # DEPENDENCYPART_ARC
(11,36),-3.03417 # DEPENDENCYPART_ARC
(12,10),-2.33895 # DEPENDENCYPART_ARC
(12,11),-1.19104 # DEPENDENCYPART_ARC
(12,13),0.631905 # DEPENDENCYPART_ARC
(12,14),-1.04145 # DEPENDENCYPART_ARC
(12,16),-0.517728 # DEPENDENCYPART_ARC
(12,19),-2.47193 # DEPENDENCYPART_ARC
(12,20),-2.57286 # DEPENDENCYPART_ARC
(12,25),-2.12814 # DEPENDENCYPART_ARC
(12,28),-3.59199 # DEPENDENCYPART_ARC
(13,8),-2.2925 # DEPENDENCYPART_ARC
(13,9),-1.97807 # DEPENDENCYPART_ARC
(13,10),-2.24263 # DEPENDENCYPART_ARC
(13,11),-1.56925 # DEPENDENCYPART_ARC
(13,12),-0.424629 # DEPENDENCYPART_ARC
(13,14),1.57523 # DEPENDENCYPART_ARC
(13,15),-0.9253 # DEPENDENCYPART_ARC
(13,16),-0.644369 # DEPENDENCYPART_ARC
(13,17),-0.942161 # DEPENDENCYPART_ARC
(13,18),-1.35787 # DEPENDENCYPART_ARC
(13,19),-1.75386 # DEPENDENCYPART_ARC
(13,20),-1.38519 # DEPENDENCYPART_ARC
(13,21),-2.07532 # DEPENDENCYPART_ARC
(13,22),-2.39474 # DEPENDENCYPART_ARC
(13,23),-1.73686 # DEPENDENCYPART_ARC
(13,24),-2.94795 # DEPENDENCYPART_ARC
(13,25),-2.6509 # DEPENDENCYPART_ARC
(13,26),-1.90719 # DEPENDENCYPART_ARC
(13,27),-2.82644 # DEPENDENCYPART_ARC
(13,28),-2.76345 # DEPENDENCYPART_ARC
(13,29),-3.37444 # DEPENDENCYPART_ARC
(13,30),-3.32009 # DEPENDENCYPART_ARC
(13,31),-1.84211 # DEPENDENCYPART_ARC
(13,32),-4.46408 # DEPENDENCYPART_ARC
(13,33),-3.5329 # DEPENDENCYPART_ARC
(13,34),-4.48949 # DEPENDENCYPART_ARC
(13,36),-2.92707 # DEPENDENCYPART_ARC
(14,10),-2.00319 # DEPENDENCYPART_ARC
(14,12),-1.30694 # DEPENDENCYPART_ARC
(14,16),-1.40089 # DEPENDENCYPART_ARC
(14,17),-1.13563 # DEPENDENCYPART_ARC
(16,9),-2.12167 # DEPENDENCYPART_ARC
(16,13),-0.887256 # DEPENDENCYPART_ARC
(16,14),-0.988972 # DEPENDENCYPART_ARC
(16,15),2.13589 # DEPENDENCYPART_ARC
(16,17),-1.17885 # DEPENDENCYPART_ARC
(16,18),-1.71173 # DEPENDENCYPART_ARC
(16,19),-2.10479 # DEPENDENCYPART_ARC
(16,20),-2.13155 # DEPENDENCYPART_ARC
(16,21),-2.05166 # DEPENDENCYPART_ARC
(16,25),-2.65064 # DEPENDENCYPART_ARC
(18,16),-2.66149 # DEPENDENCYPART_ARC
(19,18),-1.60204 # DEPENDENCYPART_ARC
(19,20),-0.882254 # DEPENDENCYPART_ARC
(19,21),-0.507843 # DEPENDENCYPART_ARC
(19,22),-1.9595 # DEPENDENCYPART_ARC
(19,23),-1.80633 # DEPENDENCYPART_ARC
(19,24),-1.69626 # DEPENDENCYPART_ARC
(19,27),-1.49714 # DEPENDENCYPART_ARC
(19,28),-2.439 # DEPENDENCYPART_ARC
(19,30),-2.52878 # DEPENDENCYPART_ARC
(19,32),-1.5875 # DEPENDENCYPART_ARC
(20,13),-1.95814 # DEPENDENCYPART_ARC
(20,16),-1.94072 # DEPENDENCYPART_ARC
(20,17),-1.70605 # DEPENDENCYPART_ARC
(20,18),-1.03127 # DEPENDENCYPART_ARC
(20,19),0.614337 # DEPENDENCYPART_ARC
(20,21),0.820857 # DEPENDENCYPART_ARC
(20,22),-1.68189 # DEPENDENCYPART_ARC
(20,23),-1.51605 # DEPENDENCYPART_ARC
(20,24),-1.78964 # DEPENDENCYPART_ARC
(20,25),-1.67253 # DEPENDENCYPART_ARC
(20,26),-1.3662 # DEPENDENCYPART_ARC
(20,27),-1.3844 # DEPENDENCYPART_ARC
(20,28),-2.68277 # DEPENDENCYPART_ARC
(20,30),-2.58568 # DEPENDENCYPART_ARC
(20,31),-1.71814 # DEPENDENCYPART_ARC
(20,32),-1.72364 # DEPENDENCYPART_ARC
(21,18),-1.8627 # DEPENDENCYPART_ARC
(21,19),-1.52886 # DEPENDENCYPART_ARC
(21,22),-0.80254 # DEPENDENCYPART_ARC
(21,23),-0.754909 # DEPENDENCYPART_ARC
(21,24),-1.29875 # DEPENDENCYPART_ARC
(21,25),-0.276211 # DEPENDENCYPART_ARC
(21,26),-1.08601 # DEPENDENCYPART_ARC
(21,27),-1.46142 # DEPENDENCYPART_ARC
(21,28),-1.76157 # DEPENDENCYPART_ARC
(21,30),-2.25456 # DEPENDENCYPART_ARC
(21,31),-1.20044 # DEPENDENCYPART_ARC
(21,32),-2.05955 # DEPENDENCYPART_ARC
(21,33),-2.41452 # DEPENDENCYPART_ARC
(21,36),-2.29991 # DEPENDENCYPART_ARC
(22,23),-1.78557 # DEPENDENCYPART_ARC
(22,24),-2.01331 # DEPENDENCYPART_ARC
(23,22),-0.69875 # DEPENDENCYPART_ARC
(23,24),-0.843292 # DEPENDENCYPART_ARC
(23,26),-1.28978 # DEPENDENCYPART_ARC
(23,27),-1.28277 # DEPENDENCYPART_ARC
(23,28),-2.39576 # DEPENDENCYPART_ARC
(23,31),-1.80212 # DEPENDENCYPART_ARC
(23,32),-1.67819 # DEPENDENCYPART_ARC
(24,22),-0.74936 # DEPENDENCYPART_ARC
(24,23),-0.509101 # DEPENDENCYPART_ARC
(24,27),-1.62119 # DEPENDENCYPART_ARC
(24,28),-2.41112 # DEPENDENCYPART_ARC
(25,13),-2.12054 # DEPENDENCYPART_ARC
(25,16),-2.24748 # DEPENDENCYPART_ARC
(25,18),-2.16622 # DEPENDENCYPART_ARC
(25,19),-1.18233 # DEPENDENCYPART_ARC
(25,20),-1.14168 # DEPENDENCYPART_ARC
(25,22),0.22151 # DEPENDENCYPART_ARC
(25,23),0.77602 # DEPENDENCYPART_ARC
(25,24),1.29487 # DEPENDENCYPART_ARC
(25,26),-0.485905 # DEPENDENCYPART_ARC
(25,27),-0.654519 # DEPENDENCYPART_ARC
(25,28),-1.3754 # DEPENDENCYPART_ARC
(25,30),-2.12332 # DEPENDENCYPART_ARC
(25,31),-1.60707 # DEPENDENCYPART_ARC
(25,32),-1.68263 # DEPENDENCYPART_ARC
(25,33),-2.23325 # DEPENDENCYPART_ARC
(25,36),-2.42344 # DEPENDENCYPART_ARC
(26,23),-2.61477 # DEPENDENCYPART_ARC
(26,24),-2.32885 # DEPENDENCYPART_ARC
(26,25),-1.56034 # DEPENDENCYPART_ARC
(26,27),-1.72417 # DEPENDENCYPART_ARC
(26,28),-2.22625 # DEPENDENCYPART_ARC
(27,25),-1.97886 # DEPENDENCYPART_ARC
(27,26),-1.36998 # DEPENDENCYPART_ARC
(27,28),0.575274 # DEPENDENCYPART_ARC
(27,29),-1.05132 # DEPENDENCYPART_ARC
(27,30),-1.5743 # DEPENDENCYPART_ARC
(27,31),-1.25725 # DEPENDENCYPART_ARC
(27,32),-1.78947 # DEPENDENCYPART_ARC
(27,33),-2.35424 # DEPENDENCYPART_ARC
(27,36),-1.48094 # DEPENDENCYPART_ARC
(28,22),-2.34986 # DEPENDENCYPART_ARC
(28,23),-2.15186 # DEPENDENCYPART_ARC
(28,24),-2.41431 # DEPENDENCYPART_ARC
(28,26),-1.24865 # DEPENDENCYPART_ARC
(28,27),-0.0343952 # DEPENDENCYPART_ARC
(28,29),1.6557 # DEPENDENCYPART_ARC
(28,30),1.09339 # DEPENDENCYPART_ARC
(28,31),-0.386529 # DEPENDENCYPART_ARC
(28,32),-0.932697 # DEPENDENCYPART_ARC
(28,33),-1.53409 # DEPENDENCYPART_ARC
(28,34),-1.74475 # DEPENDENCYPART_ARC
(28,36),-1.99349 # DEPENDENCYPART_ARC
(29,30),-1.13728 # DEPENDENCYPART_ARC
(29,32),-1.50614 # DEPENDENCYPART_ARC
(29,33),-2.2933 # DEPENDENCYPART_ARC
(30,22),-2.31943 # DEPENDENCYPART_ARC
(30,24),-2.44125 # DEPENDENCYPART_ARC
(30,29),-0.0631169 # DEPENDENCYPART_ARC
(30,31),-1.35103 # DEPENDENCYPART_ARC
(30,32),-1.28977 # DEPENDENCYPART_ARC
(30,33),-2.09179 # DEPENDENCYPART_ARC
(30,36),-2.44686 # DEPENDENCYPART_ARC
(32,33),0.880024 # DEPENDENCYPART_ARC
(32,34),-0.903187 # DEPENDENCYPART_ARC
(32,36),-1.18741 # DEPENDENCYPART_ARC
(33,30),-2.25169 # DEPENDENCYPART_ARC
(33,34),1.62084 # DEPENDENCYPART_ARC
(33,35),-0.997186 # DEPENDENCYPART_ARC
(33,36),-0.969973 # DEPENDENCYPART_ARC
(34,30),-2.1201 # DEPENDENCYPART_ARC
(34,33),-1.02515 # DEPENDENCYPART_ARC
(34,36),-1.21411 # DEPENDENCYPART_ARC
(36,22),-2.32191 # DEPENDENCYPART_ARC
(36,33),-0.859204 # DEPENDENCYPART_ARC
(36,34),-1.04071 # DEPENDENCYPART_ARC
(36,35),1.79805 # DEPENDENCYPART_ARC
(0,2),(0,6),-1.64824 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0778952 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.208535 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.102466 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.172317 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0741643 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.111384 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0778393 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.300495 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.172521 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0467619 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.171028 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00088454 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0695113 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.113033 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.33021 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.012451 # DEPENDENCYPART_SIBL
(2,1),(2,31),0.171028 # DEPENDENCYPART_SIBL
(2,1),(2,37),0.0419108 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0954864 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.247684 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.208708 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.266953 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.060255 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.166637 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.17735 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.172174 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.130098 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.107321 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.105558 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0983095 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.233003 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.184425 # DEPENDENCYPART_SIBL
(2,3),(2,31),-0.130098 # DEPENDENCYPART_SIBL
(2,3),(2,37),-0.323275 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0795674 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.124773 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.10449 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0347194 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.22258 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0920122 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.108531 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0612214 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0123918 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0422631 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.196116 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0749025 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0311233 # DEPENDENCYPART_SIBL
(2,4),(2,31),-0.0612214 # DEPENDENCYPART_SIBL
(2,4),(2,37),-0.039878 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.117633 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.258641 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0341015 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.384231 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0584117 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0566994 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0658544 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0383342 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0457091 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0965955 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0741746 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.077212 # DEPENDENCYPART_SIBL
(2,5),(2,31),0.0658544 # DEPENDENCYPART_SIBL
(2,5),(2,37),-0.0959221 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.283414 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.235286 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.358357 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.284273 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.234461 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.141313 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.150195 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.209707 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.253946 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.367258 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.0359146 # DEPENDENCYPART_SIBL
(2,6),(2,31),-0.141313 # DEPENDENCYPART_SIBL
(2,6),(2,37),0.00882191 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0331425 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.350754 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0268468 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0333691 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0819809 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0954188 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0193512 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0722018 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0855837 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.0466077 # DEPENDENCYPART_SIBL
(2,7),(2,31),0.0819809 # DEPENDENCYPART_SIBL
(2,7),(2,37),-0.0110168 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.106668 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0847716 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.100251 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.102524 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0525759 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0630124 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0679683 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.261233 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.0588327 # DEPENDENCYPART_SIBL
(2,8),(2,31),0.102524 # DEPENDENCYPART_SIBL
(2,8),(2,37),-0.126603 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.255934 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.228078 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.187803 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.123094 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.170558 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.153177 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.192614 # DEPENDENCYPART_SIBL
(2,11),(2,26),-0.114452 # DEPENDENCYPART_SIBL
(2,11),(2,31),-0.187803 # DEPENDENCYPART_SIBL
(2,11),(2,37),-0.39706 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.15416 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0752328 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.00760888 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.142879 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.108941 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.327215 # DEPENDENCYPART_SIBL
(2,12),(2,26),-0.168013 # DEPENDENCYPART_SIBL
(2,12),(2,31),-0.0752328 # DEPENDENCYPART_SIBL
(2,12),(2,37),-0.105475 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0216701 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0010528 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.102897 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0943032 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.115607 # DEPENDENCYPART_SIBL
(2,13),(2,26),-0.0785521 # DEPENDENCYPART_SIBL
(2,13),(2,31),0.0216701 # DEPENDENCYPART_SIBL
(2,13),(2,37),-0.11279 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.318791 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.117009 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.186305 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.0394266 # DEPENDENCYPART_SIBL
(2,17),(2,26),0.128787 # DEPENDENCYPART_SIBL
(2,17),(2,31),-0.169719 # DEPENDENCYPART_SIBL
(2,17),(2,37),-0.220475 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0390338 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.00414195 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.0891363 # DEPENDENCYPART_SIBL
(2,18),(2,26),-0.0739707 # DEPENDENCYPART_SIBL
(2,18),(2,31),-0.108822 # DEPENDENCYPART_SIBL
(2,18),(2,37),-0.0043514 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.0599577 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.132612 # DEPENDENCYPART_SIBL
(2,19),(2,26),-0.0263908 # DEPENDENCYPART_SIBL
(2,19),(2,31),-0.0499194 # DEPENDENCYPART_SIBL
(2,19),(2,37),-0.114654 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.162214 # DEPENDENCYPART_SIBL
(2,20),(2,26),0.0181171 # DEPENDENCYPART_SIBL
(2,20),(2,31),-0.0169936 # DEPENDENCYPART_SIBL
(2,20),(2,37),-0.0890938 # DEPENDENCYPART_SIBL
(2,21),(2,26),-0.0692792 # DEPENDENCYPART_SIBL
(2,21),(2,31),-0.0660242 # DEPENDENCYPART_SIBL
(2,21),(2,37),-0.237974 # DEPENDENCYPART_SIBL
(2,26),(2,31),-0.0125769 # DEPENDENCYPART_SIBL
(2,26),(2,37),-0.116861 # DEPENDENCYPART_SIBL
(2,31),(2,37),-0.220475 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.020223 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0450498 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0585561 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.106868 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00758547 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.062969 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.107707 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0367715 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0448814 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0390184 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0690042 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.116451 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.169326 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.119168 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0717421 # DEPENDENCYPART_SIBL
