# _root_ Two years ago when the NAHB lobbied for the $ 19 billion omnibus housing bill , the organization `` basically dropped out of the taxpayers ' coalition , '' says Ms. MacDonald .
#goldHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,22,25,27,25,23,30,30,0,32,30,30,
#predictedHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,21,25,27,25,23,30,30,0,32,30,30,
(2,3),(2,5),-0.0137501 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0458596 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0772364 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0429588 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0383546 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00648797 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00293963 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0259164 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0536848 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0370726 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.103867 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.087267 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0947998 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0941746 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0513327 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0435364 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0617699 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.027223 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0257898 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.157242 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0861209 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0167939 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00550304 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.102062 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0201289 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0177258 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.108035 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.118265 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0477244 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0549115 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.103576 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.028081 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0162439 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0143411 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00700638 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0560205 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0324863 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0441104 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0637438 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0361009 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0235707 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0244591 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0385076 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00636739 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0660981 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0125598 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0604867 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0481247 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0156777 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0358966 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0485187 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0384219 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00586457 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.112037 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0293167 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0303101 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0499489 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0733321 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0555541 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0849609 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.128072 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0252469 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.168207 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00353161 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0109753 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0307259 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.105069 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0113928 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0330395 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.148937 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00917296 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0116218 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0732804 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0908708 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00641281 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0217763 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0799296 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.234817 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0926115 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0850064 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.252637 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.183753 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.114577 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0338447 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0212823 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.441958 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.180252 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.231859 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00512052 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.157725 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.290232 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.109717 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.053165 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0169614 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00338383 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.020149 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0137306 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0517217 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00683869 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00580865 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0552402 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0699436 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0635122 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.0174331 # DEPENDENCYPART_SIBL
(7,1),(7,26),-0.0980412 # DEPENDENCYPART_SIBL
(7,1),(7,28),-0.00683869 # DEPENDENCYPART_SIBL
(7,1),(7,29),0.0114001 # DEPENDENCYPART_SIBL
(7,1),(7,30),-0.0378203 # DEPENDENCYPART_SIBL
(7,1),(7,33),0.0664203 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0847314 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.294818 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.247621 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.443624 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0702307 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0963449 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.062665 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0900245 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.100344 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0660757 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0245993 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0960741 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0700228 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0637585 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.0260523 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.00646752 # DEPENDENCYPART_SIBL
(7,2),(7,26),-0.0774157 # DEPENDENCYPART_SIBL
(7,2),(7,28),-0.0245993 # DEPENDENCYPART_SIBL
(7,2),(7,29),-0.0448198 # DEPENDENCYPART_SIBL
(7,2),(7,30),-0.0902162 # DEPENDENCYPART_SIBL
(7,2),(7,33),-0.0452861 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0649797 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.00809472 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00373627 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00154407 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.011424 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0388725 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0553736 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.038518 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.110935 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00667218 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0384114 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0347909 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.000615581 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.00545726 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.0964204 # DEPENDENCYPART_SIBL
(7,3),(7,26),-0.129886 # DEPENDENCYPART_SIBL
(7,3),(7,28),-0.00667218 # DEPENDENCYPART_SIBL
(7,3),(7,29),0.0582673 # DEPENDENCYPART_SIBL
(7,3),(7,30),0.00377374 # DEPENDENCYPART_SIBL
(7,3),(7,33),0.101672 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0856692 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0826429 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00184649 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0240552 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.105023 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.163419 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.15196 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.199486 # DEPENDENCYPART_SIBL
