# _root_ That should stop a lot of account-churning , and produce a stock market driven only by professional concern , careful thought and good sense .
#goldHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
#predictedHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,16,14,18,16,18,21,18,21,24,22,2,
(5,15),-1.6445 # DEPENDENCYPART_ARC
(5,16),-1.80481 # DEPENDENCYPART_ARC
(5,18),-2.53225 # DEPENDENCYPART_ARC
(5,19),-1.31854 # DEPENDENCYPART_ARC
(5,21),-2.7653 # DEPENDENCYPART_ARC
(5,22),-1.85612 # DEPENDENCYPART_ARC
(5,24),-3.34141 # DEPENDENCYPART_ARC
(5,25),-2.12239 # DEPENDENCYPART_ARC
(6,1),-2.40733 # DEPENDENCYPART_ARC
(6,7),2.20751 # DEPENDENCYPART_ARC
(6,8),-1.15838 # DEPENDENCYPART_ARC
(6,9),-1.52503 # DEPENDENCYPART_ARC
(6,10),-1.51966 # DEPENDENCYPART_ARC
(6,13),-1.89961 # DEPENDENCYPART_ARC
(7,4),-1.29672 # DEPENDENCYPART_ARC
(7,5),-1.23887 # DEPENDENCYPART_ARC
(7,6),-0.859304 # DEPENDENCYPART_ARC
(7,8),-1.06608 # DEPENDENCYPART_ARC
(7,9),-1.24325 # DEPENDENCYPART_ARC
(7,10),-2.02738 # DEPENDENCYPART_ARC
(7,13),-2.06015 # DEPENDENCYPART_ARC
(7,14),-2.28971 # DEPENDENCYPART_ARC
(7,21),-2.77556 # DEPENDENCYPART_ARC
(8,9),-1.63389 # DEPENDENCYPART_ARC
(9,8),-1.57699 # DEPENDENCYPART_ARC
(9,10),1.18325 # DEPENDENCYPART_ARC
(9,12),-1.68517 # DEPENDENCYPART_ARC
(9,13),-1.65333 # DEPENDENCYPART_ARC
(9,14),-1.18765 # DEPENDENCYPART_ARC
(9,16),-1.5906 # DEPENDENCYPART_ARC
(9,18),-2.21542 # DEPENDENCYPART_ARC
(10,1),-2.6474 # DEPENDENCYPART_ARC
(10,5),-2.16249 # DEPENDENCYPART_ARC
(10,6),-2.04021 # DEPENDENCYPART_ARC
(10,8),-2.13396 # DEPENDENCYPART_ARC
(10,11),-0.784506 # DEPENDENCYPART_ARC
(10,12),-0.0808642 # DEPENDENCYPART_ARC
(10,13),-0.156434 # DEPENDENCYPART_ARC
(10,14),-0.893041 # DEPENDENCYPART_ARC
(10,15),-1.03701 # DEPENDENCYPART_ARC
(10,16),-0.642325 # DEPENDENCYPART_ARC
(10,17),-1.93752 # DEPENDENCYPART_ARC
(10,18),-1.24722 # DEPENDENCYPART_ARC
(10,19),-1.2506 # DEPENDENCYPART_ARC
(10,20),-2.07126 # DEPENDENCYPART_ARC
(10,21),-2.06342 # DEPENDENCYPART_ARC
(10,22),-1.23974 # DEPENDENCYPART_ARC
(10,23),-2.15175 # DEPENDENCYPART_ARC
(10,24),-2.1097 # DEPENDENCYPART_ARC
(10,25),-0.852756 # DEPENDENCYPART_ARC
(11,12),-1.03995 # DEPENDENCYPART_ARC
(12,11),0.00875403 # DEPENDENCYPART_ARC
(12,14),-1.37968 # DEPENDENCYPART_ARC
(12,16),-1.83522 # DEPENDENCYPART_ARC
(13,4),-2.33733 # DEPENDENCYPART_ARC
(13,8),-1.92467 # DEPENDENCYPART_ARC
(13,9),-1.67303 # DEPENDENCYPART_ARC
(13,10),-1.30686 # DEPENDENCYPART_ARC
(13,11),1.2689 # DEPENDENCYPART_ARC
(13,12),1.84318 # DEPENDENCYPART_ARC
(13,14),-0.51712 # DEPENDENCYPART_ARC
(13,15),-1.73269 # DEPENDENCYPART_ARC
(13,16),-1.52946 # DEPENDENCYPART_ARC
(13,18),-1.81254 # DEPENDENCYPART_ARC
(13,19),-1.57357 # DEPENDENCYPART_ARC
(13,21),-2.41716 # DEPENDENCYPART_ARC
(14,1),-1.9839 # DEPENDENCYPART_ARC
(14,2),-1.57851 # DEPENDENCYPART_ARC
(14,5),-1.52639 # DEPENDENCYPART_ARC
(14,6),-1.46073 # DEPENDENCYPART_ARC
(14,7),-1.56505 # DEPENDENCYPART_ARC
(14,8),-1.58883 # DEPENDENCYPART_ARC
(14,9),-1.99501 # DEPENDENCYPART_ARC
(14,10),-1.69212 # DEPENDENCYPART_ARC
(14,11),-1.27394 # DEPENDENCYPART_ARC
(14,12),-0.985131 # DEPENDENCYPART_ARC
(14,13),-0.200135 # DEPENDENCYPART_ARC
(14,15),0.351563 # DEPENDENCYPART_ARC
(14,16),0.776767 # DEPENDENCYPART_ARC
(14,17),-1.06172 # DEPENDENCYPART_ARC
(14,18),-0.472463 # DEPENDENCYPART_ARC
(14,19),-0.986387 # DEPENDENCYPART_ARC
(14,20),-1.62134 # DEPENDENCYPART_ARC
(14,21),-1.2934 # DEPENDENCYPART_ARC
(14,22),-0.873362 # DEPENDENCYPART_ARC
(14,23),-1.86072 # DEPENDENCYPART_ARC
(14,24),-1.43538 # DEPENDENCYPART_ARC
(14,25),-1.13296 # DEPENDENCYPART_ARC
(15,13),-1.93417 # DEPENDENCYPART_ARC
(15,14),-1.23552 # DEPENDENCYPART_ARC
(15,16),-0.291108 # DEPENDENCYPART_ARC
(15,17),-0.976338 # DEPENDENCYPART_ARC
(15,18),-1.54718 # DEPENDENCYPART_ARC
(15,20),-1.77605 # DEPENDENCYPART_ARC
(15,21),-2.4823 # DEPENDENCYPART_ARC
(15,22),-1.32638 # DEPENDENCYPART_ARC
(15,24),-2.78822 # DEPENDENCYPART_ARC
(15,25),-2.18419 # DEPENDENCYPART_ARC
(16,13),-1.56642 # DEPENDENCYPART_ARC
(16,15),-0.299544 # DEPENDENCYPART_ARC
(16,17),-0.326441 # DEPENDENCYPART_ARC
(16,18),1.44872 # DEPENDENCYPART_ARC
(16,19),-0.919485 # DEPENDENCYPART_ARC
(16,20),-1.90606 # DEPENDENCYPART_ARC
(16,21),-0.572703 # DEPENDENCYPART_ARC
(16,22),-1.0039 # DEPENDENCYPART_ARC
(16,24),-1.27344 # DEPENDENCYPART_ARC
(16,25),-2.68978 # DEPENDENCYPART_ARC
(17,15),-1.61432 # DEPENDENCYPART_ARC
(17,20),-2.06939 # DEPENDENCYPART_ARC
(17,21),-2.34352 # DEPENDENCYPART_ARC
(18,11),-1.56985 # DEPENDENCYPART_ARC
(18,12),-1.43737 # DEPENDENCYPART_ARC
(18,13),-1.5847 # DEPENDENCYPART_ARC
(18,14),-1.38144 # DEPENDENCYPART_ARC
(18,15),-0.482887 # DEPENDENCYPART_ARC
(18,16),-1.08976 # DEPENDENCYPART_ARC
(18,17),1.34845 # DEPENDENCYPART_ARC
(18,19),-0.410707 # DEPENDENCYPART_ARC
(18,20),-1.3334 # DEPENDENCYPART_ARC
(18,21),-1.08619 # DEPENDENCYPART_ARC
(18,22),-1.57994 # DEPENDENCYPART_ARC
(18,23),-2.10342 # DEPENDENCYPART_ARC
(18,24),-2.36671 # DEPENDENCYPART_ARC
(18,25),-2.30186 # DEPENDENCYPART_ARC
(20,17),-1.53286 # DEPENDENCYPART_ARC
(20,22),-0.667184 # DEPENDENCYPART_ARC
(20,23),-1.84704 # DEPENDENCYPART_ARC
(20,24),-2.17807 # DEPENDENCYPART_ARC
(21,11),-1.88289 # DEPENDENCYPART_ARC
(21,12),-1.76413 # DEPENDENCYPART_ARC
(21,15),-1.93599 # DEPENDENCYPART_ARC
(21,16),-1.85744 # DEPENDENCYPART_ARC
(21,17),-0.538877 # DEPENDENCYPART_ARC
(21,18),-1.12931 # DEPENDENCYPART_ARC
(21,19),-1.04316 # DEPENDENCYPART_ARC
(21,20),1.07508 # DEPENDENCYPART_ARC
(21,22),1.29255 # DEPENDENCYPART_ARC
(21,23),-1.1252 # DEPENDENCYPART_ARC
(21,24),-1.5016 # DEPENDENCYPART_ARC
(21,25),-2.00978 # DEPENDENCYPART_ARC
(22,23),0.266256 # DEPENDENCYPART_ARC
(22,24),-0.0126974 # DEPENDENCYPART_ARC
(22,25),-1.96393 # DEPENDENCYPART_ARC
(23,24),-0.995667 # DEPENDENCYPART_ARC
(24,11),-2.76768 # DEPENDENCYPART_ARC
(24,15),-2.02023 # DEPENDENCYPART_ARC
(24,17),-1.20807 # DEPENDENCYPART_ARC
(24,18),-1.97555 # DEPENDENCYPART_ARC
(24,19),-1.56678 # DEPENDENCYPART_ARC
(24,20),-0.512277 # DEPENDENCYPART_ARC
(24,21),-0.847975 # DEPENDENCYPART_ARC
(24,23),0.807831 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.216345 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.099698 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.314851 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.137354 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.016693 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0525343 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00056388 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0270257 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.749218 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.123572 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0858726 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0680382 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0762047 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0251715 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.109466 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.136106 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0448758 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0251715 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.109466 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0225714 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.355851 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.226085 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.355007 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0755448 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.120892 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.775563 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.28356 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0755448 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.120892 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.144391 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.034361 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.141828 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.166174 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00842034 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.112193 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0674906 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.166174 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.00842034 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.0986953 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0839166 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0616241 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0857404 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.040888 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0639979 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0616241 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0857404 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.138178 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0773007 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0330866 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.109674 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0456122 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0773007 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0330866 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.0720335 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.554051 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.300321 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.335742 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0473666 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.554051 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.184531 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.125797 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0115008 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0292241 # DEPENDENCYPART_SIBL
(2,9),(2,22),-1.01337 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.193108 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.266513 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0161741 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.150558 # DEPENDENCYPART_SIBL
(2,10),(2,25),-0.143838 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0488877 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.0642201 # DEPENDENCYPART_SIBL
(2,14),(2,25),-0.138425 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.554051 # DEPENDENCYPART_SIBL
(2,19),(2,25),-0.184531 # DEPENDENCYPART_SIBL
(2,22),(2,25),-0.193108 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0258205 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.130633 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.238561 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0503417 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.221745 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.144851 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.212259 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.109744 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.215821 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.087813 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.166319 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.101333 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.235887 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.144851 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.124914 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.212259 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.133239 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.071275 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.11016 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0941128 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.106588 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0605182 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.040122 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0461698 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.106665 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0862213 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.055633 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.100855 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.106616 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0605182 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.061622 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.040122 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.00624698 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.151346 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.13972 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.152163 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00417911 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0978641 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.032057 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.155038 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.085122 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0960159 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0607539 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.155302 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.00417911 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.110408 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0978641 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.124965 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0257784 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.285412 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0656236 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0140576 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0113592 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.30773 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0243862 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0391122 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0689251 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.296781 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0656236 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0682966 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0140576 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.124252 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.192399 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.107759 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.122806 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.208828 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.188436 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.182987 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.191567 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.285294 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.215465 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.107759 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.190627 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.122806 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.230574 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0135665 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00287854 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0103545 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.29181 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0451615 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.037793 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0147237 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.28086 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0135665 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0668239 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.00287854 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0972716 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.505195 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.69132 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.288666 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.434236 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.363218 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.227956 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.241688 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0911885 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.329072 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.505195 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.0272758 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.091248 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0266412 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0115418 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00977645 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.00845638 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0173427 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.055463 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0208835 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.859437 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0700972 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.190794 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0899824 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0387002 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0349405 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.185496 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0857593 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.133658 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0526947 # DEPENDENCYPART_SIBL
(3,10),(3,25),-0.0433243 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0247603 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0156893 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0366484 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.224721 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0474133 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0465134 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.05683 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.0934885 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.26605 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.194708 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.427407 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.00314435 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.246792 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0168874 # DEPENDENCYPART_SIBL
(3,14),(3,25),0.00124488 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0108187 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.191987 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0360467 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0351025 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.00265138 # DEPENDENCYPART_SIBL
(3,15),(3,25),-0.0566386 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.131535 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0768308 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.105195 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.138243 # DEPENDENCYPART_SIBL
(3,16),(3,25),-0.113893 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0195579 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0814286 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0223051 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.0994233 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.329072 # DEPENDENCYPART_SIBL
(3,19),(3,22),0.505195 # DEPENDENCYPART_SIBL
(3,19),(3,25),0.0272758 # DEPENDENCYPART_SIBL
(3,20),(3,22),0.0648926 # DEPENDENCYPART_SIBL
(3,20),(3,25),-0.0199902 # DEPENDENCYPART_SIBL
(3,22),(3,25),0.0700972 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0432165 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0465823 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00941921 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.797299 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.013505 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0149887 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0325667 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.294121 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0544379 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.050558 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0333837 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.102379 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0812051 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.148457 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0307255 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0325667 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0523717 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.294121 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0228112 # DEPENDENCYPART_SIBL
