# _root_ Mr. Eskandarian , who resigned his Della Femina post in September , becomes chairman and chief executive of Arnold .
#goldHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
#predictedHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
(2,6),(2,9),-0.0347992 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.039264 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0412517 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00600205 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0153546 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00509479 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0546451 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0278086 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.066087 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.04436 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.065838 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0567185 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0694099 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0296938 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0576866 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00567542 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0269295 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0068148 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0113519 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0629725 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0274737 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0541791 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.00497119 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.066185 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.030952 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0578064 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00593872 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0270596 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0100396 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0114235 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0597476 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0262163 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0542988 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.00905786 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.017064 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0149561 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.225615 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0359289 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.278739 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0518288 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.302372 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0821256 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0184622 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0599552 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0284929 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0259492 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0207686 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0816864 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.191081 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0352351 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0899945 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0397715 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.00169471 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0139175 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0282542 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00243844 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0246454 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0673488 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0366839 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0553027 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0121187 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.46516 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.806322 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.449565 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.692781 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.347133 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.714647 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.00426558 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0209797 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.044467 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0483945 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0513416 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0319574 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.16187 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.115671 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.335845 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.00996467 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.00368477 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.092493 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0724397 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.081361 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.00303744 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.175504 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0711792 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0201616 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.0584926 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0663985 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.020456 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.00565063 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0560754 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0629501 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00237272 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0144398 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0266053 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0558588 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0892133 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.589309 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.114655 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.332 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.153547 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.137327 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.141086 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.201553 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.153745 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.138884 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.133657 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.111541 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0895715 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0173616 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.162509 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.139493 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.138153 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.213367 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0930757 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.322064 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0925902 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0644757 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0682148 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.109201 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0287136 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0660328 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0568519 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0558106 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00590387 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0220625 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0660783 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0487822 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0653014 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0435797 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.33525 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0418559 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0471553 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0488278 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.109747 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.000624349 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0484805 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00570486 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0522274 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00850763 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0708064 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0383357 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0672182 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0472403 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0493591 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0563165 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.126609 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.124936 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.212548 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.158481 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.126514 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0113836 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00837424 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.269863 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0180087 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.235849 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0453378 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.126609 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.449137 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.145965 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.145965 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.195821 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.21426 # DEPENDENCYPART_SIBL
