# _root_ At Shearson Lehman , executives created potential new commercials Friday night and throughout the weekend , then had to regroup yesterday afternoon .
#goldHeads=6,3,1,6,6,0,9,9,6,11,6,11,12,15,13,6,18,6,18,19,22,20,6,
#predictedHeads=6,3,1,6,6,0,9,9,6,11,6,6,12,15,13,18,18,12,18,19,22,20,6,
(3,2),(3,18),-0.00828025 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.000344571 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.377749 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.473913 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.325258 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.302845 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.373481 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.643695 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.584849 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.473918 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.635327 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0493589 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.339495 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.00565838 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0730218 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00169309 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0168862 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.220311 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0186727 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.11849 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00305709 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.103666 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0322061 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.101459 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0704949 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0460323 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0610983 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0153553 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0111413 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.115315 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.134849 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.102404 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.475389 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.281762 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0109777 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0930512 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0371651 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0295082 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0756442 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0272206 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0848056 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0112445 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0819034 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0452825 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0526505 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00336233 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0986424 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00874008 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.107804 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.01584 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0975019 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.00913626 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0158724 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.122513 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00133302 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.107689 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0385353 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.104667 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0938196 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0812748 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0586331 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0469901 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0143938 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0554468 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0324256 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.042779 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.283323 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.20123 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0947541 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.0908258 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0693333 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0771772 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.000273192 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.175519 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.225661 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0859073 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0846244 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.339495 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.00565838 # DEPENDENCYPART_SIBL
(3,18),(3,23),0.0241803 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0440387 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.033937 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.280487 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0163147 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0161531 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.025024 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0285321 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0436911 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0186791 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0518686 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0217188 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0386607 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0298199 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0223287 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.090393 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0460976 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0587813 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0861282 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.111619 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0450292 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0351402 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0197276 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0435682 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0849086 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0239956 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0861996 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0227579 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0473277 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0577939 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.094497 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.119987 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0419025 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0194516 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0137556 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0227193 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0734118 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.037437 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0850092 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0440767 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0320704 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0375376 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0635908 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0654313 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0961602 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.037713 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0592637 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0684948 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0373357 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0484875 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0900056 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0326557 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0341601 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0214788 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.046279 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00409213 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0411575 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0204069 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.314575 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.236646 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0487701 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.11572 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0290723 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0116064 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0351967 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.040331 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0850151 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0349838 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0569468 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.00882685 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0271053 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00415676 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0395538 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0584293 # DEPENDENCYPART_SIBL
