# _root_ The average discount rate on new three-month Treasury bills was 7.37 % , the lowest since the average of 7.36 % at the auction on Oct. 17 , 1988 .
#goldHeads=4,4,4,10,4,9,9,9,5,0,12,10,12,15,12,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
#predictedHeads=4,4,4,10,4,9,9,9,5,0,12,10,12,15,12,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
(19,26),-2.54122 # DEPENDENCYPART_ARC
(19,29),-3.10801 # DEPENDENCYPART_ARC
(20,19),-1.01973 # DEPENDENCYPART_ARC
(20,21),-1.28402 # DEPENDENCYPART_ARC
(20,22),-1.81906 # DEPENDENCYPART_ARC
(20,24),-2.24113 # DEPENDENCYPART_ARC
(20,26),-2.89393 # DEPENDENCYPART_ARC
(21,11),-2.73378 # DEPENDENCYPART_ARC
(21,14),-3.95584 # DEPENDENCYPART_ARC
(21,15),-1.81855 # DEPENDENCYPART_ARC
(21,17),-1.62329 # DEPENDENCYPART_ARC
(21,18),-1.0833 # DEPENDENCYPART_ARC
(21,19),-1.36969 # DEPENDENCYPART_ARC
(21,20),1.09856 # DEPENDENCYPART_ARC
(21,22),-0.357882 # DEPENDENCYPART_ARC
(21,24),-1.13811 # DEPENDENCYPART_ARC
(21,25),-1.54508 # DEPENDENCYPART_ARC
(21,26),-2.08442 # DEPENDENCYPART_ARC
(21,28),-1.35237 # DEPENDENCYPART_ARC
(21,29),-2.87917 # DEPENDENCYPART_ARC
(22,19),-1.64181 # DEPENDENCYPART_ARC
(22,20),-2.54993 # DEPENDENCYPART_ARC
(22,21),-1.7188 # DEPENDENCYPART_ARC
(22,23),-1.16193 # DEPENDENCYPART_ARC
(22,24),0.978045 # DEPENDENCYPART_ARC
(22,25),-1.38322 # DEPENDENCYPART_ARC
(22,26),-1.61952 # DEPENDENCYPART_ARC
(22,27),-2.10795 # DEPENDENCYPART_ARC
(22,28),-1.30266 # DEPENDENCYPART_ARC
(22,29),-2.7631 # DEPENDENCYPART_ARC
(24,19),-2.15318 # DEPENDENCYPART_ARC
(24,20),-2.07463 # DEPENDENCYPART_ARC
(24,21),-1.98826 # DEPENDENCYPART_ARC
(24,22),-1.1623 # DEPENDENCYPART_ARC
(24,23),1.6877 # DEPENDENCYPART_ARC
(24,25),0.323311 # DEPENDENCYPART_ARC
(24,26),-1.42767 # DEPENDENCYPART_ARC
(24,27),-1.59651 # DEPENDENCYPART_ARC
(24,28),-1.23384 # DEPENDENCYPART_ARC
(24,29),-2.11089 # DEPENDENCYPART_ARC
(24,30),-2.05643 # DEPENDENCYPART_ARC
(25,24),-1.47861 # DEPENDENCYPART_ARC
(25,26),0.72838 # DEPENDENCYPART_ARC
(25,27),-1.12704 # DEPENDENCYPART_ARC
(25,28),-1.46077 # DEPENDENCYPART_ARC
(25,29),-2.32297 # DEPENDENCYPART_ARC
(26,27),1.5534 # DEPENDENCYPART_ARC
(26,28),0.187902 # DEPENDENCYPART_ARC
(26,29),-0.3577 # DEPENDENCYPART_ARC
(26,30),-1.46759 # DEPENDENCYPART_ARC
(27,20),-2.65743 # DEPENDENCYPART_ARC
(27,25),-1.51504 # DEPENDENCYPART_ARC
(27,26),-1.42385 # DEPENDENCYPART_ARC
(27,28),-0.838988 # DEPENDENCYPART_ARC
(27,29),-1.72931 # DEPENDENCYPART_ARC
(28,29),-2.20464 # DEPENDENCYPART_ARC
(29,27),-1.50866 # DEPENDENCYPART_ARC
(29,28),-1.48461 # DEPENDENCYPART_ARC
(29,30),-1.63569 # DEPENDENCYPART_ARC
(30,29),-2.39526 # DEPENDENCYPART_ARC
(0,4),(0,9),-0.28775 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.752841 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.815485 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.162256 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0228335 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0466481 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0131667 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.036718 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0977876 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.344503 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0146533 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0762863 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0966776 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0886451 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0194954 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.145272 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0118611 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0412939 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0589203 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0551115 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.167112 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0330706 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0716406 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0520815 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.599167 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.367286 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00474876 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0921495 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0778787 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0319756 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0791454 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0427681 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0381529 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0429374 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0832104 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0663454 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.153164 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0178207 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.381025 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0381529 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0598507 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.00315949 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.00474876 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.0848404 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.212866 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.18095 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.031583 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0404966 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0622722 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0518054 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0333315 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.113589 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.126996 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00953937 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.096207 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.242443 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0276677 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.189766 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.113589 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.15866 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0216468 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.18095 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.073812 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0300711 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0025596 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00779513 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0399737 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0226842 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0442219 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0663608 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.215531 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0733305 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0757705 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00647853 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0682282 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0221483 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0663608 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0289839 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0427515 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0300711 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.0106691 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0469415 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0604996 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0925011 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0760672 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.011154 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.021782 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00625071 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.00368502 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0888772 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.131447 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0484459 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0110097 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.021782 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.287078 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0833916 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0486528 # DEPENDENCYPART_SIBL
(4,5),(4,30),0.279322 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.127491 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0371494 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0757022 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.100512 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0313127 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00789675 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0610955 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0011313 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.104316 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0627002 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0802438 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0313127 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0412359 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0512795 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0850264 # DEPENDENCYPART_SIBL
(4,6),(4,30),-0.0145281 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0199517 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0686463 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.091318 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0170689 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.030305 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0544558 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00777252 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0733571 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0484564 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0490384 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0170689 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.00975067 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0370357 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0540457 # DEPENDENCYPART_SIBL
(4,7),(4,30),-0.0025445 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0847814 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0668542 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0482974 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0558301 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0370786 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.022758 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0943769 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.088005 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.00710626 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0482974 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0236408 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0780671 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.0919375 # DEPENDENCYPART_SIBL
(4,8),(4,30),0.0199241 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.152498 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0298106 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0335175 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0841329 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.000359131 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0349308 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0926821 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.120786 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0298106 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0633645 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0851944 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0259946 # DEPENDENCYPART_SIBL
(4,9),(4,30),0.0195562 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0780018 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.223114 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0776381 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.00510161 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0794322 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0978295 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.115716 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0780018 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0914233 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0856223 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0893675 # DEPENDENCYPART_SIBL
(4,10),(4,30),0.0120526 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0115383 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.013516 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.021521 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0603748 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0502451 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0244257 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0323132 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0239618 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0364943 # DEPENDENCYPART_SIBL
(4,12),(4,25),0.0486993 # DEPENDENCYPART_SIBL
(4,12),(4,30),0.111523 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.182955 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.523953 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.351614 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.733752 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.237724 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.648637 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.162633 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.723037 # DEPENDENCYPART_SIBL
(4,13),(4,25),0.220676 # DEPENDENCYPART_SIBL
(4,13),(4,30),0.0852617 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0284029 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.168481 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0886856 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.142525 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.076751 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.140649 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.0772714 # DEPENDENCYPART_SIBL
(4,14),(4,25),-0.130869 # DEPENDENCYPART_SIBL
(4,14),(4,30),-0.135692 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0305678 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0159843 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0155986 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.00974652 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0101781 # DEPENDENCYPART_SIBL
(4,15),(4,24),-0.00470371 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.0148496 # DEPENDENCYPART_SIBL
(4,15),(4,30),0.0356465 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0430428 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0734984 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0848251 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.154119 # DEPENDENCYPART_SIBL
(4,16),(4,24),-0.00937294 # DEPENDENCYPART_SIBL
