# _root_ In 1989 , Regatta will have sales `` in excess of $ 10 million '' and will show a profit , Mr. Parker said .
#goldHeads=5,1,5,5,24,5,6,9,6,9,10,11,12,12,9,5,16,17,20,18,24,23,24,0,24,
#predictedHeads=5,1,5,5,24,5,6,7,7,9,10,11,12,12,5,5,16,17,20,18,24,23,24,0,24,
(9,8),-1.205 # DEPENDENCYPART_ARC
(9,10),1.52279 # DEPENDENCYPART_ARC
(9,11),-1.0809 # DEPENDENCYPART_ARC
(9,12),-1.54512 # DEPENDENCYPART_ARC
(9,14),-2.21789 # DEPENDENCYPART_ARC
(9,16),-1.48075 # DEPENDENCYPART_ARC
(9,17),-1.20739 # DEPENDENCYPART_ARC
(9,18),-2.20074 # DEPENDENCYPART_ARC
(10,4),-2.97491 # DEPENDENCYPART_ARC
(10,7),-1.84924 # DEPENDENCYPART_ARC
(10,8),-1.8252 # DEPENDENCYPART_ARC
(10,11),0.978236 # DEPENDENCYPART_ARC
(10,12),-1.02118 # DEPENDENCYPART_ARC
(10,14),-1.34538 # DEPENDENCYPART_ARC
(10,15),-1.19725 # DEPENDENCYPART_ARC
(10,16),-0.753136 # DEPENDENCYPART_ARC
(10,17),-1.2166 # DEPENDENCYPART_ARC
(10,20),-1.65152 # DEPENDENCYPART_ARC
(10,21),-1.48409 # DEPENDENCYPART_ARC
(10,24),-1.93411 # DEPENDENCYPART_ARC
(11,12),0.631681 # DEPENDENCYPART_ARC
(11,13),-1.293 # DEPENDENCYPART_ARC
(11,14),-1.91247 # DEPENDENCYPART_ARC
(11,15),-1.3863 # DEPENDENCYPART_ARC
(11,16),-1.79173 # DEPENDENCYPART_ARC
(11,17),-1.25729 # DEPENDENCYPART_ARC
(11,18),-2.32516 # DEPENDENCYPART_ARC
(11,20),-1.38308 # DEPENDENCYPART_ARC
(11,23),-2.83872 # DEPENDENCYPART_ARC
(12,1),-2.48192 # DEPENDENCYPART_ARC
(12,8),-1.83988 # DEPENDENCYPART_ARC
(12,9),-1.44476 # DEPENDENCYPART_ARC
(12,11),-0.349426 # DEPENDENCYPART_ARC
(12,13),1.6208 # DEPENDENCYPART_ARC
(12,14),1.12574 # DEPENDENCYPART_ARC
(12,15),-1.00321 # DEPENDENCYPART_ARC
(12,16),-1.04264 # DEPENDENCYPART_ARC
(12,17),-1.1717 # DEPENDENCYPART_ARC
(12,18),-1.85394 # DEPENDENCYPART_ARC
(12,20),-1.73186 # DEPENDENCYPART_ARC
(12,21),-1.21727 # DEPENDENCYPART_ARC
(12,23),-2.78739 # DEPENDENCYPART_ARC
(12,24),-2.09356 # DEPENDENCYPART_ARC
(13,14),-1.04118 # DEPENDENCYPART_ARC
(14,1),-2.00615 # DEPENDENCYPART_ARC
(14,2),-2.4661 # DEPENDENCYPART_ARC
(14,8),-1.94389 # DEPENDENCYPART_ARC
(14,9),-1.6696 # DEPENDENCYPART_ARC
(14,11),-1.12975 # DEPENDENCYPART_ARC
(14,13),0.363927 # DEPENDENCYPART_ARC
(14,15),-1.01716 # DEPENDENCYPART_ARC
(14,16),-1.46863 # DEPENDENCYPART_ARC
(15,5),-2.59573 # DEPENDENCYPART_ARC
(15,12),-1.91666 # DEPENDENCYPART_ARC
(15,14),-1.43145 # DEPENDENCYPART_ARC
(15,16),-1.43447 # DEPENDENCYPART_ARC
(15,17),-1.84899 # DEPENDENCYPART_ARC
(16,14),-2.09368 # DEPENDENCYPART_ARC
(16,15),-1.3142 # DEPENDENCYPART_ARC
(16,17),1.47371 # DEPENDENCYPART_ARC
(16,18),-0.00322592 # DEPENDENCYPART_ARC
(16,20),-1.20514 # DEPENDENCYPART_ARC
(16,23),-2.50846 # DEPENDENCYPART_ARC
(16,24),-1.05241 # DEPENDENCYPART_ARC
(17,1),-2.64256 # DEPENDENCYPART_ARC
(17,3),-2.83965 # DEPENDENCYPART_ARC
(17,4),-2.55695 # DEPENDENCYPART_ARC
(17,5),-2.83338 # DEPENDENCYPART_ARC
(17,7),-1.22342 # DEPENDENCYPART_ARC
(17,8),-2.12759 # DEPENDENCYPART_ARC
(17,9),-2.11483 # DEPENDENCYPART_ARC
(17,10),-1.42461 # DEPENDENCYPART_ARC
(17,11),-2.31789 # DEPENDENCYPART_ARC
(17,12),-2.00317 # DEPENDENCYPART_ARC
(17,14),-2.04063 # DEPENDENCYPART_ARC
(17,15),-1.6219 # DEPENDENCYPART_ARC
(17,18),2.00123 # DEPENDENCYPART_ARC
(17,20),-1.46594 # DEPENDENCYPART_ARC
(17,21),-1.50531 # DEPENDENCYPART_ARC
(17,23),-2.24346 # DEPENDENCYPART_ARC
(17,24),-1.67416 # DEPENDENCYPART_ARC
(17,25),-1.13489 # DEPENDENCYPART_ARC
(18,1),-2.12016 # DEPENDENCYPART_ARC
(18,9),-1.94297 # DEPENDENCYPART_ARC
(18,11),-1.72238 # DEPENDENCYPART_ARC
(18,12),-2.02884 # DEPENDENCYPART_ARC
(18,14),-1.924 # DEPENDENCYPART_ARC
(18,19),-0.675953 # DEPENDENCYPART_ARC
(18,20),0.564088 # DEPENDENCYPART_ARC
(18,21),-0.962159 # DEPENDENCYPART_ARC
(18,22),-1.32903 # DEPENDENCYPART_ARC
(18,23),-1.15279 # DEPENDENCYPART_ARC
(18,24),-0.888162 # DEPENDENCYPART_ARC
(20,19),1.77856 # DEPENDENCYPART_ARC
(20,21),-0.680801 # DEPENDENCYPART_ARC
(20,22),-1.50685 # DEPENDENCYPART_ARC
(20,23),-1.61698 # DEPENDENCYPART_ARC
(20,24),-1.20765 # DEPENDENCYPART_ARC
(22,23),-0.741275 # DEPENDENCYPART_ARC
(23,5),-3.43915 # DEPENDENCYPART_ARC
(23,18),-2.33348 # DEPENDENCYPART_ARC
(23,19),-1.85386 # DEPENDENCYPART_ARC
(23,20),-1.91883 # DEPENDENCYPART_ARC
(23,21),-1.04862 # DEPENDENCYPART_ARC
(23,22),2.06351 # DEPENDENCYPART_ARC
(23,24),-0.878443 # DEPENDENCYPART_ARC
(24,1),-2.55976 # DEPENDENCYPART_ARC
(24,2),-3.14077 # DEPENDENCYPART_ARC
(24,3),-3.12243 # DEPENDENCYPART_ARC
(24,4),-2.25774 # DEPENDENCYPART_ARC
(24,5),-0.279211 # DEPENDENCYPART_ARC
(24,6),-1.52352 # DEPENDENCYPART_ARC
(24,7),-2.17327 # DEPENDENCYPART_ARC
(24,8),-1.14701 # DEPENDENCYPART_ARC
(24,9),-2.03527 # DEPENDENCYPART_ARC
(24,10),-2.33163 # DEPENDENCYPART_ARC
(24,12),-2.15551 # DEPENDENCYPART_ARC
(24,14),-2.41429 # DEPENDENCYPART_ARC
(24,15),-1.64418 # DEPENDENCYPART_ARC
(24,16),-1.95898 # DEPENDENCYPART_ARC
(24,17),-0.666721 # DEPENDENCYPART_ARC
(24,18),-1.3936 # DEPENDENCYPART_ARC
(24,20),-1.19232 # DEPENDENCYPART_ARC
(24,21),0.891847 # DEPENDENCYPART_ARC
(24,22),-0.87572 # DEPENDENCYPART_ARC
(24,23),0.452724 # DEPENDENCYPART_ARC
(24,25),1.37668 # DEPENDENCYPART_ARC
(0,5),(0,24),-1.67346 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.18043 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.567493 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.528932 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.470564 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.865461 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.373728 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.139598 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.140467 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0739697 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.339536 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.123294 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0211716 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.287169 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.530274 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.597171 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.649592 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.436531 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.818929 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.357817 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.133752 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0767449 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.195199 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.389687 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0348135 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.183259 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.167198 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.403152 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0769105 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.10481 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0940353 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.243781 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0704919 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0318588 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.237137 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0743476 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.17585 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0387172 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0809151 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00769284 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0328668 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.527649 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.534814 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.528761 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.125751 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0186513 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00511097 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0598508 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.239421 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0662773 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0718389 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00783574 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0227145 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0967117 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.027913 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0233304 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00846844 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.139941 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0518195 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0999437 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0318385 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00350981 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.129305 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.151044 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0317 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.124074 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0306835 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0174582 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0943157 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0130718 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0508667 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00404112 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0549901 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0383335 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.043084 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0818509 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.043371 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0507683 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0471922 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0290732 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0625983 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0690197 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0673787 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0214614 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0759439 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0314485 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0398854 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.000133547 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.000654276 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0413564 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0304899 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0169834 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.00878466 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0191251 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0387013 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0638533 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.133185 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0778808 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00693448 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0616268 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0857884 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.119035 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0831082 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0272143 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0338348 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0261519 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0369031 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0642557 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.132786 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.0362674 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.209958 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0876678 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0141834 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0668013 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0635175 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.12613 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0593573 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0801083 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0362947 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.00805184 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0908911 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0123163 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0539297 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.00263137 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.141997 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.124425 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0876687 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.217574 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.112785 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.137741 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.165076 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.243266 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0959609 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.706981 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0193626 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.163755 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.269309 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.011671 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.048276 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0310695 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0368405 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0469359 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0319712 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.00828815 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.06732 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.17273 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.00854625 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0933019 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.107127 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0433839 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0727578 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0993804 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0581614 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.214424 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.054958 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.336642 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.265081 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.115235 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.125523 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.00803838 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0347836 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.181936 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.136128 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.00744444 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0369468 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0147894 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.108517 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0374574 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.036814 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.0535262 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0373896 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0408401 # DEPENDENCYPART_SIBL
(5,10),(5,15),-9.13306e-05 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.00458642 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0632925 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0801635 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0105601 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.116637 # DEPENDENCYPART_SIBL
(5,10),(5,25),-0.0258663 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.104264 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.143061 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0446137 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0938529 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0596862 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.0141316 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.179402 # DEPENDENCYPART_SIBL
(5,11),(5,25),-0.081165 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0752936 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.00265365 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0294768 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0250229 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0237652 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.14189 # DEPENDENCYPART_SIBL
(5,12),(5,25),-0.0361714 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.508715 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.172361 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.133418 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.0294311 # DEPENDENCYPART_SIBL
(5,15),(5,24),-0.00976504 # DEPENDENCYPART_SIBL
(5,15),(5,25),-0.104314 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.005521 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0919166 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.0115781 # DEPENDENCYPART_SIBL
(5,16),(5,24),-0.062413 # DEPENDENCYPART_SIBL
(5,16),(5,25),0.00344136 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0529107 # DEPENDENCYPART_SIBL
(5,17),(5,21),-0.0391461 # DEPENDENCYPART_SIBL
(5,17),(5,24),-0.266688 # DEPENDENCYPART_SIBL
(5,17),(5,25),0.0167712 # DEPENDENCYPART_SIBL
(5,18),(5,21),-0.0351663 # DEPENDENCYPART_SIBL
(5,18),(5,24),-0.286977 # DEPENDENCYPART_SIBL
(5,18),(5,25),-0.00131753 # DEPENDENCYPART_SIBL
(5,21),(5,24),0.0691364 # DEPENDENCYPART_SIBL
(5,21),(5,25),-0.0405891 # DEPENDENCYPART_SIBL
(5,24),(5,25),0.0132948 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0852738 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0729435 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0187412 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0926748 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.115789 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0836046 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0397197 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0617222 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.03841 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0264361 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00813626 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0918407 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0477236 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0387378 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0325358 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0796121 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.127968 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00590418 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.078484 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0584193 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.102126 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.022574 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0420928 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00868193 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00643765 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0273162 # DEPENDENCYPART_SIBL
