# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,19,22,20,24,0,29,27,28,24,28,24,
(5,12),-2.57772 # DEPENDENCYPART_ARC
(5,15),-1.84745 # DEPENDENCYPART_ARC
(6,5),-1.78906 # DEPENDENCYPART_ARC
(7,1),-2.01789 # DEPENDENCYPART_ARC
(7,2),-1.56047 # DEPENDENCYPART_ARC
(7,3),-1.85688 # DEPENDENCYPART_ARC
(7,4),-1.86679 # DEPENDENCYPART_ARC
(7,5),-1.10717 # DEPENDENCYPART_ARC
(7,6),1.28456 # DEPENDENCYPART_ARC
(7,8),-1.29922 # DEPENDENCYPART_ARC
(7,9),-1.60501 # DEPENDENCYPART_ARC
(7,10),-1.71297 # DEPENDENCYPART_ARC
(7,12),-1.98898 # DEPENDENCYPART_ARC
(7,13),-1.46699 # DEPENDENCYPART_ARC
(7,15),-1.55371 # DEPENDENCYPART_ARC
(8,1),-1.93887 # DEPENDENCYPART_ARC
(8,2),-1.76522 # DEPENDENCYPART_ARC
(8,3),-1.13758 # DEPENDENCYPART_ARC
(8,4),-0.800325 # DEPENDENCYPART_ARC
(8,5),-0.359902 # DEPENDENCYPART_ARC
(8,6),-1.08489 # DEPENDENCYPART_ARC
(8,7),0.929168 # DEPENDENCYPART_ARC
(8,9),2.06665 # DEPENDENCYPART_ARC
(8,10),-0.759887 # DEPENDENCYPART_ARC
(8,12),-1.6467 # DEPENDENCYPART_ARC
(8,13),-1.42779 # DEPENDENCYPART_ARC
(8,14),-1.95015 # DEPENDENCYPART_ARC
(8,15),-0.675335 # DEPENDENCYPART_ARC
(8,16),-0.979962 # DEPENDENCYPART_ARC
(8,17),-1.12924 # DEPENDENCYPART_ARC
(8,23),-1.5363 # DEPENDENCYPART_ARC
(8,30),0.0654941 # DEPENDENCYPART_ARC
(9,3),-1.2654 # DEPENDENCYPART_ARC
(9,4),-1.72335 # DEPENDENCYPART_ARC
(9,5),0.781034 # DEPENDENCYPART_ARC
(9,6),-1.10855 # DEPENDENCYPART_ARC
(9,7),-1.24095 # DEPENDENCYPART_ARC
(9,8),-0.703612 # DEPENDENCYPART_ARC
(9,10),0.923262 # DEPENDENCYPART_ARC
(9,11),-1.21644 # DEPENDENCYPART_ARC
(9,12),0.0471939 # DEPENDENCYPART_ARC
(9,13),-0.567757 # DEPENDENCYPART_ARC
(9,14),-0.587298 # DEPENDENCYPART_ARC
(9,15),-0.690809 # DEPENDENCYPART_ARC
(9,16),-0.85551 # DEPENDENCYPART_ARC
(9,17),-1.03721 # DEPENDENCYPART_ARC
(9,18),-1.34321 # DEPENDENCYPART_ARC
(9,19),-1.07574 # DEPENDENCYPART_ARC
(9,20),-0.756737 # DEPENDENCYPART_ARC
(9,21),-2.03388 # DEPENDENCYPART_ARC
(9,22),-1.65407 # DEPENDENCYPART_ARC
(9,23),-0.802525 # DEPENDENCYPART_ARC
(9,24),-1.60843 # DEPENDENCYPART_ARC
(9,25),-2.55436 # DEPENDENCYPART_ARC
(9,28),-1.7182 # DEPENDENCYPART_ARC
(9,29),-1.86201 # DEPENDENCYPART_ARC
(9,30),-1.2152 # DEPENDENCYPART_ARC
(10,5),-1.64747 # DEPENDENCYPART_ARC
(10,7),-2.036 # DEPENDENCYPART_ARC
(10,12),-1.82622 # DEPENDENCYPART_ARC
(10,13),-1.85213 # DEPENDENCYPART_ARC
(10,14),-2.1658 # DEPENDENCYPART_ARC
(11,13),-1.49351 # DEPENDENCYPART_ARC
(12,3),-2.6031 # DEPENDENCYPART_ARC
(12,6),-2.50966 # DEPENDENCYPART_ARC
(12,7),-1.84647 # DEPENDENCYPART_ARC
(12,8),-1.86789 # DEPENDENCYPART_ARC
(12,10),-1.47141 # DEPENDENCYPART_ARC
(12,11),1.45464 # DEPENDENCYPART_ARC
(12,13),0.915806 # DEPENDENCYPART_ARC
(12,14),-0.741756 # DEPENDENCYPART_ARC
(12,15),-0.440601 # DEPENDENCYPART_ARC
(12,16),-0.874299 # DEPENDENCYPART_ARC
(12,17),-0.975467 # DEPENDENCYPART_ARC
(12,20),-0.617344 # DEPENDENCYPART_ARC
(12,22),-2.28562 # DEPENDENCYPART_ARC
(12,23),-1.09715 # DEPENDENCYPART_ARC
(12,24),-1.50441 # DEPENDENCYPART_ARC
(12,28),-1.79051 # DEPENDENCYPART_ARC
(12,29),-2.49936 # DEPENDENCYPART_ARC
(12,30),-2.337 # DEPENDENCYPART_ARC
(13,14),1.7428 # DEPENDENCYPART_ARC
(13,15),-0.965688 # DEPENDENCYPART_ARC
(13,16),-1.29256 # DEPENDENCYPART_ARC
(13,18),-1.40765 # DEPENDENCYPART_ARC
(13,19),-1.37714 # DEPENDENCYPART_ARC
(14,11),-1.99516 # DEPENDENCYPART_ARC
(14,12),-1.25226 # DEPENDENCYPART_ARC
(14,15),0.0717872 # DEPENDENCYPART_ARC
(14,16),-0.874637 # DEPENDENCYPART_ARC
(14,17),-0.682038 # DEPENDENCYPART_ARC
(14,19),-1.93899 # DEPENDENCYPART_ARC
(14,20),-0.994825 # DEPENDENCYPART_ARC
(14,23),-1.15302 # DEPENDENCYPART_ARC
(14,24),-1.77967 # DEPENDENCYPART_ARC
(15,14),-1.64429 # DEPENDENCYPART_ARC
(15,16),0.501936 # DEPENDENCYPART_ARC
(15,17),-0.169825 # DEPENDENCYPART_ARC
(15,18),-0.8199 # DEPENDENCYPART_ARC
(15,19),-0.194652 # DEPENDENCYPART_ARC
(15,20),-1.29039 # DEPENDENCYPART_ARC
(15,21),-1.98077 # DEPENDENCYPART_ARC
(15,22),-1.84916 # DEPENDENCYPART_ARC
(15,24),-0.695547 # DEPENDENCYPART_ARC
(15,25),-2.28853 # DEPENDENCYPART_ARC
(15,27),-2.64598 # DEPENDENCYPART_ARC
(15,28),-1.48351 # DEPENDENCYPART_ARC
(15,29),-1.6625 # DEPENDENCYPART_ARC
(16,17),0.42572 # DEPENDENCYPART_ARC
(16,18),-0.132035 # DEPENDENCYPART_ARC
(16,19),-0.857857 # DEPENDENCYPART_ARC
(16,20),-1.17708 # DEPENDENCYPART_ARC
(16,21),-1.50625 # DEPENDENCYPART_ARC
(16,22),-1.87697 # DEPENDENCYPART_ARC
(16,24),-0.702877 # DEPENDENCYPART_ARC
(16,28),-1.33344 # DEPENDENCYPART_ARC
(16,29),-1.82461 # DEPENDENCYPART_ARC
(17,18),0.159542 # DEPENDENCYPART_ARC
(17,19),-0.375954 # DEPENDENCYPART_ARC
(17,20),-1.78783 # DEPENDENCYPART_ARC
(17,21),-2.17993 # DEPENDENCYPART_ARC
(17,22),-1.58539 # DEPENDENCYPART_ARC
(17,24),-1.41812 # DEPENDENCYPART_ARC
(17,27),-2.68745 # DEPENDENCYPART_ARC
(19,7),-2.27645 # DEPENDENCYPART_ARC
(19,12),-1.915 # DEPENDENCYPART_ARC
(19,14),-2.00179 # DEPENDENCYPART_ARC
(19,16),-1.84696 # DEPENDENCYPART_ARC
(19,17),-1.31677 # DEPENDENCYPART_ARC
(19,18),1.64659 # DEPENDENCYPART_ARC
(19,20),-0.230869 # DEPENDENCYPART_ARC
(19,21),-1.52146 # DEPENDENCYPART_ARC
(19,22),-1.6415 # DEPENDENCYPART_ARC
(19,23),-1.55182 # DEPENDENCYPART_ARC
(19,24),-1.36731 # DEPENDENCYPART_ARC
(19,25),-2.60416 # DEPENDENCYPART_ARC
(19,27),-2.48461 # DEPENDENCYPART_ARC
(19,28),-2.13624 # DEPENDENCYPART_ARC
(19,29),-2.51527 # DEPENDENCYPART_ARC
(19,30),-2.86827 # DEPENDENCYPART_ARC
(20,19),-1.47839 # DEPENDENCYPART_ARC
(20,21),-0.398612 # DEPENDENCYPART_ARC
(20,22),1.89946 # DEPENDENCYPART_ARC
(20,23),-1.34839 # DEPENDENCYPART_ARC
(20,24),-1.09101 # DEPENDENCYPART_ARC
(20,25),-2.43838 # DEPENDENCYPART_ARC
(20,27),-1.99245 # DEPENDENCYPART_ARC
(22,18),-0.943276 # DEPENDENCYPART_ARC
(22,19),-1.28188 # DEPENDENCYPART_ARC
(22,21),1.31685 # DEPENDENCYPART_ARC
(22,23),-1.12193 # DEPENDENCYPART_ARC
(22,24),-1.59262 # DEPENDENCYPART_ARC
(22,25),-2.74246 # DEPENDENCYPART_ARC
(22,27),-2.68682 # DEPENDENCYPART_ARC
(22,28),-2.30723 # DEPENDENCYPART_ARC
(22,29),-2.97653 # DEPENDENCYPART_ARC
(24,3),-1.399 # DEPENDENCYPART_ARC
(24,4),-2.65212 # DEPENDENCYPART_ARC
(24,5),-0.821138 # DEPENDENCYPART_ARC
(24,7),-1.14326 # DEPENDENCYPART_ARC
(24,8),-1.54177 # DEPENDENCYPART_ARC
(24,9),-1.87023 # DEPENDENCYPART_ARC
(24,10),-2.17395 # DEPENDENCYPART_ARC
(24,12),-0.794862 # DEPENDENCYPART_ARC
(24,13),-1.90615 # DEPENDENCYPART_ARC
(24,14),-0.43795 # DEPENDENCYPART_ARC
(24,15),-1.98294 # DEPENDENCYPART_ARC
(24,16),-1.7637 # DEPENDENCYPART_ARC
(24,17),-1.73645 # DEPENDENCYPART_ARC
(24,18),-0.969761 # DEPENDENCYPART_ARC
(24,19),-0.0543815 # DEPENDENCYPART_ARC
(24,20),-0.927202 # DEPENDENCYPART_ARC
(24,21),-1.07857 # DEPENDENCYPART_ARC
(24,22),-0.661672 # DEPENDENCYPART_ARC
(24,23),-0.381602 # DEPENDENCYPART_ARC
(24,25),-0.202023 # DEPENDENCYPART_ARC
(24,26),-1.0709 # DEPENDENCYPART_ARC
(24,27),-0.41159 # DEPENDENCYPART_ARC
(24,28),0.358469 # DEPENDENCYPART_ARC
(24,29),-0.269311 # DEPENDENCYPART_ARC
(24,30),0.933208 # DEPENDENCYPART_ARC
(25,26),-1.53143 # DEPENDENCYPART_ARC
(25,27),-1.37654 # DEPENDENCYPART_ARC
(26,25),-1.7437 # DEPENDENCYPART_ARC
(27,25),-1.1362 # DEPENDENCYPART_ARC
(27,26),1.28479 # DEPENDENCYPART_ARC
(27,28),-0.891731 # DEPENDENCYPART_ARC
(27,29),-1.33604 # DEPENDENCYPART_ARC
(28,3),-3.91076 # DEPENDENCYPART_ARC
(28,4),-3.97359 # DEPENDENCYPART_ARC
(28,5),-1.99962 # DEPENDENCYPART_ARC
(28,7),-1.9085 # DEPENDENCYPART_ARC
(28,8),-2.02878 # DEPENDENCYPART_ARC
(28,9),-2.31645 # DEPENDENCYPART_ARC
(28,10),-2.56958 # DEPENDENCYPART_ARC
(28,12),-1.14467 # DEPENDENCYPART_ARC
(28,14),-2.39367 # DEPENDENCYPART_ARC
(28,15),-2.28007 # DEPENDENCYPART_ARC
(28,16),-2.17069 # DEPENDENCYPART_ARC
(28,17),-2.25272 # DEPENDENCYPART_ARC
(28,18),-1.35349 # DEPENDENCYPART_ARC
(28,19),-1.74056 # DEPENDENCYPART_ARC
(28,20),-1.5005 # DEPENDENCYPART_ARC
(28,21),-1.97806 # DEPENDENCYPART_ARC
(28,22),-1.39927 # DEPENDENCYPART_ARC
(28,23),-2.17868 # DEPENDENCYPART_ARC
(28,25),0.412081 # DEPENDENCYPART_ARC
(28,26),-1.31604 # DEPENDENCYPART_ARC
(28,27),0.676631 # DEPENDENCYPART_ARC
(28,29),1.53263 # DEPENDENCYPART_ARC
(28,30),-0.233077 # DEPENDENCYPART_ARC
(29,3),-2.14887 # DEPENDENCYPART_ARC
(29,4),-1.84024 # DEPENDENCYPART_ARC
(29,5),-0.511294 # DEPENDENCYPART_ARC
(29,8),-1.91728 # DEPENDENCYPART_ARC
(29,20),-1.39297 # DEPENDENCYPART_ARC
(29,22),-1.57421 # DEPENDENCYPART_ARC
(29,25),1.44284 # DEPENDENCYPART_ARC
(29,26),-1.22365 # DEPENDENCYPART_ARC
(29,27),-0.972523 # DEPENDENCYPART_ARC
(29,28),-0.727221 # DEPENDENCYPART_ARC
(29,30),-1.49413 # DEPENDENCYPART_ARC
(30,29),-1.9207 # DEPENDENCYPART_ARC
(0,3),(0,8),-0.262041 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0520486 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.793933 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.813896 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.311619 # DEPENDENCYPART_SIBL
(0,8),(0,24),-1.07472 # DEPENDENCYPART_SIBL
(0,8),(0,28),-1.09348 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.716314 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.738898 # DEPENDENCYPART_SIBL
(0,24),(0,28),-1.79672 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0576779 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.123887 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.296147 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.458004 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.351543 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.143245 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0488525 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0175595 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0275453 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0596399 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0165628 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.152781 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0188438 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.213496 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0168396 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.511307 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0223519 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0119191 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.182567 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0812571 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0175595 # DEPENDENCYPART_SIBL
(3,1),(3,30),-0.0799832 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0437152 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0943226 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0351627 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.029285 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0333405 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0528016 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0889581 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0294092 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0189425 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0504556 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0454785 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.129914 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0291274 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0437152 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.151606 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.133069 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.222113 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.533772 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.492574 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.361844 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.36121 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.537152 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.087596 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.738987 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.437933 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.512637 # DEPENDENCYPART_SIBL
(3,4),(3,17),1.02977 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0262438 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.00821363 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0063953 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0160058 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.010101 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00576366 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0100743 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0160783 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0547314 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0543698 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0446803 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0430304 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00661653 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0234646 # DEPENDENCYPART_SIBL
(3,5),(3,30),0.0122897 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0846288 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0967705 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0799332 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0460714 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0847013 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.134711 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0389862 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.153813 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.137965 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.084438 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0913446 # DEPENDENCYPART_SIBL
(3,6),(3,30),-0.153591 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.129145 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0400703 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0137174 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.114663 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0166012 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.106321 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0272006 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0519821 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0204467 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0253979 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.0427538 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0371348 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00512113 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0213729 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0225048 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0759576 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0267264 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.000741727 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0414943 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.154242 # DEPENDENCYPART_SIBL
(3,8),(3,30),0.074863 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0306168 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.088871 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0390856 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0230359 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0309121 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0116673 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0323092 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.128004 # DEPENDENCYPART_SIBL
(3,9),(3,30),0.103392 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.196174 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0327157 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.289568 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0538645 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0320451 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0832664 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0513603 # DEPENDENCYPART_SIBL
(3,10),(3,30),-0.00658721 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0226665 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.10644 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0335876 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0583084 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.008113 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0296531 # DEPENDENCYPART_SIBL
(3,12),(3,30),0.0419179 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0207138 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.00604314 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.112961 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0823663 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.0511178 # DEPENDENCYPART_SIBL
(3,13),(3,30),-0.0313544 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0677553 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.07105 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0397198 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0339302 # DEPENDENCYPART_SIBL
(3,14),(3,30),0.0103201 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.627501 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.653612 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.0757453 # DEPENDENCYPART_SIBL
(3,15),(3,30),-0.0405033 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.432475 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.11751 # DEPENDENCYPART_SIBL
(3,16),(3,30),-0.110987 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0976939 # DEPENDENCYPART_SIBL
(3,17),(3,30),-0.171991 # DEPENDENCYPART_SIBL
(3,23),(3,30),-0.00821363 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0475626 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0760598 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0448721 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0302089 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00260585 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0157912 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0283311 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0953342 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0395927 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0387204 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.084366 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.153844 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0398145 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00464945 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0487669 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0927602 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0266106 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0487669 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.119434 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.167698 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0206488 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.148946 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0306862 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.046142 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.004755 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0247337 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.139016 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.00822999 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0369547 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.163074 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.173443 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.206219 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0423154 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.872514 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.216648 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00172853 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.409666 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0277271 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.304767 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.111342 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0854342 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.275709 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0906662 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.602444 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0439831 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0197137 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.104264 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.00668567 # DEPENDENCYPART_SIBL
