# _root_ DPC Acquisition Partners , a hostile suitor for Dataproducts Corp. , said it intends to launch a tender offer for the computer printer maker 's common stock .
#goldHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
#predictedHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
(6,9),-2.01554 # DEPENDENCYPART_ARC
(7,1),-2.57063 # DEPENDENCYPART_ARC
(7,2),-1.7897 # DEPENDENCYPART_ARC
(7,3),-2.27501 # DEPENDENCYPART_ARC
(7,4),-1.78124 # DEPENDENCYPART_ARC
(7,5),1.46421 # DEPENDENCYPART_ARC
(7,6),1.82756 # DEPENDENCYPART_ARC
(7,8),0.561029 # DEPENDENCYPART_ARC
(7,9),-1.64167 # DEPENDENCYPART_ARC
(7,10),-1.15166 # DEPENDENCYPART_ARC
(7,11),-1.32862 # DEPENDENCYPART_ARC
(7,12),-1.1311 # DEPENDENCYPART_ARC
(7,13),-2.08308 # DEPENDENCYPART_ARC
(7,14),-1.53556 # DEPENDENCYPART_ARC
(7,15),-1.71294 # DEPENDENCYPART_ARC
(7,20),-2.04579 # DEPENDENCYPART_ARC
(7,27),-3.54782 # DEPENDENCYPART_ARC
(8,4),-2.32225 # DEPENDENCYPART_ARC
(8,7),-1.70983 # DEPENDENCYPART_ARC
(8,9),-0.443801 # DEPENDENCYPART_ARC
(8,10),-0.155883 # DEPENDENCYPART_ARC
(8,11),-1.42256 # DEPENDENCYPART_ARC
(8,12),-0.988539 # DEPENDENCYPART_ARC
(8,13),-2.01217 # DEPENDENCYPART_ARC
(8,14),-1.68137 # DEPENDENCYPART_ARC
(8,15),-1.39216 # DEPENDENCYPART_ARC
(9,7),-2.01705 # DEPENDENCYPART_ARC
(9,8),-1.37684 # DEPENDENCYPART_ARC
(9,10),1.107 # DEPENDENCYPART_ARC
(9,11),-0.205561 # DEPENDENCYPART_ARC
(9,12),-0.914293 # DEPENDENCYPART_ARC
(9,13),-1.07994 # DEPENDENCYPART_ARC
(9,14),-0.945615 # DEPENDENCYPART_ARC
(9,15),-1.4695 # DEPENDENCYPART_ARC
(9,19),-2.43713 # DEPENDENCYPART_ARC
(9,20),-2.02759 # DEPENDENCYPART_ARC
(9,25),-3.41742 # DEPENDENCYPART_ARC
(9,27),-4.40326 # DEPENDENCYPART_ARC
(10,5),-2.72201 # DEPENDENCYPART_ARC
(10,6),-2.29345 # DEPENDENCYPART_ARC
(10,7),-2.51081 # DEPENDENCYPART_ARC
(10,8),-2.44565 # DEPENDENCYPART_ARC
(10,9),-0.282942 # DEPENDENCYPART_ARC
(10,11),-2.1421 # DEPENDENCYPART_ARC
(10,14),-2.54055 # DEPENDENCYPART_ARC
(12,1),-1.44109 # DEPENDENCYPART_ARC
(12,2),-1.48338 # DEPENDENCYPART_ARC
(12,3),-1.31029 # DEPENDENCYPART_ARC
(12,4),-1.31278 # DEPENDENCYPART_ARC
(12,7),-1.46917 # DEPENDENCYPART_ARC
(12,8),-2.19628 # DEPENDENCYPART_ARC
(12,9),-1.39176 # DEPENDENCYPART_ARC
(12,10),-0.990444 # DEPENDENCYPART_ARC
(12,11),-0.691912 # DEPENDENCYPART_ARC
(12,13),0.04704 # DEPENDENCYPART_ARC
(12,14),1.01812 # DEPENDENCYPART_ARC
(12,15),-0.378592 # DEPENDENCYPART_ARC
(12,16),-0.979773 # DEPENDENCYPART_ARC
(12,20),-1.60762 # DEPENDENCYPART_ARC
(12,28),1.63211 # DEPENDENCYPART_ARC
(13,14),-0.871508 # DEPENDENCYPART_ARC
(13,15),-1.47581 # DEPENDENCYPART_ARC
(14,1),-2.06626 # DEPENDENCYPART_ARC
(14,2),-2.2655 # DEPENDENCYPART_ARC
(14,3),-2.26787 # DEPENDENCYPART_ARC
(14,4),-1.58881 # DEPENDENCYPART_ARC
(14,7),-1.29139 # DEPENDENCYPART_ARC
(14,8),-1.60688 # DEPENDENCYPART_ARC
(14,9),-2.03944 # DEPENDENCYPART_ARC
(14,10),-2.15614 # DEPENDENCYPART_ARC
(14,11),-1.09386 # DEPENDENCYPART_ARC
(14,12),-1.18798 # DEPENDENCYPART_ARC
(14,13),1.46841 # DEPENDENCYPART_ARC
(14,15),1.09259 # DEPENDENCYPART_ARC
(14,16),-0.270419 # DEPENDENCYPART_ARC
(14,18),-1.39608 # DEPENDENCYPART_ARC
(14,19),-1.28553 # DEPENDENCYPART_ARC
(14,20),-0.760457 # DEPENDENCYPART_ARC
(14,24),-2.65501 # DEPENDENCYPART_ARC
(14,25),-2.66339 # DEPENDENCYPART_ARC
(14,27),-2.77691 # DEPENDENCYPART_ARC
(14,28),-1.15165 # DEPENDENCYPART_ARC
(15,3),-3.10266 # DEPENDENCYPART_ARC
(15,7),-2.59492 # DEPENDENCYPART_ARC
(15,13),-1.79697 # DEPENDENCYPART_ARC
(15,16),2.07733 # DEPENDENCYPART_ARC
(15,18),-0.964271 # DEPENDENCYPART_ARC
(15,19),-1.13694 # DEPENDENCYPART_ARC
(15,20),-1.28428 # DEPENDENCYPART_ARC
(16,3),-2.78434 # DEPENDENCYPART_ARC
(16,7),-2.21166 # DEPENDENCYPART_ARC
(16,8),-1.70604 # DEPENDENCYPART_ARC
(16,9),-2.40101 # DEPENDENCYPART_ARC
(16,11),-2.02072 # DEPENDENCYPART_ARC
(16,13),-1.9427 # DEPENDENCYPART_ARC
(16,17),-0.651408 # DEPENDENCYPART_ARC
(16,18),-4.56707e-05 # DEPENDENCYPART_ARC
(16,19),0.292203 # DEPENDENCYPART_ARC
(16,20),-0.097451 # DEPENDENCYPART_ARC
(16,22),-1.31057 # DEPENDENCYPART_ARC
(16,23),-1.15592 # DEPENDENCYPART_ARC
(16,24),-1.25448 # DEPENDENCYPART_ARC
(16,25),-2.53492 # DEPENDENCYPART_ARC
(16,26),-1.72783 # DEPENDENCYPART_ARC
(16,27),-1.5304 # DEPENDENCYPART_ARC
(16,28),-1.1981 # DEPENDENCYPART_ARC
(17,18),-0.98451 # DEPENDENCYPART_ARC
(17,20),-1.56985 # DEPENDENCYPART_ARC
(18,17),0.0343096 # DEPENDENCYPART_ARC
(18,19),-1.07957 # DEPENDENCYPART_ARC
(18,20),-0.814024 # DEPENDENCYPART_ARC
(18,27),-3.15468 # DEPENDENCYPART_ARC
(19,9),-2.86388 # DEPENDENCYPART_ARC
(19,17),0.98791 # DEPENDENCYPART_ARC
(19,18),1.95204 # DEPENDENCYPART_ARC
(19,20),0.509131 # DEPENDENCYPART_ARC
(19,22),-1.16071 # DEPENDENCYPART_ARC
(19,23),-1.24461 # DEPENDENCYPART_ARC
(19,24),-1.52467 # DEPENDENCYPART_ARC
(19,25),-2.68304 # DEPENDENCYPART_ARC
(19,27),-2.28749 # DEPENDENCYPART_ARC
(20,19),-1.62499 # DEPENDENCYPART_ARC
(20,21),-1.45358 # DEPENDENCYPART_ARC
(20,22),-0.147155 # DEPENDENCYPART_ARC
(20,23),-0.959829 # DEPENDENCYPART_ARC
(20,24),-1.14397 # DEPENDENCYPART_ARC
(20,25),-2.70116 # DEPENDENCYPART_ARC
(20,27),-0.714241 # DEPENDENCYPART_ARC
(22,21),-0.643002 # DEPENDENCYPART_ARC
(22,23),-1.21683 # DEPENDENCYPART_ARC
(22,25),-2.16131 # DEPENDENCYPART_ARC
(23,21),-0.896712 # DEPENDENCYPART_ARC
(23,22),0.104579 # DEPENDENCYPART_ARC
(23,24),-1.11404 # DEPENDENCYPART_ARC
(23,25),-0.820747 # DEPENDENCYPART_ARC
(24,17),-1.89537 # DEPENDENCYPART_ARC
(24,18),-0.365717 # DEPENDENCYPART_ARC
(24,19),-1.03399 # DEPENDENCYPART_ARC
(24,20),-0.878524 # DEPENDENCYPART_ARC
(24,21),1.14645 # DEPENDENCYPART_ARC
(24,22),1.92989 # DEPENDENCYPART_ARC
(24,23),2.23781 # DEPENDENCYPART_ARC
(24,25),1.86672 # DEPENDENCYPART_ARC
(24,26),-1.0942 # DEPENDENCYPART_ARC
(24,27),-1.48602 # DEPENDENCYPART_ARC
(25,26),-1.5875 # DEPENDENCYPART_ARC
(26,24),-1.7582 # DEPENDENCYPART_ARC
(26,25),-1.64952 # DEPENDENCYPART_ARC
(27,17),-4.09729 # DEPENDENCYPART_ARC
(27,18),-1.65423 # DEPENDENCYPART_ARC
(27,19),-2.55519 # DEPENDENCYPART_ARC
(27,21),-2.37631 # DEPENDENCYPART_ARC
(27,22),-0.192165 # DEPENDENCYPART_ARC
(27,23),-0.455168 # DEPENDENCYPART_ARC
(27,24),0.173974 # DEPENDENCYPART_ARC
(27,25),-0.512469 # DEPENDENCYPART_ARC
(27,26),1.41372 # DEPENDENCYPART_ARC
(28,27),-2.67376 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.222285 # DEPENDENCYPART_SIBL
(0,2),(0,12),-1.16725 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.654126 # DEPENDENCYPART_SIBL
(0,3),(0,12),-1.16777 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.661253 # DEPENDENCYPART_SIBL
(0,12),(0,14),-1.66685 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0699855 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0204459 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0655605 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0204459 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0062128 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0690526 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0062128 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.656645 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.103166 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.249368 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0593773 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.000323058 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00267794 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.036372 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0187844 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.240349 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.000323058 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00998451 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.00566572 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0819085 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0938115 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.08631 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.101011 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.275467 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0819085 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0686277 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.107188 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.622317 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0938653 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.661802 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.261519 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00445622 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.402732 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.595368 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00172687 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0283891 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.145916 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.201436 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0484142 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.307307 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.142858 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0181354 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.193597 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.151171 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.243193 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.263186 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0623888 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0566852 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0916564 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00914445 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0170942 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0134805 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.402732 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.595368 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0520856 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.122338 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.127025 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0159772 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0103095 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0787726 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00159271 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.014789 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.272958 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.127025 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0190365 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0505634 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0313579 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0671202 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0451357 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.157033 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0157921 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0208102 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0816953 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00172382 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00813835 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.2663 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.157033 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0209975 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.047581 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0303004 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0647442 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0474147 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.137475 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.335685 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.644616 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.081419 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.674254 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.272912 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0729775 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.267593 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0589194 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.399991 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.615631 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.677263 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0391188 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0103212 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0169406 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.013014 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.09562 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.014542 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00490183 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0289291 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0366775 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0176559 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.00923472 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0862654 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00361989 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0150814 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0944088 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0705367 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0792124 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0517701 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0484037 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0946462 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.0859691 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00777145 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0225741 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.140705 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.230382 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0852444 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0961652 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0565723 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.310847 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.29605 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.139334 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0138595 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.218109 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.127446 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00807365 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.123882 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.211981 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.2142 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.253334 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0224364 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.09926 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.108911 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0632228 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0895552 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0844235 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0744386 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.058967 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0536604 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.00531638 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00635292 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.00813909 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.267593 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0589194 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.399991 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.615631 # DEPENDENCYPART_SIBL
(3,11),(3,27),0.677263 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0221848 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.151101 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0854995 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0779848 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0727758 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0280309 # DEPENDENCYPART_SIBL
(3,13),(3,27),-0.0136429 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.06026 # DEPENDENCYPART_SIBL
(3,14),(3,27),-0.051923 # DEPENDENCYPART_SIBL
(3,19),(3,27),-0.30931 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0983131 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0537957 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0387945 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.084519 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00797474 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0173851 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.592582 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0940953 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.13717 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0493486 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.143328 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0947928 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0814188 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.075507 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0632985 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0509563 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0367097 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00850138 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.102385 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.377606 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0308984 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0622583 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0205142 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0365637 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0371603 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0184166 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0155888 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0153503 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.110026 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0622583 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.0204902 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0083245 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.116939 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.369743 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0470245 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0547344 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0224426 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.038492 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0708386 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.010186 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0134348 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0183003 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0752661 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0547344 # DEPENDENCYPART_SIBL
(7,2),(7,27),-0.0152336 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0915217 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.374455 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0428804 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0723741 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0196971 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0362081 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0460629 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0254496 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0254806 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00741012 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.11687 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0723741 # DEPENDENCYPART_SIBL
(7,3),(7,27),-0.0281735 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0181566 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.129693 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0582657 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0493237 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.126576 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.00635482 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.228656 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0384768 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.00165437 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0493723 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0582657 # DEPENDENCYPART_SIBL
(7,4),(7,27),-0.0127411 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0938641 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0782218 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0100775 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0261831 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0233715 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.180763 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.058676 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.211778 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.147539 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.0782218 # DEPENDENCYPART_SIBL
(7,5),(7,27),-0.0521366 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00384341 # DEPENDENCYPART_SIBL
