# _root_ `` The pendulum is swinging back to black and white , '' says Richard DeMoulin , the general manager of Eastman Kodak Co. 's professional photography division .
#goldHeads=4,3,4,13,4,5,5,7,8,9,4,4,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
#predictedHeads=13,3,4,13,4,5,6,7,8,9,13,13,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
(12,11),-1.40462 # DEPENDENCYPART_ARC
(13,1),-0.597127 # DEPENDENCYPART_ARC
(13,3),-2.04466 # DEPENDENCYPART_ARC
(13,4),-0.662479 # DEPENDENCYPART_ARC
(13,5),-1.74237 # DEPENDENCYPART_ARC
(13,6),-1.96986 # DEPENDENCYPART_ARC
(13,7),-2.02342 # DEPENDENCYPART_ARC
(13,8),-1.96303 # DEPENDENCYPART_ARC
(13,9),-1.77942 # DEPENDENCYPART_ARC
(13,10),-1.35699 # DEPENDENCYPART_ARC
(13,11),0.0980501 # DEPENDENCYPART_ARC
(13,12),0.49047 # DEPENDENCYPART_ARC
(13,14),-0.511318 # DEPENDENCYPART_ARC
(13,15),-0.382087 # DEPENDENCYPART_ARC
(13,16),-0.905006 # DEPENDENCYPART_ARC
(13,18),-1.61877 # DEPENDENCYPART_ARC
(13,19),-1.87477 # DEPENDENCYPART_ARC
(13,20),-2.17164 # DEPENDENCYPART_ARC
(13,21),-2.74252 # DEPENDENCYPART_ARC
(13,22),-2.65628 # DEPENDENCYPART_ARC
(13,23),-2.66036 # DEPENDENCYPART_ARC
(13,24),-2.38146 # DEPENDENCYPART_ARC
(13,27),-2.95378 # DEPENDENCYPART_ARC
(13,28),0.97881 # DEPENDENCYPART_ARC
(14,15),-1.0535 # DEPENDENCYPART_ARC
(14,16),-1.48805 # DEPENDENCYPART_ARC
(14,19),-2.25424 # DEPENDENCYPART_ARC
(14,20),-2.49739 # DEPENDENCYPART_ARC
(14,27),-4.3408 # DEPENDENCYPART_ARC
(15,1),-3.06132 # DEPENDENCYPART_ARC
(15,4),-2.99722 # DEPENDENCYPART_ARC
(15,5),-2.6455 # DEPENDENCYPART_ARC
(15,6),-2.99628 # DEPENDENCYPART_ARC
(15,7),-3.3017 # DEPENDENCYPART_ARC
(15,8),-2.44395 # DEPENDENCYPART_ARC
(15,10),-1.95849 # DEPENDENCYPART_ARC
(15,11),-2.1031 # DEPENDENCYPART_ARC
(15,12),-1.87747 # DEPENDENCYPART_ARC
(15,14),1.58518 # DEPENDENCYPART_ARC
(15,16),0.247236 # DEPENDENCYPART_ARC
(15,17),-1.6023 # DEPENDENCYPART_ARC
(15,18),-1.40935 # DEPENDENCYPART_ARC
(15,19),-0.914436 # DEPENDENCYPART_ARC
(15,20),-1.61867 # DEPENDENCYPART_ARC
(15,21),-3.40317 # DEPENDENCYPART_ARC
(15,22),-3.33743 # DEPENDENCYPART_ARC
(15,23),-2.9855 # DEPENDENCYPART_ARC
(15,24),-2.83992 # DEPENDENCYPART_ARC
(15,25),-2.46462 # DEPENDENCYPART_ARC
(15,26),-3.0599 # DEPENDENCYPART_ARC
(15,27),-3.25629 # DEPENDENCYPART_ARC
(18,17),-1.00457 # DEPENDENCYPART_ARC
(18,20),-1.39287 # DEPENDENCYPART_ARC
(19,1),-2.57501 # DEPENDENCYPART_ARC
(19,4),-2.82936 # DEPENDENCYPART_ARC
(19,5),-2.35806 # DEPENDENCYPART_ARC
(19,14),-1.6379 # DEPENDENCYPART_ARC
(19,15),-2.19166 # DEPENDENCYPART_ARC
(19,16),-1.74717 # DEPENDENCYPART_ARC
(19,17),1.31524 # DEPENDENCYPART_ARC
(19,18),1.88351 # DEPENDENCYPART_ARC
(19,20),1.06566 # DEPENDENCYPART_ARC
(19,21),-1.31005 # DEPENDENCYPART_ARC
(19,22),-1.15115 # DEPENDENCYPART_ARC
(19,23),-1.38309 # DEPENDENCYPART_ARC
(19,24),-1.99164 # DEPENDENCYPART_ARC
(19,25),-1.5954 # DEPENDENCYPART_ARC
(19,26),-1.56458 # DEPENDENCYPART_ARC
(19,27),-1.80227 # DEPENDENCYPART_ARC
(20,21),-0.0205225 # DEPENDENCYPART_ARC
(20,22),-0.31122 # DEPENDENCYPART_ARC
(20,23),-1.64557 # DEPENDENCYPART_ARC
(20,26),-1.31633 # DEPENDENCYPART_ARC
(20,27),-0.731811 # DEPENDENCYPART_ARC
(21,22),-1.73624 # DEPENDENCYPART_ARC
(21,23),-2.02056 # DEPENDENCYPART_ARC
(21,24),-2.85672 # DEPENDENCYPART_ARC
(22,17),-2.37829 # DEPENDENCYPART_ARC
(22,18),-2.18393 # DEPENDENCYPART_ARC
(22,21),0.188807 # DEPENDENCYPART_ARC
(22,23),-0.533934 # DEPENDENCYPART_ARC
(22,24),-0.769705 # DEPENDENCYPART_ARC
(22,25),-1.81511 # DEPENDENCYPART_ARC
(22,26),-1.95049 # DEPENDENCYPART_ARC
(22,27),-2.19341 # DEPENDENCYPART_ARC
(23,17),-2.52149 # DEPENDENCYPART_ARC
(23,18),-2.02118 # DEPENDENCYPART_ARC
(23,19),-2.24747 # DEPENDENCYPART_ARC
(23,21),0.259512 # DEPENDENCYPART_ARC
(23,22),1.10204 # DEPENDENCYPART_ARC
(23,24),2.00969 # DEPENDENCYPART_ARC
(23,25),-1.55843 # DEPENDENCYPART_ARC
(23,26),-2.13061 # DEPENDENCYPART_ARC
(24,21),-1.69624 # DEPENDENCYPART_ARC
(24,22),-1.58064 # DEPENDENCYPART_ARC
(24,25),-1.57367 # DEPENDENCYPART_ARC
(25,21),-1.87494 # DEPENDENCYPART_ARC
(25,22),-1.67203 # DEPENDENCYPART_ARC
(25,23),-1.45509 # DEPENDENCYPART_ARC
(25,24),-1.58712 # DEPENDENCYPART_ARC
(25,26),-0.980821 # DEPENDENCYPART_ARC
(26,21),-1.89899 # DEPENDENCYPART_ARC
(26,22),-1.73198 # DEPENDENCYPART_ARC
(26,23),-1.10829 # DEPENDENCYPART_ARC
(26,25),-0.475966 # DEPENDENCYPART_ARC
(27,1),-2.09003 # DEPENDENCYPART_ARC
(27,4),-2.52707 # DEPENDENCYPART_ARC
(27,5),-2.02257 # DEPENDENCYPART_ARC
(27,17),-2.20299 # DEPENDENCYPART_ARC
(27,18),-1.27166 # DEPENDENCYPART_ARC
(27,21),-0.926018 # DEPENDENCYPART_ARC
(27,22),-0.324294 # DEPENDENCYPART_ARC
(27,23),0.277261 # DEPENDENCYPART_ARC
(27,24),-0.915524 # DEPENDENCYPART_ARC
(27,25),1.00378 # DEPENDENCYPART_ARC
(27,26),1.81272 # DEPENDENCYPART_ARC
(0,4),(0,13),-2.09067 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0712518 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0735023 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00724032 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0597671 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0260503 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0266047 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0644909 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0749649 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0820718 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0406563 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0670515 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.728149 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0707053 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0344918 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0391476 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.129436 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0228327 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0614429 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0713607 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0139673 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0124465 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0286453 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0415064 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0898887 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0577481 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0432145 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0131283 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0337295 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0519952 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0194407 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0470981 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.110415 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0591013 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0878219 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.128141 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.147248 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.015716 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0248603 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0161103 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00802699 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0585646 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00673869 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0730068 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0874504 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00338342 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0215342 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0778917 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00922349 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0610918 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.240302 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0459273 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0491562 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0610918 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0283144 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.1023 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.239928 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.23838 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.132331 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.320996 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.122291 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.196189 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.152765 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.105403 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.111719 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.102367 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.227074 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.105403 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.155709 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.318463 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00250006 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0139124 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0648646 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0175784 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.037352 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0440976 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0112267 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0218373 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.053264 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00496199 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0112267 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0626913 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.010489 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.343855 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.12705 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.407059 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0411769 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.411475 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0590971 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0141508 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.154485 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.308924 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0590971 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.414996 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.0127747 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0778377 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.129754 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0347643 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.117825 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0407927 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0278029 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0673479 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.028138 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0407927 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.124478 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0207842 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.15587 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0464393 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.160722 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0356407 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0666283 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.112672 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.138192 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0356407 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.163017 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.00123182 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00221376 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.271333 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0064429 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0343349 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0815455 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.189883 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0064429 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.285612 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.0201651 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.044725 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0377599 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0336294 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.068134 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0779298 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0377599 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0464627 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.00647169 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0128166 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.038006 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0808088 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.190195 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0128166 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.285723 # DEPENDENCYPART_SIBL
(4,10),(4,28),-0.00648627 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0496837 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.12224 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.147665 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0283337 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.249458 # DEPENDENCYPART_SIBL
(4,11),(4,28),0.0047359 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0866236 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0696079 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.207927 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.00733374 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.0645488 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.180899 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0162776 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.16757 # DEPENDENCYPART_SIBL
(4,13),(4,28),0.0293113 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0223434 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.15737 # DEPENDENCYPART_SIBL
(4,15),(4,28),0.00279183 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.249458 # DEPENDENCYPART_SIBL
(4,16),(4,28),0.0047359 # DEPENDENCYPART_SIBL
(4,19),(4,28),0.00255902 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.067021 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0461673 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.163721 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.130596 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.1193 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0555699 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.025649 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0471375 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00448615 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.470968 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0634868 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0346639 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.00448615 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0544393 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.036601 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.0418419 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0285354 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0680057 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0248393 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.10373 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00177041 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.126684 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0250558 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0832117 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0846846 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0868545 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0435304 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0832117 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0291744 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.464977 # DEPENDENCYPART_SIBL
(5,2),(5,27),-0.0339188 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0113185 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0356405 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0280083 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0229294 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.146909 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0106415 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00809092 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0470307 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0232577 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.000763678 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00809092 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.00489007 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0266779 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.0176227 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0688315 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.102994 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0080313 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0107929 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0213675 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0331364 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0696907 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0963207 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0468619 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0331364 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0122772 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.059994 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.0218442 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0751162 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0152852 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0926577 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.026533 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00801918 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0205676 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0637292 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0248377 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.00801918 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0227581 # DEPENDENCYPART_SIBL
