# _root_ Some traders said that the closely watched Major Market Index , whose 20 stocks mimic the Dow industrials , did n't lead yesterday 's big rally .
#goldHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,10,18,18,15,10,4,20,20,26,23,26,22,3,
#predictedHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,4,18,18,15,10,4,20,20,26,23,26,22,3,
(4,9),-3.59863 # DEPENDENCYPART_ARC
(4,10),-3.36105 # DEPENDENCYPART_ARC
(4,11),-1.2423 # DEPENDENCYPART_ARC
(4,15),-0.236396 # DEPENDENCYPART_ARC
(4,19),-1.44437 # DEPENDENCYPART_ARC
(4,20),0.47432 # DEPENDENCYPART_ARC
(4,22),-2.1575 # DEPENDENCYPART_ARC
(5,3),-2.43446 # DEPENDENCYPART_ARC
(5,4),-1.40499 # DEPENDENCYPART_ARC
(5,6),-1.7037 # DEPENDENCYPART_ARC
(5,7),-1.65922 # DEPENDENCYPART_ARC
(6,2),-2.35071 # DEPENDENCYPART_ARC
(6,3),-2.11704 # DEPENDENCYPART_ARC
(6,4),-1.53454 # DEPENDENCYPART_ARC
(6,5),-1.14425 # DEPENDENCYPART_ARC
(6,7),-0.880952 # DEPENDENCYPART_ARC
(6,13),-2.71812 # DEPENDENCYPART_ARC
(7,2),-1.45119 # DEPENDENCYPART_ARC
(7,3),-1.66213 # DEPENDENCYPART_ARC
(7,4),-0.810287 # DEPENDENCYPART_ARC
(7,5),-1.66559 # DEPENDENCYPART_ARC
(7,6),0.905342 # DEPENDENCYPART_ARC
(7,8),-0.61981 # DEPENDENCYPART_ARC
(7,9),-1.10395 # DEPENDENCYPART_ARC
(7,10),-1.01662 # DEPENDENCYPART_ARC
(7,11),-1.16391 # DEPENDENCYPART_ARC
(7,12),-1.80575 # DEPENDENCYPART_ARC
(7,13),-2.59436 # DEPENDENCYPART_ARC
(7,14),-2.03098 # DEPENDENCYPART_ARC
(7,15),-2.03049 # DEPENDENCYPART_ARC
(7,18),-2.44084 # DEPENDENCYPART_ARC
(7,19),-1.25572 # DEPENDENCYPART_ARC
(7,20),-2.1143 # DEPENDENCYPART_ARC
(7,21),-2.28584 # DEPENDENCYPART_ARC
(7,22),-2.50783 # DEPENDENCYPART_ARC
(7,23),-2.10684 # DEPENDENCYPART_ARC
(7,26),-2.57637 # DEPENDENCYPART_ARC
(7,27),-2.30717 # DEPENDENCYPART_ARC
(8,5),-2.41204 # DEPENDENCYPART_ARC
(8,7),-1.76204 # DEPENDENCYPART_ARC
(8,9),-1.67405 # DEPENDENCYPART_ARC
(8,11),-1.73035 # DEPENDENCYPART_ARC
(9,5),-1.64967 # DEPENDENCYPART_ARC
(9,6),-2.1933 # DEPENDENCYPART_ARC
(9,7),-1.55588 # DEPENDENCYPART_ARC
(9,8),-0.0812517 # DEPENDENCYPART_ARC
(9,10),-0.670292 # DEPENDENCYPART_ARC
(9,11),-1.31927 # DEPENDENCYPART_ARC
(9,12),-2.48869 # DEPENDENCYPART_ARC
(9,13),-2.6914 # DEPENDENCYPART_ARC
(9,14),-2.71824 # DEPENDENCYPART_ARC
(9,15),-2.33827 # DEPENDENCYPART_ARC
(9,18),-3.2331 # DEPENDENCYPART_ARC
(9,19),-1.48778 # DEPENDENCYPART_ARC
(10,1),-2.37285 # DEPENDENCYPART_ARC
(10,2),-1.61566 # DEPENDENCYPART_ARC
(10,3),-1.9173 # DEPENDENCYPART_ARC
(10,4),-1.94574 # DEPENDENCYPART_ARC
(10,5),0.255721 # DEPENDENCYPART_ARC
(10,6),-0.877654 # DEPENDENCYPART_ARC
(10,7),-0.501769 # DEPENDENCYPART_ARC
(10,8),1.63598 # DEPENDENCYPART_ARC
(10,9),1.83614 # DEPENDENCYPART_ARC
(10,11),0.297588 # DEPENDENCYPART_ARC
(10,12),-1.5718 # DEPENDENCYPART_ARC
(10,13),-1.91651 # DEPENDENCYPART_ARC
(10,14),-1.94836 # DEPENDENCYPART_ARC
(10,15),-1.54251 # DEPENDENCYPART_ARC
(10,17),-3.21506 # DEPENDENCYPART_ARC
(10,18),-2.55946 # DEPENDENCYPART_ARC
(10,19),-0.297094 # DEPENDENCYPART_ARC
(10,20),-2.3925 # DEPENDENCYPART_ARC
(10,21),-2.62855 # DEPENDENCYPART_ARC
(10,23),-3.57276 # DEPENDENCYPART_ARC
(10,24),-3.19238 # DEPENDENCYPART_ARC
(10,26),-3.65326 # DEPENDENCYPART_ARC
(12,9),-2.18396 # DEPENDENCYPART_ARC
(12,10),-1.97236 # DEPENDENCYPART_ARC
(12,11),-1.25332 # DEPENDENCYPART_ARC
(12,13),-0.882219 # DEPENDENCYPART_ARC
(12,14),-1.49288 # DEPENDENCYPART_ARC
(12,15),-1.38507 # DEPENDENCYPART_ARC
(12,18),-2.60127 # DEPENDENCYPART_ARC
(12,20),-2.01139 # DEPENDENCYPART_ARC
(13,10),-2.41911 # DEPENDENCYPART_ARC
(13,12),-0.714492 # DEPENDENCYPART_ARC
(13,14),-1.27069 # DEPENDENCYPART_ARC
(14,5),-0.863775 # DEPENDENCYPART_ARC
(14,6),-1.89658 # DEPENDENCYPART_ARC
(14,8),-1.59186 # DEPENDENCYPART_ARC
(14,9),-1.14603 # DEPENDENCYPART_ARC
(14,10),-1.44945 # DEPENDENCYPART_ARC
(14,12),0.196729 # DEPENDENCYPART_ARC
(14,13),1.23398 # DEPENDENCYPART_ARC
(14,18),-1.48834 # DEPENDENCYPART_ARC
(14,20),-1.55143 # DEPENDENCYPART_ARC
(14,24),-2.38922 # DEPENDENCYPART_ARC
(15,1),-2.08768 # DEPENDENCYPART_ARC
(15,2),-0.829108 # DEPENDENCYPART_ARC
(15,3),-1.98416 # DEPENDENCYPART_ARC
(15,4),-1.4018 # DEPENDENCYPART_ARC
(15,5),-2.13605 # DEPENDENCYPART_ARC
(15,6),-1.58295 # DEPENDENCYPART_ARC
(15,7),-2.08488 # DEPENDENCYPART_ARC
(15,8),-1.91412 # DEPENDENCYPART_ARC
(15,9),-1.95338 # DEPENDENCYPART_ARC
(15,10),-2.01325 # DEPENDENCYPART_ARC
(15,11),-0.917481 # DEPENDENCYPART_ARC
(15,12),-0.900004 # DEPENDENCYPART_ARC
(15,13),-1.05126 # DEPENDENCYPART_ARC
(15,14),1.35716 # DEPENDENCYPART_ARC
(15,16),-0.331581 # DEPENDENCYPART_ARC
(15,17),-0.265901 # DEPENDENCYPART_ARC
(15,18),-0.0153391 # DEPENDENCYPART_ARC
(15,19),-0.482076 # DEPENDENCYPART_ARC
(15,20),-0.101492 # DEPENDENCYPART_ARC
(15,21),-0.882792 # DEPENDENCYPART_ARC
(15,22),-1.13686 # DEPENDENCYPART_ARC
(15,23),-1.33929 # DEPENDENCYPART_ARC
(15,24),-2.04711 # DEPENDENCYPART_ARC
(15,25),-1.7828 # DEPENDENCYPART_ARC
(15,26),-1.3534 # DEPENDENCYPART_ARC
(15,27),-0.0989191 # DEPENDENCYPART_ARC
(16,17),-1.95334 # DEPENDENCYPART_ARC
(17,14),-2.32634 # DEPENDENCYPART_ARC
(17,16),-0.00184344 # DEPENDENCYPART_ARC
(17,18),-1.55129 # DEPENDENCYPART_ARC
(17,19),-1.7508 # DEPENDENCYPART_ARC
(17,20),-2.1359 # DEPENDENCYPART_ARC
(17,24),-2.62966 # DEPENDENCYPART_ARC
(17,26),-3.71132 # DEPENDENCYPART_ARC
(18,5),-1.95068 # DEPENDENCYPART_ARC
(18,8),-1.42297 # DEPENDENCYPART_ARC
(18,9),-1.45617 # DEPENDENCYPART_ARC
(18,10),-2.03887 # DEPENDENCYPART_ARC
(18,12),-1.24247 # DEPENDENCYPART_ARC
(18,13),-0.9351 # DEPENDENCYPART_ARC
(18,14),-1.24366 # DEPENDENCYPART_ARC
(18,15),-1.59789 # DEPENDENCYPART_ARC
(18,16),1.12848 # DEPENDENCYPART_ARC
(18,17),1.73306 # DEPENDENCYPART_ARC
(18,19),-0.836082 # DEPENDENCYPART_ARC
(18,20),-1.09973 # DEPENDENCYPART_ARC
(18,21),-1.80554 # DEPENDENCYPART_ARC
(18,22),-2.4199 # DEPENDENCYPART_ARC
(18,23),-2.11628 # DEPENDENCYPART_ARC
(18,24),-1.93691 # DEPENDENCYPART_ARC
(18,26),-2.70852 # DEPENDENCYPART_ARC
(20,2),-1.66235 # DEPENDENCYPART_ARC
(20,3),-2.04702 # DEPENDENCYPART_ARC
(20,4),-2.18115 # DEPENDENCYPART_ARC
(20,6),-1.79178 # DEPENDENCYPART_ARC
(20,7),-1.97818 # DEPENDENCYPART_ARC
(20,8),-2.11163 # DEPENDENCYPART_ARC
(20,9),-2.01736 # DEPENDENCYPART_ARC
(20,10),-1.47422 # DEPENDENCYPART_ARC
(20,11),-1.94341 # DEPENDENCYPART_ARC
(20,12),-1.75296 # DEPENDENCYPART_ARC
(20,13),-2.25761 # DEPENDENCYPART_ARC
(20,14),-1.14804 # DEPENDENCYPART_ARC
(20,15),-1.71312 # DEPENDENCYPART_ARC
(20,16),-1.939 # DEPENDENCYPART_ARC
(20,17),-1.16652 # DEPENDENCYPART_ARC
(20,18),-0.485809 # DEPENDENCYPART_ARC
(20,19),-0.795606 # DEPENDENCYPART_ARC
(20,21),1.36377 # DEPENDENCYPART_ARC
(20,22),0.983334 # DEPENDENCYPART_ARC
(20,23),-0.0723414 # DEPENDENCYPART_ARC
(20,24),-1.30718 # DEPENDENCYPART_ARC
(20,25),-1.14856 # DEPENDENCYPART_ARC
(20,26),-0.820248 # DEPENDENCYPART_ARC
(20,27),0.570562 # DEPENDENCYPART_ARC
(21,22),-1.44582 # DEPENDENCYPART_ARC
(21,23),-1.98772 # DEPENDENCYPART_ARC
(21,26),-2.81977 # DEPENDENCYPART_ARC
(22,2),-1.58084 # DEPENDENCYPART_ARC
(22,4),-0.850911 # DEPENDENCYPART_ARC
(22,13),-2.05312 # DEPENDENCYPART_ARC
(22,14),-1.1187 # DEPENDENCYPART_ARC
(22,18),-0.75463 # DEPENDENCYPART_ARC
(22,19),-1.02395 # DEPENDENCYPART_ARC
(22,21),-0.193164 # DEPENDENCYPART_ARC
(22,23),0.728472 # DEPENDENCYPART_ARC
(22,24),-0.673645 # DEPENDENCYPART_ARC
(22,25),-1.04112 # DEPENDENCYPART_ARC
(22,26),-0.4968 # DEPENDENCYPART_ARC
(22,27),-1.39432 # DEPENDENCYPART_ARC
(23,21),-1.86632 # DEPENDENCYPART_ARC
(23,22),-1.82106 # DEPENDENCYPART_ARC
(23,24),1.77735 # DEPENDENCYPART_ARC
(23,25),-0.907207 # DEPENDENCYPART_ARC
(23,26),-1.3789 # DEPENDENCYPART_ARC
(24,21),-1.77356 # DEPENDENCYPART_ARC
(24,22),-1.77092 # DEPENDENCYPART_ARC
(24,25),-1.59209 # DEPENDENCYPART_ARC
(24,26),-2.32307 # DEPENDENCYPART_ARC
(25,21),-2.04873 # DEPENDENCYPART_ARC
(25,23),-1.79195 # DEPENDENCYPART_ARC
(25,24),-1.60082 # DEPENDENCYPART_ARC
(26,12),-1.80168 # DEPENDENCYPART_ARC
(26,16),-2.07946 # DEPENDENCYPART_ARC
(26,17),-2.0129 # DEPENDENCYPART_ARC
(26,18),-1.85319 # DEPENDENCYPART_ARC
(26,21),-1.36889 # DEPENDENCYPART_ARC
(26,22),-1.78082 # DEPENDENCYPART_ARC
(26,23),0.31982 # DEPENDENCYPART_ARC
(26,24),-0.627779 # DEPENDENCYPART_ARC
(26,25),1.40384 # DEPENDENCYPART_ARC
(0,2),(0,3),-1.1714 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.36344 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.769487 # DEPENDENCYPART_SIBL
(0,3),(0,15),-1.1149 # DEPENDENCYPART_SIBL
(0,3),(0,20),-1.93129 # DEPENDENCYPART_SIBL
(0,15),(0,20),-1.16336 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.143914 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.230689 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0654858 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0327496 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.357415 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0316723 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00201444 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.115865 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.000555567 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.115865 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00749236 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0281836 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0304862 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.377796 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0635132 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.377796 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.11399 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0480612 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0383081 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.116279 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0383081 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0735427 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0101862 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0686721 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0101862 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.271278 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.000845047 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.271278 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.523048 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.08066 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.248379 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.302931 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0876421 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.109014 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0103657 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0306283 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.120344 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.132144 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0237611 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0407972 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0322138 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0875319 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.014838 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0660359 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0437824 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00498776 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00618283 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00683301 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.131931 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0869081 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.153331 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0409658 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.12201 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.196577 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0383428 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.187417 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.324057 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.378334 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.370017 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.473362 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.481434 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.208478 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.314668 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.47796 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.781105 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.356637 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.153489 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0966423 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.155067 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.242252 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.239831 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.130098 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.114984 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.210319 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.348766 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.130425 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.323275 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0817331 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0845057 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0734862 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0346368 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0431434 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.154624 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.299988 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.00160653 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.0940073 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.349872 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.347641 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0550428 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.222357 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.278413 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.464473 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.266026 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.0603797 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.267137 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.00625279 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0721626 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.158841 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.405333 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0019872 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0475127 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.011467 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0896024 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.17188 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.405153 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0185133 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.076521 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0570839 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.216812 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0686849 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.152364 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.220475 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.103991 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.285733 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0628777 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0906766 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.420669 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.130573 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.0660077 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.151447 # DEPENDENCYPART_SIBL
(3,20),(3,27),0.0147535 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.0318435 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0158965 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.091977 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0905806 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0630943 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0707242 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.107686 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0619255 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0968029 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0508889 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0968029 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.126716 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0266584 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0224568 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0411806 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.036486 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0307241 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.000753429 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0226207 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0468649 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0231023 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0468649 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.00088064 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.00219441 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.125525 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.238302 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.371391 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.376649 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.374348 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0843713 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.522872 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0843713 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.619451 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.315491 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.137943 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.140383 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.15595 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.144517 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0230338 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.421408 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0230338 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.467902 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.131836 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.306209 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.311645 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.309533 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0744508 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.41294 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0744508 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.5618 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.275277 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.667586 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.674981 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0977397 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.650664 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0977397 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.807014 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.38351 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.680449 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0814131 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.659398 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0814131 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.818566 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.386165 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0891819 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.641508 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0891819 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.794382 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.374545 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.102445 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.00172579 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0214168 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.204943 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.214237 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.602278 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.241668 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.0214168 # DEPENDENCYPART_SIBL
(4,19),(4,22),0.204943 # DEPENDENCYPART_SIBL
(4,20),(4,22),-0.231838 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0457335 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0397617 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0488632 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0259474 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00171895 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0294887 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00255376 # DEPENDENCYPART_SIBL
