# _root_ Thomas G. Dahlen , Big Bear 's executive vice president , said the chain is still reviewing its product list to avoid such problems .
#goldHeads=3,3,12,3,6,10,6,10,10,3,3,0,14,15,12,15,15,20,20,17,17,21,24,22,12,
#predictedHeads=3,3,12,3,6,10,6,10,10,3,3,0,14,15,12,15,15,20,20,17,17,21,24,22,12,
(12,6),-1.04146 # DEPENDENCYPART_ARC
(12,8),-1.58436 # DEPENDENCYPART_ARC
(12,9),-0.812386 # DEPENDENCYPART_ARC
(12,10),-0.706668 # DEPENDENCYPART_ARC
(12,11),-0.303574 # DEPENDENCYPART_ARC
(12,13),-0.848069 # DEPENDENCYPART_ARC
(12,14),-0.242839 # DEPENDENCYPART_ARC
(12,15),0.891722 # DEPENDENCYPART_ARC
(12,16),-0.915588 # DEPENDENCYPART_ARC
(12,17),-0.88007 # DEPENDENCYPART_ARC
(12,20),-1.3679 # DEPENDENCYPART_ARC
(12,21),-1.47993 # DEPENDENCYPART_ARC
(12,22),-1.82406 # DEPENDENCYPART_ARC
(12,25),1.14608 # DEPENDENCYPART_ARC
(14,10),-2.19703 # DEPENDENCYPART_ARC
(14,12),-1.46741 # DEPENDENCYPART_ARC
(14,13),1.48444 # DEPENDENCYPART_ARC
(14,15),-0.909425 # DEPENDENCYPART_ARC
(14,16),-1.79361 # DEPENDENCYPART_ARC
(14,17),-1.73611 # DEPENDENCYPART_ARC
(14,21),-1.98592 # DEPENDENCYPART_ARC
(15,1),-1.64027 # DEPENDENCYPART_ARC
(15,2),-1.70306 # DEPENDENCYPART_ARC
(15,3),-1.84682 # DEPENDENCYPART_ARC
(15,4),-1.23172 # DEPENDENCYPART_ARC
(15,6),-1.67238 # DEPENDENCYPART_ARC
(15,8),-2.2902 # DEPENDENCYPART_ARC
(15,9),-1.13667 # DEPENDENCYPART_ARC
(15,10),-1.2006 # DEPENDENCYPART_ARC
(15,11),-1.10985 # DEPENDENCYPART_ARC
(15,12),-1.31039 # DEPENDENCYPART_ARC
(15,13),-1.37331 # DEPENDENCYPART_ARC
(15,14),1.05203 # DEPENDENCYPART_ARC
(15,16),1.09102 # DEPENDENCYPART_ARC
(15,17),0.688127 # DEPENDENCYPART_ARC
(15,18),-1.45942 # DEPENDENCYPART_ARC
(15,19),-0.895902 # DEPENDENCYPART_ARC
(15,20),-0.87325 # DEPENDENCYPART_ARC
(15,21),-0.99447 # DEPENDENCYPART_ARC
(15,22),-1.82186 # DEPENDENCYPART_ARC
(15,23),-1.77861 # DEPENDENCYPART_ARC
(15,24),-1.54812 # DEPENDENCYPART_ARC
(15,25),-0.0839468 # DEPENDENCYPART_ARC
(16,14),-2.08011 # DEPENDENCYPART_ARC
(16,17),-0.955754 # DEPENDENCYPART_ARC
(16,20),-2.20284 # DEPENDENCYPART_ARC
(16,21),-2.1517 # DEPENDENCYPART_ARC
(17,2),-2.44259 # DEPENDENCYPART_ARC
(17,3),-2.48504 # DEPENDENCYPART_ARC
(17,10),-1.95639 # DEPENDENCYPART_ARC
(17,13),-1.64948 # DEPENDENCYPART_ARC
(17,14),-1.11148 # DEPENDENCYPART_ARC
(17,15),-1.70541 # DEPENDENCYPART_ARC
(17,16),0.0102165 # DEPENDENCYPART_ARC
(17,18),-0.0159024 # DEPENDENCYPART_ARC
(17,19),0.498675 # DEPENDENCYPART_ARC
(17,20),0.412059 # DEPENDENCYPART_ARC
(17,21),0.294516 # DEPENDENCYPART_ARC
(17,22),-0.779801 # DEPENDENCYPART_ARC
(17,23),-1.31043 # DEPENDENCYPART_ARC
(17,24),-0.709337 # DEPENDENCYPART_ARC
(18,16),-2.23549 # DEPENDENCYPART_ARC
(18,17),-1.71544 # DEPENDENCYPART_ARC
(18,19),-1.27389 # DEPENDENCYPART_ARC
(18,21),-2.0252 # DEPENDENCYPART_ARC
(19,17),-2.48001 # DEPENDENCYPART_ARC
(19,18),0.0244126 # DEPENDENCYPART_ARC
(19,20),-1.13106 # DEPENDENCYPART_ARC
(19,21),-1.27082 # DEPENDENCYPART_ARC
(19,24),-2.18641 # DEPENDENCYPART_ARC
(20,8),-2.42715 # DEPENDENCYPART_ARC
(20,10),-2.87253 # DEPENDENCYPART_ARC
(20,13),-1.94383 # DEPENDENCYPART_ARC
(20,14),-1.34485 # DEPENDENCYPART_ARC
(20,16),-1.44029 # DEPENDENCYPART_ARC
(20,17),-1.30034 # DEPENDENCYPART_ARC
(20,18),1.17021 # DEPENDENCYPART_ARC
(20,19),1.58099 # DEPENDENCYPART_ARC
(20,21),-0.399551 # DEPENDENCYPART_ARC
(20,22),-1.13137 # DEPENDENCYPART_ARC
(20,24),-1.5106 # DEPENDENCYPART_ARC
(21,16),-2.06225 # DEPENDENCYPART_ARC
(21,18),-1.4543 # DEPENDENCYPART_ARC
(21,19),-1.98838 # DEPENDENCYPART_ARC
(21,20),-1.38195 # DEPENDENCYPART_ARC
(21,22),1.74025 # DEPENDENCYPART_ARC
(21,23),-1.0326 # DEPENDENCYPART_ARC
(21,24),-0.439516 # DEPENDENCYPART_ARC
(22,18),-1.6191 # DEPENDENCYPART_ARC
(22,19),-1.38373 # DEPENDENCYPART_ARC
(22,20),-1.69707 # DEPENDENCYPART_ARC
(22,23),-0.18529 # DEPENDENCYPART_ARC
(22,24),0.833982 # DEPENDENCYPART_ARC
(22,25),-1.45111 # DEPENDENCYPART_ARC
(24,2),-2.65499 # DEPENDENCYPART_ARC
(24,3),-3.16991 # DEPENDENCYPART_ARC
(24,6),-2.13478 # DEPENDENCYPART_ARC
(24,8),-1.98609 # DEPENDENCYPART_ARC
(24,13),-2.38574 # DEPENDENCYPART_ARC
(24,14),-1.35135 # DEPENDENCYPART_ARC
(24,16),-1.8255 # DEPENDENCYPART_ARC
(24,17),-1.70677 # DEPENDENCYPART_ARC
(24,18),-0.307119 # DEPENDENCYPART_ARC
(24,19),-0.378682 # DEPENDENCYPART_ARC
(24,20),-1.04152 # DEPENDENCYPART_ARC
(24,21),-1.44404 # DEPENDENCYPART_ARC
(24,22),-0.598155 # DEPENDENCYPART_ARC
(24,23),1.81728 # DEPENDENCYPART_ARC
(0,12),(0,15),-1.77018 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0589742 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0127846 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0611454 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.10025 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0127846 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0108778 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0606098 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0996291 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0108778 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.697669 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.862887 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0490412 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.100697 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0367353 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.176638 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0688149 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.19001 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0727376 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0673299 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0503644 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0309679 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0526929 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.310153 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.19001 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0791463 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0492906 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.000409988 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0551533 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0594787 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.127812 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0449626 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0672773 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.10447 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.000409988 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0338482 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0270063 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.700052 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.6927 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00646666 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.376564 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.605419 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.840522 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0644831 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.660083 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.474423 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0518953 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.12017 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.036992 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0634676 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.100661 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0069352 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0300385 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0213124 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.12882 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0459699 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0683455 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.105539 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0254474 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0349164 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0280611 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.131806 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.236822 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.250195 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0917656 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.248787 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.137386 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.103791 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0843355 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0419902 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0867943 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0619207 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.3714 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.169128 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.310213 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0612498 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.199344 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.375718 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0835476 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.660083 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.474423 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0453114 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.133683 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.210315 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0999294 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0945217 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0614055 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0420112 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0649409 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.322743 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.210315 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0913876 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0603316 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0979205 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0220536 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0915311 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0817651 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.137247 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0722761 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0668684 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.076772 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0286096 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0457647 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.290451 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.137247 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0723083 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0446831 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0900157 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0125284 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0724518 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0796786 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.705236 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.697884 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0116417 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.381746 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.613601 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.849123 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0761993 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.668247 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.479598 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.361161 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.394963 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.646643 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.415578 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.05129 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.11957 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0363883 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0617255 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0987131 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0129487 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0283106 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0207125 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0421894 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.131528 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.057206 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0291385 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.12822 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0453661 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0666033 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.103591 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.019434 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0331885 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0274612 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0502439 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.14047 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0620838 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.035716 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.131809 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.235749 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.248913 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0873793 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.247726 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.137386 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0433857 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.000815323 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.229962 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0523521 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.102716 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0830517 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0463808 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0857302 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0619185 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0301785 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.108859 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0969274 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0402212 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.369764 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.174576 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.308796 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0608952 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0230397 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0986527 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.317226 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.122613 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.204805 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.374295 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0831865 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0502288 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.107742 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.382725 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.133276 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.668247 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.479598 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.361161 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.394963 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.646643 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.415578 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0449568 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0117995 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0798497 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.29131 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.0835648 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0222346 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0532932 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0316664 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0103285 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0490104 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.100439 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0949768 # DEPENDENCYPART_SIBL
(3,17),(3,20),-0.0467315 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.0156617 # DEPENDENCYPART_SIBL
(3,20),(3,24),-0.109151 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.132425 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.120052 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.461437 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0902121 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0722764 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.212347 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0554513 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.115728 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.469745 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0625588 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0876429 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.139279 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0398027 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.470255 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0288646 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0610653 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0808536 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0148826 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.123973 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.55093 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00636784 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00560805 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.114531 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0263081 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0283491 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0940323 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.138113 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.465901 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.129997 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.117624 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.460779 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.118504 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0573283 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0379369 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0572003 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.315003 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.213057 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.083647 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.055525 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.1133 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.469087 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.11418 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0726948 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0245354 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0380241 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.282711 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.13999 # DEPENDENCYPART_SIBL
