# _root_ Copper inventories in New York 's Commodity Exchange warehouses rose yesterday by 516 tons , to 10,004 tons .
#goldHeads=2,10,2,5,9,5,9,9,3,0,10,10,14,12,10,10,18,16,10,
#predictedHeads=2,10,2,5,9,5,9,9,3,0,10,10,14,12,10,10,18,16,10,
(3,2),(3,5),-0.0735867 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0461581 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.061448 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0508831 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.180818 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.115789 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00171654 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.189134 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0259801 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.846494 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.362054 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.83373 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.840865 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.844232 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.587751 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.943611 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.846722 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.069724 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.385324 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.856167 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.863302 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.878531 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.610531 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.967464 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.881021 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.102171 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.30576 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.310853 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.4573 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.225954 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.57534 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.45979 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.157982 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.811784 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.827495 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.567766 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.917616 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.829985 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0488978 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.864581 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.608517 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.96847 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.86707 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.106711 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.487385 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.755242 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.940794 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0243952 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.515147 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.444867 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.484214 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.930712 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.112312 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0665218 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0918842 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.181944 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.120275 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0892368 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0882776 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.012209 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0865351 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0400614 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0393345 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0885242 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0879408 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.105505 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.073768 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0715347 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0768576 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0409666 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.12627 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.179776 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0395698 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0262078 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0709638 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.083833 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.170768 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.179739 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0196882 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0248835 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0219524 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0846147 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0304463 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0172454 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.00723167 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.100053 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0934164 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0275142 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00575411 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.00570549 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0221786 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0429726 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0266458 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0433142 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0801386 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.242497 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0105139 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0801329 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0475284 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0340169 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0724431 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.089433 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0207504 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00158772 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.00154831 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0190546 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.00897692 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0468517 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0021998 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0413775 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0376654 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0239661 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0470844 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0161282 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0499587 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0847307 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0540419 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0774653 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.244253 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.00681716 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.197008 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0278271 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.135439 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0620585 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0546955 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0527253 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.221203 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0487759 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0900372 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.106091 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0741125 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0728352 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0533788 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0958785 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.10158 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.00695183 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0145431 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0263706 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.00403975 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.0130999 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0613394 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0287852 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0800472 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.306477 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.0893063 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0412316 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0575304 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0184816 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0884838 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0105202 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0498015 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0423037 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0493319 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0299834 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0437162 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.131168 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.00558442 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.00673947 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.142202 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00558442 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.178539 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0458074 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.00211703 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0519295 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0329563 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.036507 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.00338767 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.032535 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0897591 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.039 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.00552654 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0489812 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.039 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0410158 # DEPENDENCYPART_SIBL
