# _root_ She pointed out that even after Monday 's 10 % decline , the Straits Times index is up 24 % this year , so investors who bailed out generally did so profitably .
#goldHeads=2,0,2,2,6,17,11,7,10,11,6,17,16,16,16,17,4,17,20,18,22,17,2,2,30,27,25,27,30,24,30,30,2,
#predictedHeads=2,0,2,2,6,17,11,7,10,11,6,17,16,16,16,17,4,17,20,18,22,17,17,17,30,27,25,27,30,24,30,31,2,
(6,8),-1.30904 # DEPENDENCYPART_ARC
(6,9),-2.54055 # DEPENDENCYPART_ARC
(6,10),-1.59998 # DEPENDENCYPART_ARC
(6,11),-0.631498 # DEPENDENCYPART_ARC
(6,12),-1.24991 # DEPENDENCYPART_ARC
(6,16),-2.47551 # DEPENDENCYPART_ARC
(6,17),-0.77843 # DEPENDENCYPART_ARC
(7,5),-1.65382 # DEPENDENCYPART_ARC
(7,6),-1.50344 # DEPENDENCYPART_ARC
(7,8),1.58641 # DEPENDENCYPART_ARC
(7,9),-1.17702 # DEPENDENCYPART_ARC
(7,10),-1.97815 # DEPENDENCYPART_ARC
(7,12),-1.37721 # DEPENDENCYPART_ARC
(7,17),-2.31775 # DEPENDENCYPART_ARC
(8,4),-2.02266 # DEPENDENCYPART_ARC
(8,9),-1.56689 # DEPENDENCYPART_ARC
(9,4),-1.64825 # DEPENDENCYPART_ARC
(9,5),-1.91016 # DEPENDENCYPART_ARC
(9,6),-1.09063 # DEPENDENCYPART_ARC
(9,7),-1.54991 # DEPENDENCYPART_ARC
(9,8),-0.952387 # DEPENDENCYPART_ARC
(9,10),-0.819087 # DEPENDENCYPART_ARC
(9,12),-1.33386 # DEPENDENCYPART_ARC
(10,5),-1.85444 # DEPENDENCYPART_ARC
(10,7),-1.77091 # DEPENDENCYPART_ARC
(10,8),-1.8766 # DEPENDENCYPART_ARC
(10,9),0.48771 # DEPENDENCYPART_ARC
(10,16),-2.99287 # DEPENDENCYPART_ARC
(10,17),-2.47461 # DEPENDENCYPART_ARC
(11,2),-2.27429 # DEPENDENCYPART_ARC
(11,3),-2.38175 # DEPENDENCYPART_ARC
(11,4),-1.68646 # DEPENDENCYPART_ARC
(11,5),-1.64383 # DEPENDENCYPART_ARC
(11,6),-1.55668 # DEPENDENCYPART_ARC
(11,7),0.151762 # DEPENDENCYPART_ARC
(11,8),-1.26887 # DEPENDENCYPART_ARC
(11,9),0.127859 # DEPENDENCYPART_ARC
(11,10),1.31712 # DEPENDENCYPART_ARC
(11,12),-0.361949 # DEPENDENCYPART_ARC
(11,13),-2.04051 # DEPENDENCYPART_ARC
(11,14),-1.61666 # DEPENDENCYPART_ARC
(11,15),-1.71649 # DEPENDENCYPART_ARC
(11,16),-1.66179 # DEPENDENCYPART_ARC
(11,17),-1.86241 # DEPENDENCYPART_ARC
(11,18),-1.9008 # DEPENDENCYPART_ARC
(11,19),-2.47548 # DEPENDENCYPART_ARC
(11,20),-2.23407 # DEPENDENCYPART_ARC
(11,22),-2.15265 # DEPENDENCYPART_ARC
(11,23),-1.26722 # DEPENDENCYPART_ARC
(11,24),-2.49316 # DEPENDENCYPART_ARC
(11,25),-2.86741 # DEPENDENCYPART_ARC
(11,27),-2.50512 # DEPENDENCYPART_ARC
(11,33),-2.73247 # DEPENDENCYPART_ARC
(13,11),-2.88248 # DEPENDENCYPART_ARC
(14,13),-1.2776 # DEPENDENCYPART_ARC
(14,15),-1.77928 # DEPENDENCYPART_ARC
(15,10),-2.03112 # DEPENDENCYPART_ARC
(15,11),-2.52031 # DEPENDENCYPART_ARC
(15,13),-0.344609 # DEPENDENCYPART_ARC
(15,14),-0.610388 # DEPENDENCYPART_ARC
(15,18),-2.39534 # DEPENDENCYPART_ARC
(16,7),-1.29775 # DEPENDENCYPART_ARC
(16,9),-1.82196 # DEPENDENCYPART_ARC
(16,10),-1.58558 # DEPENDENCYPART_ARC
(16,11),-1.48217 # DEPENDENCYPART_ARC
(16,12),-1.25754 # DEPENDENCYPART_ARC
(16,13),1.18388 # DEPENDENCYPART_ARC
(16,14),1.4998 # DEPENDENCYPART_ARC
(16,15),1.79632 # DEPENDENCYPART_ARC
(16,17),-1.21642 # DEPENDENCYPART_ARC
(16,18),-1.84949 # DEPENDENCYPART_ARC
(16,20),-2.17184 # DEPENDENCYPART_ARC
(17,1),-3.56298 # DEPENDENCYPART_ARC
(17,2),-1.69355 # DEPENDENCYPART_ARC
(17,3),-2.1082 # DEPENDENCYPART_ARC
(17,4),-1.45204 # DEPENDENCYPART_ARC
(17,5),-1.66856 # DEPENDENCYPART_ARC
(17,6),-0.996124 # DEPENDENCYPART_ARC
(17,7),-1.62195 # DEPENDENCYPART_ARC
(17,8),-2.08533 # DEPENDENCYPART_ARC
(17,9),-2.34192 # DEPENDENCYPART_ARC
(17,10),-1.51075 # DEPENDENCYPART_ARC
(17,11),-0.851973 # DEPENDENCYPART_ARC
(17,12),-0.0818637 # DEPENDENCYPART_ARC
(17,13),-2.01224 # DEPENDENCYPART_ARC
(17,14),-1.18183 # DEPENDENCYPART_ARC
(17,15),-0.893776 # DEPENDENCYPART_ARC
(17,16),0.856533 # DEPENDENCYPART_ARC
(17,18),0.469071 # DEPENDENCYPART_ARC
(17,19),-0.347875 # DEPENDENCYPART_ARC
(17,20),-0.324999 # DEPENDENCYPART_ARC
(17,21),-1.56143 # DEPENDENCYPART_ARC
(17,22),-0.271863 # DEPENDENCYPART_ARC
(17,23),-0.461157 # DEPENDENCYPART_ARC
(17,24),-0.190093 # DEPENDENCYPART_ARC
(17,25),-1.55376 # DEPENDENCYPART_ARC
(17,26),-2.24591 # DEPENDENCYPART_ARC
(17,27),-1.07139 # DEPENDENCYPART_ARC
(17,28),-1.44819 # DEPENDENCYPART_ARC
(17,29),-1.73448 # DEPENDENCYPART_ARC
(17,30),-1.13646 # DEPENDENCYPART_ARC
(17,31),-1.26762 # DEPENDENCYPART_ARC
(17,32),-1.76576 # DEPENDENCYPART_ARC
(17,33),0.546632 # DEPENDENCYPART_ARC
(18,16),-2.26042 # DEPENDENCYPART_ARC
(18,19),0.646023 # DEPENDENCYPART_ARC
(18,20),0.0416289 # DEPENDENCYPART_ARC
(18,21),-1.55701 # DEPENDENCYPART_ARC
(18,22),-1.17501 # DEPENDENCYPART_ARC
(18,23),-1.503 # DEPENDENCYPART_ARC
(18,24),-1.38348 # DEPENDENCYPART_ARC
(18,25),-2.06786 # DEPENDENCYPART_ARC
(18,26),-2.15627 # DEPENDENCYPART_ARC
(18,27),-1.52973 # DEPENDENCYPART_ARC
(18,30),-1.80665 # DEPENDENCYPART_ARC
(18,32),-2.32195 # DEPENDENCYPART_ARC
(18,33),-1.94586 # DEPENDENCYPART_ARC
(19,16),-2.5561 # DEPENDENCYPART_ARC
(19,18),-1.12527 # DEPENDENCYPART_ARC
(19,20),-1.32302 # DEPENDENCYPART_ARC
(19,22),-2.29037 # DEPENDENCYPART_ARC
(20,9),-2.82542 # DEPENDENCYPART_ARC
(20,13),-2.29059 # DEPENDENCYPART_ARC
(20,14),-2.16625 # DEPENDENCYPART_ARC
(20,15),-1.73359 # DEPENDENCYPART_ARC
(20,16),-1.21638 # DEPENDENCYPART_ARC
(20,18),-0.364725 # DEPENDENCYPART_ARC
(20,19),0.777994 # DEPENDENCYPART_ARC
(20,21),-1.43967 # DEPENDENCYPART_ARC
(20,22),-0.881818 # DEPENDENCYPART_ARC
(20,23),-1.27813 # DEPENDENCYPART_ARC
(20,24),-1.81549 # DEPENDENCYPART_ARC
(20,25),-1.79481 # DEPENDENCYPART_ARC
(20,26),-2.63272 # DEPENDENCYPART_ARC
(20,27),-1.38846 # DEPENDENCYPART_ARC
(20,28),-2.0785 # DEPENDENCYPART_ARC
(20,29),-2.10351 # DEPENDENCYPART_ARC
(20,30),-2.08818 # DEPENDENCYPART_ARC
(20,31),-2.48203 # DEPENDENCYPART_ARC
(20,32),-2.46142 # DEPENDENCYPART_ARC
(20,33),-2.42795 # DEPENDENCYPART_ARC
(21,20),-1.5558 # DEPENDENCYPART_ARC
(21,25),-2.55613 # DEPENDENCYPART_ARC
(22,18),-1.67064 # DEPENDENCYPART_ARC
(22,19),-1.67696 # DEPENDENCYPART_ARC
(22,20),-1.31639 # DEPENDENCYPART_ARC
(22,21),1.39531 # DEPENDENCYPART_ARC
(22,23),-1.57687 # DEPENDENCYPART_ARC
(22,24),-1.50257 # DEPENDENCYPART_ARC
(22,25),-1.82686 # DEPENDENCYPART_ARC
(22,27),-1.42445 # DEPENDENCYPART_ARC
(24,22),-2.29071 # DEPENDENCYPART_ARC
(24,23),-1.58899 # DEPENDENCYPART_ARC
(24,25),0.0473287 # DEPENDENCYPART_ARC
(24,26),-1.51297 # DEPENDENCYPART_ARC
(24,27),0.0480335 # DEPENDENCYPART_ARC
(24,28),-1.8988 # DEPENDENCYPART_ARC
(24,29),-2.30566 # DEPENDENCYPART_ARC
(24,30),-0.683843 # DEPENDENCYPART_ARC
(24,31),-2.54163 # DEPENDENCYPART_ARC
(25,21),-2.23523 # DEPENDENCYPART_ARC
(25,22),-2.28588 # DEPENDENCYPART_ARC
(25,24),-1.14651 # DEPENDENCYPART_ARC
(25,26),-1.58478 # DEPENDENCYPART_ARC
(25,27),-0.245996 # DEPENDENCYPART_ARC
(25,28),-1.76128 # DEPENDENCYPART_ARC
(25,29),-1.74167 # DEPENDENCYPART_ARC
(25,30),-1.04795 # DEPENDENCYPART_ARC
(25,31),-2.0739 # DEPENDENCYPART_ARC
(25,32),-1.92046 # DEPENDENCYPART_ARC
(25,33),-2.46373 # DEPENDENCYPART_ARC
(26,24),-2.00519 # DEPENDENCYPART_ARC
(26,25),-1.46664 # DEPENDENCYPART_ARC
(26,28),-1.72633 # DEPENDENCYPART_ARC
(27,2),-2.56832 # DEPENDENCYPART_ARC
(27,6),-2.01364 # DEPENDENCYPART_ARC
(27,11),-3.00584 # DEPENDENCYPART_ARC
(27,12),-2.33358 # DEPENDENCYPART_ARC
(27,16),-2.47455 # DEPENDENCYPART_ARC
(27,18),-2.58159 # DEPENDENCYPART_ARC
(27,19),-2.91483 # DEPENDENCYPART_ARC
(27,20),-2.10175 # DEPENDENCYPART_ARC
(27,21),-2.57518 # DEPENDENCYPART_ARC
(27,22),-2.18703 # DEPENDENCYPART_ARC
(27,23),-1.61881 # DEPENDENCYPART_ARC
(27,24),-1.65154 # DEPENDENCYPART_ARC
(27,25),-0.867353 # DEPENDENCYPART_ARC
(27,26),1.63629 # DEPENDENCYPART_ARC
(27,28),1.03462 # DEPENDENCYPART_ARC
(27,29),-0.0346626 # DEPENDENCYPART_ARC
(27,30),-0.15143 # DEPENDENCYPART_ARC
(27,31),-0.80117 # DEPENDENCYPART_ARC
(27,32),-1.12872 # DEPENDENCYPART_ARC
(27,33),-0.810231 # DEPENDENCYPART_ARC
(28,26),-1.22392 # DEPENDENCYPART_ARC
(28,29),-1.38152 # DEPENDENCYPART_ARC
(28,30),-1.41562 # DEPENDENCYPART_ARC
(28,31),-2.26557 # DEPENDENCYPART_ARC
(29,26),-1.75045 # DEPENDENCYPART_ARC
(29,28),-1.11574 # DEPENDENCYPART_ARC
(29,30),-0.657231 # DEPENDENCYPART_ARC
(29,31),-1.3353 # DEPENDENCYPART_ARC
(29,32),-1.51456 # DEPENDENCYPART_ARC
(30,1),-3.1194 # DEPENDENCYPART_ARC
(30,2),-1.71035 # DEPENDENCYPART_ARC
(30,3),-2.49145 # DEPENDENCYPART_ARC
(30,4),-2.33552 # DEPENDENCYPART_ARC
(30,5),-2.43922 # DEPENDENCYPART_ARC
(30,6),-1.23051 # DEPENDENCYPART_ARC
(30,7),-2.04045 # DEPENDENCYPART_ARC
(30,11),-1.9652 # DEPENDENCYPART_ARC
(30,12),-2.06249 # DEPENDENCYPART_ARC
(30,14),-1.81083 # DEPENDENCYPART_ARC
(30,15),-1.6123 # DEPENDENCYPART_ARC
(30,16),-1.58119 # DEPENDENCYPART_ARC
(30,17),-1.10523 # DEPENDENCYPART_ARC
(30,18),-1.66949 # DEPENDENCYPART_ARC
(30,19),-2.13444 # DEPENDENCYPART_ARC
(30,20),-1.28491 # DEPENDENCYPART_ARC
(30,21),-1.7749 # DEPENDENCYPART_ARC
(30,22),-1.0624 # DEPENDENCYPART_ARC
(30,23),-1.65833 # DEPENDENCYPART_ARC
(30,24),-0.717027 # DEPENDENCYPART_ARC
(30,25),-0.530195 # DEPENDENCYPART_ARC
(30,26),0.32424 # DEPENDENCYPART_ARC
(30,27),-1.12607 # DEPENDENCYPART_ARC
(30,28),-0.757061 # DEPENDENCYPART_ARC
(30,29),0.741621 # DEPENDENCYPART_ARC
(30,31),0.587641 # DEPENDENCYPART_ARC
(30,32),-0.3703 # DEPENDENCYPART_ARC
(30,33),-1.05839 # DEPENDENCYPART_ARC
(31,29),-1.69423 # DEPENDENCYPART_ARC
(31,32),-0.00701483 # DEPENDENCYPART_ARC
(32,26),-2.12034 # DEPENDENCYPART_ARC
(32,28),-2.1375 # DEPENDENCYPART_ARC
(32,29),-2.05925 # DEPENDENCYPART_ARC
(32,31),-1.1782 # DEPENDENCYPART_ARC
(33,32),-2.41743 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.681748 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.67804 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.682058 # DEPENDENCYPART_SIBL
(0,2),(0,17),-1.48647 # DEPENDENCYPART_SIBL
(0,2),(0,30),-1.66201 # DEPENDENCYPART_SIBL
(0,17),(0,30),-1.64814 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0415929 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00392437 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0575749 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0461915 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0361432 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00480326 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00386974 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00629972 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00851933 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.126932 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0472188 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0547057 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.111532 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0905934 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0249321 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.126932 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0844544 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0547057 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0203781 # DEPENDENCYPART_SIBL
(2,1),(2,27),0.0385401 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.0461915 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.0139579 # DEPENDENCYPART_SIBL
(2,1),(2,31),0.0125642 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.00199332 # DEPENDENCYPART_SIBL
(2,1),(2,33),-0.000613854 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.077584 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0293638 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.112928 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0764202 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0512512 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00335873 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0512854 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0106148 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.00862186 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0159291 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.00806165 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.00335873 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0808373 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0106148 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.169954 # DEPENDENCYPART_SIBL
(2,3),(2,27),0.0321701 # DEPENDENCYPART_SIBL
(2,3),(2,28),-0.0899591 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.0480374 # DEPENDENCYPART_SIBL
(2,3),(2,31),0.109719 # DEPENDENCYPART_SIBL
(2,3),(2,32),0.0372372 # DEPENDENCYPART_SIBL
(2,3),(2,33),-0.0260528 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.397651 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.707994 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.275119 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.225466 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.772216 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.569946 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.228438 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.635565 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.384864 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.393627 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.772216 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.577608 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.228438 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.666509 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.400038 # DEPENDENCYPART_SIBL
(2,4),(2,28),-0.364063 # DEPENDENCYPART_SIBL
(2,4),(2,29),-0.365736 # DEPENDENCYPART_SIBL
(2,4),(2,31),-0.332286 # DEPENDENCYPART_SIBL
(2,4),(2,32),-0.387852 # DEPENDENCYPART_SIBL
(2,4),(2,33),0.105274 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0168063 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.012173 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0177588 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.252395 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.150984 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0956387 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.199355 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.116527 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.190989 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.252395 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.151748 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0956387 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.102426 # DEPENDENCYPART_SIBL
(2,5),(2,27),-0.0848569 # DEPENDENCYPART_SIBL
(2,5),(2,28),-0.149037 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.0820574 # DEPENDENCYPART_SIBL
(2,5),(2,31),0.00193757 # DEPENDENCYPART_SIBL
(2,5),(2,32),-0.108569 # DEPENDENCYPART_SIBL
(2,5),(2,33),-0.0715473 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.01175 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.000339972 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.286146 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0935319 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.05364 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.159102 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.116086 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0789406 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.286146 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.124094 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.05364 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.157327 # DEPENDENCYPART_SIBL
(2,6),(2,27),-0.0514148 # DEPENDENCYPART_SIBL
(2,6),(2,28),-0.162482 # DEPENDENCYPART_SIBL
(2,6),(2,29),-0.0511688 # DEPENDENCYPART_SIBL
(2,6),(2,31),-0.00193217 # DEPENDENCYPART_SIBL
(2,6),(2,32),-0.0732852 # DEPENDENCYPART_SIBL
(2,6),(2,33),0.0843618 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0287337 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0538951 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0244826 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0302968 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0886291 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0527049 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00611955 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0538951 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0108923 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0302968 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.225847 # DEPENDENCYPART_SIBL
(2,7),(2,27),0.00125007 # DEPENDENCYPART_SIBL
(2,7),(2,28),-0.0125989 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.0386909 # DEPENDENCYPART_SIBL
(2,7),(2,31),0.114067 # DEPENDENCYPART_SIBL
(2,7),(2,32),0.028064 # DEPENDENCYPART_SIBL
(2,7),(2,33),0.049855 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.318745 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.261271 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.233194 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.303132 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.176976 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.138363 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.318745 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.256553 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.233194 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.0368021 # DEPENDENCYPART_SIBL
(2,8),(2,27),-0.0507368 # DEPENDENCYPART_SIBL
(2,8),(2,28),-0.11916 # DEPENDENCYPART_SIBL
(2,8),(2,29),-0.0903483 # DEPENDENCYPART_SIBL
(2,8),(2,31),-0.0223168 # DEPENDENCYPART_SIBL
(2,8),(2,32),-0.101149 # DEPENDENCYPART_SIBL
(2,8),(2,33),-0.112887 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0308703 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0547034 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0916204 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0422728 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0185132 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0742279 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0715771 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0547034 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.062813 # DEPENDENCYPART_SIBL
(2,10),(2,27),0.00747358 # DEPENDENCYPART_SIBL
(2,10),(2,28),0.0108262 # DEPENDENCYPART_SIBL
(2,10),(2,29),0.0437118 # DEPENDENCYPART_SIBL
(2,10),(2,31),0.122302 # DEPENDENCYPART_SIBL
(2,10),(2,32),0.0386379 # DEPENDENCYPART_SIBL
(2,10),(2,33),-0.0286281 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.100619 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.196994 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0208162 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0261489 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.165641 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.0842796 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.100619 # DEPENDENCYPART_SIBL
