# _root_ By 10:25 , the Dow had turned up for the day , prompting cheers on trading desks and exchange floors .
#goldHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
#predictedHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
(8,3),-2.07286 # DEPENDENCYPART_ARC
(8,4),-1.80114 # DEPENDENCYPART_ARC
(8,5),-1.86545 # DEPENDENCYPART_ARC
(8,9),0.176796 # DEPENDENCYPART_ARC
(8,11),-0.957796 # DEPENDENCYPART_ARC
(8,12),-1.88339 # DEPENDENCYPART_ARC
(8,13),-2.0355 # DEPENDENCYPART_ARC
(8,14),-2.22615 # DEPENDENCYPART_ARC
(8,15),-1.57757 # DEPENDENCYPART_ARC
(8,16),-2.11418 # DEPENDENCYPART_ARC
(8,17),-3.33255 # DEPENDENCYPART_ARC
(8,18),-1.52395 # DEPENDENCYPART_ARC
(8,21),-2.84245 # DEPENDENCYPART_ARC
(9,8),-1.14564 # DEPENDENCYPART_ARC
(9,10),-1.65762 # DEPENDENCYPART_ARC
(9,11),0.809512 # DEPENDENCYPART_ARC
(9,12),-1.81663 # DEPENDENCYPART_ARC
(9,13),-1.84543 # DEPENDENCYPART_ARC
(9,14),-1.27838 # DEPENDENCYPART_ARC
(9,15),-1.86745 # DEPENDENCYPART_ARC
(9,16),-2.00077 # DEPENDENCYPART_ARC
(9,17),-2.79386 # DEPENDENCYPART_ARC
(9,18),-1.54857 # DEPENDENCYPART_ARC
(9,21),-2.59752 # DEPENDENCYPART_ARC
(11,1),-2.2101 # DEPENDENCYPART_ARC
(11,8),-1.32915 # DEPENDENCYPART_ARC
(11,9),-1.16188 # DEPENDENCYPART_ARC
(11,10),1.69282 # DEPENDENCYPART_ARC
(11,12),-1.36023 # DEPENDENCYPART_ARC
(11,13),-1.54746 # DEPENDENCYPART_ARC
(11,14),-1.85485 # DEPENDENCYPART_ARC
(11,15),-1.73342 # DEPENDENCYPART_ARC
(11,16),-2.0466 # DEPENDENCYPART_ARC
(11,17),-2.0438 # DEPENDENCYPART_ARC
(11,18),-1.89909 # DEPENDENCYPART_ARC
(11,20),-2.5116 # DEPENDENCYPART_ARC
(13,1),-2.40194 # DEPENDENCYPART_ARC
(13,5),-2.72249 # DEPENDENCYPART_ARC
(13,9),-1.97569 # DEPENDENCYPART_ARC
(13,11),-2.16507 # DEPENDENCYPART_ARC
(13,12),-1.54983 # DEPENDENCYPART_ARC
(13,14),1.00762 # DEPENDENCYPART_ARC
(13,15),0.0958814 # DEPENDENCYPART_ARC
(13,16),-0.662092 # DEPENDENCYPART_ARC
(13,17),-0.68737 # DEPENDENCYPART_ARC
(13,18),-0.955093 # DEPENDENCYPART_ARC
(13,19),-1.32272 # DEPENDENCYPART_ARC
(13,20),-1.33965 # DEPENDENCYPART_ARC
(13,21),-2.26652 # DEPENDENCYPART_ARC
(14,2),-3.41067 # DEPENDENCYPART_ARC
(14,5),-3.191 # DEPENDENCYPART_ARC
(14,9),-2.15768 # DEPENDENCYPART_ARC
(14,10),-0.781066 # DEPENDENCYPART_ARC
(14,11),-1.44313 # DEPENDENCYPART_ARC
(14,12),-1.52852 # DEPENDENCYPART_ARC
(14,13),-0.133402 # DEPENDENCYPART_ARC
(14,15),0.0667351 # DEPENDENCYPART_ARC
(14,16),-0.778584 # DEPENDENCYPART_ARC
(14,17),-1.12241 # DEPENDENCYPART_ARC
(14,18),-0.412179 # DEPENDENCYPART_ARC
(14,20),-2.16333 # DEPENDENCYPART_ARC
(14,21),-2.12885 # DEPENDENCYPART_ARC
(15,9),-1.78411 # DEPENDENCYPART_ARC
(15,11),-2.19754 # DEPENDENCYPART_ARC
(15,12),-2.18699 # DEPENDENCYPART_ARC
(15,13),-2.41858 # DEPENDENCYPART_ARC
(15,14),-1.5015 # DEPENDENCYPART_ARC
(15,16),1.01761 # DEPENDENCYPART_ARC
(15,17),0.532992 # DEPENDENCYPART_ARC
(15,18),-0.906699 # DEPENDENCYPART_ARC
(15,19),-1.44897 # DEPENDENCYPART_ARC
(15,20),-0.78169 # DEPENDENCYPART_ARC
(15,21),-2.27994 # DEPENDENCYPART_ARC
(16,11),-2.56597 # DEPENDENCYPART_ARC
(16,14),-2.12184 # DEPENDENCYPART_ARC
(16,15),-1.59357 # DEPENDENCYPART_ARC
(16,17),0.433775 # DEPENDENCYPART_ARC
(16,18),-0.874132 # DEPENDENCYPART_ARC
(16,19),-0.955914 # DEPENDENCYPART_ARC
(16,20),-0.970154 # DEPENDENCYPART_ARC
(17,9),-2.22294 # DEPENDENCYPART_ARC
(17,13),-1.31721 # DEPENDENCYPART_ARC
(17,14),-1.06833 # DEPENDENCYPART_ARC
(17,15),-1.09185 # DEPENDENCYPART_ARC
(17,16),0.577671 # DEPENDENCYPART_ARC
(17,18),1.14179 # DEPENDENCYPART_ARC
(17,19),-1.03319 # DEPENDENCYPART_ARC
(17,20),-1.09976 # DEPENDENCYPART_ARC
(17,21),-1.60556 # DEPENDENCYPART_ARC
(18,19),0.468788 # DEPENDENCYPART_ARC
(18,20),0.335716 # DEPENDENCYPART_ARC
(19,20),-1.15201 # DEPENDENCYPART_ARC
(20,2),-3.68877 # DEPENDENCYPART_ARC
(20,11),-2.36051 # DEPENDENCYPART_ARC
(20,13),-2.06572 # DEPENDENCYPART_ARC
(20,14),-2.0737 # DEPENDENCYPART_ARC
(20,15),-1.99583 # DEPENDENCYPART_ARC
(20,16),-1.24728 # DEPENDENCYPART_ARC
(20,17),-1.20854 # DEPENDENCYPART_ARC
(20,19),1.21715 # DEPENDENCYPART_ARC
(20,21),-1.74035 # DEPENDENCYPART_ARC
(21,20),-2.59409 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0590741 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.758088 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.059489 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.705369 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.103489 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.617079 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0850937 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.272353 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.424428 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.557123 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.32833 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0595975 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0237933 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0850937 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.177709 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0804044 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00427001 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0413537 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.217796 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.545479 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.374706 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0836168 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.038788 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.397678 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.469505 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.212592 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0588836 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00146195 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0421693 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.20909 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.657931 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.40834 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.130796 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.123856 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.120256 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.181571 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.179571 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.104602 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.156883 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.192671 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.252363 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0192256 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.103459 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0692056 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.0597702 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0633884 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0338826 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.00107362 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0508908 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0347889 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.038788 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0828388 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0584411 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0692763 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0246159 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0175839 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0107987 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0382405 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0573424 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0828388 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00774172 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.200659 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.49121 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.474506 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.490886 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.406129 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.183609 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.63985 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.271004 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.647164 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0651068 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0495512 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0388636 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0595701 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00229627 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0230457 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0169793 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0862572 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0618119 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0552024 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.021946 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0128651 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00212113 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0382906 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0757665 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0657325 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0180223 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0326983 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0143723 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.268003 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0111738 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0128541 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.108492 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0460601 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.248628 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0357501 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0846918 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.15021 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0328661 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0741935 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.230789 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0693539 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.04092 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.10955 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00951851 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.647164 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0154794 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0921923 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.179273 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0648444 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0507255 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0592863 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0362589 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0412392 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.166121 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0525839 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0115603 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0225073 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.146226 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00340329 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0259163 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0627649 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.163245 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0683302 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.316609 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0132031 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0307144 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.10166 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0281789 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.038308 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0226592 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.099793 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0479441 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0240811 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0775891 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00943183 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0240998 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0568712 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.116428 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.118468 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.289537 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.112881 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0128795 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00293217 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00371146 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0380832 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0125789 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0137518 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0193351 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0112953 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0381278 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0193293 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0157156 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0186033 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0818434 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0176609 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.095159 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0176821 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0179937 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0521813 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0394823 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0740129 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0483601 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0323769 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0201469 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0154641 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0398038 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0634279 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.256716 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0225908 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.20605 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0295416 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.180436 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.16281 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0952051 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.107663 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0548743 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.145369 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.107663 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.160456 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.185768 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0567585 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0235622 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0294217 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0382877 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00038579 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00741173 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0266248 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.102631 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.00867298 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0171606 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.00678806 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.00229831 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.467748 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.333004 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.561279 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0866918 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.383483 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.491308 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.399929 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.460301 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.491121 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0702935 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0802408 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.137528 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0169524 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0465818 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0700843 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.168371 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0114449 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0380523 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.170904 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.036252 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.048584 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00439092 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.129565 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.00392683 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.180317 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.118922 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.106474 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.183011 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0205532 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0295594 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.108679 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.00165144 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.422183 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0618423 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.101551 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.422184 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0105544 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0906205 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.724761 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0195047 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.203073 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.513067 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.00147222 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.647844 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0282557 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.317424 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.198157 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.26876 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.317425 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.013285 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.13134 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.042584 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0475509 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.33921 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0466809 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.102313 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0550865 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.162143 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0123125 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.0430264 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.373424 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0627825 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.00238585 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0379484 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.101768 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.00866382 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0186164 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.183303 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.014118 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0314698 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.061473 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0383425 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.131599 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0571484 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.163938 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0774065 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0968407 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.165111 # DEPENDENCYPART_SIBL
