# _root_ The stock market has lost some precursory power , analysts at the Columbia center claim , because of the growing impact of international developments .
#goldHeads=3,3,4,15,4,8,8,5,5,15,10,14,14,11,0,5,5,17,21,21,17,21,24,22,4,
#predictedHeads=3,3,4,0,4,8,8,5,5,5,5,15,15,15,11,5,5,17,21,21,17,21,24,22,4,
(11,8),-2.02613 # DEPENDENCYPART_ARC
(11,9),-2.02651 # DEPENDENCYPART_ARC
(11,10),-1.46074 # DEPENDENCYPART_ARC
(11,12),-0.906604 # DEPENDENCYPART_ARC
(11,13),-0.51617 # DEPENDENCYPART_ARC
(11,14),-0.301334 # DEPENDENCYPART_ARC
(11,15),0.301968 # DEPENDENCYPART_ARC
(11,16),-1.53335 # DEPENDENCYPART_ARC
(11,17),-1.51587 # DEPENDENCYPART_ARC
(11,18),-1.2321 # DEPENDENCYPART_ARC
(11,21),-2.18096 # DEPENDENCYPART_ARC
(11,25),-3.30181 # DEPENDENCYPART_ARC
(13,12),-0.522836 # DEPENDENCYPART_ARC
(13,14),-1.51676 # DEPENDENCYPART_ARC
(13,16),-1.75641 # DEPENDENCYPART_ARC
(13,17),-2.43122 # DEPENDENCYPART_ARC
(14,10),-2.23492 # DEPENDENCYPART_ARC
(14,12),-0.250056 # DEPENDENCYPART_ARC
(14,13),-0.223671 # DEPENDENCYPART_ARC
(14,15),-1.40999 # DEPENDENCYPART_ARC
(14,17),-2.25574 # DEPENDENCYPART_ARC
(14,18),-2.47053 # DEPENDENCYPART_ARC
(14,21),-2.9061 # DEPENDENCYPART_ARC
(15,6),-2.17633 # DEPENDENCYPART_ARC
(15,7),-1.5349 # DEPENDENCYPART_ARC
(15,8),-2.52925 # DEPENDENCYPART_ARC
(15,9),-2.34701 # DEPENDENCYPART_ARC
(15,10),-0.989425 # DEPENDENCYPART_ARC
(15,11),-1.12207 # DEPENDENCYPART_ARC
(15,12),0.607691 # DEPENDENCYPART_ARC
(15,13),0.917175 # DEPENDENCYPART_ARC
(15,14),1.62808 # DEPENDENCYPART_ARC
(15,16),-1.01612 # DEPENDENCYPART_ARC
(15,17),-1.75233 # DEPENDENCYPART_ARC
(15,18),-1.78401 # DEPENDENCYPART_ARC
(15,20),-2.25444 # DEPENDENCYPART_ARC
(15,21),-2.13666 # DEPENDENCYPART_ARC
(15,22),-2.96447 # DEPENDENCYPART_ARC
(15,25),-2.14863 # DEPENDENCYPART_ARC
(17,11),-1.82074 # DEPENDENCYPART_ARC
(17,15),-2.38645 # DEPENDENCYPART_ARC
(17,16),-1.56576 # DEPENDENCYPART_ARC
(17,18),1.56515 # DEPENDENCYPART_ARC
(17,19),-1.61791 # DEPENDENCYPART_ARC
(17,20),-0.895778 # DEPENDENCYPART_ARC
(17,21),-1.0272 # DEPENDENCYPART_ARC
(17,22),-0.794178 # DEPENDENCYPART_ARC
(17,23),-2.04089 # DEPENDENCYPART_ARC
(17,24),-1.48991 # DEPENDENCYPART_ARC
(17,25),-2.1459 # DEPENDENCYPART_ARC
(18,17),-1.00093 # DEPENDENCYPART_ARC
(18,19),-1.68218 # DEPENDENCYPART_ARC
(18,20),-1.18313 # DEPENDENCYPART_ARC
(18,21),-0.644004 # DEPENDENCYPART_ARC
(18,24),-1.54713 # DEPENDENCYPART_ARC
(19,18),-1.69282 # DEPENDENCYPART_ARC
(19,20),-1.50152 # DEPENDENCYPART_ARC
(20,10),-2.13674 # DEPENDENCYPART_ARC
(20,15),-2.05155 # DEPENDENCYPART_ARC
(20,18),-1.76428 # DEPENDENCYPART_ARC
(20,19),-1.06732 # DEPENDENCYPART_ARC
(20,21),-0.726288 # DEPENDENCYPART_ARC
(20,22),-1.21003 # DEPENDENCYPART_ARC
(20,23),-1.93047 # DEPENDENCYPART_ARC
(20,24),-1.65754 # DEPENDENCYPART_ARC
(21,11),-1.84137 # DEPENDENCYPART_ARC
(21,12),-3.60265 # DEPENDENCYPART_ARC
(21,16),-2.00003 # DEPENDENCYPART_ARC
(21,17),-1.25806 # DEPENDENCYPART_ARC
(21,18),-1.12795 # DEPENDENCYPART_ARC
(21,19),1.24797 # DEPENDENCYPART_ARC
(21,20),1.16945 # DEPENDENCYPART_ARC
(21,22),1.07645 # DEPENDENCYPART_ARC
(21,23),-0.966231 # DEPENDENCYPART_ARC
(21,24),-0.920127 # DEPENDENCYPART_ARC
(21,25),-1.62293 # DEPENDENCYPART_ARC
(22,23),-0.298833 # DEPENDENCYPART_ARC
(22,24),1.65206 # DEPENDENCYPART_ARC
(22,25),-2.55038 # DEPENDENCYPART_ARC
(24,19),-1.20179 # DEPENDENCYPART_ARC
(24,20),-1.23406 # DEPENDENCYPART_ARC
(24,21),-1.10672 # DEPENDENCYPART_ARC
(24,23),1.18691 # DEPENDENCYPART_ARC
(24,25),-1.55646 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.734044 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0882239 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.629811 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.113888 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.278388 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.168508 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0409958 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0927206 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0177767 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0675207 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0231553 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0672607 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0235974 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0447115 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0599351 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0144766 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.263024 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.114586 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.119288 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.163742 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0127256 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.011897 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0846923 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.204274 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.51365 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.180849 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.121571 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.155889 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0388687 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00677156 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.170706 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.067947 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0878025 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.017488 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0765631 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.316411 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.102035 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.150205 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0220138 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.22618 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.252735 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.10015 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.114817 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.165448 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0360103 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0172038 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.16304 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0929295 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0803168 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0172038 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.104073 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.215625 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.204456 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.82862 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0947105 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.080254 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0415842 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0460206 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0075688 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0279134 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0687141 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00686131 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0075688 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00924086 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.127104 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0195275 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.138185 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.126246 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0935458 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0389589 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.101246 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0710646 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.143038 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0915101 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.101246 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0921823 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.122764 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0699961 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.273697 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.402611 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.605967 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0674591 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.550612 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.331255 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.604487 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0674591 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.374399 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.341842 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0460944 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.123026 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.205297 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0708532 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.210393 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0199459 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.203746 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0708532 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.00139156 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0785392 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0953797 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.349755 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0275125 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.326849 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00903729 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.346485 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0275125 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.17233 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0935916 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.107005 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0958258 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.324333 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.219576 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.292718 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0958258 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.32603 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.00190037 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.00231915 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0420595 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.256806 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0687486 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0971298 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.577541 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.615335 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.000682224 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0700694 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.225446 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0104585 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0970294 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.00487665 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0166078 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0937613 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0299554 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.120345 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0467515 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0735462 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0333456 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.251344 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0243414 # DEPENDENCYPART_SIBL
(4,15),(4,25),-0.0332979 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.577541 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.615335 # DEPENDENCYPART_SIBL
(4,16),(4,25),-0.000682224 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0362358 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.0899216 # DEPENDENCYPART_SIBL
(4,20),(4,25),-0.0298237 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0654358 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.06262 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00496846 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0342088 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0357176 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00916802 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0447992 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0111619 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0469052 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0411919 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0187663 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00916802 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0129983 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0881351 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0460376 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.03773 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.14243 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0644376 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0118117 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0526445 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0500816 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0423486 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.032541 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00917277 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0534111 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0552252 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0327996 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0423486 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.012941 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0824958 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0017877 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0517633 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.101069 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0289785 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0774997 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0551057 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0440978 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0121993 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0547353 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0186624 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0522879 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0461171 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0440978 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00463914 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0890917 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0277756 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0521727 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.0753397 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00940782 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.101039 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0119757 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0950694 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0701292 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0901437 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0982247 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0982075 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0119757 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.154498 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.00617391 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0182307 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0982747 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0107485 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.182424 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0353635 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.180226 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00788155 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0793603 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.176193 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.179414 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0353635 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.209327 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0919152 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0191729 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.177409 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.0320479 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.105367 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.249185 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.166872 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0642969 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.179193 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.180711 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.105367 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.309079 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0212122 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.101837 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.176426 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.0981825 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0399756 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.1179 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.106538 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.116156 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.105995 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0675009 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.42467 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.122238 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.761183 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.111423 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.0111265 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.151953 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0699544 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.129977 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.128832 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0855562 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.226746 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0128054 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.110746 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.130699 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.103362 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.067747 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0371965 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0336764 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.220219 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.141289 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.221397 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.102269 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0205101 # DEPENDENCYPART_SIBL
(5,11),(5,25),0.00979086 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.133879 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.12996 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.00685805 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0482597 # DEPENDENCYPART_SIBL
