# _root_ Paris , which has been the center of speculation fever in recent weeks , also was hard hit .
#goldHeads=16,1,4,1,4,7,5,7,10,8,5,13,11,1,16,0,18,16,16,
#predictedHeads=16,1,4,1,4,7,5,7,10,8,7,13,11,1,16,0,18,16,16,
(7,16),-1.17614 # DEPENDENCYPART_ARC
(7,17),-1.67243 # DEPENDENCYPART_ARC
(7,18),-2.14855 # DEPENDENCYPART_ARC
(7,19),-1.87245 # DEPENDENCYPART_ARC
(8,3),-1.95984 # DEPENDENCYPART_ARC
(8,9),0.426026 # DEPENDENCYPART_ARC
(8,10),0.428119 # DEPENDENCYPART_ARC
(8,11),-1.56997 # DEPENDENCYPART_ARC
(8,13),-0.628525 # DEPENDENCYPART_ARC
(8,19),-2.51481 # DEPENDENCYPART_ARC
(9,10),-0.90939 # DEPENDENCYPART_ARC
(9,11),-1.03895 # DEPENDENCYPART_ARC
(10,1),-3.69993 # DEPENDENCYPART_ARC
(10,3),-2.4365 # DEPENDENCYPART_ARC
(10,5),-1.69929 # DEPENDENCYPART_ARC
(10,6),-1.36281 # DEPENDENCYPART_ARC
(10,7),-0.932693 # DEPENDENCYPART_ARC
(10,8),-1.38162 # DEPENDENCYPART_ARC
(10,9),1.48667 # DEPENDENCYPART_ARC
(10,11),-0.0626891 # DEPENDENCYPART_ARC
(10,12),-1.43354 # DEPENDENCYPART_ARC
(10,13),-1.13803 # DEPENDENCYPART_ARC
(10,14),-1.46265 # DEPENDENCYPART_ARC
(10,15),-1.88164 # DEPENDENCYPART_ARC
(10,16),-1.74523 # DEPENDENCYPART_ARC
(10,17),-1.98808 # DEPENDENCYPART_ARC
(10,18),-2.43628 # DEPENDENCYPART_ARC
(10,19),-2.21585 # DEPENDENCYPART_ARC
(11,8),-1.4613 # DEPENDENCYPART_ARC
(11,10),-1.57222 # DEPENDENCYPART_ARC
(11,12),-0.291664 # DEPENDENCYPART_ARC
(11,13),1.82353 # DEPENDENCYPART_ARC
(11,14),-1.47641 # DEPENDENCYPART_ARC
(11,15),-1.99436 # DEPENDENCYPART_ARC
(11,16),-1.61727 # DEPENDENCYPART_ARC
(11,17),-2.28364 # DEPENDENCYPART_ARC
(11,19),-2.71539 # DEPENDENCYPART_ARC
(13,1),-3.07476 # DEPENDENCYPART_ARC
(13,3),-2.85592 # DEPENDENCYPART_ARC
(13,7),-1.92031 # DEPENDENCYPART_ARC
(13,9),-0.515066 # DEPENDENCYPART_ARC
(13,10),-1.25133 # DEPENDENCYPART_ARC
(13,12),1.34611 # DEPENDENCYPART_ARC
(13,14),-1.02249 # DEPENDENCYPART_ARC
(13,15),-1.40898 # DEPENDENCYPART_ARC
(13,16),-0.965955 # DEPENDENCYPART_ARC
(13,17),-1.82657 # DEPENDENCYPART_ARC
(13,18),-1.98611 # DEPENDENCYPART_ARC
(13,19),-2.46081 # DEPENDENCYPART_ARC
(15,11),-2.20246 # DEPENDENCYPART_ARC
(15,13),-2.04679 # DEPENDENCYPART_ARC
(15,14),-1.61804 # DEPENDENCYPART_ARC
(15,16),-1.26161 # DEPENDENCYPART_ARC
(15,17),-2.20007 # DEPENDENCYPART_ARC
(16,1),-1.35991 # DEPENDENCYPART_ARC
(16,2),-2.46845 # DEPENDENCYPART_ARC
(16,3),-1.54001 # DEPENDENCYPART_ARC
(16,4),-1.58386 # DEPENDENCYPART_ARC
(16,5),-1.80388 # DEPENDENCYPART_ARC
(16,7),-0.636463 # DEPENDENCYPART_ARC
(16,8),-1.8878 # DEPENDENCYPART_ARC
(16,9),-0.907013 # DEPENDENCYPART_ARC
(16,10),-0.533984 # DEPENDENCYPART_ARC
(16,11),-1.49714 # DEPENDENCYPART_ARC
(16,12),-1.63435 # DEPENDENCYPART_ARC
(16,13),-1.22283 # DEPENDENCYPART_ARC
(16,14),-0.653257 # DEPENDENCYPART_ARC
(16,15),0.64528 # DEPENDENCYPART_ARC
(16,17),0.9139 # DEPENDENCYPART_ARC
(16,18),1.03476 # DEPENDENCYPART_ARC
(16,19),-0.111708 # DEPENDENCYPART_ARC
(17,15),-1.80039 # DEPENDENCYPART_ARC
(17,18),-1.21555 # DEPENDENCYPART_ARC
(18,1),-2.17208 # DEPENDENCYPART_ARC
(18,2),-2.04131 # DEPENDENCYPART_ARC
(18,3),-1.536 # DEPENDENCYPART_ARC
(18,4),-1.43925 # DEPENDENCYPART_ARC
(18,5),-2.09751 # DEPENDENCYPART_ARC
(18,7),-1.66263 # DEPENDENCYPART_ARC
(18,8),-1.71611 # DEPENDENCYPART_ARC
(18,9),-1.56078 # DEPENDENCYPART_ARC
(18,10),-1.44471 # DEPENDENCYPART_ARC
(18,11),-1.31175 # DEPENDENCYPART_ARC
(18,12),-1.59384 # DEPENDENCYPART_ARC
(18,13),-1.40971 # DEPENDENCYPART_ARC
(18,14),-1.57868 # DEPENDENCYPART_ARC
(18,15),-0.47198 # DEPENDENCYPART_ARC
(18,16),-1.32612 # DEPENDENCYPART_ARC
(18,17),0.432381 # DEPENDENCYPART_ARC
(18,19),-1.62212 # DEPENDENCYPART_ARC
(19,18),-1.90771 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.696269 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.152613 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.807441 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.137978 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.635211 # DEPENDENCYPART_SIBL
(0,4),(0,16),-1.56084 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.628804 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.739009 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.45815 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.665815 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00195906 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.487564 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.390089 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.663183 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.356056 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.668212 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.666184 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.23559 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.400583 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0828164 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.326857 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.485013 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.366881 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.50234 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0138596 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0792355 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0805835 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.13294 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0719388 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.136229 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.137285 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0336415 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0756183 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0529771 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0792922 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0502993 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0693092 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0763293 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0778138 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0836344 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0552948 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0794955 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0585371 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.059592 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0954393 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0010838 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.369479 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.00319203 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.158922 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.00737272 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0745387 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.185575 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.166532 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.102364 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.169824 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.17084 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0553247 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0432278 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.260709 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.169488 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0175202 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.157158 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.4159 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.138525 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0700874 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.290523 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.291971 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.000261569 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.105719 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.192574 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0401708 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0324403 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.00891131 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0463491 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0601223 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.202351 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.205989 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.136808 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.151968 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.00677791 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0146532 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0562604 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.00533557 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.080079 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.021216 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.280886 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.023029 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.102583 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.244726 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.037703 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0299338 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.00644348 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0430151 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0912061 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0259991 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.10168 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.244544 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.037349 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0297 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.00608955 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0430028 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0760277 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0513511 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.029907 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.00266501 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0489986 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.00579408 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.00697677 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.00245357 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0201204 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0316845 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.112373 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0188814 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.0745282 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0775735 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.326857 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.485013 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.366881 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.50234 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.0138596 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.00211072 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.035761 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0434523 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0431082 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.0463582 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.089729 # DEPENDENCYPART_SIBL
(1,16),(1,19),0.0146883 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0144406 # DEPENDENCYPART_SIBL
(1,17),(1,19),0.0315458 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.0592902 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.015737 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0596151 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00763622 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0394534 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0153623 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0190462 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.105557 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0164522 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.300957 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0410323 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0284362 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.182459 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00546351 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0248461 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.000202561 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0120757 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00347996 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0594178 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0430205 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0519673 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0177264 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.197677 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0564306 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00341843 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.182992 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0145086 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0194573 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0431917 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00893488 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.113878 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0424414 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0222879 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00994023 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0903759 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.228082 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0855493 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.133281 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0818687 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.105909 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.220138 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0589043 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.13488 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0483819 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0903155 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.19506 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.538354 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.456559 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.353627 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.456375 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.339673 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.408671 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.15552 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.371478 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.143066 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.327576 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.788201 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.300854 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0183207 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.3509 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0792586 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.366967 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0294521 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.052543 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0286125 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0236905 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0990189 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.103512 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0764455 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0624314 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.143714 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0890857 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.118158 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.238517 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0750563 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0488922 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0979322 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.129133 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.339791 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0473992 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0273737 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00353417 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0488597 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0733346 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.051778 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.101492 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0310245 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0662276 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0255112 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.107506 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.130301 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0257139 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00719864 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0348201 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0944991 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0736818 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0855866 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.00380773 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0978764 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.252888 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.205962 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.348607 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.000682224 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.137309 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.00825694 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.244063 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0383204 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0458722 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0873859 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.104244 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.245881 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.081603 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0288026 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0121108 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0892714 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0823324 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0142439 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00255003 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0383413 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0180946 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0207218 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0273281 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0467096 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0406484 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0164195 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00720562 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00436418 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0169396 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0543633 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.276214 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0612123 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.120388 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0402996 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0274417 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0690686 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0585451 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0489671 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.000233888 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0973955 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0132431 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.000653916 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0718639 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0639019 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0116657 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0358827 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.196482 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.149411 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00924983 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00815189 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0822662 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0101933 # DEPENDENCYPART_SIBL
