# _root_ خَصَّصَت الحُكُومَةُ المِصْرِيَّةُ 5,2 بِلْيُونِ جُنَيْهٍ ( 585 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ شَرِكَةِ الحَدِيدِ وَ الصُلْبِ وَ 5,1 بِلْيُونٍ ( 153 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ قِطاعِ الغَزْلِ وَ النَسِيجِ فِي الوَقْتِ الَّذِي سَ تَمْتَنِعُ عَن بَيْعِ 115 شَرِكَةً تابِعَةً سابِقاً لِ وِزارَةِ الاِقْتِصادِ قَبْلَ إِلْغائِ ها .
#goldHeads=18,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,32,21,19,18,21,22,23,21,18,26,27,30,28,30,0,32,32,36,32,36,37,38,39,40,41,41,43,44,41,46,47,0,
#predictedHeads=0,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,14,21,19,18,21,22,23,21,1,26,27,30,14,30,31,32,33,36,33,36,37,38,39,40,41,42,43,44,36,46,47,0,
(18,8),0.312441 # DEPENDENCYPART_ARC
(18,9),-0.870243 # DEPENDENCYPART_ARC
(18,10),-0.721973 # DEPENDENCYPART_ARC
(18,11),-0.264947 # DEPENDENCYPART_ARC
(18,13),0.21444 # DEPENDENCYPART_ARC
(18,14),0.0745947 # DEPENDENCYPART_ARC
(18,15),1.07412 # DEPENDENCYPART_ARC
(18,16),0.0807466 # DEPENDENCYPART_ARC
(18,17),0.873141 # DEPENDENCYPART_ARC
(18,19),0.669405 # DEPENDENCYPART_ARC
(18,20),0.232666 # DEPENDENCYPART_ARC
(18,21),0.111353 # DEPENDENCYPART_ARC
(18,22),-0.522109 # DEPENDENCYPART_ARC
(18,23),-0.321392 # DEPENDENCYPART_ARC
(18,24),0.438715 # DEPENDENCYPART_ARC
(18,25),-0.364172 # DEPENDENCYPART_ARC
(18,26),-0.713142 # DEPENDENCYPART_ARC
(18,27),-0.806478 # DEPENDENCYPART_ARC
(18,28),-0.769785 # DEPENDENCYPART_ARC
(18,29),-0.860091 # DEPENDENCYPART_ARC
(18,30),-0.966843 # DEPENDENCYPART_ARC
(18,31),-0.824539 # DEPENDENCYPART_ARC
(18,32),-0.831573 # DEPENDENCYPART_ARC
(18,33),-1.26719 # DEPENDENCYPART_ARC
(18,36),-1.2851 # DEPENDENCYPART_ARC
(18,39),-2.0787 # DEPENDENCYPART_ARC
(19,14),-0.473525 # DEPENDENCYPART_ARC
(19,15),-0.387034 # DEPENDENCYPART_ARC
(19,17),0.133698 # DEPENDENCYPART_ARC
(19,20),2.20627 # DEPENDENCYPART_ARC
(19,21),0.197817 # DEPENDENCYPART_ARC
(19,23),1.02378 # DEPENDENCYPART_ARC
(19,25),-0.333514 # DEPENDENCYPART_ARC
(19,26),-0.790312 # DEPENDENCYPART_ARC
(19,34),-0.0876031 # DEPENDENCYPART_ARC
(20,18),-0.598357 # DEPENDENCYPART_ARC
(20,19),-0.30667 # DEPENDENCYPART_ARC
(20,21),0.506652 # DEPENDENCYPART_ARC
(20,22),-0.232263 # DEPENDENCYPART_ARC
(20,23),-1.49078 # DEPENDENCYPART_ARC
(20,24),-0.0436316 # DEPENDENCYPART_ARC
(21,5),-1.29593 # DEPENDENCYPART_ARC
(21,6),-1.44895 # DEPENDENCYPART_ARC
(21,9),-0.917081 # DEPENDENCYPART_ARC
(21,13),-0.260468 # DEPENDENCYPART_ARC
(21,14),0.0780462 # DEPENDENCYPART_ARC
(21,15),0.125079 # DEPENDENCYPART_ARC
(21,17),0.339756 # DEPENDENCYPART_ARC
(21,19),1.69283 # DEPENDENCYPART_ARC
(21,20),0.873209 # DEPENDENCYPART_ARC
(21,22),0.630681 # DEPENDENCYPART_ARC
(21,23),0.0896186 # DEPENDENCYPART_ARC
(21,24),-0.0322266 # DEPENDENCYPART_ARC
(21,25),0.812025 # DEPENDENCYPART_ARC
(21,27),-0.522671 # DEPENDENCYPART_ARC
(21,28),-0.693321 # DEPENDENCYPART_ARC
(21,36),-0.271395 # DEPENDENCYPART_ARC
(22,17),0.106565 # DEPENDENCYPART_ARC
(22,20),0.708161 # DEPENDENCYPART_ARC
(22,21),0.759417 # DEPENDENCYPART_ARC
(22,23),2.29673 # DEPENDENCYPART_ARC
(22,24),0.400126 # DEPENDENCYPART_ARC
(22,25),0.3915 # DEPENDENCYPART_ARC
(22,26),-0.571087 # DEPENDENCYPART_ARC
(22,32),-1.56 # DEPENDENCYPART_ARC
(23,22),-0.330285 # DEPENDENCYPART_ARC
(23,24),2.57491 # DEPENDENCYPART_ARC
(23,25),-0.360673 # DEPENDENCYPART_ARC
(23,26),-0.500515 # DEPENDENCYPART_ARC
(23,27),-1.55023 # DEPENDENCYPART_ARC
(23,28),-0.934247 # DEPENDENCYPART_ARC
(23,29),-0.664194 # DEPENDENCYPART_ARC
(23,30),-0.351235 # DEPENDENCYPART_ARC
(23,32),-1.42678 # DEPENDENCYPART_ARC
(24,25),-1.16064 # DEPENDENCYPART_ARC
(24,26),-1.68669 # DEPENDENCYPART_ARC
(25,22),-0.208087 # DEPENDENCYPART_ARC
(25,23),-0.0975419 # DEPENDENCYPART_ARC
(25,24),0.221013 # DEPENDENCYPART_ARC
(25,26),-0.4677 # DEPENDENCYPART_ARC
(25,27),-0.784259 # DEPENDENCYPART_ARC
(26,24),0.007853 # DEPENDENCYPART_ARC
(26,25),-0.00299018 # DEPENDENCYPART_ARC
(26,27),2.49506 # DEPENDENCYPART_ARC
(26,28),0.367846 # DEPENDENCYPART_ARC
(26,29),-0.782685 # DEPENDENCYPART_ARC
(26,30),0.391285 # DEPENDENCYPART_ARC
(26,35),-0.342472 # DEPENDENCYPART_ARC
(27,28),1.90961 # DEPENDENCYPART_ARC
(27,29),1.04046 # DEPENDENCYPART_ARC
(27,30),0.670644 # DEPENDENCYPART_ARC
(27,31),-0.931192 # DEPENDENCYPART_ARC
(27,32),0.293794 # DEPENDENCYPART_ARC
(27,33),-1.333 # DEPENDENCYPART_ARC
(27,34),0.279693 # DEPENDENCYPART_ARC
(27,36),-1.66103 # DEPENDENCYPART_ARC
(27,37),-0.879181 # DEPENDENCYPART_ARC
(27,43),-0.563904 # DEPENDENCYPART_ARC
(28,27),-0.689703 # DEPENDENCYPART_ARC
(28,29),2.50963 # DEPENDENCYPART_ARC
(28,30),1.30574 # DEPENDENCYPART_ARC
(28,31),-0.552444 # DEPENDENCYPART_ARC
(28,32),0.394066 # DEPENDENCYPART_ARC
(28,33),-1.06607 # DEPENDENCYPART_ARC
(28,34),0.476137 # DEPENDENCYPART_ARC
(28,35),-0.915114 # DEPENDENCYPART_ARC
(28,36),-1.47301 # DEPENDENCYPART_ARC
(28,37),-1.0687 # DEPENDENCYPART_ARC
(29,28),-1.64778 # DEPENDENCYPART_ARC
(29,30),-0.407338 # DEPENDENCYPART_ARC
(29,31),-1.78892 # DEPENDENCYPART_ARC
(30,1),-1.07044 # DEPENDENCYPART_ARC
(30,2),-0.945716 # DEPENDENCYPART_ARC
(30,3),-1.9024 # DEPENDENCYPART_ARC
(30,13),-0.433532 # DEPENDENCYPART_ARC
(30,14),-0.695634 # DEPENDENCYPART_ARC
(30,15),0.702472 # DEPENDENCYPART_ARC
(30,17),-1.23652 # DEPENDENCYPART_ARC
(30,19),-0.747924 # DEPENDENCYPART_ARC
(30,20),-0.106372 # DEPENDENCYPART_ARC
(30,22),-0.417344 # DEPENDENCYPART_ARC
(30,23),0.0709615 # DEPENDENCYPART_ARC
(30,24),0.163705 # DEPENDENCYPART_ARC
(30,26),-0.519265 # DEPENDENCYPART_ARC
(30,27),1.52018 # DEPENDENCYPART_ARC
(30,28),1.13873 # DEPENDENCYPART_ARC
(30,29),3.08114 # DEPENDENCYPART_ARC
(30,31),1.7891 # DEPENDENCYPART_ARC
(30,32),0.0188634 # DEPENDENCYPART_ARC
(30,33),-0.106412 # DEPENDENCYPART_ARC
(30,34),-0.629517 # DEPENDENCYPART_ARC
(30,36),-0.299411 # DEPENDENCYPART_ARC
(30,37),-0.902256 # DEPENDENCYPART_ARC
(30,38),-1.62502 # DEPENDENCYPART_ARC
(30,39),-1.29131 # DEPENDENCYPART_ARC
(30,40),-1.50666 # DEPENDENCYPART_ARC
(30,41),-1.74958 # DEPENDENCYPART_ARC
(30,42),-1.80846 # DEPENDENCYPART_ARC
(31,32),0.67036 # DEPENDENCYPART_ARC
(31,33),-0.573418 # DEPENDENCYPART_ARC
(31,34),0.0600145 # DEPENDENCYPART_ARC
(31,35),-1.31626 # DEPENDENCYPART_ARC
(31,36),-1.73522 # DEPENDENCYPART_ARC
(31,37),-1.17672 # DEPENDENCYPART_ARC
(32,29),-0.647585 # DEPENDENCYPART_ARC
(32,31),0.0598538 # DEPENDENCYPART_ARC
(32,33),2.30118 # DEPENDENCYPART_ARC
(32,34),0.346317 # DEPENDENCYPART_ARC
(32,35),-0.324187 # DEPENDENCYPART_ARC
(32,38),-0.131307 # DEPENDENCYPART_ARC
(33,34),2.45085 # DEPENDENCYPART_ARC
(33,35),0.0765021 # DEPENDENCYPART_ARC
(33,36),0.521426 # DEPENDENCYPART_ARC
(33,37),-0.157887 # DEPENDENCYPART_ARC
(33,38),-1.43507 # DEPENDENCYPART_ARC
(33,39),-0.714671 # DEPENDENCYPART_ARC
(33,41),-3.16533 # DEPENDENCYPART_ARC
(33,42),-3.06211 # DEPENDENCYPART_ARC
(33,43),-0.103182 # DEPENDENCYPART_ARC
(33,46),-0.7032 # DEPENDENCYPART_ARC
(34,1),-1.19344 # DEPENDENCYPART_ARC
(34,31),-0.118848 # DEPENDENCYPART_ARC
(34,33),0.159209 # DEPENDENCYPART_ARC
(34,36),-0.641329 # DEPENDENCYPART_ARC
(34,37),-0.858951 # DEPENDENCYPART_ARC
(34,48),-1.14422 # DEPENDENCYPART_ARC
(35,31),-1.60355 # DEPENDENCYPART_ARC
(35,33),-1.42152 # DEPENDENCYPART_ARC
(35,34),-0.849198 # DEPENDENCYPART_ARC
(36,17),-3.87068 # DEPENDENCYPART_ARC
(36,18),-0.63173 # DEPENDENCYPART_ARC
(36,20),-4.6958 # DEPENDENCYPART_ARC
(36,21),-0.431022 # DEPENDENCYPART_ARC
(36,23),-1.72002 # DEPENDENCYPART_ARC
(36,24),-4.59354 # DEPENDENCYPART_ARC
(36,26),-0.105649 # DEPENDENCYPART_ARC
(36,27),-3.57708 # DEPENDENCYPART_ARC
(36,28),-3.66342 # DEPENDENCYPART_ARC
(36,29),-3.73937 # DEPENDENCYPART_ARC
(36,30),0.268579 # DEPENDENCYPART_ARC
(36,31),-1.56848 # DEPENDENCYPART_ARC
(36,32),0.535585 # DEPENDENCYPART_ARC
(36,33),-2.19921 # DEPENDENCYPART_ARC
(36,34),0.353066 # DEPENDENCYPART_ARC
(36,35),2.45973 # DEPENDENCYPART_ARC
(36,37),2.32756 # DEPENDENCYPART_ARC
(36,38),-0.983674 # DEPENDENCYPART_ARC
(36,39),0.18529 # DEPENDENCYPART_ARC
(36,40),0.660121 # DEPENDENCYPART_ARC
(36,41),-0.705512 # DEPENDENCYPART_ARC
(36,42),0.453427 # DEPENDENCYPART_ARC
(36,43),0.712232 # DEPENDENCYPART_ARC
(36,44),-2.76451 # DEPENDENCYPART_ARC
(36,45),-1.79385 # DEPENDENCYPART_ARC
(36,46),1.34657 # DEPENDENCYPART_ARC
(36,47),-3.15425 # DEPENDENCYPART_ARC
(37,35),-0.500299 # DEPENDENCYPART_ARC
(37,38),1.55504 # DEPENDENCYPART_ARC
(37,39),-0.0577876 # DEPENDENCYPART_ARC
(37,40),-0.944139 # DEPENDENCYPART_ARC
(37,41),-0.875456 # DEPENDENCYPART_ARC
(37,42),-0.980163 # DEPENDENCYPART_ARC
(37,44),-0.526593 # DEPENDENCYPART_ARC
(38,35),-0.807027 # DEPENDENCYPART_ARC
(38,39),1.96869 # DEPENDENCYPART_ARC
(38,40),1.14871 # DEPENDENCYPART_ARC
(38,41),-0.261776 # DEPENDENCYPART_ARC
(38,42),0.599989 # DEPENDENCYPART_ARC
(38,43),1.18301 # DEPENDENCYPART_ARC
(38,44),0.180286 # DEPENDENCYPART_ARC
(38,45),0.59459 # DEPENDENCYPART_ARC
(38,46),0.678051 # DEPENDENCYPART_ARC
(38,47),-0.788492 # DEPENDENCYPART_ARC
(38,48),-0.509446 # DEPENDENCYPART_ARC
(39,37),0.259201 # DEPENDENCYPART_ARC
(39,38),0.856271 # DEPENDENCYPART_ARC
(39,40),2.7008 # DEPENDENCYPART_ARC
(39,41),0.830389 # DEPENDENCYPART_ARC
(39,42),0.332485 # DEPENDENCYPART_ARC
(39,43),-0.238987 # DEPENDENCYPART_ARC
(39,46),-0.341903 # DEPENDENCYPART_ARC
(40,35),-1.31068 # DEPENDENCYPART_ARC
(40,38),-2.1086 # DEPENDENCYPART_ARC
(40,39),-0.483526 # DEPENDENCYPART_ARC
(40,41),2.72755 # DEPENDENCYPART_ARC
(40,42),0.599698 # DEPENDENCYPART_ARC
(40,43),0.282231 # DEPENDENCYPART_ARC
(40,44),-1.76898 # DEPENDENCYPART_ARC
(40,45),-0.41645 # DEPENDENCYPART_ARC
(40,46),-0.844436 # DEPENDENCYPART_ARC
(40,47),-1.39424 # DEPENDENCYPART_ARC
(40,48),-1.47169 # DEPENDENCYPART_ARC
(41,39),-0.574355 # DEPENDENCYPART_ARC
(41,40),-0.412585 # DEPENDENCYPART_ARC
(41,42),1.02038 # DEPENDENCYPART_ARC
(41,43),0.917932 # DEPENDENCYPART_ARC
(41,44),-1.10046 # DEPENDENCYPART_ARC
(41,45),-0.267693 # DEPENDENCYPART_ARC
(41,46),0.242587 # DEPENDENCYPART_ARC
(42,38),-0.846859 # DEPENDENCYPART_ARC
(42,39),-0.2028 # DEPENDENCYPART_ARC
(42,40),-0.390635 # DEPENDENCYPART_ARC
(42,41),-0.0868981 # DEPENDENCYPART_ARC
(42,43),1.25407 # DEPENDENCYPART_ARC
(42,44),-0.74182 # DEPENDENCYPART_ARC
(42,45),-0.189357 # DEPENDENCYPART_ARC
(42,46),0.00529732 # DEPENDENCYPART_ARC
(42,47),-1.18926 # DEPENDENCYPART_ARC
(43,40),-0.149618 # DEPENDENCYPART_ARC
(43,41),-0.56047 # DEPENDENCYPART_ARC
(43,42),-0.146966 # DEPENDENCYPART_ARC
(43,44),2.47837 # DEPENDENCYPART_ARC
(43,45),0.57661 # DEPENDENCYPART_ARC
(43,47),0.066713 # DEPENDENCYPART_ARC
(44,45),2.53595 # DEPENDENCYPART_ARC
(44,46),0.284756 # DEPENDENCYPART_ARC
(44,47),-0.813869 # DEPENDENCYPART_ARC
(44,48),0.0832038 # DEPENDENCYPART_ARC
(45,44),-1.19587 # DEPENDENCYPART_ARC
(45,46),-0.0823766 # DEPENDENCYPART_ARC
(45,47),-1.29696 # DEPENDENCYPART_ARC
(45,48),-1.73461 # DEPENDENCYPART_ARC
(46,43),-0.788636 # DEPENDENCYPART_ARC
(46,44),-0.279554 # DEPENDENCYPART_ARC
(46,45),0.34242 # DEPENDENCYPART_ARC
(46,47),2.0002 # DEPENDENCYPART_ARC
(46,48),0.540045 # DEPENDENCYPART_ARC
(47,45),-0.828795 # DEPENDENCYPART_ARC
(47,48),3.11655 # DEPENDENCYPART_ARC
(47,49),-0.221973 # DEPENDENCYPART_ARC
(48,44),-1.78248 # DEPENDENCYPART_ARC
(48,45),-1.09648 # DEPENDENCYPART_ARC
(48,47),-0.50982 # DEPENDENCYPART_ARC
(48,49),0.281685 # DEPENDENCYPART_ARC
(49,47),-1.10879 # DEPENDENCYPART_ARC
(49,48),-0.943407 # DEPENDENCYPART_ARC
