# _root_ وَ يُشَكِّلُ هٰذا الخَفْضُ , بِ الإِضافَةِ إِلَى ثَلاثَةِ آلافِ آخَرِينَ فِي مارِس الماضِي , نِسْبَةَ 11 بِ المِائَةِ مِن مَجْمُوعِ عَدَدِ العامِلِينَ عَلَى أَجْهِزَةِ الفَحْصِ وَ البالِغِ 55600 شَخْصٍ . وَ مِن المُتَوَقَّعِ أَن تُوَفِّرَ إِدارَةُ أَمْنِ النَقْلِ مَبْلَغاً يَقْرَبُ مِن 280 مِلْيُونَ دُولارٍ أَمْرِيكِيٍّ .
#goldHeads=0,0,4,8,4,8,8,2,8,9,10,11,12,13,14,2,16,17,18,17,20,21,22,23,24,25,28,22,28,29,0,0,0,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
#predictedHeads=0,0,4,2,4,8,8,2,8,9,10,11,12,13,14,15,16,17,18,17,20,21,22,23,24,25,25,27,28,29,0,0,29,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
(22,28),-0.532415 # DEPENDENCYPART_ARC
(22,29),-0.664484 # DEPENDENCYPART_ARC
(22,30),-0.720216 # DEPENDENCYPART_ARC
(22,32),0.0444721 # DEPENDENCYPART_ARC
(23,24),1.57009 # DEPENDENCYPART_ARC
(23,25),-0.527401 # DEPENDENCYPART_ARC
(23,26),-0.352704 # DEPENDENCYPART_ARC
(23,27),0.430589 # DEPENDENCYPART_ARC
(23,28),-1.03624 # DEPENDENCYPART_ARC
(23,33),-0.74874 # DEPENDENCYPART_ARC
(24,21),-0.25253 # DEPENDENCYPART_ARC
(24,22),-0.235597 # DEPENDENCYPART_ARC
(24,23),0.494503 # DEPENDENCYPART_ARC
(24,25),2.43745 # DEPENDENCYPART_ARC
(24,26),0.655815 # DEPENDENCYPART_ARC
(24,27),0.302047 # DEPENDENCYPART_ARC
(24,28),0.167109 # DEPENDENCYPART_ARC
(24,29),-0.316288 # DEPENDENCYPART_ARC
(24,32),-1.11237 # DEPENDENCYPART_ARC
(24,34),-0.448237 # DEPENDENCYPART_ARC
(25,26),2.344 # DEPENDENCYPART_ARC
(25,27),1.15052 # DEPENDENCYPART_ARC
(25,28),-0.862207 # DEPENDENCYPART_ARC
(25,29),-0.0629127 # DEPENDENCYPART_ARC
(25,30),-0.160306 # DEPENDENCYPART_ARC
(25,31),-0.816311 # DEPENDENCYPART_ARC
(25,32),-0.434695 # DEPENDENCYPART_ARC
(25,33),-0.584862 # DEPENDENCYPART_ARC
(25,34),-1.03435 # DEPENDENCYPART_ARC
(25,35),-0.840646 # DEPENDENCYPART_ARC
(25,36),-3.62414 # DEPENDENCYPART_ARC
(26,27),0.0771865 # DEPENDENCYPART_ARC
(26,28),-0.126311 # DEPENDENCYPART_ARC
(27,2),-1.43211 # DEPENDENCYPART_ARC
(27,4),-2.14614 # DEPENDENCYPART_ARC
(27,5),-2.21353 # DEPENDENCYPART_ARC
(27,6),-0.950042 # DEPENDENCYPART_ARC
(27,7),-0.979388 # DEPENDENCYPART_ARC
(27,8),-0.804411 # DEPENDENCYPART_ARC
(27,9),-0.793596 # DEPENDENCYPART_ARC
(27,10),-1.15426 # DEPENDENCYPART_ARC
(27,11),-0.958301 # DEPENDENCYPART_ARC
(27,12),-0.848688 # DEPENDENCYPART_ARC
(27,13),-0.813328 # DEPENDENCYPART_ARC
(27,14),-0.291231 # DEPENDENCYPART_ARC
(27,15),-0.8901 # DEPENDENCYPART_ARC
(27,16),-0.335969 # DEPENDENCYPART_ARC
(27,17),0.338858 # DEPENDENCYPART_ARC
(27,18),-0.250136 # DEPENDENCYPART_ARC
(27,19),-0.123943 # DEPENDENCYPART_ARC
(27,20),-0.535953 # DEPENDENCYPART_ARC
(27,21),0.267372 # DEPENDENCYPART_ARC
(27,22),-0.280211 # DEPENDENCYPART_ARC
(27,23),0.0477231 # DEPENDENCYPART_ARC
(27,24),-0.018145 # DEPENDENCYPART_ARC
(27,25),0.854898 # DEPENDENCYPART_ARC
(27,26),1.29189 # DEPENDENCYPART_ARC
(27,28),1.53853 # DEPENDENCYPART_ARC
(27,29),-0.262535 # DEPENDENCYPART_ARC
(27,30),0.4054 # DEPENDENCYPART_ARC
(27,31),-0.109884 # DEPENDENCYPART_ARC
(27,32),-0.348226 # DEPENDENCYPART_ARC
(27,33),-0.738593 # DEPENDENCYPART_ARC
(27,34),-0.0744741 # DEPENDENCYPART_ARC
(27,35),-1.56262 # DEPENDENCYPART_ARC
(27,36),-0.306608 # DEPENDENCYPART_ARC
(27,37),-0.754915 # DEPENDENCYPART_ARC
(27,38),-1.03288 # DEPENDENCYPART_ARC
(27,39),-0.817809 # DEPENDENCYPART_ARC
(27,40),-1.18894 # DEPENDENCYPART_ARC
(27,41),-1.1366 # DEPENDENCYPART_ARC
(27,42),-1.06216 # DEPENDENCYPART_ARC
(27,43),-1.46416 # DEPENDENCYPART_ARC
(27,44),-2.45587 # DEPENDENCYPART_ARC
(27,45),-0.923896 # DEPENDENCYPART_ARC
(28,26),-1.20802 # DEPENDENCYPART_ARC
(28,29),0.911592 # DEPENDENCYPART_ARC
(28,30),0.172312 # DEPENDENCYPART_ARC
(28,31),-0.140085 # DEPENDENCYPART_ARC
(28,32),-0.369527 # DEPENDENCYPART_ARC
(28,33),-0.421391 # DEPENDENCYPART_ARC
(28,34),-0.874738 # DEPENDENCYPART_ARC
(28,35),-0.465211 # DEPENDENCYPART_ARC
(29,25),0.0277526 # DEPENDENCYPART_ARC
(29,26),0.119794 # DEPENDENCYPART_ARC
(29,28),0.211202 # DEPENDENCYPART_ARC
(29,30),2.46551 # DEPENDENCYPART_ARC
(29,31),0.52585 # DEPENDENCYPART_ARC
(29,32),-0.111037 # DEPENDENCYPART_ARC
(29,33),0.838823 # DEPENDENCYPART_ARC
(29,35),-0.369902 # DEPENDENCYPART_ARC
(29,36),-0.0733597 # DEPENDENCYPART_ARC
(29,41),-0.195403 # DEPENDENCYPART_ARC
(30,29),-0.118187 # DEPENDENCYPART_ARC
(30,31),0.504882 # DEPENDENCYPART_ARC
(30,32),-0.595424 # DEPENDENCYPART_ARC
(30,33),-1.21441 # DEPENDENCYPART_ARC
(30,34),-1.60009 # DEPENDENCYPART_ARC
(30,36),-3.32921 # DEPENDENCYPART_ARC
(31,29),-0.755637 # DEPENDENCYPART_ARC
(31,30),-0.709105 # DEPENDENCYPART_ARC
(32,2),-2.3105 # DEPENDENCYPART_ARC
(32,6),-1.22379 # DEPENDENCYPART_ARC
(32,8),-1.14195 # DEPENDENCYPART_ARC
(32,9),-2.26162 # DEPENDENCYPART_ARC
(32,17),-1.19583 # DEPENDENCYPART_ARC
(32,19),-1.48651 # DEPENDENCYPART_ARC
(32,21),-1.06497 # DEPENDENCYPART_ARC
(32,22),-1.34777 # DEPENDENCYPART_ARC
(32,23),-1.18188 # DEPENDENCYPART_ARC
(32,25),-0.620464 # DEPENDENCYPART_ARC
(32,26),-1.00692 # DEPENDENCYPART_ARC
(32,28),-0.978486 # DEPENDENCYPART_ARC
(32,29),-0.811088 # DEPENDENCYPART_ARC
(32,30),-0.58486 # DEPENDENCYPART_ARC
(32,31),-0.274845 # DEPENDENCYPART_ARC
(32,33),-0.33717 # DEPENDENCYPART_ARC
(32,34),-0.828995 # DEPENDENCYPART_ARC
(32,35),-1.22267 # DEPENDENCYPART_ARC
(32,36),-0.539122 # DEPENDENCYPART_ARC
(32,37),-1.06324 # DEPENDENCYPART_ARC
(32,38),-1.3093 # DEPENDENCYPART_ARC
(32,39),-1.19453 # DEPENDENCYPART_ARC
(32,40),-1.72925 # DEPENDENCYPART_ARC
(32,41),-1.56311 # DEPENDENCYPART_ARC
(33,30),-0.377541 # DEPENDENCYPART_ARC
(33,31),-0.405813 # DEPENDENCYPART_ARC
(33,32),0.118389 # DEPENDENCYPART_ARC
(33,34),2.90773 # DEPENDENCYPART_ARC
(33,35),1.82635 # DEPENDENCYPART_ARC
(33,36),-0.429156 # DEPENDENCYPART_ARC
(33,37),-0.161672 # DEPENDENCYPART_ARC
(33,38),-0.468147 # DEPENDENCYPART_ARC
(33,39),-0.564925 # DEPENDENCYPART_ARC
(33,42),0.0710926 # DEPENDENCYPART_ARC
(34,35),0.315621 # DEPENDENCYPART_ARC
(34,36),-1.59563 # DEPENDENCYPART_ARC
(34,37),-2.5404 # DEPENDENCYPART_ARC
(35,2),-4.03022 # DEPENDENCYPART_ARC
(35,25),-1.66395 # DEPENDENCYPART_ARC
(35,29),-1.32452 # DEPENDENCYPART_ARC
(35,30),-1.89953 # DEPENDENCYPART_ARC
(35,32),-1.22291 # DEPENDENCYPART_ARC
(35,33),-0.497215 # DEPENDENCYPART_ARC
(35,34),-1.01858 # DEPENDENCYPART_ARC
(35,36),2.65836 # DEPENDENCYPART_ARC
(35,37),-0.499681 # DEPENDENCYPART_ARC
(35,38),-0.497074 # DEPENDENCYPART_ARC
(35,39),-0.55117 # DEPENDENCYPART_ARC
(35,40),-0.85393 # DEPENDENCYPART_ARC
(35,41),0.0782869 # DEPENDENCYPART_ARC
(35,42),-0.542276 # DEPENDENCYPART_ARC
(35,43),-0.837926 # DEPENDENCYPART_ARC
(35,44),-1.29003 # DEPENDENCYPART_ARC
(35,45),-0.855208 # DEPENDENCYPART_ARC
(35,46),-0.811132 # DEPENDENCYPART_ARC
(36,33),-0.26123 # DEPENDENCYPART_ARC
(36,34),-4.23947 # DEPENDENCYPART_ARC
(36,35),-0.632032 # DEPENDENCYPART_ARC
(36,37),3.82939 # DEPENDENCYPART_ARC
(36,38),0.230019 # DEPENDENCYPART_ARC
(36,39),0.440299 # DEPENDENCYPART_ARC
(36,40),2.42443 # DEPENDENCYPART_ARC
(36,41),-0.36952 # DEPENDENCYPART_ARC
(36,42),0.565585 # DEPENDENCYPART_ARC
(36,43),-0.013727 # DEPENDENCYPART_ARC
(36,44),-0.408663 # DEPENDENCYPART_ARC
(36,45),-1.0486 # DEPENDENCYPART_ARC
(36,46),-1.655 # DEPENDENCYPART_ARC
(37,38),2.53185 # DEPENDENCYPART_ARC
(37,39),1.04854 # DEPENDENCYPART_ARC
(37,40),-0.195198 # DEPENDENCYPART_ARC
(37,41),-0.3874 # DEPENDENCYPART_ARC
(37,42),-0.383407 # DEPENDENCYPART_ARC
(38,37),-0.409038 # DEPENDENCYPART_ARC
(38,39),2.35676 # DEPENDENCYPART_ARC
(38,40),0.923943 # DEPENDENCYPART_ARC
(38,41),-0.326192 # DEPENDENCYPART_ARC
(38,42),-0.52844 # DEPENDENCYPART_ARC
(38,43),-1.32843 # DEPENDENCYPART_ARC
(38,46),-1.91528 # DEPENDENCYPART_ARC
(39,37),-0.901966 # DEPENDENCYPART_ARC
(39,38),-1.1934 # DEPENDENCYPART_ARC
(39,40),1.0936 # DEPENDENCYPART_ARC
(39,41),0.383234 # DEPENDENCYPART_ARC
(39,42),-0.153858 # DEPENDENCYPART_ARC
(39,43),-1.18753 # DEPENDENCYPART_ARC
(39,44),-2.31401 # DEPENDENCYPART_ARC
(39,45),-1.47027 # DEPENDENCYPART_ARC
(39,46),-2.44038 # DEPENDENCYPART_ARC
(40,37),-0.735443 # DEPENDENCYPART_ARC
(40,38),-0.970936 # DEPENDENCYPART_ARC
(40,39),-0.530234 # DEPENDENCYPART_ARC
(40,41),1.03346 # DEPENDENCYPART_ARC
(40,42),0.0853068 # DEPENDENCYPART_ARC
(40,43),-0.946575 # DEPENDENCYPART_ARC
(41,33),0.0850981 # DEPENDENCYPART_ARC
(41,34),-3.68553 # DEPENDENCYPART_ARC
(41,36),-1.77345 # DEPENDENCYPART_ARC
(41,37),-1.65262 # DEPENDENCYPART_ARC
(41,38),-2.44232 # DEPENDENCYPART_ARC
(41,39),-2.08324 # DEPENDENCYPART_ARC
(41,40),0.435041 # DEPENDENCYPART_ARC
(41,42),1.63615 # DEPENDENCYPART_ARC
(41,43),-0.13162 # DEPENDENCYPART_ARC
(41,44),0.432802 # DEPENDENCYPART_ARC
(41,45),-1.50858 # DEPENDENCYPART_ARC
(41,46),-1.5431 # DEPENDENCYPART_ARC
(42,40),-0.342796 # DEPENDENCYPART_ARC
(42,43),1.83423 # DEPENDENCYPART_ARC
(42,44),0.485634 # DEPENDENCYPART_ARC
(42,45),-0.365425 # DEPENDENCYPART_ARC
(42,46),-0.379446 # DEPENDENCYPART_ARC
(43,38),-0.263599 # DEPENDENCYPART_ARC
(43,39),-0.128667 # DEPENDENCYPART_ARC
(43,40),-0.0866423 # DEPENDENCYPART_ARC
(43,42),1.22168 # DEPENDENCYPART_ARC
(43,44),2.68364 # DEPENDENCYPART_ARC
(43,45),0.530165 # DEPENDENCYPART_ARC
(43,46),0.260655 # DEPENDENCYPART_ARC
(44,43),-0.556379 # DEPENDENCYPART_ARC
(44,45),2.33324 # DEPENDENCYPART_ARC
(44,46),-0.477225 # DEPENDENCYPART_ARC
(45,44),-0.0304188 # DEPENDENCYPART_ARC
(45,46),1.59169 # DEPENDENCYPART_ARC
(46,44),0.172647 # DEPENDENCYPART_ARC
(46,45),-0.814137 # DEPENDENCYPART_ARC
(46,47),0.197684 # DEPENDENCYPART_ARC
(47,43),-1.08766 # DEPENDENCYPART_ARC
(47,44),-0.896176 # DEPENDENCYPART_ARC
(47,45),-0.828836 # DEPENDENCYPART_ARC
(47,46),-0.563967 # DEPENDENCYPART_ARC
