# _root_ وَ وَقَعَت الهَزَّةُ فِي الساعَةِ 10,30 بِ التَوْقِيتِ المَحَلِّيِّ ( 1,30 تغ ) فِي هٰذِهِ الجَزِيرَةِ الَّتِي تَقَعُ عَلَى بُعْدِ 150 كلم جَنُوبَ طُوكِيُو وَ تُؤْوِي 3100 نَسَمَةٍ .
#goldHeads=0,0,2,2,4,5,6,7,8,5,5,11,5,2,16,14,16,25,18,19,20,21,18,23,16,25,26,27,0,
#predictedHeads=0,0,2,2,4,5,2,7,8,7,10,11,10,2,16,14,16,25,18,19,20,21,21,23,14,25,26,27,0,
(8,12),-0.515734 # DEPENDENCYPART_ARC
(8,13),-0.556807 # DEPENDENCYPART_ARC
(8,14),-0.270164 # DEPENDENCYPART_ARC
(8,16),-0.573733 # DEPENDENCYPART_ARC
(8,17),0.519103 # DEPENDENCYPART_ARC
(8,18),-0.26242 # DEPENDENCYPART_ARC
(9,5),-2.63431 # DEPENDENCYPART_ARC
(9,6),-0.613902 # DEPENDENCYPART_ARC
(9,10),0.20364 # DEPENDENCYPART_ARC
(9,11),-0.302534 # DEPENDENCYPART_ARC
(9,13),-0.368132 # DEPENDENCYPART_ARC
(10,2),-0.0521432 # DEPENDENCYPART_ARC
(10,3),-0.209008 # DEPENDENCYPART_ARC
(10,4),-0.0329383 # DEPENDENCYPART_ARC
(10,5),0.565881 # DEPENDENCYPART_ARC
(10,6),1.47502 # DEPENDENCYPART_ARC
(10,7),0.0186887 # DEPENDENCYPART_ARC
(10,8),1.27079 # DEPENDENCYPART_ARC
(10,9),0.913592 # DEPENDENCYPART_ARC
(10,11),0.468327 # DEPENDENCYPART_ARC
(10,12),0.0742629 # DEPENDENCYPART_ARC
(10,13),0.810677 # DEPENDENCYPART_ARC
(10,14),-0.381038 # DEPENDENCYPART_ARC
(10,16),-0.315797 # DEPENDENCYPART_ARC
(10,26),-0.56819 # DEPENDENCYPART_ARC
(10,28),-1.14724 # DEPENDENCYPART_ARC
(11,8),-0.206795 # DEPENDENCYPART_ARC
(11,10),0.911884 # DEPENDENCYPART_ARC
(11,12),1.40811 # DEPENDENCYPART_ARC
(11,13),0.749974 # DEPENDENCYPART_ARC
(11,14),-0.0439694 # DEPENDENCYPART_ARC
(11,17),-0.494745 # DEPENDENCYPART_ARC
(11,18),-0.483775 # DEPENDENCYPART_ARC
(11,19),-0.980683 # DEPENDENCYPART_ARC
(12,10),0.227431 # DEPENDENCYPART_ARC
(12,11),0.471721 # DEPENDENCYPART_ARC
(12,13),0.671829 # DEPENDENCYPART_ARC
(12,16),-0.875583 # DEPENDENCYPART_ARC
(13,2),-0.928969 # DEPENDENCYPART_ARC
(13,11),-0.529756 # DEPENDENCYPART_ARC
(13,12),-0.419465 # DEPENDENCYPART_ARC
(13,14),-0.94368 # DEPENDENCYPART_ARC
(14,1),-1.13762 # DEPENDENCYPART_ARC
(14,13),0.331513 # DEPENDENCYPART_ARC
(14,15),2.0289 # DEPENDENCYPART_ARC
(14,16),1.71997 # DEPENDENCYPART_ARC
(14,17),0.30008 # DEPENDENCYPART_ARC
(14,19),-0.669462 # DEPENDENCYPART_ARC
(14,20),0.166008 # DEPENDENCYPART_ARC
(14,25),-0.271031 # DEPENDENCYPART_ARC
(14,29),-0.571713 # DEPENDENCYPART_ARC
(15,16),-0.491271 # DEPENDENCYPART_ARC
(15,18),-0.0244111 # DEPENDENCYPART_ARC
(15,19),-0.932906 # DEPENDENCYPART_ARC
(16,2),-1.33693 # DEPENDENCYPART_ARC
(16,3),-2.01622 # DEPENDENCYPART_ARC
(16,4),-0.506477 # DEPENDENCYPART_ARC
(16,5),-2.8465 # DEPENDENCYPART_ARC
(16,7),-0.125101 # DEPENDENCYPART_ARC
(16,8),-2.10796 # DEPENDENCYPART_ARC
(16,9),-1.49904 # DEPENDENCYPART_ARC
(16,10),-0.220813 # DEPENDENCYPART_ARC
(16,13),-0.214661 # DEPENDENCYPART_ARC
(16,14),0.049845 # DEPENDENCYPART_ARC
(16,15),3.85843 # DEPENDENCYPART_ARC
(16,17),1.69432 # DEPENDENCYPART_ARC
(16,18),1.08792 # DEPENDENCYPART_ARC
(16,19),-0.593175 # DEPENDENCYPART_ARC
(16,20),-1.85546 # DEPENDENCYPART_ARC
(16,21),-1.34514 # DEPENDENCYPART_ARC
(16,22),-1.27051 # DEPENDENCYPART_ARC
(16,24),-2.1069 # DEPENDENCYPART_ARC
(16,25),-0.666615 # DEPENDENCYPART_ARC
(16,26),-2.41635 # DEPENDENCYPART_ARC
(16,27),-1.83833 # DEPENDENCYPART_ARC
(17,1),-0.54652 # DEPENDENCYPART_ARC
(17,2),-0.77972 # DEPENDENCYPART_ARC
(17,15),-0.0765606 # DEPENDENCYPART_ARC
(17,18),-0.238557 # DEPENDENCYPART_ARC
(17,19),-1.14069 # DEPENDENCYPART_ARC
(18,1),-2.08418 # DEPENDENCYPART_ARC
(18,3),-1.88728 # DEPENDENCYPART_ARC
(18,4),-1.91299 # DEPENDENCYPART_ARC
(18,5),-4.87413 # DEPENDENCYPART_ARC
(18,7),-1.73056 # DEPENDENCYPART_ARC
(18,8),-4.74503 # DEPENDENCYPART_ARC
(18,11),-1.62939 # DEPENDENCYPART_ARC
(18,14),-0.604623 # DEPENDENCYPART_ARC
(18,16),-3.91884 # DEPENDENCYPART_ARC
(18,17),-0.872171 # DEPENDENCYPART_ARC
(18,19),2.51834 # DEPENDENCYPART_ARC
(18,20),-1.21946 # DEPENDENCYPART_ARC
(18,21),0.0594554 # DEPENDENCYPART_ARC
(18,23),0.682605 # DEPENDENCYPART_ARC
(18,24),-0.423496 # DEPENDENCYPART_ARC
(18,25),-0.152567 # DEPENDENCYPART_ARC
(18,26),-2.27353 # DEPENDENCYPART_ARC
(18,27),-1.06283 # DEPENDENCYPART_ARC
(18,28),-3.51298 # DEPENDENCYPART_ARC
(18,29),-0.472343 # DEPENDENCYPART_ARC
(19,20),1.71268 # DEPENDENCYPART_ARC
(19,21),0.135871 # DEPENDENCYPART_ARC
(19,22),-0.459678 # DEPENDENCYPART_ARC
(19,23),-1.08914 # DEPENDENCYPART_ARC
(19,24),-1.03694 # DEPENDENCYPART_ARC
(19,25),-0.691261 # DEPENDENCYPART_ARC
(20,21),1.75597 # DEPENDENCYPART_ARC
(20,22),0.0327038 # DEPENDENCYPART_ARC
(20,23),0.180085 # DEPENDENCYPART_ARC
(20,24),-0.125022 # DEPENDENCYPART_ARC
(20,25),-0.221535 # DEPENDENCYPART_ARC
(20,26),-1.86459 # DEPENDENCYPART_ARC
(20,27),-0.727101 # DEPENDENCYPART_ARC
(20,28),-1.01953 # DEPENDENCYPART_ARC
(21,16),-0.336228 # DEPENDENCYPART_ARC
(21,19),0.215587 # DEPENDENCYPART_ARC
(21,20),0.682032 # DEPENDENCYPART_ARC
(21,22),1.91527 # DEPENDENCYPART_ARC
(21,23),1.22031 # DEPENDENCYPART_ARC
(21,25),-0.495602 # DEPENDENCYPART_ARC
(21,26),-0.165977 # DEPENDENCYPART_ARC
(21,29),-0.827664 # DEPENDENCYPART_ARC
(22,21),0.471838 # DEPENDENCYPART_ARC
(22,23),0.329656 # DEPENDENCYPART_ARC
(22,24),-0.01305 # DEPENDENCYPART_ARC
(23,20),-1.24586 # DEPENDENCYPART_ARC
(23,21),-0.669734 # DEPENDENCYPART_ARC
(23,24),1.6212 # DEPENDENCYPART_ARC
(23,25),-0.00081916 # DEPENDENCYPART_ARC
(23,26),-1.76354 # DEPENDENCYPART_ARC
(23,27),-0.858798 # DEPENDENCYPART_ARC
(23,28),-0.772201 # DEPENDENCYPART_ARC
(23,29),-1.01405 # DEPENDENCYPART_ARC
(24,22),0.329375 # DEPENDENCYPART_ARC
(24,23),0.739847 # DEPENDENCYPART_ARC
(24,26),-0.918148 # DEPENDENCYPART_ARC
(24,27),-1.23499 # DEPENDENCYPART_ARC
(25,1),-1.44985 # DEPENDENCYPART_ARC
(25,2),1.19346 # DEPENDENCYPART_ARC
(25,3),-0.965655 # DEPENDENCYPART_ARC
(25,4),-1.289 # DEPENDENCYPART_ARC
(25,5),-0.315952 # DEPENDENCYPART_ARC
(25,7),-0.574924 # DEPENDENCYPART_ARC
(25,8),-0.414281 # DEPENDENCYPART_ARC
(25,9),-0.765633 # DEPENDENCYPART_ARC
(25,11),-0.646232 # DEPENDENCYPART_ARC
(25,15),0.165929 # DEPENDENCYPART_ARC
(25,16),-0.264072 # DEPENDENCYPART_ARC
(25,17),0.215312 # DEPENDENCYPART_ARC
(25,18),1.96924 # DEPENDENCYPART_ARC
(25,19),0.261919 # DEPENDENCYPART_ARC
(25,20),0.637008 # DEPENDENCYPART_ARC
(25,21),0.227304 # DEPENDENCYPART_ARC
(25,22),0.49826 # DEPENDENCYPART_ARC
(25,23),0.45599 # DEPENDENCYPART_ARC
(25,24),0.374093 # DEPENDENCYPART_ARC
(25,26),1.78546 # DEPENDENCYPART_ARC
(25,27),-0.26178 # DEPENDENCYPART_ARC
(25,28),0.228289 # DEPENDENCYPART_ARC
(25,29),-0.171208 # DEPENDENCYPART_ARC
(26,19),-0.782776 # DEPENDENCYPART_ARC
(26,20),-3.82401 # DEPENDENCYPART_ARC
(26,21),-0.727303 # DEPENDENCYPART_ARC
(26,23),-1.07681 # DEPENDENCYPART_ARC
(26,24),-0.53524 # DEPENDENCYPART_ARC
(26,25),-0.0719284 # DEPENDENCYPART_ARC
(26,27),1.3976 # DEPENDENCYPART_ARC
(26,28),-1.61395 # DEPENDENCYPART_ARC
(26,29),-0.0547913 # DEPENDENCYPART_ARC
(27,23),-0.507611 # DEPENDENCYPART_ARC
(27,28),2.63138 # DEPENDENCYPART_ARC
(27,29),0.418399 # DEPENDENCYPART_ARC
(28,24),-0.933147 # DEPENDENCYPART_ARC
(28,27),-0.212076 # DEPENDENCYPART_ARC
(28,29),0.319541 # DEPENDENCYPART_ARC
(29,26),-1.55796 # DEPENDENCYPART_ARC
(29,27),-0.881395 # DEPENDENCYPART_ARC
(29,28),-0.900818 # DEPENDENCYPART_ARC
