# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,3,10,8,10,11,12,13,13,13,16,16,18,19,22,3,22,23,22,25,22,27,0,
(8,11),-0.517604 # DEPENDENCYPART_ARC
(8,12),-0.1649 # DEPENDENCYPART_ARC
(8,13),-0.280548 # DEPENDENCYPART_ARC
(8,14),-1.11257 # DEPENDENCYPART_ARC
(8,16),-0.930165 # DEPENDENCYPART_ARC
(8,17),-1.5316 # DEPENDENCYPART_ARC
(8,19),-1.99199 # DEPENDENCYPART_ARC
(8,20),-1.05146 # DEPENDENCYPART_ARC
(8,22),-1.43032 # DEPENDENCYPART_ARC
(8,29),-0.923681 # DEPENDENCYPART_ARC
(9,5),-1.61262 # DEPENDENCYPART_ARC
(9,6),-1.06593 # DEPENDENCYPART_ARC
(9,8),-0.148494 # DEPENDENCYPART_ARC
(9,11),-0.553078 # DEPENDENCYPART_ARC
(10,1),0.642378 # DEPENDENCYPART_ARC
(10,2),-0.549895 # DEPENDENCYPART_ARC
(10,3),1.15928 # DEPENDENCYPART_ARC
(10,4),1.28784 # DEPENDENCYPART_ARC
(10,5),-0.466276 # DEPENDENCYPART_ARC
(10,6),0.240124 # DEPENDENCYPART_ARC
(10,7),0.327035 # DEPENDENCYPART_ARC
(10,8),0.254379 # DEPENDENCYPART_ARC
(10,9),2.6877 # DEPENDENCYPART_ARC
(10,11),2.05467 # DEPENDENCYPART_ARC
(10,12),-0.168049 # DEPENDENCYPART_ARC
(10,13),-5.00113e-05 # DEPENDENCYPART_ARC
(10,14),-0.698774 # DEPENDENCYPART_ARC
(10,15),1.12152 # DEPENDENCYPART_ARC
(10,16),1.18774 # DEPENDENCYPART_ARC
(10,17),-1.89334 # DEPENDENCYPART_ARC
(11,1),-0.900893 # DEPENDENCYPART_ARC
(11,4),-0.419948 # DEPENDENCYPART_ARC
(11,5),-0.433983 # DEPENDENCYPART_ARC
(11,6),-0.423326 # DEPENDENCYPART_ARC
(11,7),-0.844669 # DEPENDENCYPART_ARC
(11,9),0.0619867 # DEPENDENCYPART_ARC
(11,10),0.318063 # DEPENDENCYPART_ARC
(11,12),2.20957 # DEPENDENCYPART_ARC
(11,13),0.511063 # DEPENDENCYPART_ARC
(11,14),-0.584351 # DEPENDENCYPART_ARC
(11,15),-0.634215 # DEPENDENCYPART_ARC
(11,21),-1.17847 # DEPENDENCYPART_ARC
(12,13),2.51862 # DEPENDENCYPART_ARC
(12,14),1.22949 # DEPENDENCYPART_ARC
(12,15),1.32597 # DEPENDENCYPART_ARC
(12,16),1.26896 # DEPENDENCYPART_ARC
(12,17),-1.00383 # DEPENDENCYPART_ARC
(12,18),-0.986178 # DEPENDENCYPART_ARC
(12,19),-1.70159 # DEPENDENCYPART_ARC
(12,22),-0.739945 # DEPENDENCYPART_ARC
(12,24),-0.474024 # DEPENDENCYPART_ARC
(12,25),-0.791149 # DEPENDENCYPART_ARC
(13,9),-0.863681 # DEPENDENCYPART_ARC
(13,12),-2.16361 # DEPENDENCYPART_ARC
(13,14),3.47919 # DEPENDENCYPART_ARC
(13,15),1.83841 # DEPENDENCYPART_ARC
(13,16),1.35594 # DEPENDENCYPART_ARC
(13,17),-1.89752 # DEPENDENCYPART_ARC
(13,18),-0.868077 # DEPENDENCYPART_ARC
(13,19),-0.191263 # DEPENDENCYPART_ARC
(13,22),-1.22585 # DEPENDENCYPART_ARC
(14,4),-1.27181 # DEPENDENCYPART_ARC
(14,12),-1.74875 # DEPENDENCYPART_ARC
(14,13),-2.3766 # DEPENDENCYPART_ARC
(14,15),-0.169089 # DEPENDENCYPART_ARC
(14,19),-2.00119 # DEPENDENCYPART_ARC
(15,1),-0.736305 # DEPENDENCYPART_ARC
(15,2),-0.392119 # DEPENDENCYPART_ARC
(15,3),-0.488159 # DEPENDENCYPART_ARC
(15,14),-0.274272 # DEPENDENCYPART_ARC
(15,16),-0.177694 # DEPENDENCYPART_ARC
(15,17),-1.16476 # DEPENDENCYPART_ARC
(15,26),-1.53161 # DEPENDENCYPART_ARC
(16,1),-2.23341 # DEPENDENCYPART_ARC
(16,3),-1.6418 # DEPENDENCYPART_ARC
(16,4),-1.7825 # DEPENDENCYPART_ARC
(16,9),-2.24517 # DEPENDENCYPART_ARC
(16,10),-2.51495 # DEPENDENCYPART_ARC
(16,11),-1.20065 # DEPENDENCYPART_ARC
(16,12),-4.01629 # DEPENDENCYPART_ARC
(16,13),-4.18837 # DEPENDENCYPART_ARC
(16,14),-3.84954 # DEPENDENCYPART_ARC
(16,15),-1.00147 # DEPENDENCYPART_ARC
(16,17),5.22387 # DEPENDENCYPART_ARC
(16,18),2.25995 # DEPENDENCYPART_ARC
(16,19),-1.0222 # DEPENDENCYPART_ARC
(16,20),-0.180574 # DEPENDENCYPART_ARC
(16,21),-0.323569 # DEPENDENCYPART_ARC
(16,22),-1.81461 # DEPENDENCYPART_ARC
(16,23),-0.37509 # DEPENDENCYPART_ARC
(16,24),-2.30494 # DEPENDENCYPART_ARC
(16,25),-0.688427 # DEPENDENCYPART_ARC
(16,27),0.318569 # DEPENDENCYPART_ARC
(16,28),-0.571049 # DEPENDENCYPART_ARC
(16,29),-0.604912 # DEPENDENCYPART_ARC
(17,18),-1.72999 # DEPENDENCYPART_ARC
(17,20),-0.736552 # DEPENDENCYPART_ARC
(17,22),-1.98636 # DEPENDENCYPART_ARC
(18,17),0.385603 # DEPENDENCYPART_ARC
(18,19),3.12067 # DEPENDENCYPART_ARC
(18,20),-0.127368 # DEPENDENCYPART_ARC
(18,21),-1.25105 # DEPENDENCYPART_ARC
(18,22),-0.789709 # DEPENDENCYPART_ARC
(18,23),-2.89092 # DEPENDENCYPART_ARC
(18,24),-2.12499 # DEPENDENCYPART_ARC
(18,25),-1.38959 # DEPENDENCYPART_ARC
(18,26),-2.94581 # DEPENDENCYPART_ARC
(19,17),-1.03389 # DEPENDENCYPART_ARC
(19,18),-0.795001 # DEPENDENCYPART_ARC
(19,20),0.735126 # DEPENDENCYPART_ARC
(19,22),-1.64426 # DEPENDENCYPART_ARC
(19,25),-0.750826 # DEPENDENCYPART_ARC
(20,18),0.278764 # DEPENDENCYPART_ARC
(20,19),0.435393 # DEPENDENCYPART_ARC
(20,22),-0.50843 # DEPENDENCYPART_ARC
(21,18),-0.742116 # DEPENDENCYPART_ARC
(21,20),-0.28188 # DEPENDENCYPART_ARC
(21,23),-0.0565201 # DEPENDENCYPART_ARC
(21,29),-1.06744 # DEPENDENCYPART_ARC
(22,1),-0.76707 # DEPENDENCYPART_ARC
(22,3),-0.30085 # DEPENDENCYPART_ARC
(22,4),-1.16988 # DEPENDENCYPART_ARC
(22,5),-5.88386 # DEPENDENCYPART_ARC
(22,6),-5.25891 # DEPENDENCYPART_ARC
(22,7),-1.00085 # DEPENDENCYPART_ARC
(22,8),-0.0768173 # DEPENDENCYPART_ARC
(22,9),-1.19642 # DEPENDENCYPART_ARC
(22,10),-0.547405 # DEPENDENCYPART_ARC
(22,11),-0.381964 # DEPENDENCYPART_ARC
(22,12),-2.70674 # DEPENDENCYPART_ARC
(22,13),-4.20051 # DEPENDENCYPART_ARC
(22,15),-0.979452 # DEPENDENCYPART_ARC
(22,16),-1.94884 # DEPENDENCYPART_ARC
(22,17),-1.37916 # DEPENDENCYPART_ARC
(22,18),-0.635038 # DEPENDENCYPART_ARC
(22,19),-1.51437 # DEPENDENCYPART_ARC
(22,20),0.442746 # DEPENDENCYPART_ARC
(22,21),2.49004 # DEPENDENCYPART_ARC
(22,23),3.08908 # DEPENDENCYPART_ARC
(22,24),-0.0424898 # DEPENDENCYPART_ARC
(22,25),1.33892 # DEPENDENCYPART_ARC
(22,27),1.86979 # DEPENDENCYPART_ARC
(22,28),1.01877 # DEPENDENCYPART_ARC
(22,29),-0.24569 # DEPENDENCYPART_ARC
(23,21),-0.598589 # DEPENDENCYPART_ARC
(23,24),2.9485 # DEPENDENCYPART_ARC
(23,25),1.11403 # DEPENDENCYPART_ARC
(23,26),0.744654 # DEPENDENCYPART_ARC
(23,27),-0.572684 # DEPENDENCYPART_ARC
(23,28),-0.104618 # DEPENDENCYPART_ARC
(23,29),-0.483414 # DEPENDENCYPART_ARC
(24,21),-0.768641 # DEPENDENCYPART_ARC
(24,23),-0.713644 # DEPENDENCYPART_ARC
(24,25),1.06764 # DEPENDENCYPART_ARC
(24,26),-0.793771 # DEPENDENCYPART_ARC
(24,27),-2.6905 # DEPENDENCYPART_ARC
(24,28),-1.66804 # DEPENDENCYPART_ARC
(25,21),-0.483688 # DEPENDENCYPART_ARC
(25,23),-0.318611 # DEPENDENCYPART_ARC
(25,24),0.382225 # DEPENDENCYPART_ARC
(25,26),2.47316 # DEPENDENCYPART_ARC
(25,27),0.298631 # DEPENDENCYPART_ARC
(25,28),0.41372 # DEPENDENCYPART_ARC
(25,29),-0.522318 # DEPENDENCYPART_ARC
(26,23),-0.775905 # DEPENDENCYPART_ARC
(26,24),-1.00412 # DEPENDENCYPART_ARC
(26,27),-0.859673 # DEPENDENCYPART_ARC
(26,28),-1.39835 # DEPENDENCYPART_ARC
(26,29),-0.837127 # DEPENDENCYPART_ARC
(27,18),-1.47325 # DEPENDENCYPART_ARC
(27,20),-0.219361 # DEPENDENCYPART_ARC
(27,23),-0.201853 # DEPENDENCYPART_ARC
(27,24),-0.577337 # DEPENDENCYPART_ARC
(27,25),0.141253 # DEPENDENCYPART_ARC
(27,26),-0.567922 # DEPENDENCYPART_ARC
(27,28),2.13035 # DEPENDENCYPART_ARC
(27,29),0.120577 # DEPENDENCYPART_ARC
(28,21),-0.987416 # DEPENDENCYPART_ARC
(28,23),-0.430155 # DEPENDENCYPART_ARC
(28,24),-0.810275 # DEPENDENCYPART_ARC
(28,25),-0.614447 # DEPENDENCYPART_ARC
(28,26),-1.7916 # DEPENDENCYPART_ARC
(28,27),-0.830409 # DEPENDENCYPART_ARC
(28,29),0.505198 # DEPENDENCYPART_ARC
(29,27),-1.31009 # DEPENDENCYPART_ARC
(29,28),-0.966252 # DEPENDENCYPART_ARC
