# _root_ وَ كانَ خَطُّ الإِنْتاجِ هٰذا قَد بَدَأَ بِناؤُ هُ فِي مايُو 2002 , وَ طاقَتُ هُ الإِنْتاجِيَّةُ التصميمية 150 أَلْفَ طُنِّ سَنَوِيّاً , وَ مُنْتَجاتُ هُ تُناسِبُ قِطاعَيْ العُمْرانِ وَ الأَجْهِزَةِ الكَهْرَبائِيَّةِ المَنْزِلِيَّةِ .
#goldHeads=0,14,2,3,3,7,2,7,8,7,10,11,12,0,19,15,15,15,14,19,20,19,22,14,27,25,14,27,30,28,30,31,31,0,
#predictedHeads=0,0,2,3,4,7,2,7,8,7,10,11,12,3,14,15,15,15,18,19,20,21,22,14,24,25,25,27,30,28,30,31,31,0,
(7,28),0.0623421 # DEPENDENCYPART_ARC
(7,29),-2.82869 # DEPENDENCYPART_ARC
(7,30),-1.54807 # DEPENDENCYPART_ARC
(7,32),-3.89605 # DEPENDENCYPART_ARC
(7,33),-3.52042 # DEPENDENCYPART_ARC
(7,34),-1.68443 # DEPENDENCYPART_ARC
(8,2),-0.482312 # DEPENDENCYPART_ARC
(8,6),-0.49185 # DEPENDENCYPART_ARC
(8,9),3.25378 # DEPENDENCYPART_ARC
(8,10),1.3136 # DEPENDENCYPART_ARC
(8,11),-0.0186041 # DEPENDENCYPART_ARC
(8,12),-0.0369537 # DEPENDENCYPART_ARC
(8,13),0.186279 # DEPENDENCYPART_ARC
(8,14),0.0338527 # DEPENDENCYPART_ARC
(8,15),-0.291309 # DEPENDENCYPART_ARC
(8,16),0.793403 # DEPENDENCYPART_ARC
(8,17),-0.603835 # DEPENDENCYPART_ARC
(8,18),-0.419896 # DEPENDENCYPART_ARC
(8,20),-0.307 # DEPENDENCYPART_ARC
(9,10),-0.360366 # DEPENDENCYPART_ARC
(9,11),-0.902905 # DEPENDENCYPART_ARC
(10,1),-1.02331 # DEPENDENCYPART_ARC
(10,6),-0.526187 # DEPENDENCYPART_ARC
(10,8),-0.301405 # DEPENDENCYPART_ARC
(10,9),-0.326397 # DEPENDENCYPART_ARC
(10,11),1.57439 # DEPENDENCYPART_ARC
(10,12),-0.0585256 # DEPENDENCYPART_ARC
(10,13),-0.242759 # DEPENDENCYPART_ARC
(10,14),-0.0325714 # DEPENDENCYPART_ARC
(10,15),-1.19904 # DEPENDENCYPART_ARC
(10,18),-0.611506 # DEPENDENCYPART_ARC
(11,12),1.04872 # DEPENDENCYPART_ARC
(11,13),0.292602 # DEPENDENCYPART_ARC
(11,17),-0.437412 # DEPENDENCYPART_ARC
(12,8),-0.14515 # DEPENDENCYPART_ARC
(12,10),-0.19732 # DEPENDENCYPART_ARC
(12,13),0.695358 # DEPENDENCYPART_ARC
(12,14),-0.575411 # DEPENDENCYPART_ARC
(12,15),-0.443023 # DEPENDENCYPART_ARC
(12,17),-0.664829 # DEPENDENCYPART_ARC
(12,18),-0.922492 # DEPENDENCYPART_ARC
(13,2),-1.32637 # DEPENDENCYPART_ARC
(13,11),-0.984002 # DEPENDENCYPART_ARC
(13,12),-0.0653259 # DEPENDENCYPART_ARC
(14,1),-0.99734 # DEPENDENCYPART_ARC
(14,2),0.177732 # DEPENDENCYPART_ARC
(14,3),1.12135 # DEPENDENCYPART_ARC
(14,4),0.324717 # DEPENDENCYPART_ARC
(14,5),-0.46601 # DEPENDENCYPART_ARC
(14,6),0.0393345 # DEPENDENCYPART_ARC
(14,7),0.21251 # DEPENDENCYPART_ARC
(14,8),1.283 # DEPENDENCYPART_ARC
(14,9),-0.12982 # DEPENDENCYPART_ARC
(14,10),-0.470471 # DEPENDENCYPART_ARC
(14,11),0.14716 # DEPENDENCYPART_ARC
(14,12),-0.167001 # DEPENDENCYPART_ARC
(14,13),0.151888 # DEPENDENCYPART_ARC
(14,15),1.17154 # DEPENDENCYPART_ARC
(14,16),0.344939 # DEPENDENCYPART_ARC
(14,17),0.16873 # DEPENDENCYPART_ARC
(14,18),-0.0698255 # DEPENDENCYPART_ARC
(14,19),-0.0194558 # DEPENDENCYPART_ARC
(14,20),0.566381 # DEPENDENCYPART_ARC
(14,21),0.173551 # DEPENDENCYPART_ARC
(14,22),-0.0588739 # DEPENDENCYPART_ARC
(14,23),0.0292394 # DEPENDENCYPART_ARC
(14,24),1.08109 # DEPENDENCYPART_ARC
(14,25),0.464385 # DEPENDENCYPART_ARC
(14,26),-0.615352 # DEPENDENCYPART_ARC
(14,27),-0.50177 # DEPENDENCYPART_ARC
(14,28),-0.57444 # DEPENDENCYPART_ARC
(14,29),-0.884021 # DEPENDENCYPART_ARC
(14,30),-0.340132 # DEPENDENCYPART_ARC
(14,31),-0.282056 # DEPENDENCYPART_ARC
(14,34),-0.0358899 # DEPENDENCYPART_ARC
(15,16),3.26388 # DEPENDENCYPART_ARC
(15,17),2.66789 # DEPENDENCYPART_ARC
(15,18),0.53605 # DEPENDENCYPART_ARC
(15,19),-0.0768751 # DEPENDENCYPART_ARC
(15,20),-0.0199937 # DEPENDENCYPART_ARC
(15,21),0.725381 # DEPENDENCYPART_ARC
(15,22),-1.19781 # DEPENDENCYPART_ARC
(15,23),-0.162439 # DEPENDENCYPART_ARC
(15,24),-0.160749 # DEPENDENCYPART_ARC
(15,25),-0.362933 # DEPENDENCYPART_ARC
(15,27),0.181159 # DEPENDENCYPART_ARC
(15,30),-0.355414 # DEPENDENCYPART_ARC
(16,17),-1.63301 # DEPENDENCYPART_ARC
(17,12),-0.507285 # DEPENDENCYPART_ARC
(17,13),-0.326455 # DEPENDENCYPART_ARC
(17,15),-0.775867 # DEPENDENCYPART_ARC
(17,16),-0.945636 # DEPENDENCYPART_ARC
(17,18),0.363221 # DEPENDENCYPART_ARC
(17,19),-0.444656 # DEPENDENCYPART_ARC
(17,20),-0.691099 # DEPENDENCYPART_ARC
(18,14),-0.69817 # DEPENDENCYPART_ARC
(18,15),0.142022 # DEPENDENCYPART_ARC
(18,17),0.718829 # DEPENDENCYPART_ARC
(18,19),0.80754 # DEPENDENCYPART_ARC
(18,20),0.86191 # DEPENDENCYPART_ARC
(18,21),0.632099 # DEPENDENCYPART_ARC
(18,22),0.282382 # DEPENDENCYPART_ARC
(18,23),-0.166711 # DEPENDENCYPART_ARC
(18,24),-0.0765559 # DEPENDENCYPART_ARC
(18,25),-0.044055 # DEPENDENCYPART_ARC
(18,28),-0.394848 # DEPENDENCYPART_ARC
(18,31),-0.633731 # DEPENDENCYPART_ARC
(19,15),0.431719 # DEPENDENCYPART_ARC
(19,18),0.197694 # DEPENDENCYPART_ARC
(19,20),2.02882 # DEPENDENCYPART_ARC
(19,21),0.473955 # DEPENDENCYPART_ARC
(19,22),0.354438 # DEPENDENCYPART_ARC
(19,23),-0.466928 # DEPENDENCYPART_ARC
(19,24),-0.613993 # DEPENDENCYPART_ARC
(19,27),-0.467964 # DEPENDENCYPART_ARC
(20,2),-0.718376 # DEPENDENCYPART_ARC
(20,16),-2.74899 # DEPENDENCYPART_ARC
(20,21),2.29989 # DEPENDENCYPART_ARC
(20,22),1.44862 # DEPENDENCYPART_ARC
(20,23),-0.123399 # DEPENDENCYPART_ARC
(20,24),-0.281021 # DEPENDENCYPART_ARC
(20,25),-1.4597 # DEPENDENCYPART_ARC
(20,26),0.0949644 # DEPENDENCYPART_ARC
(20,27),-1.33649 # DEPENDENCYPART_ARC
(20,30),-0.903427 # DEPENDENCYPART_ARC
(21,16),-2.46795 # DEPENDENCYPART_ARC
(21,22),1.81194 # DEPENDENCYPART_ARC
(21,23),-0.0924724 # DEPENDENCYPART_ARC
(21,24),-0.740033 # DEPENDENCYPART_ARC
(21,25),-1.18947 # DEPENDENCYPART_ARC
(21,26),0.147634 # DEPENDENCYPART_ARC
(21,27),-1.23763 # DEPENDENCYPART_ARC
(22,21),-0.517083 # DEPENDENCYPART_ARC
(22,23),0.949319 # DEPENDENCYPART_ARC
(22,25),-1.22435 # DEPENDENCYPART_ARC
(23,19),-0.50754 # DEPENDENCYPART_ARC
(23,21),-0.0547874 # DEPENDENCYPART_ARC
(23,22),-0.162146 # DEPENDENCYPART_ARC
(24,2),-0.874643 # DEPENDENCYPART_ARC
(24,3),0.0791596 # DEPENDENCYPART_ARC
(24,4),-0.460355 # DEPENDENCYPART_ARC
(24,6),-0.360145 # DEPENDENCYPART_ARC
(24,7),-0.404014 # DEPENDENCYPART_ARC
(24,8),0.48155 # DEPENDENCYPART_ARC
(24,9),-0.799943 # DEPENDENCYPART_ARC
(24,10),-0.8845 # DEPENDENCYPART_ARC
(24,11),-0.349232 # DEPENDENCYPART_ARC
(24,12),-1.21335 # DEPENDENCYPART_ARC
(24,13),-0.662317 # DEPENDENCYPART_ARC
(24,15),-0.154948 # DEPENDENCYPART_ARC
(24,16),-0.514005 # DEPENDENCYPART_ARC
(24,17),-0.589778 # DEPENDENCYPART_ARC
(24,18),-0.220293 # DEPENDENCYPART_ARC
(24,19),-0.463814 # DEPENDENCYPART_ARC
(24,20),0.843837 # DEPENDENCYPART_ARC
(24,21),0.998641 # DEPENDENCYPART_ARC
(24,22),-0.0902181 # DEPENDENCYPART_ARC
(24,23),0.247105 # DEPENDENCYPART_ARC
(24,25),1.10636 # DEPENDENCYPART_ARC
(24,26),0.391702 # DEPENDENCYPART_ARC
(24,27),0.0599911 # DEPENDENCYPART_ARC
(24,28),-0.154713 # DEPENDENCYPART_ARC
(24,29),-0.46548 # DEPENDENCYPART_ARC
(24,30),0.0726728 # DEPENDENCYPART_ARC
(24,31),0.135063 # DEPENDENCYPART_ARC
(24,32),-1.01233 # DEPENDENCYPART_ARC
(24,33),-0.94323 # DEPENDENCYPART_ARC
(24,34),-0.0263576 # DEPENDENCYPART_ARC
(25,26),2.65123 # DEPENDENCYPART_ARC
(25,27),1.97693 # DEPENDENCYPART_ARC
(25,28),-0.461775 # DEPENDENCYPART_ARC
(25,29),0.383099 # DEPENDENCYPART_ARC
(25,30),0.447695 # DEPENDENCYPART_ARC
(25,32),-0.259631 # DEPENDENCYPART_ARC
(25,33),-0.0550162 # DEPENDENCYPART_ARC
(26,27),-1.33203 # DEPENDENCYPART_ARC
(27,1),-1.05157 # DEPENDENCYPART_ARC
(27,6),-0.943154 # DEPENDENCYPART_ARC
(27,10),-0.96231 # DEPENDENCYPART_ARC
(27,15),-0.139239 # DEPENDENCYPART_ARC
(27,16),-4.58754 # DEPENDENCYPART_ARC
(27,19),-0.651686 # DEPENDENCYPART_ARC
(27,20),-1.4435 # DEPENDENCYPART_ARC
(27,24),0.0740634 # DEPENDENCYPART_ARC
(27,25),0.930289 # DEPENDENCYPART_ARC
(27,26),-1.97847 # DEPENDENCYPART_ARC
(27,28),3.51844 # DEPENDENCYPART_ARC
(27,29),-0.418672 # DEPENDENCYPART_ARC
(27,30),0.601602 # DEPENDENCYPART_ARC
(27,31),-2.84511 # DEPENDENCYPART_ARC
(27,32),-2.93155 # DEPENDENCYPART_ARC
(27,33),-2.65637 # DEPENDENCYPART_ARC
(27,34),-0.570241 # DEPENDENCYPART_ARC
(28,26),-4.5296 # DEPENDENCYPART_ARC
(28,29),1.32237 # DEPENDENCYPART_ARC
(28,30),1.15475 # DEPENDENCYPART_ARC
(28,31),-1.51813 # DEPENDENCYPART_ARC
(28,32),-0.883204 # DEPENDENCYPART_ARC
(28,33),-1.09229 # DEPENDENCYPART_ARC
(28,34),-0.645995 # DEPENDENCYPART_ARC
(29,26),-2.95938 # DEPENDENCYPART_ARC
(29,28),-0.509966 # DEPENDENCYPART_ARC
(29,30),-0.126323 # DEPENDENCYPART_ARC
(29,31),-1.48802 # DEPENDENCYPART_ARC
(29,32),-0.704183 # DEPENDENCYPART_ARC
(29,33),-0.915862 # DEPENDENCYPART_ARC
(30,2),-1.93932 # DEPENDENCYPART_ARC
(30,3),-0.760897 # DEPENDENCYPART_ARC
(30,4),-1.56249 # DEPENDENCYPART_ARC
(30,7),-1.67844 # DEPENDENCYPART_ARC
(30,8),-0.729049 # DEPENDENCYPART_ARC
(30,9),-1.4597 # DEPENDENCYPART_ARC
(30,16),-0.991617 # DEPENDENCYPART_ARC
(30,19),-0.714336 # DEPENDENCYPART_ARC
(30,20),-0.226032 # DEPENDENCYPART_ARC
(30,21),-0.33794 # DEPENDENCYPART_ARC
(30,25),-0.400732 # DEPENDENCYPART_ARC
(30,26),-0.0872876 # DEPENDENCYPART_ARC
(30,27),0.0471782 # DEPENDENCYPART_ARC
(30,28),1.79763 # DEPENDENCYPART_ARC
(30,29),2.47465 # DEPENDENCYPART_ARC
(30,31),1.70689 # DEPENDENCYPART_ARC
(30,32),0.622905 # DEPENDENCYPART_ARC
(30,33),0.469261 # DEPENDENCYPART_ARC
(30,34),0.0141523 # DEPENDENCYPART_ARC
(31,26),-3.80059 # DEPENDENCYPART_ARC
(31,29),-2.16087 # DEPENDENCYPART_ARC
(31,32),2.54991 # DEPENDENCYPART_ARC
(31,33),1.97907 # DEPENDENCYPART_ARC
(31,34),-0.537523 # DEPENDENCYPART_ARC
(32,28),-1.35503 # DEPENDENCYPART_ARC
(32,29),-2.23963 # DEPENDENCYPART_ARC
(32,31),-2.02142 # DEPENDENCYPART_ARC
(32,33),-0.438986 # DEPENDENCYPART_ARC
(32,34),-0.588439 # DEPENDENCYPART_ARC
(33,28),-1.1088 # DEPENDENCYPART_ARC
(33,29),-1.95273 # DEPENDENCYPART_ARC
(33,31),-2.15804 # DEPENDENCYPART_ARC
(33,32),-1.42635 # DEPENDENCYPART_ARC
(33,34),0.488833 # DEPENDENCYPART_ARC
(34,31),-0.947453 # DEPENDENCYPART_ARC
(34,32),-1.17237 # DEPENDENCYPART_ARC
(34,33),-1.0759 # DEPENDENCYPART_ARC
