# _root_ وَ تُعارِضُ إِيرانُ ، ثانِي أَكْبَرِ مُنْتِجٍ لِ النَفْطِ فِي أُوبِك حَيْثُ يَبْلُغُ إِنْتاجُ ها 3,7 مِلْيُون بَرْمِيلٍ فِي اليَوْمِ بَيْنَ ها 2,4 مِلْيُون بَرْمِيلٍ مُخَصَّصَةٍ لِ التَصْدِيرِ ، أَيَّ رَفْعٍ لِ الإِنْتاجِ رَغْمَ اِعْتِمادِ ها عَلَى عائِداتِ النَفْطِ .
#goldHeads=0,0,4,2,4,5,6,7,8,6,10,11,12,13,14,13,16,17,18,19,16,21,21,23,24,23,26,27,4,2,30,31,32,2,34,35,35,37,38,0,
#predictedHeads=0,0,2,3,2,5,6,7,8,9,10,11,12,13,14,13,16,17,13,19,16,21,26,23,24,16,26,27,28,28,30,31,32,33,34,35,35,37,38,0,
(11,13),-0.652186 # DEPENDENCYPART_ARC
(12,1),-0.781214 # DEPENDENCYPART_ARC
(12,2),0.543539 # DEPENDENCYPART_ARC
(12,5),-0.115062 # DEPENDENCYPART_ARC
(12,7),-0.263023 # DEPENDENCYPART_ARC
(12,8),-0.394824 # DEPENDENCYPART_ARC
(12,9),-0.114222 # DEPENDENCYPART_ARC
(12,10),-0.190772 # DEPENDENCYPART_ARC
(12,11),-0.0432812 # DEPENDENCYPART_ARC
(12,13),1.93762 # DEPENDENCYPART_ARC
(12,14),-0.057977 # DEPENDENCYPART_ARC
(12,17),-0.496432 # DEPENDENCYPART_ARC
(12,18),-0.240358 # DEPENDENCYPART_ARC
(12,19),-0.20261 # DEPENDENCYPART_ARC
(12,21),-0.41141 # DEPENDENCYPART_ARC
(13,1),-0.880089 # DEPENDENCYPART_ARC
(13,3),-0.573182 # DEPENDENCYPART_ARC
(13,4),-0.966887 # DEPENDENCYPART_ARC
(13,5),-0.575937 # DEPENDENCYPART_ARC
(13,7),-3.90097 # DEPENDENCYPART_ARC
(13,8),-0.761823 # DEPENDENCYPART_ARC
(13,9),-2.89239 # DEPENDENCYPART_ARC
(13,10),-0.405345 # DEPENDENCYPART_ARC
(13,11),-0.524095 # DEPENDENCYPART_ARC
(13,12),0.173245 # DEPENDENCYPART_ARC
(13,14),3.5562 # DEPENDENCYPART_ARC
(13,16),1.07787 # DEPENDENCYPART_ARC
(13,17),0.490641 # DEPENDENCYPART_ARC
(13,18),-0.846195 # DEPENDENCYPART_ARC
(13,19),1.45284 # DEPENDENCYPART_ARC
(13,20),-1.82425 # DEPENDENCYPART_ARC
(13,21),0.290388 # DEPENDENCYPART_ARC
(13,23),0.187528 # DEPENDENCYPART_ARC
(13,24),-0.729266 # DEPENDENCYPART_ARC
(13,25),-1.91602 # DEPENDENCYPART_ARC
(13,26),-2.69861 # DEPENDENCYPART_ARC
(13,27),0.886362 # DEPENDENCYPART_ARC
(13,28),-2.93574 # DEPENDENCYPART_ARC
(13,29),-0.632982 # DEPENDENCYPART_ARC
(13,30),-0.420016 # DEPENDENCYPART_ARC
(13,31),-2.68865 # DEPENDENCYPART_ARC
(13,32),0.230121 # DEPENDENCYPART_ARC
(13,33),-3.40251 # DEPENDENCYPART_ARC
(13,34),-0.0489322 # DEPENDENCYPART_ARC
(13,35),-3.32045 # DEPENDENCYPART_ARC
(13,37),-1.41141 # DEPENDENCYPART_ARC
(13,38),-4.75939 # DEPENDENCYPART_ARC
(13,39),-3.80658 # DEPENDENCYPART_ARC
(13,40),-1.86934 # DEPENDENCYPART_ARC
(14,11),-0.849591 # DEPENDENCYPART_ARC
(14,15),3.1888 # DEPENDENCYPART_ARC
(14,16),0.114233 # DEPENDENCYPART_ARC
(14,17),0.0506789 # DEPENDENCYPART_ARC
(14,18),-0.334237 # DEPENDENCYPART_ARC
(14,19),0.447379 # DEPENDENCYPART_ARC
(14,20),-0.977987 # DEPENDENCYPART_ARC
(14,21),-0.258501 # DEPENDENCYPART_ARC
(14,22),-0.4252 # DEPENDENCYPART_ARC
(14,23),-0.98743 # DEPENDENCYPART_ARC
(14,24),-0.906687 # DEPENDENCYPART_ARC
(14,27),0.000629576 # DEPENDENCYPART_ARC
(14,32),-0.666083 # DEPENDENCYPART_ARC
(14,34),0.0097178 # DEPENDENCYPART_ARC
(15,14),-0.428595 # DEPENDENCYPART_ARC
(15,17),-0.957696 # DEPENDENCYPART_ARC
(16,14),1.70321 # DEPENDENCYPART_ARC
(16,15),0.525903 # DEPENDENCYPART_ARC
(16,17),2.34852 # DEPENDENCYPART_ARC
(16,18),0.74739 # DEPENDENCYPART_ARC
(16,19),0.833748 # DEPENDENCYPART_ARC
(16,20),0.208248 # DEPENDENCYPART_ARC
(16,21),1.24784 # DEPENDENCYPART_ARC
(16,26),1.73001 # DEPENDENCYPART_ARC
(16,29),-0.863707 # DEPENDENCYPART_ARC
(17,2),-0.9461 # DEPENDENCYPART_ARC
(17,14),-0.478088 # DEPENDENCYPART_ARC
(17,15),-0.195571 # DEPENDENCYPART_ARC
(17,16),-0.0668437 # DEPENDENCYPART_ARC
(17,18),2.02041 # DEPENDENCYPART_ARC
(17,19),-0.0311636 # DEPENDENCYPART_ARC
(17,20),-1.20212 # DEPENDENCYPART_ARC
(17,21),-0.529021 # DEPENDENCYPART_ARC
(17,22),-1.49423 # DEPENDENCYPART_ARC
(17,23),-0.99339 # DEPENDENCYPART_ARC
(17,24),-1.14654 # DEPENDENCYPART_ARC
(17,25),-1.0203 # DEPENDENCYPART_ARC
(17,27),-0.89208 # DEPENDENCYPART_ARC
(18,15),-2.01723 # DEPENDENCYPART_ARC
(18,16),-0.36588 # DEPENDENCYPART_ARC
(18,17),0.157373 # DEPENDENCYPART_ARC
(18,19),0.465904 # DEPENDENCYPART_ARC
(18,20),-1.30453 # DEPENDENCYPART_ARC
(18,21),-0.548697 # DEPENDENCYPART_ARC
(18,22),-2.16923 # DEPENDENCYPART_ARC
(18,23),-1.33389 # DEPENDENCYPART_ARC
(18,27),-0.862092 # DEPENDENCYPART_ARC
(19,14),-0.49382 # DEPENDENCYPART_ARC
(19,15),-0.472249 # DEPENDENCYPART_ARC
(19,17),-0.493818 # DEPENDENCYPART_ARC
(19,18),0.320617 # DEPENDENCYPART_ARC
(19,20),2.88594 # DEPENDENCYPART_ARC
(19,21),-0.0555619 # DEPENDENCYPART_ARC
(19,22),0.533279 # DEPENDENCYPART_ARC
(19,23),-0.658897 # DEPENDENCYPART_ARC
(19,24),-0.614904 # DEPENDENCYPART_ARC
(19,28),0.0123933 # DEPENDENCYPART_ARC
(20,15),-3.01164 # DEPENDENCYPART_ARC
(20,21),0.899081 # DEPENDENCYPART_ARC
(20,22),-1.31306 # DEPENDENCYPART_ARC
(20,23),-0.531777 # DEPENDENCYPART_ARC
(20,24),-1.31289 # DEPENDENCYPART_ARC
(20,25),-1.9929 # DEPENDENCYPART_ARC
(20,26),-2.08221 # DEPENDENCYPART_ARC
(20,27),-0.288748 # DEPENDENCYPART_ARC
(21,1),-0.516753 # DEPENDENCYPART_ARC
(21,14),0.0883663 # DEPENDENCYPART_ARC
(21,17),-0.236951 # DEPENDENCYPART_ARC
(21,18),0.125883 # DEPENDENCYPART_ARC
(21,19),0.360782 # DEPENDENCYPART_ARC
(21,20),1.20278 # DEPENDENCYPART_ARC
(21,22),2.14334 # DEPENDENCYPART_ARC
(21,23),-0.243482 # DEPENDENCYPART_ARC
(21,24),-0.697769 # DEPENDENCYPART_ARC
(21,25),-0.968233 # DEPENDENCYPART_ARC
(21,26),-1.00603 # DEPENDENCYPART_ARC
(21,28),-0.0932249 # DEPENDENCYPART_ARC
(22,18),-0.866037 # DEPENDENCYPART_ARC
(22,20),-0.927965 # DEPENDENCYPART_ARC
(22,24),-1.01656 # DEPENDENCYPART_ARC
(23,18),0.53514 # DEPENDENCYPART_ARC
(23,20),0.657354 # DEPENDENCYPART_ARC
(23,21),0.78531 # DEPENDENCYPART_ARC
(23,22),0.497182 # DEPENDENCYPART_ARC
(23,24),2.316 # DEPENDENCYPART_ARC
(23,25),0.80732 # DEPENDENCYPART_ARC
(23,26),0.629705 # DEPENDENCYPART_ARC
(23,27),0.065547 # DEPENDENCYPART_ARC
(23,29),-0.422618 # DEPENDENCYPART_ARC
(23,32),-0.268603 # DEPENDENCYPART_ARC
(23,40),-1.37144 # DEPENDENCYPART_ARC
(24,22),-0.224543 # DEPENDENCYPART_ARC
(24,23),-0.12028 # DEPENDENCYPART_ARC
(24,25),1.96606 # DEPENDENCYPART_ARC
(24,26),0.624383 # DEPENDENCYPART_ARC
(24,27),0.0352633 # DEPENDENCYPART_ARC
(24,28),-0.901125 # DEPENDENCYPART_ARC
(24,29),-0.530771 # DEPENDENCYPART_ARC
(24,30),-0.962962 # DEPENDENCYPART_ARC
(24,31),-0.675177 # DEPENDENCYPART_ARC
(24,32),-0.980529 # DEPENDENCYPART_ARC
(24,33),-1.89592 # DEPENDENCYPART_ARC
(24,34),-0.764385 # DEPENDENCYPART_ARC
(24,37),-1.56917 # DEPENDENCYPART_ARC
(25,22),-2.05107 # DEPENDENCYPART_ARC
(25,26),1.34165 # DEPENDENCYPART_ARC
(25,27),0.242804 # DEPENDENCYPART_ARC
(25,28),-1.41017 # DEPENDENCYPART_ARC
(25,29),-1.12157 # DEPENDENCYPART_ARC
(25,30),-2.56043 # DEPENDENCYPART_ARC
(25,31),-1.4855 # DEPENDENCYPART_ARC
(25,32),-1.14271 # DEPENDENCYPART_ARC
(25,34),-1.07485 # DEPENDENCYPART_ARC
(25,37),-1.8317 # DEPENDENCYPART_ARC
(26,17),-0.68311 # DEPENDENCYPART_ARC
(26,22),-1.48203 # DEPENDENCYPART_ARC
(26,23),0.460779 # DEPENDENCYPART_ARC
(26,24),0.330497 # DEPENDENCYPART_ARC
(26,25),-0.743718 # DEPENDENCYPART_ARC
(26,27),1.1271 # DEPENDENCYPART_ARC
(26,28),0.126399 # DEPENDENCYPART_ARC
(26,29),0.364025 # DEPENDENCYPART_ARC
(26,30),-0.879416 # DEPENDENCYPART_ARC
(27,25),-0.0309449 # DEPENDENCYPART_ARC
(27,26),-0.558646 # DEPENDENCYPART_ARC
(27,28),2.80464 # DEPENDENCYPART_ARC
(27,29),-0.4352 # DEPENDENCYPART_ARC
(27,30),-0.744984 # DEPENDENCYPART_ARC
(27,31),-1.24199 # DEPENDENCYPART_ARC
(27,33),-0.65651 # DEPENDENCYPART_ARC
(28,29),0.868091 # DEPENDENCYPART_ARC
(28,30),-0.00151824 # DEPENDENCYPART_ARC
(28,31),-0.500508 # DEPENDENCYPART_ARC
(28,32),0.0224845 # DEPENDENCYPART_ARC
(28,33),-1.20404 # DEPENDENCYPART_ARC
(28,34),-0.126107 # DEPENDENCYPART_ARC
(28,35),-1.48253 # DEPENDENCYPART_ARC
(28,36),-2.2915 # DEPENDENCYPART_ARC
(28,37),-0.418252 # DEPENDENCYPART_ARC
(28,39),-0.821978 # DEPENDENCYPART_ARC
(29,25),0.279554 # DEPENDENCYPART_ARC
(29,26),-0.411169 # DEPENDENCYPART_ARC
(29,28),0.662371 # DEPENDENCYPART_ARC
(29,30),-0.0410949 # DEPENDENCYPART_ARC
(29,31),-0.823104 # DEPENDENCYPART_ARC
(29,35),-1.28912 # DEPENDENCYPART_ARC
(30,28),-1.00749 # DEPENDENCYPART_ARC
(30,29),0.15754 # DEPENDENCYPART_ARC
(30,31),2.45526 # DEPENDENCYPART_ARC
(30,32),0.780395 # DEPENDENCYPART_ARC
(30,33),-0.28023 # DEPENDENCYPART_ARC
(30,34),0.278772 # DEPENDENCYPART_ARC
(30,35),-1.22929 # DEPENDENCYPART_ARC
(30,36),-0.403308 # DEPENDENCYPART_ARC
(30,37),-0.0623941 # DEPENDENCYPART_ARC
(30,38),-1.41849 # DEPENDENCYPART_ARC
(30,39),-0.262326 # DEPENDENCYPART_ARC
(30,40),-0.290352 # DEPENDENCYPART_ARC
(31,29),-0.762936 # DEPENDENCYPART_ARC
(31,32),1.65999 # DEPENDENCYPART_ARC
(31,33),-0.166059 # DEPENDENCYPART_ARC
(31,34),0.680543 # DEPENDENCYPART_ARC
(31,35),-1.46076 # DEPENDENCYPART_ARC
(31,36),-1.11763 # DEPENDENCYPART_ARC
(31,37),0.0518369 # DEPENDENCYPART_ARC
(31,39),-0.707455 # DEPENDENCYPART_ARC
(32,28),-0.222246 # DEPENDENCYPART_ARC
(32,30),-0.0251975 # DEPENDENCYPART_ARC
(32,31),0.788292 # DEPENDENCYPART_ARC
(32,33),2.89711 # DEPENDENCYPART_ARC
(32,34),0.00176916 # DEPENDENCYPART_ARC
(32,35),0.307147 # DEPENDENCYPART_ARC
(32,38),-0.175711 # DEPENDENCYPART_ARC
(33,34),0.700779 # DEPENDENCYPART_ARC
(33,35),-0.957421 # DEPENDENCYPART_ARC
(33,36),-1.35233 # DEPENDENCYPART_ARC
(33,37),-0.288617 # DEPENDENCYPART_ARC
(33,38),-2.69178 # DEPENDENCYPART_ARC
(33,39),-1.17175 # DEPENDENCYPART_ARC
(34,30),-0.613447 # DEPENDENCYPART_ARC
(34,31),-0.285986 # DEPENDENCYPART_ARC
(34,32),-0.370193 # DEPENDENCYPART_ARC
(34,33),0.67412 # DEPENDENCYPART_ARC
(34,35),1.73793 # DEPENDENCYPART_ARC
(34,36),0.215726 # DEPENDENCYPART_ARC
(34,37),-1.02265 # DEPENDENCYPART_ARC
(34,38),-0.103649 # DEPENDENCYPART_ARC
(34,39),-1.15549 # DEPENDENCYPART_ARC
(35,36),3.43644 # DEPENDENCYPART_ARC
(35,37),1.37014 # DEPENDENCYPART_ARC
(35,38),-0.162195 # DEPENDENCYPART_ARC
(35,39),0.522878 # DEPENDENCYPART_ARC
(35,40),-0.471669 # DEPENDENCYPART_ARC
(36,33),-1.12204 # DEPENDENCYPART_ARC
(36,35),-0.561673 # DEPENDENCYPART_ARC
(36,37),-0.245289 # DEPENDENCYPART_ARC
(36,38),-1.56236 # DEPENDENCYPART_ARC
(37,33),0.102921 # DEPENDENCYPART_ARC
(37,35),0.212636 # DEPENDENCYPART_ARC
(37,36),0.161491 # DEPENDENCYPART_ARC
(37,38),2.36713 # DEPENDENCYPART_ARC
(37,39),0.295844 # DEPENDENCYPART_ARC
(37,40),-0.341725 # DEPENDENCYPART_ARC
(38,36),-4.651 # DEPENDENCYPART_ARC
(38,39),2.60933 # DEPENDENCYPART_ARC
(38,40),-0.0435928 # DEPENDENCYPART_ARC
(39,36),-1.94475 # DEPENDENCYPART_ARC
(39,38),-0.984783 # DEPENDENCYPART_ARC
(39,40),0.0525643 # DEPENDENCYPART_ARC
(40,38),-0.749301 # DEPENDENCYPART_ARC
(40,39),-0.453428 # DEPENDENCYPART_ARC
