# _root_ El conseller , contràriament , va defensar que l' ànim del govern català sempre ha estat " el d' ajudar el Barça " .
#goldHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,19,19,16,19,22,20,19,7,
#predictedHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,19,19,16,19,22,20,19,7,
(0,6),(0,15),-0.943312 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.964369 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.944138 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.933743 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.9548 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.93457 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.97326 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.950965 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.938311 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0384734 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0781121 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0384734 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.221292 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0366129 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.332018 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.34421 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.363599 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.125026 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0825038 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.34767 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0246334 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0856738 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0914054 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.181949 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.105702 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0848653 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.228814 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.106521 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0556192 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.134142 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.21162 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.101182 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.000577103 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.076686 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.03831 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.102308 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00316917 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0189813 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0328346 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0384682 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0093379 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0770159 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.181949 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.105702 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0848653 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.228814 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.106521 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0556192 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.134142 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.21162 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.101182 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.100585 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0608046 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.028823 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0747704 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0162985 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0150987 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0201273 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0509849 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0273268 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0158751 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0173334 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0173062 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0724291 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0245733 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.035612 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00545849 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.156115 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00226668 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.102977 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.0101146 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.112758 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0263814 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0194935 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0297245 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0352674 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0166941 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00996423 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0329904 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.074253 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0234762 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0524259 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0158109 # DEPENDENCYPART_SIBL
(2,13),(2,24),-0.080192 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.00984095 # DEPENDENCYPART_SIBL
(2,17),(2,24),-0.0835327 # DEPENDENCYPART_SIBL
(2,22),(2,24),-0.0239912 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0184501 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00937912 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0381994 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0421482 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0485901 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00969683 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0083828 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.041986 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00416893 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.00392113 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0490789 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.603452 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0360516 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0917104 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0270884 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.257038 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0166295 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.117995 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0740289 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.145513 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0920482 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0496239 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0206753 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0816211 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0263392 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0561933 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0503796 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.103475 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0248274 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0306647 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0449133 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0984597 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.014728 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.156644 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0586674 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.172017 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0193674 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0432632 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.101466 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.034115 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.160221 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0512346 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.213782 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0387854 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0358303 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.108396 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.244499 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0225444 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0678579 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0993912 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0377521 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.159567 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00479536 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.203774 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0710239 # DEPENDENCYPART_SIBL
(4,11),(4,20),-2.36638e-05 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0303864 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0143664 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0344 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0191459 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.196258 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0323106 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0336397 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.0325549 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0312102 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0122501 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.476177 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.027514 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.476177 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0516868 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0282869 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0407779 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.173958 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.231067 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.250151 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.265086 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.111777 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0962285 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.135025 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.106828 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.244629 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.268372 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0230236 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00546559 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.012945 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.163828 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.150701 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.111777 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0962285 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.135025 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.106828 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.244629 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0105236 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0574815 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0317937 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.00802896 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0206746 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.0377998 # DEPENDENCYPART_SIBL
(6,10),(6,24),0.0152319 # DEPENDENCYPART_SIBL
(6,16),(6,23),-0.0080808 # DEPENDENCYPART_SIBL
(6,16),(6,24),-0.0151117 # DEPENDENCYPART_SIBL
(6,23),(6,24),0.0166966 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.00575597 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0850332 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.135005 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0850332 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0778124 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.244934 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0128716 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0603401 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0251617 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0440419 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0826754 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.12355 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0847338 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.132269 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0384953 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0598224 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.0176201 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.132269 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.122614 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.485826 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00493318 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.485826 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.180745 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.140475 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0208909 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.107172 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00737318 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0303225 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0320263 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0130974 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00995718 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0265094 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0805719 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.0150974 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0308215 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.0265094 # DEPENDENCYPART_SIBL
(7,2),(7,24),0.0468884 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0962965 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.372765 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.128347 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.107417 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0334654 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0307263 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0204999 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0562237 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0291778 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00618698 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00223324 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.178712 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0779749 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0252424 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0383061 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.178712 # DEPENDENCYPART_SIBL
(7,3),(7,24),-0.508667 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.29047 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0132301 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.12743 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0361435 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0806555 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0129136 # DEPENDENCYPART_SIBL
