# _root_ Mentrestant , a l' interior del que ha de ser el pou d' extracció més modern amb què compta Iberpotash , tot està a punt per a rebre la maquinària de tecnologia alemanya .
#goldHeads=23,3,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,3,23,0,23,24,23,26,27,30,28,30,31,32,23,
#predictedHeads=23,1,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,0,19,23,23,0,23,24,23,26,27,30,28,30,31,32,23,
(0,6),(0,10),-0.400176 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0508233 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.413687 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.425146 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.398756 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.283549 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.963203 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.280584 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.953411 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.967616 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.952371 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.410594 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0233599 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.405869 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.419897 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.383455 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.282112 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.935284 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.949152 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.934332 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.425931 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.434502 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.421346 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.954894 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.940092 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.947445 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0458358 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0805899 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.033652 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.201476 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0226538 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0165233 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.183184 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0255959 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0735325 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.278574 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.11395 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.167835 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0523342 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.220587 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0739105 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0713863 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0303379 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.190918 # DEPENDENCYPART_SIBL
(3,1),(3,34),0.266452 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0908436 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0663624 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0360387 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0537707 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0435998 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.494911 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.0846017 # DEPENDENCYPART_SIBL
(3,2),(3,34),-0.176798 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.122124 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0111841 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.129744 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.129301 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0442108 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.115228 # DEPENDENCYPART_SIBL
(3,4),(3,34),0.00435301 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.13906 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.541932 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.539775 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.055009 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.00125759 # DEPENDENCYPART_SIBL
(3,5),(3,34),-0.0571171 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.111712 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0908229 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0245271 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0870805 # DEPENDENCYPART_SIBL
(3,6),(3,34),0.0618969 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.339521 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.08573 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.251251 # DEPENDENCYPART_SIBL
(3,8),(3,34),0.085172 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.214369 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.362846 # DEPENDENCYPART_SIBL
(3,10),(3,34),0.171239 # DEPENDENCYPART_SIBL
(3,21),(3,27),0.565091 # DEPENDENCYPART_SIBL
(3,21),(3,34),-0.0154205 # DEPENDENCYPART_SIBL
(3,27),(3,34),0.155627 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.455241 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0843541 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.142916 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.115582 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.136329 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.293513 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0440513 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0269103 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0788616 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.054313 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0927867 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0220157 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.088521 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00661658 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0221744 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0434029 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0278424 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0533008 # DEPENDENCYPART_SIBL
(5,1),(5,34),0.0430455 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.311867 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0201395 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.13587 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0608571 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.033093 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.108548 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0555274 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0390377 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00178233 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0888231 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0778927 # DEPENDENCYPART_SIBL
(5,2),(5,34),-0.316278 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.108502 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.020804 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0570867 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0892737 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0425357 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0215441 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0106308 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0159033 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.013669 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.00906141 # DEPENDENCYPART_SIBL
(5,3),(5,34),0.0555327 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.275362 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.14399 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.327003 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.103505 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.133049 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.231975 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0134546 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.00885052 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.111517 # DEPENDENCYPART_SIBL
(5,4),(5,34),0.0243578 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0662388 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.012107 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.057377 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0273478 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0488729 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0554246 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0858624 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0539554 # DEPENDENCYPART_SIBL
(5,6),(5,34),0.00391829 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0145628 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0956123 # DEPENDENCYPART_SIBL
