# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,28,20,18,23,23,20,23,18,28,28,7,28,29,30,5,
(23,5),-3.34625 # DEPENDENCYPART_ARC
(23,7),-1.94163 # DEPENDENCYPART_ARC
(23,11),-2.22257 # DEPENDENCYPART_ARC
(23,12),-1.77098 # DEPENDENCYPART_ARC
(23,15),-2.84993 # DEPENDENCYPART_ARC
(23,16),-1.99607 # DEPENDENCYPART_ARC
(23,17),-0.298048 # DEPENDENCYPART_ARC
(23,18),-0.608742 # DEPENDENCYPART_ARC
(23,20),-1.27071 # DEPENDENCYPART_ARC
(23,21),2.15594 # DEPENDENCYPART_ARC
(23,22),2.21147 # DEPENDENCYPART_ARC
(23,24),0.815372 # DEPENDENCYPART_ARC
(23,25),-0.975666 # DEPENDENCYPART_ARC
(23,26),-1.63202 # DEPENDENCYPART_ARC
(23,27),-2.32262 # DEPENDENCYPART_ARC
(23,28),-2.02191 # DEPENDENCYPART_ARC
(23,29),-1.38622 # DEPENDENCYPART_ARC
(23,30),-1.95775 # DEPENDENCYPART_ARC
(23,31),-2.27558 # DEPENDENCYPART_ARC
(23,32),-1.48294 # DEPENDENCYPART_ARC
(24,1),-2.25125 # DEPENDENCYPART_ARC
(24,5),-4.30781 # DEPENDENCYPART_ARC
(24,7),-3.04275 # DEPENDENCYPART_ARC
(24,11),-3.13968 # DEPENDENCYPART_ARC
(24,12),-2.76823 # DEPENDENCYPART_ARC
(24,16),-2.79218 # DEPENDENCYPART_ARC
(24,17),-1.76448 # DEPENDENCYPART_ARC
(24,18),-1.61704 # DEPENDENCYPART_ARC
(24,20),-1.68616 # DEPENDENCYPART_ARC
(24,21),0.332116 # DEPENDENCYPART_ARC
(24,22),0.476478 # DEPENDENCYPART_ARC
(24,23),1.51375 # DEPENDENCYPART_ARC
(24,25),-0.416669 # DEPENDENCYPART_ARC
(24,26),-0.77991 # DEPENDENCYPART_ARC
(24,27),-1.09995 # DEPENDENCYPART_ARC
(24,28),-1.02102 # DEPENDENCYPART_ARC
(24,29),-0.890717 # DEPENDENCYPART_ARC
(24,30),-1.72277 # DEPENDENCYPART_ARC
(24,31),-1.81609 # DEPENDENCYPART_ARC
(24,32),-0.939337 # DEPENDENCYPART_ARC
(26,25),-0.930933 # DEPENDENCYPART_ARC
(26,29),-2.10591 # DEPENDENCYPART_ARC
(27,25),-1.46384 # DEPENDENCYPART_ARC
(27,26),-0.778735 # DEPENDENCYPART_ARC
(27,29),-1.6936 # DEPENDENCYPART_ARC
(27,30),-1.32414 # DEPENDENCYPART_ARC
(27,31),-1.71068 # DEPENDENCYPART_ARC
(28,1),-1.56169 # DEPENDENCYPART_ARC
(28,5),-3.68008 # DEPENDENCYPART_ARC
(28,7),-2.34255 # DEPENDENCYPART_ARC
(28,10),-2.23707 # DEPENDENCYPART_ARC
(28,11),-2.23343 # DEPENDENCYPART_ARC
(28,12),-2.02526 # DEPENDENCYPART_ARC
(28,15),-3.63685 # DEPENDENCYPART_ARC
(28,16),-2.47669 # DEPENDENCYPART_ARC
(28,17),-1.04239 # DEPENDENCYPART_ARC
(28,18),-0.836823 # DEPENDENCYPART_ARC
(28,20),-2.06746 # DEPENDENCYPART_ARC
(28,21),-1.25046 # DEPENDENCYPART_ARC
(28,22),-2.24556 # DEPENDENCYPART_ARC
(28,23),-0.213119 # DEPENDENCYPART_ARC
(28,24),-0.390083 # DEPENDENCYPART_ARC
(28,25),-0.560755 # DEPENDENCYPART_ARC
(28,26),0.91841 # DEPENDENCYPART_ARC
(28,27),1.85102 # DEPENDENCYPART_ARC
(28,29),1.41005 # DEPENDENCYPART_ARC
(28,30),-0.380876 # DEPENDENCYPART_ARC
(28,31),-1.01389 # DEPENDENCYPART_ARC
(28,32),-0.484752 # DEPENDENCYPART_ARC
(29,30),1.7894 # DEPENDENCYPART_ARC
(29,31),-0.404317 # DEPENDENCYPART_ARC
(30,29),-0.417058 # DEPENDENCYPART_ARC
(30,31),0.74752 # DEPENDENCYPART_ARC
(31,25),-2.35776 # DEPENDENCYPART_ARC
(31,29),-0.947834 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.443003 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0241001 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.414699 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.421507 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.414468 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.279645 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.95752 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.940836 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.951406 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.416522 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.431409 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.422538 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.924398 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.935326 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.94101 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.479451 # DEPENDENCYPART_SIBL
(1,3),(1,7),-1.00815 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.071155 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0911722 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.0911722 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.39801 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.11449 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0861994 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.0861994 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0827532 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0258419 # DEPENDENCYPART_SIBL
(1,7),(1,25),0.0258419 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0504832 # DEPENDENCYPART_SIBL
(1,14),(1,25),-0.0504832 # DEPENDENCYPART_SIBL
(1,17),(1,25),-0.522645 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0350466 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.225594 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.095347 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0323614 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0928549 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.114033 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0909846 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.138795 # DEPENDENCYPART_SIBL
(3,2),(3,32),-0.00900974 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00858218 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00308636 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00812733 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00534957 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00122534 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0203255 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0224095 # DEPENDENCYPART_SIBL
(3,4),(3,32),-0.00585341 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00410471 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0198811 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0271403 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0606864 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0590814 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0435092 # DEPENDENCYPART_SIBL
(3,5),(3,32),0.0245779 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0491022 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00964186 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0178449 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0551679 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.007653 # DEPENDENCYPART_SIBL
(3,7),(3,32),2.28806e-05 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00108412 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0285551 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0226764 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.029358 # DEPENDENCYPART_SIBL
(3,8),(3,32),0.010739 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0045782 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00966131 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0395489 # DEPENDENCYPART_SIBL
(3,11),(3,32),-0.02084 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0189206 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0259436 # DEPENDENCYPART_SIBL
(3,12),(3,32),0.120464 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.54539 # DEPENDENCYPART_SIBL
(3,14),(3,32),-0.0153272 # DEPENDENCYPART_SIBL
(3,16),(3,32),-0.0179475 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0334147 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.021056 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.771743 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0589106 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.118121 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0584513 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.126989 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0385341 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0559243 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0345452 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0394964 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0310309 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0447014 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.0345452 # DEPENDENCYPART_SIBL
(5,1),(5,28),0.0201227 # DEPENDENCYPART_SIBL
(5,1),(5,32),0.0881967 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.344519 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0347334 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.000126079 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.069568 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00961555 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0175069 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00830552 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0999114 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0123885 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0465732 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0422714 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0999114 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.065393 # DEPENDENCYPART_SIBL
(5,3),(5,32),-0.0250887 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.34786 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.568785 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.430677 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.576923 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.476048 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.479144 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.572477 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.443782 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.432326 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.46214 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.572477 # DEPENDENCYPART_SIBL
(5,4),(5,28),0.407916 # DEPENDENCYPART_SIBL
(5,4),(5,32),0.7123 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0165942 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0787554 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0165877 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0166757 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0319698 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0125793 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0620877 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.050814 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.0760581 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0125793 # DEPENDENCYPART_SIBL
(5,6),(5,28),0.0468208 # DEPENDENCYPART_SIBL
(5,6),(5,32),-0.01141 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0195433 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.255174 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0799081 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.00161441 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0988051 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.00895211 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0503276 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0471289 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.0988051 # DEPENDENCYPART_SIBL
(5,7),(5,28),0.0338912 # DEPENDENCYPART_SIBL
(5,7),(5,32),0.0791439 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0752514 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0734791 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00120272 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0165322 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.206917 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0312165 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.0632924 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.0165322 # DEPENDENCYPART_SIBL
(5,8),(5,28),0.0290871 # DEPENDENCYPART_SIBL
(5,8),(5,32),0.0301869 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.086822 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.00156832 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.102675 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0196566 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.047562 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0443634 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.102675 # DEPENDENCYPART_SIBL
(5,10),(5,28),0.0311256 # DEPENDENCYPART_SIBL
(5,10),(5,32),0.087172 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0102437 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0604632 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.00742528 # DEPENDENCYPART_SIBL
(5,12),(5,23),0.079487 # DEPENDENCYPART_SIBL
(5,12),(5,24),0.117713 # DEPENDENCYPART_SIBL
(5,12),(5,25),0.0604632 # DEPENDENCYPART_SIBL
(5,12),(5,28),0.0756124 # DEPENDENCYPART_SIBL
(5,12),(5,32),0.0651334 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0111823 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0151308 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.78473 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.797348 # DEPENDENCYPART_SIBL
(5,14),(5,25),0.0111823 # DEPENDENCYPART_SIBL
(5,14),(5,28),0.777916 # DEPENDENCYPART_SIBL
(5,14),(5,32),0.057058 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.232449 # DEPENDENCYPART_SIBL
(5,17),(5,23),0.0914918 # DEPENDENCYPART_SIBL
(5,17),(5,24),0.145773 # DEPENDENCYPART_SIBL
(5,17),(5,25),-0.0628462 # DEPENDENCYPART_SIBL
(5,17),(5,28),0.0949611 # DEPENDENCYPART_SIBL
(5,17),(5,32),-0.0309568 # DEPENDENCYPART_SIBL
(5,18),(5,23),0.0689642 # DEPENDENCYPART_SIBL
(5,18),(5,24),0.103961 # DEPENDENCYPART_SIBL
(5,18),(5,25),0.0492156 # DEPENDENCYPART_SIBL
(5,18),(5,28),0.0589388 # DEPENDENCYPART_SIBL
(5,18),(5,32),0.0502503 # DEPENDENCYPART_SIBL
(5,23),(5,24),0.0285337 # DEPENDENCYPART_SIBL
(5,23),(5,25),-0.00221983 # DEPENDENCYPART_SIBL
(5,23),(5,28),-0.0302693 # DEPENDENCYPART_SIBL
(5,23),(5,32),0.00312145 # DEPENDENCYPART_SIBL
(5,24),(5,25),0.0474566 # DEPENDENCYPART_SIBL
(5,24),(5,28),-0.0305807 # DEPENDENCYPART_SIBL
(5,24),(5,32),0.0431197 # DEPENDENCYPART_SIBL
(5,25),(5,28),0.0949611 # DEPENDENCYPART_SIBL
(5,25),(5,32),-0.0309568 # DEPENDENCYPART_SIBL
(5,28),(5,32),-0.000672229 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.573377 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.188622 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0594217 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.145746 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0760902 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00313919 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0375379 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0298227 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0164906 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0261172 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0363417 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0275933 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0484503 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.00259097 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.00717796 # DEPENDENCYPART_SIBL
(7,1),(7,24),0.00686728 # DEPENDENCYPART_SIBL
(7,1),(7,28),0.00243667 # DEPENDENCYPART_SIBL
(7,1),(7,32),0.0686629 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0403101 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0736806 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.118195 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0525282 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.126451 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.123687 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0686326 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0476471 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0917646 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0634626 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.124267 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.053432 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.0735819 # DEPENDENCYPART_SIBL
