# _root_ De_fet , la noia presentava fractura de pelvis , turmell i cama i va ser atesa a un centre hospitalari .
#goldHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
#predictedHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
(6,9),-0.504882 # DEPENDENCYPART_ARC
(6,10),-0.228895 # DEPENDENCYPART_ARC
(6,11),-0.10715 # DEPENDENCYPART_ARC
(6,12),-0.62814 # DEPENDENCYPART_ARC
(6,13),-1.07215 # DEPENDENCYPART_ARC
(6,15),-2.62823 # DEPENDENCYPART_ARC
(6,16),-2.45456 # DEPENDENCYPART_ARC
(6,20),-2.90815 # DEPENDENCYPART_ARC
(6,21),-2.30541 # DEPENDENCYPART_ARC
(7,8),2.75417 # DEPENDENCYPART_ARC
(7,9),-1.11838 # DEPENDENCYPART_ARC
(7,10),-1.29589 # DEPENDENCYPART_ARC
(7,11),-1.49394 # DEPENDENCYPART_ARC
(7,13),-1.67387 # DEPENDENCYPART_ARC
(7,16),-3.15387 # DEPENDENCYPART_ARC
(8,1),-2.54489 # DEPENDENCYPART_ARC
(8,3),-3.99991 # DEPENDENCYPART_ARC
(8,9),-0.501632 # DEPENDENCYPART_ARC
(8,10),0.31197 # DEPENDENCYPART_ARC
(8,11),0.658914 # DEPENDENCYPART_ARC
(8,12),0.0870813 # DEPENDENCYPART_ARC
(8,13),-0.965991 # DEPENDENCYPART_ARC
(8,15),-2.62122 # DEPENDENCYPART_ARC
(8,16),-2.60393 # DEPENDENCYPART_ARC
(8,21),-2.32429 # DEPENDENCYPART_ARC
(10,1),-2.50493 # DEPENDENCYPART_ARC
(10,5),-2.97603 # DEPENDENCYPART_ARC
(10,7),-1.54135 # DEPENDENCYPART_ARC
(10,9),-0.533393 # DEPENDENCYPART_ARC
(10,11),0.1425 # DEPENDENCYPART_ARC
(10,12),-0.399062 # DEPENDENCYPART_ARC
(10,13),-1.44544 # DEPENDENCYPART_ARC
(10,14),-1.95508 # DEPENDENCYPART_ARC
(10,15),-2.2299 # DEPENDENCYPART_ARC
(10,16),-2.27835 # DEPENDENCYPART_ARC
(10,20),-1.40376 # DEPENDENCYPART_ARC
(10,21),-1.90887 # DEPENDENCYPART_ARC
(12,1),-2.45719 # DEPENDENCYPART_ARC
(12,5),-3.21148 # DEPENDENCYPART_ARC
(12,9),-2.47503 # DEPENDENCYPART_ARC
(12,10),-2.06031 # DEPENDENCYPART_ARC
(12,11),-0.469653 # DEPENDENCYPART_ARC
(12,13),-1.05029 # DEPENDENCYPART_ARC
(12,15),-2.24537 # DEPENDENCYPART_ARC
(12,16),-2.13043 # DEPENDENCYPART_ARC
(14,13),-2.79258 # DEPENDENCYPART_ARC
(14,15),-0.884681 # DEPENDENCYPART_ARC
(14,17),-1.69768 # DEPENDENCYPART_ARC
(15,1),-2.47797 # DEPENDENCYPART_ARC
(15,4),-2.69894 # DEPENDENCYPART_ARC
(15,5),-3.723 # DEPENDENCYPART_ARC
(15,6),-2.88826 # DEPENDENCYPART_ARC
(15,9),-3.55626 # DEPENDENCYPART_ARC
(15,10),-2.09304 # DEPENDENCYPART_ARC
(15,11),-2.79794 # DEPENDENCYPART_ARC
(15,12),-1.74164 # DEPENDENCYPART_ARC
(15,13),-1.54524 # DEPENDENCYPART_ARC
(15,14),1.37942 # DEPENDENCYPART_ARC
(15,16),0.414005 # DEPENDENCYPART_ARC
(15,17),-0.532202 # DEPENDENCYPART_ARC
(15,19),-1.41359 # DEPENDENCYPART_ARC
(15,21),-1.23353 # DEPENDENCYPART_ARC
(16,1),-1.23781 # DEPENDENCYPART_ARC
(16,4),-0.876399 # DEPENDENCYPART_ARC
(16,5),-0.714363 # DEPENDENCYPART_ARC
(16,6),-1.00683 # DEPENDENCYPART_ARC
(16,8),-1.35115 # DEPENDENCYPART_ARC
(16,9),-2.48007 # DEPENDENCYPART_ARC
(16,10),-0.590292 # DEPENDENCYPART_ARC
(16,11),-1.55437 # DEPENDENCYPART_ARC
(16,12),-0.26531 # DEPENDENCYPART_ARC
(16,13),-0.663292 # DEPENDENCYPART_ARC
(16,14),3.00032 # DEPENDENCYPART_ARC
(16,15),3.73697 # DEPENDENCYPART_ARC
(16,17),1.79625 # DEPENDENCYPART_ARC
(16,19),-0.344899 # DEPENDENCYPART_ARC
(16,20),-0.888169 # DEPENDENCYPART_ARC
(16,21),-0.66623 # DEPENDENCYPART_ARC
(17,5),-2.06603 # DEPENDENCYPART_ARC
(17,15),-1.85823 # DEPENDENCYPART_ARC
(17,19),1.64484 # DEPENDENCYPART_ARC
(17,20),-1.53766 # DEPENDENCYPART_ARC
(17,21),-1.31978 # DEPENDENCYPART_ARC
(18,17),-0.567534 # DEPENDENCYPART_ARC
(19,5),-2.83498 # DEPENDENCYPART_ARC
(19,10),-2.98163 # DEPENDENCYPART_ARC
(19,17),-0.866851 # DEPENDENCYPART_ARC
(19,18),1.22227 # DEPENDENCYPART_ARC
(19,20),1.71017 # DEPENDENCYPART_ARC
(19,21),-0.825958 # DEPENDENCYPART_ARC
(20,18),-1.59067 # DEPENDENCYPART_ARC
(20,21),-1.56536 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0388592 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.37898 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.391755 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.384671 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.424617 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.42166 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.425082 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.940916 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.927939 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.929497 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.100048 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0380189 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0787645 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0093841 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.190461 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.353697 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0410868 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0791432 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.199703 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00893374 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0826516 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0730854 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0795944 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0511142 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0486076 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.206604 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.177454 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0290316 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00993137 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0814631 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0727581 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0843421 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.181405 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.149327 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0205043 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.353697 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0410868 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.306552 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.153707 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0566346 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0940284 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0326756 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00949611 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0196795 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00757811 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00930435 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.004738 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00948256 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.004738 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0369993 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0548521 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0598667 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.166865 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0170244 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.138914 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.418538 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0175971 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0136524 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0210558 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0136524 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.161619 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.25367 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0391201 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0272973 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.124614 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0586407 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0267592 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0741145 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0272811 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0741145 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0232789 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0480714 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0308778 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.048636 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0899871 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0310968 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0616933 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0311381 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0616933 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0452992 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0550869 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0427268 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.04745 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0076452 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0312794 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0077036 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0312794 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00625944 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.00320475 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.073681 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.038061 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0369871 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0387789 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0369871 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0167148 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0698704 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.371776 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.264592 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.371825 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.264592 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0560228 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0173665 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.033583 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.00754153 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.033583 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00185212 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.00312253 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.607236 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.310076 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0978245 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.00571772 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0317663 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00274401 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.00158205 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0978245 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.00571772 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0612064 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.252238 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0537574 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.104541 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0150653 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0297245 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0193066 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0355898 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0192835 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0567589 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0175233 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0567589 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0657876 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0371175 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0507096 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.00556869 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0692584 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0858793 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0904837 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.024091 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0239034 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0278251 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.219301 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0276722 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0093803 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0185236 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0093803 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.135354 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0282187 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0186697 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0422962 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.461494 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0180094 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0181961 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0381968 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0224452 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.038789 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0222052 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00954769 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0206518 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00954769 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.157749 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0759564 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00638261 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0849513 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0466343 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0150884 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00605662 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00468373 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.000473511 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00470683 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0361359 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00646724 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0361359 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0824804 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00404485 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0290072 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0267141 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0526991 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0378239 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.229386 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00105455 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.229397 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00180391 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.229172 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.00180391 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.106551 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0328877 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0288008 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0622042 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0048586 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0412872 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0383681 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0414244 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0141482 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0401987 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0141482 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0793676 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0283164 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0177904 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.00874099 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.001925 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0143834 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.223079 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0101614 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.222855 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0101614 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0911062 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0174432 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0133562 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0629897 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0148824 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0254529 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.21963 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0252377 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.21963 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0322665 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0323529 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0344442 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.194829 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0548808 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.00980732 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.222885 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00980732 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0911339 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0174708 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0133839 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0624428 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.0146214 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.210123 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.406191 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.49652 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.660745 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.656584 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0819222 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.0307286 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.00127371 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0974082 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0237452 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0196583 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0589012 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0068527 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.49652 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.660745 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.656584 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0819222 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0307286 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0798186 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0512418 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0298416 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.0424265 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00684981 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0374471 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.0152014 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0218567 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.0575513 # DEPENDENCYPART_SIBL
(5,17),(5,21),0.0364511 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0538891 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0682687 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0739203 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.170368 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0428565 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0172011 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0271092 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.017003 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0109091 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0171812 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0109091 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0860939 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0359142 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0368356 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0490043 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0421249 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.237962 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.366423 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.018448 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0523501 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.334691 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.052678 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0318181 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0561366 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0318181 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.111762 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.104731 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0185376 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.316297 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0166299 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00238644 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.132018 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0628071 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0604771 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0622472 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0335198 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.062769 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0335198 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0155609 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0535282 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0478478 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0298537 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.175188 # DEPENDENCYPART_SIBL
