# _root_ Boff va ser condemnat pel Vaticà , l' any_1985 , a un any de silenci i va tornar a ser amonestat posteriorment pel contingut dels seus escrits .
#goldHeads=4,4,4,0,4,5,9,9,4,9,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
#predictedHeads=4,4,4,0,4,5,9,9,4,11,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
(3,28),-1.9088 # DEPENDENCYPART_ARC
(4,1),0.226107 # DEPENDENCYPART_ARC
(4,2),2.0099 # DEPENDENCYPART_ARC
(4,3),3.78729 # DEPENDENCYPART_ARC
(4,5),1.43447 # DEPENDENCYPART_ARC
(4,6),-0.0204585 # DEPENDENCYPART_ARC
(4,7),-0.648523 # DEPENDENCYPART_ARC
(4,9),-0.671629 # DEPENDENCYPART_ARC
(4,10),-1.22447 # DEPENDENCYPART_ARC
(4,11),-0.648397 # DEPENDENCYPART_ARC
(4,13),-1.3711 # DEPENDENCYPART_ARC
(4,14),-0.920447 # DEPENDENCYPART_ARC
(4,15),-1.6889 # DEPENDENCYPART_ARC
(4,16),-0.153737 # DEPENDENCYPART_ARC
(4,17),-1.71623 # DEPENDENCYPART_ARC
(4,18),-1.63692 # DEPENDENCYPART_ARC
(4,19),-1.70044 # DEPENDENCYPART_ARC
(4,20),-2.23242 # DEPENDENCYPART_ARC
(4,21),-1.0669 # DEPENDENCYPART_ARC
(4,22),-2.79085 # DEPENDENCYPART_ARC
(4,23),-1.78314 # DEPENDENCYPART_ARC
(4,24),-2.48463 # DEPENDENCYPART_ARC
(4,25),-2.16125 # DEPENDENCYPART_ARC
(4,27),-1.62339 # DEPENDENCYPART_ARC
(4,28),-0.405905 # DEPENDENCYPART_ARC
(5,3),-1.95098 # DEPENDENCYPART_ARC
(5,4),-1.60664 # DEPENDENCYPART_ARC
(5,6),2.22119 # DEPENDENCYPART_ARC
(5,7),-0.794563 # DEPENDENCYPART_ARC
(5,9),-1.49693 # DEPENDENCYPART_ARC
(5,10),-1.43746 # DEPENDENCYPART_ARC
(5,11),-2.21612 # DEPENDENCYPART_ARC
(5,14),-2.968 # DEPENDENCYPART_ARC
(5,23),-1.81065 # DEPENDENCYPART_ARC
(6,5),-1.21607 # DEPENDENCYPART_ARC
(6,7),-0.890286 # DEPENDENCYPART_ARC
(6,9),-1.16875 # DEPENDENCYPART_ARC
(6,10),-1.02398 # DEPENDENCYPART_ARC
(6,11),-1.50112 # DEPENDENCYPART_ARC
(6,13),-1.66111 # DEPENDENCYPART_ARC
(6,14),-1.81869 # DEPENDENCYPART_ARC
(6,15),-1.54637 # DEPENDENCYPART_ARC
(6,16),-0.805297 # DEPENDENCYPART_ARC
(6,28),-2.83319 # DEPENDENCYPART_ARC
(8,5),-1.7607 # DEPENDENCYPART_ARC
(8,9),-0.751191 # DEPENDENCYPART_ARC
(8,12),-1.55952 # DEPENDENCYPART_ARC
(9,5),-1.17663 # DEPENDENCYPART_ARC
(9,7),-0.289251 # DEPENDENCYPART_ARC
(9,8),1.22743 # DEPENDENCYPART_ARC
(9,10),-0.376358 # DEPENDENCYPART_ARC
(9,11),-0.888164 # DEPENDENCYPART_ARC
(9,13),-1.39894 # DEPENDENCYPART_ARC
(9,14),-1.59217 # DEPENDENCYPART_ARC
(9,16),-1.49891 # DEPENDENCYPART_ARC
(9,18),-2.06234 # DEPENDENCYPART_ARC
(9,19),-2.21173 # DEPENDENCYPART_ARC
(9,20),-2.04902 # DEPENDENCYPART_ARC
(9,21),-2.0636 # DEPENDENCYPART_ARC
(10,7),-2.03257 # DEPENDENCYPART_ARC
(11,4),-2.35833 # DEPENDENCYPART_ARC
(11,7),-2.28755 # DEPENDENCYPART_ARC
(11,8),-3.15692 # DEPENDENCYPART_ARC
(11,9),-2.10109 # DEPENDENCYPART_ARC
(11,10),-0.159644 # DEPENDENCYPART_ARC
(11,12),-1.44477 # DEPENDENCYPART_ARC
(11,13),1.55574 # DEPENDENCYPART_ARC
(11,14),-1.78605 # DEPENDENCYPART_ARC
(11,15),-0.782459 # DEPENDENCYPART_ARC
(11,16),-1.32374 # DEPENDENCYPART_ARC
(11,17),-2.58197 # DEPENDENCYPART_ARC
(11,18),-2.00586 # DEPENDENCYPART_ARC
(11,19),-1.74146 # DEPENDENCYPART_ARC
(11,20),-2.16396 # DEPENDENCYPART_ARC
(11,21),-2.25009 # DEPENDENCYPART_ARC
(11,23),-2.07231 # DEPENDENCYPART_ARC
(11,25),-2.71461 # DEPENDENCYPART_ARC
(11,28),-1.62261 # DEPENDENCYPART_ARC
(12,11),-0.613643 # DEPENDENCYPART_ARC
(12,13),-0.00364091 # DEPENDENCYPART_ARC
(12,14),-0.475171 # DEPENDENCYPART_ARC
(13,4),-2.7046 # DEPENDENCYPART_ARC
(13,5),-1.84074 # DEPENDENCYPART_ARC
(13,7),-1.8375 # DEPENDENCYPART_ARC
(13,8),-2.00407 # DEPENDENCYPART_ARC
(13,10),-1.31907 # DEPENDENCYPART_ARC
(13,11),-0.501963 # DEPENDENCYPART_ARC
(13,12),1.11253 # DEPENDENCYPART_ARC
(13,14),1.00024 # DEPENDENCYPART_ARC
(13,15),-0.426824 # DEPENDENCYPART_ARC
(13,16),-0.786562 # DEPENDENCYPART_ARC
(13,17),-1.90422 # DEPENDENCYPART_ARC
(13,18),-2.06874 # DEPENDENCYPART_ARC
(13,19),-1.74525 # DEPENDENCYPART_ARC
(13,20),-2.47025 # DEPENDENCYPART_ARC
(13,21),-2.26597 # DEPENDENCYPART_ARC
(13,22),-1.72847 # DEPENDENCYPART_ARC
(13,28),-2.44315 # DEPENDENCYPART_ARC
(14,10),-1.80115 # DEPENDENCYPART_ARC
(14,12),-1.81259 # DEPENDENCYPART_ARC
(14,15),2.21469 # DEPENDENCYPART_ARC
(14,16),-1.29045 # DEPENDENCYPART_ARC
(14,17),-2.74149 # DEPENDENCYPART_ARC
(14,19),-2.43394 # DEPENDENCYPART_ARC
(14,20),-2.48121 # DEPENDENCYPART_ARC
(14,23),-2.04416 # DEPENDENCYPART_ARC
(15,12),-1.6532 # DEPENDENCYPART_ARC
(15,14),0.0669212 # DEPENDENCYPART_ARC
(15,16),-1.0701 # DEPENDENCYPART_ARC
(15,17),-1.80313 # DEPENDENCYPART_ARC
(15,18),-1.99158 # DEPENDENCYPART_ARC
(17,18),-0.3911 # DEPENDENCYPART_ARC
(17,19),-1.11598 # DEPENDENCYPART_ARC
(18,1),-3.12341 # DEPENDENCYPART_ARC
(18,2),-5.3179 # DEPENDENCYPART_ARC
(18,3),-2.72705 # DEPENDENCYPART_ARC
(18,4),-2.95968 # DEPENDENCYPART_ARC
(18,5),-3.02007 # DEPENDENCYPART_ARC
(18,9),-2.78332 # DEPENDENCYPART_ARC
(18,10),-3.14709 # DEPENDENCYPART_ARC
(18,11),-1.88029 # DEPENDENCYPART_ARC
(18,13),-1.99936 # DEPENDENCYPART_ARC
(18,14),-2.66193 # DEPENDENCYPART_ARC
(18,15),-1.97309 # DEPENDENCYPART_ARC
(18,16),-1.45629 # DEPENDENCYPART_ARC
(18,17),1.26808 # DEPENDENCYPART_ARC
(18,19),0.486361 # DEPENDENCYPART_ARC
(18,20),-0.918017 # DEPENDENCYPART_ARC
(18,21),-1.42938 # DEPENDENCYPART_ARC
(18,22),-2.00485 # DEPENDENCYPART_ARC
(18,23),-1.43423 # DEPENDENCYPART_ARC
(18,24),-2.484 # DEPENDENCYPART_ARC
(18,25),-1.64562 # DEPENDENCYPART_ARC
(18,27),-1.84433 # DEPENDENCYPART_ARC
(18,28),-1.53211 # DEPENDENCYPART_ARC
(19,20),0.612789 # DEPENDENCYPART_ARC
(19,21),-0.150957 # DEPENDENCYPART_ARC
(19,22),-1.86768 # DEPENDENCYPART_ARC
(19,23),-1.78315 # DEPENDENCYPART_ARC
(19,24),-1.84512 # DEPENDENCYPART_ARC
(19,25),-2.42295 # DEPENDENCYPART_ARC
(20,1),-2.95626 # DEPENDENCYPART_ARC
(20,2),-4.68759 # DEPENDENCYPART_ARC
(20,3),-1.76639 # DEPENDENCYPART_ARC
(20,4),-2.21857 # DEPENDENCYPART_ARC
(20,5),-2.47195 # DEPENDENCYPART_ARC
(20,11),-1.91947 # DEPENDENCYPART_ARC
(20,13),-2.10622 # DEPENDENCYPART_ARC
(20,15),-2.24599 # DEPENDENCYPART_ARC
(20,17),-0.326888 # DEPENDENCYPART_ARC
(20,18),1.8719 # DEPENDENCYPART_ARC
(20,19),0.542476 # DEPENDENCYPART_ARC
(20,21),0.027085 # DEPENDENCYPART_ARC
(20,22),-1.1286 # DEPENDENCYPART_ARC
(20,23),-1.0038 # DEPENDENCYPART_ARC
(20,24),-1.67459 # DEPENDENCYPART_ARC
(20,25),-1.45539 # DEPENDENCYPART_ARC
(20,27),-1.74905 # DEPENDENCYPART_ARC
(20,28),-1.60889 # DEPENDENCYPART_ARC
(21,1),-1.91884 # DEPENDENCYPART_ARC
(21,2),-3.73857 # DEPENDENCYPART_ARC
(21,3),-1.03862 # DEPENDENCYPART_ARC
(21,4),-1.19989 # DEPENDENCYPART_ARC
(21,5),-1.61301 # DEPENDENCYPART_ARC
(21,7),-3.46244 # DEPENDENCYPART_ARC
(21,9),-1.76937 # DEPENDENCYPART_ARC
(21,10),-2.79679 # DEPENDENCYPART_ARC
(21,11),-0.977848 # DEPENDENCYPART_ARC
(21,13),-1.46305 # DEPENDENCYPART_ARC
(21,14),-2.08483 # DEPENDENCYPART_ARC
(21,15),-1.86853 # DEPENDENCYPART_ARC
(21,16),-1.76551 # DEPENDENCYPART_ARC
(21,17),0.056883 # DEPENDENCYPART_ARC
(21,18),0.974085 # DEPENDENCYPART_ARC
(21,19),0.218062 # DEPENDENCYPART_ARC
(21,20),3.33368 # DEPENDENCYPART_ARC
(21,22),0.866899 # DEPENDENCYPART_ARC
(21,23),0.497254 # DEPENDENCYPART_ARC
(21,24),-0.224723 # DEPENDENCYPART_ARC
(21,25),-0.25012 # DEPENDENCYPART_ARC
(21,27),-0.337974 # DEPENDENCYPART_ARC
(21,28),-0.314167 # DEPENDENCYPART_ARC
(22,23),-0.97163 # DEPENDENCYPART_ARC
(22,24),-1.54323 # DEPENDENCYPART_ARC
(22,25),-2.0205 # DEPENDENCYPART_ARC
(23,21),-1.81923 # DEPENDENCYPART_ARC
(23,22),-0.579359 # DEPENDENCYPART_ARC
(23,24),1.95473 # DEPENDENCYPART_ARC
(23,25),-0.778948 # DEPENDENCYPART_ARC
(24,22),-1.292 # DEPENDENCYPART_ARC
(24,23),-1.00781 # DEPENDENCYPART_ARC
(24,25),0.335191 # DEPENDENCYPART_ARC
(24,26),-1.58257 # DEPENDENCYPART_ARC
(24,27),-0.714579 # DEPENDENCYPART_ARC
(24,28),-1.13014 # DEPENDENCYPART_ARC
(25,22),-2.07619 # DEPENDENCYPART_ARC
(25,27),2.44797 # DEPENDENCYPART_ARC
(27,4),-2.59438 # DEPENDENCYPART_ARC
(27,22),-2.00799 # DEPENDENCYPART_ARC
(27,25),-1.30957 # DEPENDENCYPART_ARC
(27,26),1.64179 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.954878 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.945183 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.94532 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.954878 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.944579 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.933883 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.932911 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.940072 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.933279 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.936917 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.94648 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.937286 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.943125 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.933931 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.933279 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.101322 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.020935 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0181962 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0684278 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0385483 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0338658 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0570972 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0804567 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.281155 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0692188 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.20738 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0189137 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0399734 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0160364 # DEPENDENCYPART_SIBL
(2,3),(2,28),-0.00699043 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0430308 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00284218 # DEPENDENCYPART_SIBL
(2,4),(2,28),0.0136231 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.000881555 # DEPENDENCYPART_SIBL
(2,5),(2,28),0.122134 # DEPENDENCYPART_SIBL
(2,9),(2,28),0.0527513 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.134934 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00440053 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0172095 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0183049 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0273071 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00490822 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0273071 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0190186 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0218659 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00611811 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.094965 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0631303 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0190186 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0202702 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.00452821 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0257672 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0405701 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0512016 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0364449 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.101324 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.291788 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.101324 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00818764 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0375388 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.204052 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.125181 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0498051 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.00818764 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0188599 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0428394 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.344284 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0164077 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.001758 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0198781 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0201113 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0198781 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0217482 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0169175 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00703055 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0865837 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0665885 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0217482 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0389821 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0230459 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.00517443 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.117746 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0100151 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0692298 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0100151 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.132916 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.155759 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0295419 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.120777 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.105028 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.132916 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0483806 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0535624 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.00469196 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0145347 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0199738 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0145347 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0397129 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.266419 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0138479 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0804504 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0650767 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0397129 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.00402171 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.00283864 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0049689 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0336622 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0414502 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.131845 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.129055 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.225513 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0145293 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0253886 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.131845 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0862925 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.101226 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0257671 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0384173 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0627083 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0747611 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0183132 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0767095 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0638226 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0627083 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0413252 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0166252 # DEPENDENCYPART_SIBL
(3,9),(3,28),0.0227622 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.131845 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.129055 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.225513 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0145293 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0253886 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.131845 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0862925 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.101226 # DEPENDENCYPART_SIBL
(3,10),(3,28),-0.0257671 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0761617 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.00656251 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0653362 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0362331 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0478173 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.00837002 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.00994457 # DEPENDENCYPART_SIBL
(3,11),(3,28),0.0282371 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.00988175 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.101306 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0856916 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0528305 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.024862 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0177763 # DEPENDENCYPART_SIBL
(3,13),(3,28),0.0240502 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.534362 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.62141 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0670556 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.712097 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.700212 # DEPENDENCYPART_SIBL
(3,16),(3,28),0.0553998 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.109835 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0340737 # DEPENDENCYPART_SIBL
(3,17),(3,20),-0.0822186 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.0640734 # DEPENDENCYPART_SIBL
(3,17),(3,28),-0.0717705 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0782437 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0663977 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0504614 # DEPENDENCYPART_SIBL
(3,18),(3,28),-0.0929997 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.00837002 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.00994457 # DEPENDENCYPART_SIBL
(3,19),(3,28),0.0282371 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0437997 # DEPENDENCYPART_SIBL
(3,20),(3,28),0.0363005 # DEPENDENCYPART_SIBL
(3,21),(3,28),0.000642401 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.180128 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0445189 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.101424 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0288672 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0106229 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0196153 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0106229 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0739941 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0302046 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0248693 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0544907 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0235243 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0547964 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0174488 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0739941 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0239519 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0443319 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0225457 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.101424 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0176074 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0379156 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.0262226 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.0642551 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.188365 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.161934 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.040375 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0931849 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.281046 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0931849 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0858793 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0394044 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0209146 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0658653 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.124518 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0937401 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0099889 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0858793 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0653856 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0737983 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0580949 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.161934 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0287192 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0122313 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.0375446 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.352319 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.296908 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0219322 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00125705 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.11876 # DEPENDENCYPART_SIBL
