# _root_ Tot_i_que ahir hi va haver una reunió de darrera hora , no es va aconseguir acostar posicions , de_manera_que els treballadors han decidit anar a la vaga .
#goldHeads=5,5,5,5,15,7,5,7,10,8,5,15,15,15,0,15,16,23,23,21,23,23,15,23,24,27,25,15,
#predictedHeads=5,5,5,5,0,7,5,7,10,8,5,15,15,15,5,15,16,23,23,21,23,23,16,23,24,27,25,5,
(14,11),-2.47963 # DEPENDENCYPART_ARC
(14,12),-1.29102 # DEPENDENCYPART_ARC
(14,13),-0.904199 # DEPENDENCYPART_ARC
(14,15),-0.551103 # DEPENDENCYPART_ARC
(14,17),-1.65731 # DEPENDENCYPART_ARC
(14,18),-1.58874 # DEPENDENCYPART_ARC
(14,24),-2.84169 # DEPENDENCYPART_ARC
(14,28),-3.64055 # DEPENDENCYPART_ARC
(15,1),-1.9958 # DEPENDENCYPART_ARC
(15,2),-1.53004 # DEPENDENCYPART_ARC
(15,3),-3.69499 # DEPENDENCYPART_ARC
(15,4),-3.0149 # DEPENDENCYPART_ARC
(15,5),-1.62266 # DEPENDENCYPART_ARC
(15,7),-1.79412 # DEPENDENCYPART_ARC
(15,8),-2.40261 # DEPENDENCYPART_ARC
(15,9),-2.29996 # DEPENDENCYPART_ARC
(15,10),-2.18412 # DEPENDENCYPART_ARC
(15,11),-1.4176 # DEPENDENCYPART_ARC
(15,12),-0.0285936 # DEPENDENCYPART_ARC
(15,13),0.0799719 # DEPENDENCYPART_ARC
(15,14),2.00955 # DEPENDENCYPART_ARC
(15,16),1.45285 # DEPENDENCYPART_ARC
(15,17),0.873114 # DEPENDENCYPART_ARC
(15,18),-0.449048 # DEPENDENCYPART_ARC
(15,19),-1.18561 # DEPENDENCYPART_ARC
(15,21),-1.69856 # DEPENDENCYPART_ARC
(15,22),-1.65258 # DEPENDENCYPART_ARC
(15,23),-1.76034 # DEPENDENCYPART_ARC
(15,24),-1.22158 # DEPENDENCYPART_ARC
(15,25),-1.83821 # DEPENDENCYPART_ARC
(15,28),-1.40803 # DEPENDENCYPART_ARC
(16,1),-2.37652 # DEPENDENCYPART_ARC
(16,2),-2.16471 # DEPENDENCYPART_ARC
(16,3),-4.29641 # DEPENDENCYPART_ARC
(16,4),-3.87034 # DEPENDENCYPART_ARC
(16,5),-2.50387 # DEPENDENCYPART_ARC
(16,7),-2.80125 # DEPENDENCYPART_ARC
(16,8),-3.30663 # DEPENDENCYPART_ARC
(16,9),-3.09276 # DEPENDENCYPART_ARC
(16,10),-3.05241 # DEPENDENCYPART_ARC
(16,11),-2.49102 # DEPENDENCYPART_ARC
(16,12),-1.05209 # DEPENDENCYPART_ARC
(16,13),-1.69199 # DEPENDENCYPART_ARC
(16,14),-0.306462 # DEPENDENCYPART_ARC
(16,15),1.27897 # DEPENDENCYPART_ARC
(16,17),2.33039 # DEPENDENCYPART_ARC
(16,18),-0.444305 # DEPENDENCYPART_ARC
(16,19),-1.05378 # DEPENDENCYPART_ARC
(16,21),-1.0807 # DEPENDENCYPART_ARC
(16,22),-1.29726 # DEPENDENCYPART_ARC
(16,23),-1.72553 # DEPENDENCYPART_ARC
(16,24),-1.20932 # DEPENDENCYPART_ARC
(16,25),-1.62346 # DEPENDENCYPART_ARC
(16,28),-0.998831 # DEPENDENCYPART_ARC
(17,3),-2.01111 # DEPENDENCYPART_ARC
(17,14),-2.21438 # DEPENDENCYPART_ARC
(17,15),-2.01751 # DEPENDENCYPART_ARC
(17,16),-1.16989 # DEPENDENCYPART_ARC
(17,18),-0.565026 # DEPENDENCYPART_ARC
(17,19),-0.84342 # DEPENDENCYPART_ARC
(17,21),-1.02447 # DEPENDENCYPART_ARC
(17,22),-1.34192 # DEPENDENCYPART_ARC
(17,23),-1.71072 # DEPENDENCYPART_ARC
(17,24),-2.48849 # DEPENDENCYPART_ARC
(18,17),-1.65723 # DEPENDENCYPART_ARC
(19,18),-0.923891 # DEPENDENCYPART_ARC
(19,21),-1.78733 # DEPENDENCYPART_ARC
(19,22),-1.90873 # DEPENDENCYPART_ARC
(19,23),-2.35351 # DEPENDENCYPART_ARC
(19,24),-2.45943 # DEPENDENCYPART_ARC
(19,25),-2.30782 # DEPENDENCYPART_ARC
(20,21),-1.07927 # DEPENDENCYPART_ARC
(21,3),-2.4243 # DEPENDENCYPART_ARC
(21,16),-2.83414 # DEPENDENCYPART_ARC
(21,17),-2.74044 # DEPENDENCYPART_ARC
(21,19),-1.51607 # DEPENDENCYPART_ARC
(21,20),2.39141 # DEPENDENCYPART_ARC
(21,22),-0.911312 # DEPENDENCYPART_ARC
(21,23),-1.76274 # DEPENDENCYPART_ARC
(22,17),-3.40635 # DEPENDENCYPART_ARC
(22,18),-2.96239 # DEPENDENCYPART_ARC
(22,19),-1.80539 # DEPENDENCYPART_ARC
(22,20),-3.16903 # DEPENDENCYPART_ARC
(22,21),-1.60826 # DEPENDENCYPART_ARC
(22,23),-0.879484 # DEPENDENCYPART_ARC
(22,24),-1.55877 # DEPENDENCYPART_ARC
(22,25),-1.80387 # DEPENDENCYPART_ARC
(22,28),-2.46024 # DEPENDENCYPART_ARC
(23,1),-2.49975 # DEPENDENCYPART_ARC
(23,2),-1.59382 # DEPENDENCYPART_ARC
(23,4),-4.05134 # DEPENDENCYPART_ARC
(23,5),-1.81055 # DEPENDENCYPART_ARC
(23,7),-2.67555 # DEPENDENCYPART_ARC
(23,14),-2.85974 # DEPENDENCYPART_ARC
(23,15),-1.77776 # DEPENDENCYPART_ARC
(23,16),-1.56746 # DEPENDENCYPART_ARC
(23,17),-2.03788 # DEPENDENCYPART_ARC
(23,18),-1.10857 # DEPENDENCYPART_ARC
(23,19),-0.054196 # DEPENDENCYPART_ARC
(23,20),-1.79559 # DEPENDENCYPART_ARC
(23,21),-0.340732 # DEPENDENCYPART_ARC
(23,22),1.9717 # DEPENDENCYPART_ARC
(23,24),0.85742 # DEPENDENCYPART_ARC
(23,25),-0.0941407 # DEPENDENCYPART_ARC
(23,27),-0.971388 # DEPENDENCYPART_ARC
(23,28),-0.611752 # DEPENDENCYPART_ARC
(24,1),-3.74672 # DEPENDENCYPART_ARC
(24,2),-2.63457 # DEPENDENCYPART_ARC
(24,4),-5.83547 # DEPENDENCYPART_ARC
(24,5),-3.12603 # DEPENDENCYPART_ARC
(24,7),-3.21472 # DEPENDENCYPART_ARC
(24,14),-4.5713 # DEPENDENCYPART_ARC
(24,15),-3.15117 # DEPENDENCYPART_ARC
(24,16),-3.40012 # DEPENDENCYPART_ARC
(24,17),-2.86004 # DEPENDENCYPART_ARC
(24,18),-2.67543 # DEPENDENCYPART_ARC
(24,19),-1.29064 # DEPENDENCYPART_ARC
(24,20),-3.16394 # DEPENDENCYPART_ARC
(24,21),-1.27647 # DEPENDENCYPART_ARC
(24,22),-0.114193 # DEPENDENCYPART_ARC
(24,23),0.988095 # DEPENDENCYPART_ARC
(24,25),1.55772 # DEPENDENCYPART_ARC
(24,27),-0.171678 # DEPENDENCYPART_ARC
(24,28),-0.703604 # DEPENDENCYPART_ARC
(25,27),2.23409 # DEPENDENCYPART_ARC
(27,3),-0.747816 # DEPENDENCYPART_ARC
(27,22),-3.94462 # DEPENDENCYPART_ARC
(27,25),-1.51447 # DEPENDENCYPART_ARC
(27,26),1.79838 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.94425 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.948016 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.946852 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.945787 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.945269 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.944976 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.958744 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.940451 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.939655 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.93859 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.938072 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.937779 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.951635 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.946852 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.945787 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.945269 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.944976 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.958744 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.94172 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.941014 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.940721 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.954489 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.936925 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.936632 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.9504 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.941731 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.955499 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.947633 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0139661 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.131023 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.132612 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0619495 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0628735 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0892099 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.148148 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0498017 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0944733 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.117348 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0131846 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0329139 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0407944 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0118029 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0300789 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0313168 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0488732 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0428785 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0387598 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0449201 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.218736 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00450753 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00494072 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0108074 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0411669 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0361567 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.234807 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.331123 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0172301 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0839161 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.237225 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.488256 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.0355716 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.355159 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0404085 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0662222 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.151561 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.12934 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.104109 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0697598 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0847282 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.219406 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.247565 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.239235 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.020492 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0185917 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00370714 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0519191 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0353555 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0649943 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.0439847 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0791745 # DEPENDENCYPART_SIBL
(4,8),(4,28),0.102631 # DEPENDENCYPART_SIBL
(4,11),(4,28),-0.0260437 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.266509 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.495552 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.258836 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0281479 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.217346 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0346759 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.176626 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.328504 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0513626 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0425606 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0404883 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.328504 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0458957 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.000872667 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0643001 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0587424 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0534998 # DEPENDENCYPART_SIBL
(5,1),(5,28),-0.0207994 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.612447 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.356229 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0805721 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.173039 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00343015 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.111164 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0883535 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0179538 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.122001 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.118632 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0883535 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.107469 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0735194 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.156998 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.12895 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0779983 # DEPENDENCYPART_SIBL
(5,2),(5,28),0.180314 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.576341 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0954928 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.425025 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.111836 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.384164 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.289499 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0697106 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.118567 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.178362 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.289499 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.167275 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.134525 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.196496 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.254675 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.27242 # DEPENDENCYPART_SIBL
(5,3),(5,28),0.395718 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.149623 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.29912 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0562116 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.20063 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.177521 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0152737 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.121894 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.143733 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.177521 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.125232 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0884645 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.180809 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.169818 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.119544 # DEPENDENCYPART_SIBL
(5,4),(5,28),0.472739 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0128086 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.120446 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0152723 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0545473 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0502628 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0105813 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0173219 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0545473 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0730144 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0251245 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0205522 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.0367824 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0666571 # DEPENDENCYPART_SIBL
(5,6),(5,28),-0.00189825 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00789128 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.220656 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.113112 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0447941 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0381193 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0424016 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.113112 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0306355 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.0147688 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0502129 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0690581 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.120108 # DEPENDENCYPART_SIBL
(5,7),(5,28),0.183822 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.106111 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0842236 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.106064 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0605913 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.02795 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0842236 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0951252 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0952495 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0236446 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.00988138 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.0316308 # DEPENDENCYPART_SIBL
(5,8),(5,28),0.00936045 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.138351 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0285971 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0543158 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0585983 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.138351 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0278631 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.00142775 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.0664095 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0852547 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.113748 # DEPENDENCYPART_SIBL
(5,10),(5,28),0.164034 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0608242 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0171189 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0266796 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.125487 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0105677 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0285914 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.0419203 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.0652441 # DEPENDENCYPART_SIBL
(5,11),(5,25),-0.236478 # DEPENDENCYPART_SIBL
(5,11),(5,28),-0.0588488 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0573447 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0470707 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0441721 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.0670562 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.0904598 # DEPENDENCYPART_SIBL
(5,14),(5,23),-0.0434131 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.0531311 # DEPENDENCYPART_SIBL
(5,14),(5,25),-0.0349132 # DEPENDENCYPART_SIBL
(5,14),(5,28),0.0305655 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00835955 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0533769 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0301912 # DEPENDENCYPART_SIBL
(5,15),(5,22),-0.0516547 # DEPENDENCYPART_SIBL
(5,15),(5,23),-0.00460801 # DEPENDENCYPART_SIBL
(5,15),(5,24),-0.014326 # DEPENDENCYPART_SIBL
(5,15),(5,25),0.0239459 # DEPENDENCYPART_SIBL
(5,15),(5,28),0.130293 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.0235296 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0396085 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.0561082 # DEPENDENCYPART_SIBL
