# _root_ Per intentar el rècord , l' embarcació catalana participarà en el rànquing ' World_Sailing_Record ' , l' entitat que estableix la legalitat de les marques .
#goldHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
#predictedHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
(4,9),-0.87133 # DEPENDENCYPART_ARC
(4,10),-1.63635 # DEPENDENCYPART_ARC
(4,12),-1.20106 # DEPENDENCYPART_ARC
(4,13),-1.48473 # DEPENDENCYPART_ARC
(4,14),-1.66485 # DEPENDENCYPART_ARC
(4,15),-1.98733 # DEPENDENCYPART_ARC
(4,16),-1.3258 # DEPENDENCYPART_ARC
(4,18),-2.36307 # DEPENDENCYPART_ARC
(4,20),-1.17544 # DEPENDENCYPART_ARC
(4,22),-2.35989 # DEPENDENCYPART_ARC
(4,25),-2.76983 # DEPENDENCYPART_ARC
(4,26),-2.73457 # DEPENDENCYPART_ARC
(5,4),-1.87532 # DEPENDENCYPART_ARC
(6,4),-2.17741 # DEPENDENCYPART_ARC
(6,7),-1.4329 # DEPENDENCYPART_ARC
(7,1),-2.27547 # DEPENDENCYPART_ARC
(7,2),-2.54406 # DEPENDENCYPART_ARC
(7,3),-3.01465 # DEPENDENCYPART_ARC
(7,4),-2.61926 # DEPENDENCYPART_ARC
(7,5),-0.795848 # DEPENDENCYPART_ARC
(7,6),1.59186 # DEPENDENCYPART_ARC
(7,8),1.88467 # DEPENDENCYPART_ARC
(7,9),-0.980745 # DEPENDENCYPART_ARC
(7,10),-1.38363 # DEPENDENCYPART_ARC
(7,12),-1.38091 # DEPENDENCYPART_ARC
(7,13),-1.52789 # DEPENDENCYPART_ARC
(7,14),-1.55156 # DEPENDENCYPART_ARC
(7,15),-1.91685 # DEPENDENCYPART_ARC
(7,16),-1.66895 # DEPENDENCYPART_ARC
(7,18),-2.19655 # DEPENDENCYPART_ARC
(7,20),-1.41448 # DEPENDENCYPART_ARC
(7,22),-2.27156 # DEPENDENCYPART_ARC
(7,26),-2.81127 # DEPENDENCYPART_ARC
(8,1),-2.58521 # DEPENDENCYPART_ARC
(8,5),-1.87769 # DEPENDENCYPART_ARC
(8,6),-1.82688 # DEPENDENCYPART_ARC
(8,7),-1.50121 # DEPENDENCYPART_ARC
(8,9),-0.717872 # DEPENDENCYPART_ARC
(8,10),-1.87119 # DEPENDENCYPART_ARC
(8,14),-2.50151 # DEPENDENCYPART_ARC
(8,18),-2.94585 # DEPENDENCYPART_ARC
(9,1),-0.857182 # DEPENDENCYPART_ARC
(9,2),-1.42254 # DEPENDENCYPART_ARC
(9,3),-3.36645 # DEPENDENCYPART_ARC
(9,4),-0.865531 # DEPENDENCYPART_ARC
(9,5),-0.904405 # DEPENDENCYPART_ARC
(9,6),-2.17477 # DEPENDENCYPART_ARC
(9,7),0.197722 # DEPENDENCYPART_ARC
(9,8),-0.224677 # DEPENDENCYPART_ARC
(9,10),1.46946 # DEPENDENCYPART_ARC
(9,12),-0.212588 # DEPENDENCYPART_ARC
(9,13),-0.746078 # DEPENDENCYPART_ARC
(9,14),-1.08392 # DEPENDENCYPART_ARC
(9,15),-0.768387 # DEPENDENCYPART_ARC
(9,16),-0.816742 # DEPENDENCYPART_ARC
(9,18),-1.48889 # DEPENDENCYPART_ARC
(9,20),-0.840082 # DEPENDENCYPART_ARC
(9,22),-1.84989 # DEPENDENCYPART_ARC
(9,26),-1.20892 # DEPENDENCYPART_ARC
(10,9),-0.937348 # DEPENDENCYPART_ARC
(10,11),-1.51548 # DEPENDENCYPART_ARC
(10,12),1.94208 # DEPENDENCYPART_ARC
(10,13),-0.996876 # DEPENDENCYPART_ARC
(10,14),-1.24769 # DEPENDENCYPART_ARC
(10,15),-1.74982 # DEPENDENCYPART_ARC
(10,16),-1.62182 # DEPENDENCYPART_ARC
(10,18),-2.18261 # DEPENDENCYPART_ARC
(10,20),-3.12772 # DEPENDENCYPART_ARC
(12,1),-2.18685 # DEPENDENCYPART_ARC
(12,5),-2.60412 # DEPENDENCYPART_ARC
(12,11),0.958052 # DEPENDENCYPART_ARC
(12,13),-0.453769 # DEPENDENCYPART_ARC
(12,14),0.092152 # DEPENDENCYPART_ARC
(12,15),-0.946563 # DEPENDENCYPART_ARC
(12,16),-0.767464 # DEPENDENCYPART_ARC
(12,18),-1.09784 # DEPENDENCYPART_ARC
(12,20),-0.484392 # DEPENDENCYPART_ARC
(12,22),-1.62005 # DEPENDENCYPART_ARC
(12,23),-1.8375 # DEPENDENCYPART_ARC
(12,25),-2.10073 # DEPENDENCYPART_ARC
(12,26),-2.09908 # DEPENDENCYPART_ARC
(14,7),-2.23604 # DEPENDENCYPART_ARC
(14,10),-1.10055 # DEPENDENCYPART_ARC
(14,11),-2.09861 # DEPENDENCYPART_ARC
(14,13),1.55138 # DEPENDENCYPART_ARC
(14,15),0.348173 # DEPENDENCYPART_ARC
(14,16),-1.30554 # DEPENDENCYPART_ARC
(14,18),-1.87776 # DEPENDENCYPART_ARC
(14,20),-1.23266 # DEPENDENCYPART_ARC
(14,22),-2.57375 # DEPENDENCYPART_ARC
(14,23),-2.65652 # DEPENDENCYPART_ARC
(14,26),-2.16555 # DEPENDENCYPART_ARC
(18,1),-2.08581 # DEPENDENCYPART_ARC
(18,5),-2.34438 # DEPENDENCYPART_ARC
(18,7),-2.1212 # DEPENDENCYPART_ARC
(18,9),-2.84916 # DEPENDENCYPART_ARC
(18,10),-1.94702 # DEPENDENCYPART_ARC
(18,15),-0.890868 # DEPENDENCYPART_ARC
(18,16),-0.136515 # DEPENDENCYPART_ARC
(18,17),2.06334 # DEPENDENCYPART_ARC
(18,19),-1.37644 # DEPENDENCYPART_ARC
(18,20),0.329214 # DEPENDENCYPART_ARC
(18,22),-0.675808 # DEPENDENCYPART_ARC
(18,23),-0.619502 # DEPENDENCYPART_ARC
(18,25),-1.14035 # DEPENDENCYPART_ARC
(18,26),-1.35927 # DEPENDENCYPART_ARC
(19,22),-2.70106 # DEPENDENCYPART_ARC
(19,23),-1.77334 # DEPENDENCYPART_ARC
(20,1),-1.81263 # DEPENDENCYPART_ARC
(20,2),-2.81171 # DEPENDENCYPART_ARC
(20,4),-2.39721 # DEPENDENCYPART_ARC
(20,5),-2.60378 # DEPENDENCYPART_ARC
(20,7),-1.87393 # DEPENDENCYPART_ARC
(20,9),-2.77035 # DEPENDENCYPART_ARC
(20,10),-1.24293 # DEPENDENCYPART_ARC
(20,13),-1.56467 # DEPENDENCYPART_ARC
(20,14),-2.02386 # DEPENDENCYPART_ARC
(20,15),-1.24161 # DEPENDENCYPART_ARC
(20,16),-0.836196 # DEPENDENCYPART_ARC
(20,17),-2.37601 # DEPENDENCYPART_ARC
(20,18),-0.499935 # DEPENDENCYPART_ARC
(20,19),3.05096 # DEPENDENCYPART_ARC
(20,22),0.896357 # DEPENDENCYPART_ARC
(20,23),-0.539581 # DEPENDENCYPART_ARC
(20,25),-0.401955 # DEPENDENCYPART_ARC
(20,26),-0.991359 # DEPENDENCYPART_ARC
(21,22),-0.322611 # DEPENDENCYPART_ARC
(21,23),-0.922141 # DEPENDENCYPART_ARC
(21,24),-1.14146 # DEPENDENCYPART_ARC
(22,1),-2.3368 # DEPENDENCYPART_ARC
(22,9),-2.88511 # DEPENDENCYPART_ARC
(22,17),-2.42418 # DEPENDENCYPART_ARC
(22,18),-2.16334 # DEPENDENCYPART_ARC
(22,19),-1.55429 # DEPENDENCYPART_ARC
(22,20),-1.55169 # DEPENDENCYPART_ARC
(22,21),1.70483 # DEPENDENCYPART_ARC
(22,23),0.904287 # DEPENDENCYPART_ARC
(22,25),-0.390409 # DEPENDENCYPART_ARC
(22,26),-0.919901 # DEPENDENCYPART_ARC
(23,21),-1.80465 # DEPENDENCYPART_ARC
(23,25),2.35262 # DEPENDENCYPART_ARC
(24,23),-1.42303 # DEPENDENCYPART_ARC
(25,21),-2.16168 # DEPENDENCYPART_ARC
(25,24),2.24567 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.403276 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0392473 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.410559 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.406705 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.26393 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.931359 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.930703 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.424162 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.4253 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.936279 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.375471 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0909819 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.375131 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.410202 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.177321 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0343392 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0343392 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0909819 # DEPENDENCYPART_SIBL
(1,2),(1,26),0.0740107 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.085101 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.851113 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.490684 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0942849 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.011968 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.011968 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.085101 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.0716616 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.169 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.138811 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.221851 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.280935 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.280935 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.402689 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.0999409 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.518707 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.137275 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0732669 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0732669 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0129498 # DEPENDENCYPART_SIBL
(1,7),(1,26),0.0097817 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.212974 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.00557855 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00557855 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0456964 # DEPENDENCYPART_SIBL
(1,9),(1,26),0.0332961 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0464075 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0464075 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.125308 # DEPENDENCYPART_SIBL
(1,10),(1,26),0.161456 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.155434 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.16708 # DEPENDENCYPART_SIBL
(1,13),(1,26),0.0144951 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.16708 # DEPENDENCYPART_SIBL
(1,15),(1,26),0.0144951 # DEPENDENCYPART_SIBL
(1,16),(1,26),-0.0999409 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0373266 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0249893 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0105545 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00389772 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0318523 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0492423 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00872705 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0528803 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00931481 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0528803 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0249893 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0124947 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0283833 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.00673702 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0292462 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0141434 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.269265 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0540108 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0121384 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0540318 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.269128 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0276651 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.269125 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0276651 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0141434 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.284978 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0305738 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.27158 # DEPENDENCYPART_SIBL
(2,4),(2,26),-0.0143447 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0617351 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0249946 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0580593 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.15738 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0614908 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0747313 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0614872 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0747313 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.112838 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0874554 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0317634 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0626789 # DEPENDENCYPART_SIBL
(2,5),(2,26),-0.078979 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0601199 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0241949 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0237862 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.275691 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0447146 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.275687 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0447146 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0439832 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.29154 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0426303 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.278143 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.0325443 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0106444 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0211281 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0623164 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00960129 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0622906 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.00960129 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0260346 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0699987 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0138858 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0632065 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.0102321 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.018858 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0093141 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0163882 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00932069 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0163882 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.017322 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.00171001 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0127697 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.00683316 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0363462 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0139029 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0178645 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0139716 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0178645 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0118801 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.00446198 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.021319 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.00819301 # DEPENDENCYPART_SIBL
(2,10),(2,26),-0.000792732 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0356525 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.269533 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0356525 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0279225 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.285386 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0350436 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.271989 # DEPENDENCYPART_SIBL
(2,12),(2,26),-0.0274367 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.00960404 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0944159 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0232629 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0259126 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0149881 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.0113243 # DEPENDENCYPART_SIBL
(2,13),(2,26),-0.0472687 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0309716 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0232125 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.282158 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0316433 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.26876 # DEPENDENCYPART_SIBL
(2,14),(2,26),-0.0213224 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0232629 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0259126 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0149881 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0113243 # DEPENDENCYPART_SIBL
(2,15),(2,26),-0.0472687 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0874554 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0317634 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.0626789 # DEPENDENCYPART_SIBL
(2,16),(2,26),-0.078979 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.0677007 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.315017 # DEPENDENCYPART_SIBL
(2,18),(2,26),-0.094352 # DEPENDENCYPART_SIBL
(2,20),(2,22),0.00433352 # DEPENDENCYPART_SIBL
(2,20),(2,26),0.034438 # DEPENDENCYPART_SIBL
(2,22),(2,26),-0.0232591 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.332755 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00291087 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0970506 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00415089 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0711033 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00609714 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00670697 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00734009 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0742073 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0198481 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0742417 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0198481 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00415089 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0630952 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.00462218 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0753354 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0740514 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.052859 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0888641 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.044841 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0417277 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.129628 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.12143 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0878713 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0387139 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0102437 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0386795 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0102437 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.044841 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0460273 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.117647 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0377229 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0387842 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0163972 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.018236 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.348874 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0951895 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0336682 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0922988 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.357258 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0931728 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.357532 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0931728 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.018236 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.328047 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0425901 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.361852 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.357361 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0207276 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.3721 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00785706 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0439363 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0210574 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.372482 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0570325 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.372533 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0570325 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0364849 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.330457 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0566916 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.38223 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.372277 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.000936662 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0155146 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00336926 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0176839 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0112387 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00207977 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.01129 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00207977 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.020376 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0121394 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.00428741 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0142425 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0109275 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.0119993 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0286686 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00355124 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00585049 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0274334 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00575472 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0274334 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0341906 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0255171 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.043844 # DEPENDENCYPART_SIBL
(4,8),(4,22),9.91879e-05 # DEPENDENCYPART_SIBL
