# _root_ Quan ens movem al_voltant_del 3% , ¿ qui es recorda de l' època dels Pactes_de_la_Moncloa , amb un IPC que gairebé arribava al 30% ?
#goldHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,13,19,17,22,22,19,22,23,10,
#predictedHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,10,19,17,22,22,19,22,23,10,
(3,4),(3,21),-0.0620544 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.00123258 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0264073 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0655793 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0251332 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0083463 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0148762 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0152978 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00160853 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0864381 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0289685 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.10984 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0083463 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0501126 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.028945 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0268765 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0130171 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0237899 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0190295 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0114122 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0463252 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00227197 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0498646 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0934757 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0332305 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.167607 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.085609 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.119016 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0329183 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0953572 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0515893 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.157187 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.152764 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.0782634 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00716318 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0390714 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0509313 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0220191 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0874165 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0528493 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0268103 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0222053 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0359484 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0304961 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0678293 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0595989 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0655913 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.053499 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0250547 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0162933 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0869294 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0793301 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0170428 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0162528 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0591241 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0620983 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.00238059 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0157468 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.0593886 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00577179 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0294031 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0450832 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.019919 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0312483 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0294414 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0011279 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0285329 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.00356006 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0258958 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.0261084 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0538649 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.269447 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0501312 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0965445 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.060345 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.111531 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0237025 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.114465 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0908898 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.05628 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.119572 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0186524 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0143095 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.248606 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0156308 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0255493 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0913244 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.0605581 # DEPENDENCYPART_SIBL
(3,13),(3,25),0.0182196 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.087478 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0380778 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0524707 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.0848646 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.0398051 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0756737 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.105622 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.0906265 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.119016 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0329183 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0953572 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.0515893 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.157187 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.152764 # DEPENDENCYPART_SIBL
(3,16),(3,25),-0.0782634 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.00331572 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.0673588 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0240267 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0322785 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.0783417 # DEPENDENCYPART_SIBL
(3,17),(3,25),-0.0125207 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.0164111 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0294107 # DEPENDENCYPART_SIBL
(3,19),(3,23),0.0772434 # DEPENDENCYPART_SIBL
(3,19),(3,24),-0.0613018 # DEPENDENCYPART_SIBL
(3,19),(3,25),0.0234617 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.0522096 # DEPENDENCYPART_SIBL
(3,21),(3,23),-0.0492615 # DEPENDENCYPART_SIBL
(3,21),(3,24),-0.0542274 # DEPENDENCYPART_SIBL
(3,21),(3,25),-0.026176 # DEPENDENCYPART_SIBL
(3,22),(3,23),-0.00386414 # DEPENDENCYPART_SIBL
(3,22),(3,24),-0.0265157 # DEPENDENCYPART_SIBL
(3,22),(3,25),0.0190689 # DEPENDENCYPART_SIBL
(3,23),(3,24),-0.0793642 # DEPENDENCYPART_SIBL
(3,23),(3,25),-0.0387878 # DEPENDENCYPART_SIBL
(3,24),(3,25),-0.0252045 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.201593 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0672022 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00839575 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00784295 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0265119 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0268806 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.144699 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.103666 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0182771 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0768226 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.000250154 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00862359 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0740752 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0234992 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0551505 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.200883 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.098711 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.115296 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.148727 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0681369 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.417876 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.29016 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0612083 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.168976 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.129357 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.000885891 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00643274 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0615309 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.051869 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.007446 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0628319 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.010452 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.051869 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.00885015 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0420034 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0012682 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00856654 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.01276 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0641496 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.00670848 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.43948 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0176115 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0146331 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.13739 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.11843 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0706201 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.118836 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0500592 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0277844 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.0322843 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0661024 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.0571346 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.0522236 # DEPENDENCYPART_SIBL
(5,16),(5,22),0.00670848 # DEPENDENCYPART_SIBL
(5,16),(5,24),0.43948 # DEPENDENCYPART_SIBL
(5,22),(5,24),0.0706204 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.103588 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.00799345 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0099555 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.360328 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0678836 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0297988 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.367668 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.00994266 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0630312 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0281882 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0538525 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.19388 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.00829014 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0510164 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.0205608 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.0246115 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.0259839 # DEPENDENCYPART_SIBL
(10,1),(10,24),0.0154587 # DEPENDENCYPART_SIBL
(10,1),(10,25),0.0162827 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0688553 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0564637 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.154439 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0213667 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.116813 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.124271 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.064524 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.04068 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.114937 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0356172 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0495443 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0959742 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0404325 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.106596 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.0140315 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.0245889 # DEPENDENCYPART_SIBL
(10,3),(10,24),-0.0349182 # DEPENDENCYPART_SIBL
(10,3),(10,25),0.0695626 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0289796 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.301213 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0658033 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0984149 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.208358 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0642347 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0561073 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.133624 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0565094 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.100634 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.114665 # DEPENDENCYPART_SIBL
