# _root_ Aquesta primera edició de la Fira tindrà com_a escenari el municipi de l' Estany , però com en el cas de la Festa serà itinerant pels 10 municipis del Moianès , i se celebrarà sempre el primer cap de setmana de juny .
#goldHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,11,7,24,17,20,18,20,23,21,7,24,24,28,26,28,29,26,24,34,24,34,38,38,34,38,39,38,41,7,
#predictedHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,7,7,24,24,20,18,20,23,21,7,24,25,28,26,28,29,24,24,34,24,34,38,38,34,38,39,38,41,7,
(27,38),-2.5583 # DEPENDENCYPART_ARC
(28,7),-1.35073 # DEPENDENCYPART_ARC
(28,12),-1.71196 # DEPENDENCYPART_ARC
(28,18),-1.40006 # DEPENDENCYPART_ARC
(28,21),-1.49462 # DEPENDENCYPART_ARC
(28,22),-2.89364 # DEPENDENCYPART_ARC
(28,25),-1.89325 # DEPENDENCYPART_ARC
(28,26),-1.15795 # DEPENDENCYPART_ARC
(28,27),1.01849 # DEPENDENCYPART_ARC
(28,29),0.674243 # DEPENDENCYPART_ARC
(28,30),-0.897428 # DEPENDENCYPART_ARC
(28,31),-0.856016 # DEPENDENCYPART_ARC
(28,32),-0.929533 # DEPENDENCYPART_ARC
(28,34),-1.57164 # DEPENDENCYPART_ARC
(28,35),-2.14893 # DEPENDENCYPART_ARC
(28,38),-2.18414 # DEPENDENCYPART_ARC
(28,39),-2.33632 # DEPENDENCYPART_ARC
(28,41),-2.89954 # DEPENDENCYPART_ARC
(28,42),-2.10973 # DEPENDENCYPART_ARC
(29,27),-2.04599 # DEPENDENCYPART_ARC
(29,30),1.74497 # DEPENDENCYPART_ARC
(29,31),-1.1604 # DEPENDENCYPART_ARC
(29,32),-1.39033 # DEPENDENCYPART_ARC
(29,34),-2.32699 # DEPENDENCYPART_ARC
(29,41),-3.35004 # DEPENDENCYPART_ARC
(30,34),-1.86767 # DEPENDENCYPART_ARC
(30,38),-2.55117 # DEPENDENCYPART_ARC
(32,31),-1.57876 # DEPENDENCYPART_ARC
(34,3),-2.7895 # DEPENDENCYPART_ARC
(34,7),-3.61118 # DEPENDENCYPART_ARC
(34,8),-2.83013 # DEPENDENCYPART_ARC
(34,11),-2.38216 # DEPENDENCYPART_ARC
(34,15),-2.42646 # DEPENDENCYPART_ARC
(34,16),-1.98235 # DEPENDENCYPART_ARC
(34,17),-2.46849 # DEPENDENCYPART_ARC
(34,18),-1.46002 # DEPENDENCYPART_ARC
(34,20),-1.57 # DEPENDENCYPART_ARC
(34,23),-1.98916 # DEPENDENCYPART_ARC
(34,24),-3.08808 # DEPENDENCYPART_ARC
(34,25),-2.40726 # DEPENDENCYPART_ARC
(34,26),-2.54042 # DEPENDENCYPART_ARC
(34,27),-1.99733 # DEPENDENCYPART_ARC
(34,28),-2.19164 # DEPENDENCYPART_ARC
(34,29),-2.45714 # DEPENDENCYPART_ARC
(34,30),-2.25941 # DEPENDENCYPART_ARC
(34,31),-1.21709 # DEPENDENCYPART_ARC
(34,32),-0.379594 # DEPENDENCYPART_ARC
(34,33),1.95555 # DEPENDENCYPART_ARC
(34,35),1.19079 # DEPENDENCYPART_ARC
(34,37),-0.497229 # DEPENDENCYPART_ARC
(34,38),0.132916 # DEPENDENCYPART_ARC
(34,39),-0.751317 # DEPENDENCYPART_ARC
(34,40),-0.78871 # DEPENDENCYPART_ARC
(34,41),-1.14011 # DEPENDENCYPART_ARC
(34,42),-1.32762 # DEPENDENCYPART_ARC
(34,43),-0.338676 # DEPENDENCYPART_ARC
(35,38),-1.98008 # DEPENDENCYPART_ARC
(35,39),-2.18068 # DEPENDENCYPART_ARC
(35,41),-2.52686 # DEPENDENCYPART_ARC
(36,35),-0.99278 # DEPENDENCYPART_ARC
(36,37),-1.37555 # DEPENDENCYPART_ARC
(37,35),-0.482725 # DEPENDENCYPART_ARC
(37,36),-0.67285 # DEPENDENCYPART_ARC
(37,39),-1.43528 # DEPENDENCYPART_ARC
(37,41),-2.18955 # DEPENDENCYPART_ARC
(37,42),-1.76666 # DEPENDENCYPART_ARC
(38,26),-1.71659 # DEPENDENCYPART_ARC
(38,29),-1.5695 # DEPENDENCYPART_ARC
(38,35),-0.709271 # DEPENDENCYPART_ARC
(38,36),1.09601 # DEPENDENCYPART_ARC
(38,37),2.43387 # DEPENDENCYPART_ARC
(38,39),1.07293 # DEPENDENCYPART_ARC
(38,40),-0.323485 # DEPENDENCYPART_ARC
(38,41),-0.260328 # DEPENDENCYPART_ARC
(38,42),-1.13965 # DEPENDENCYPART_ARC
(39,35),-1.88005 # DEPENDENCYPART_ARC
(39,36),-2.78838 # DEPENDENCYPART_ARC
(39,40),2.30435 # DEPENDENCYPART_ARC
(39,41),-1.37149 # DEPENDENCYPART_ARC
(39,42),-1.25571 # DEPENDENCYPART_ARC
(40,35),-1.48398 # DEPENDENCYPART_ARC
(40,36),-2.63536 # DEPENDENCYPART_ARC
(40,37),-0.769572 # DEPENDENCYPART_ARC
(40,39),-0.844374 # DEPENDENCYPART_ARC
(40,41),0.438659 # DEPENDENCYPART_ARC
(40,42),-1.12248 # DEPENDENCYPART_ARC
(41,39),-1.03927 # DEPENDENCYPART_ARC
(41,42),1.32464 # DEPENDENCYPART_ARC
(42,39),-1.30357 # DEPENDENCYPART_ARC
(42,41),-0.574278 # DEPENDENCYPART_ARC
(0,3),(0,7),-0.438471 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.433871 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.944752 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.214936 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.127448 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00090567 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.144851 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0113011 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.187534 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.143359 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00090567 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.139983 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0520762 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0529748 # DEPENDENCYPART_SIBL
(3,1),(3,28),-0.14543 # DEPENDENCYPART_SIBL
(3,1),(3,38),-0.124424 # DEPENDENCYPART_SIBL
(3,1),(3,43),0.0466169 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.103079 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0692715 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0443793 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.125543 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.072808 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.103079 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0706184 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0543201 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0230486 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0733108 # DEPENDENCYPART_SIBL
(3,2),(3,38),-0.0621038 # DEPENDENCYPART_SIBL
(3,2),(3,43),-0.025869 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0708619 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0295182 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0147845 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0406015 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0289321 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0539928 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0695182 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0396749 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0581807 # DEPENDENCYPART_SIBL
(3,4),(3,38),-0.0876598 # DEPENDENCYPART_SIBL
(3,4),(3,43),-0.0469519 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0139545 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0223459 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0359681 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0342715 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0207859 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0119542 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0355729 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.00685904 # DEPENDENCYPART_SIBL
(3,6),(3,38),0.00565111 # DEPENDENCYPART_SIBL
(3,6),(3,43),-0.0471878 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0380872 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0111333 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0236742 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00502103 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0271409 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.00976513 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.00271202 # DEPENDENCYPART_SIBL
(3,7),(3,38),-0.021821 # DEPENDENCYPART_SIBL
(3,7),(3,43),0.00919093 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0695042 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.182781 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0744889 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0311069 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0255376 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.0762904 # DEPENDENCYPART_SIBL
(3,8),(3,38),-0.106726 # DEPENDENCYPART_SIBL
(3,8),(3,43),-0.000601572 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0322779 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0213343 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00598337 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0405541 # DEPENDENCYPART_SIBL
(3,11),(3,28),-0.00740737 # DEPENDENCYPART_SIBL
(3,11),(3,38),0.00510278 # DEPENDENCYPART_SIBL
(3,11),(3,43),-0.0439722 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0539928 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0695182 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0396749 # DEPENDENCYPART_SIBL
(3,12),(3,28),-0.0581807 # DEPENDENCYPART_SIBL
(3,12),(3,38),-0.0876598 # DEPENDENCYPART_SIBL
(3,12),(3,43),-0.0469519 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.011507 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.039839 # DEPENDENCYPART_SIBL
(3,14),(3,28),-0.00674017 # DEPENDENCYPART_SIBL
(3,14),(3,38),0.00576997 # DEPENDENCYPART_SIBL
(3,14),(3,43),-0.0431938 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.243132 # DEPENDENCYPART_SIBL
(3,15),(3,28),0.311431 # DEPENDENCYPART_SIBL
(3,15),(3,38),0.26325 # DEPENDENCYPART_SIBL
(3,15),(3,43),-0.0386766 # DEPENDENCYPART_SIBL
(3,16),(3,28),0.292194 # DEPENDENCYPART_SIBL
(3,16),(3,38),0.269796 # DEPENDENCYPART_SIBL
(3,16),(3,43),0.0479911 # DEPENDENCYPART_SIBL
(3,28),(3,38),0.00884426 # DEPENDENCYPART_SIBL
(3,28),(3,43),-0.0302074 # DEPENDENCYPART_SIBL
(3,38),(3,43),-0.0247714 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0495157 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0810766 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.03987 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0129403 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0709734 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.101296 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0339486 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.104548 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0860408 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0621532 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.104483 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0538202 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.115716 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.470718 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.157641 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.960781 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.188017 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.247677 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0444213 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.279689 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0300558 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0944043 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0879966 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0423369 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.11791 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.171629 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.214824 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.327103 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.487704 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.101384 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.240808 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0204637 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00703323 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0251046 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0193396 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00915447 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.1 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0167225 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0230422 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.199083 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.065453 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00153441 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0766785 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0308208 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0815943 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0638328 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0304961 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00214837 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.207788 # DEPENDENCYPART_SIBL
