# _root_ Més de 200 grups de cristians de base promouen la celebració d' un sínode alternatiu , l' Assemblea_del_Poble_de_Déu , que se celebrarà del 4 al 7_d'_octubre a la Universitat_Protestant_de_Teologia_de_Roma .
#goldHeads=2,4,2,9,4,5,4,7,0,11,9,11,14,12,14,18,18,14,18,22,22,11,24,22,24,24,22,29,27,9,
#predictedHeads=2,4,2,9,4,5,4,7,0,11,9,11,14,12,14,18,18,14,22,22,22,18,24,22,24,24,22,29,27,9,
(10,7),-2.6165 # DEPENDENCYPART_ARC
(10,11),-0.262904 # DEPENDENCYPART_ARC
(10,12),-1.08104 # DEPENDENCYPART_ARC
(10,13),-1.4056 # DEPENDENCYPART_ARC
(11,1),-1.96753 # DEPENDENCYPART_ARC
(11,2),-2.02887 # DEPENDENCYPART_ARC
(11,4),-2.7422 # DEPENDENCYPART_ARC
(11,5),-2.20742 # DEPENDENCYPART_ARC
(11,7),-2.132 # DEPENDENCYPART_ARC
(11,9),-2.18344 # DEPENDENCYPART_ARC
(11,10),1.73758 # DEPENDENCYPART_ARC
(11,12),0.762967 # DEPENDENCYPART_ARC
(11,13),-1.99227 # DEPENDENCYPART_ARC
(11,14),-0.451104 # DEPENDENCYPART_ARC
(11,15),-1.23184 # DEPENDENCYPART_ARC
(11,16),-0.676449 # DEPENDENCYPART_ARC
(11,18),-1.44993 # DEPENDENCYPART_ARC
(11,19),-1.12446 # DEPENDENCYPART_ARC
(11,22),-0.0731329 # DEPENDENCYPART_ARC
(11,23),-2.41796 # DEPENDENCYPART_ARC
(11,24),-1.87375 # DEPENDENCYPART_ARC
(11,26),-1.8934 # DEPENDENCYPART_ARC
(11,27),-1.5637 # DEPENDENCYPART_ARC
(11,30),-2.18988 # DEPENDENCYPART_ARC
(12,10),-1.79259 # DEPENDENCYPART_ARC
(12,14),1.65281 # DEPENDENCYPART_ARC
(12,15),-1.68993 # DEPENDENCYPART_ARC
(12,16),-1.0783 # DEPENDENCYPART_ARC
(12,18),-1.12882 # DEPENDENCYPART_ARC
(12,19),-1.95153 # DEPENDENCYPART_ARC
(12,22),-3.23114 # DEPENDENCYPART_ARC
(13,12),-0.438972 # DEPENDENCYPART_ARC
(14,1),-2.25581 # DEPENDENCYPART_ARC
(14,2),-1.47194 # DEPENDENCYPART_ARC
(14,4),-3.2642 # DEPENDENCYPART_ARC
(14,10),-2.00443 # DEPENDENCYPART_ARC
(14,12),-0.698631 # DEPENDENCYPART_ARC
(14,13),1.24776 # DEPENDENCYPART_ARC
(14,15),1.59251 # DEPENDENCYPART_ARC
(14,16),-0.663017 # DEPENDENCYPART_ARC
(14,18),-0.91365 # DEPENDENCYPART_ARC
(14,19),-1.19337 # DEPENDENCYPART_ARC
(14,22),-0.266781 # DEPENDENCYPART_ARC
(14,23),-2.27009 # DEPENDENCYPART_ARC
(14,24),-1.83263 # DEPENDENCYPART_ARC
(14,26),-1.95347 # DEPENDENCYPART_ARC
(14,27),-2.07592 # DEPENDENCYPART_ARC
(14,30),-2.13981 # DEPENDENCYPART_ARC
(15,5),-1.8997 # DEPENDENCYPART_ARC
(15,13),-1.52885 # DEPENDENCYPART_ARC
(15,16),-1.22111 # DEPENDENCYPART_ARC
(15,18),-1.81633 # DEPENDENCYPART_ARC
(15,19),-1.93401 # DEPENDENCYPART_ARC
(15,22),-1.6878 # DEPENDENCYPART_ARC
(15,24),-2.17885 # DEPENDENCYPART_ARC
(15,27),-2.79423 # DEPENDENCYPART_ARC
(16,15),-1.34736 # DEPENDENCYPART_ARC
(18,4),-2.49125 # DEPENDENCYPART_ARC
(18,12),-1.26955 # DEPENDENCYPART_ARC
(18,15),-2.2889 # DEPENDENCYPART_ARC
(18,16),-0.534567 # DEPENDENCYPART_ARC
(18,17),1.27059 # DEPENDENCYPART_ARC
(18,19),-0.890276 # DEPENDENCYPART_ARC
(18,22),-0.722922 # DEPENDENCYPART_ARC
(18,23),-2.45207 # DEPENDENCYPART_ARC
(18,24),-1.93471 # DEPENDENCYPART_ARC
(18,25),-2.68286 # DEPENDENCYPART_ARC
(18,26),-2.08131 # DEPENDENCYPART_ARC
(18,27),-2.4131 # DEPENDENCYPART_ARC
(18,30),-2.03384 # DEPENDENCYPART_ARC
(20,23),-1.99883 # DEPENDENCYPART_ARC
(20,25),-2.38069 # DEPENDENCYPART_ARC
(22,1),-2.69117 # DEPENDENCYPART_ARC
(22,2),-3.97915 # DEPENDENCYPART_ARC
(22,4),-2.3061 # DEPENDENCYPART_ARC
(22,6),-2.60298 # DEPENDENCYPART_ARC
(22,9),-2.08842 # DEPENDENCYPART_ARC
(22,11),-1.74497 # DEPENDENCYPART_ARC
(22,12),-2.41826 # DEPENDENCYPART_ARC
(22,14),-1.73022 # DEPENDENCYPART_ARC
(22,15),-2.52604 # DEPENDENCYPART_ARC
(22,16),-1.20554 # DEPENDENCYPART_ARC
(22,17),-2.81344 # DEPENDENCYPART_ARC
(22,18),-1.75873 # DEPENDENCYPART_ARC
(22,19),0.131212 # DEPENDENCYPART_ARC
(22,20),1.97067 # DEPENDENCYPART_ARC
(22,21),1.93875 # DEPENDENCYPART_ARC
(22,23),0.496669 # DEPENDENCYPART_ARC
(22,24),-0.209629 # DEPENDENCYPART_ARC
(22,25),-0.396233 # DEPENDENCYPART_ARC
(22,26),-0.933877 # DEPENDENCYPART_ARC
(22,27),-0.320289 # DEPENDENCYPART_ARC
(22,29),-1.11247 # DEPENDENCYPART_ARC
(22,30),-0.566138 # DEPENDENCYPART_ARC
(23,24),0.796792 # DEPENDENCYPART_ARC
(23,25),-0.743975 # DEPENDENCYPART_ARC
(23,26),-0.993841 # DEPENDENCYPART_ARC
(23,27),-2.0869 # DEPENDENCYPART_ARC
(23,29),-1.87275 # DEPENDENCYPART_ARC
(24,23),-0.118771 # DEPENDENCYPART_ARC
(24,25),0.978768 # DEPENDENCYPART_ARC
(24,26),0.0393428 # DEPENDENCYPART_ARC
(24,27),-0.823692 # DEPENDENCYPART_ARC
(24,30),-1.14103 # DEPENDENCYPART_ARC
(25,23),-1.64367 # DEPENDENCYPART_ARC
(25,24),-1.20247 # DEPENDENCYPART_ARC
(25,26),0.711613 # DEPENDENCYPART_ARC
(25,27),-1.17311 # DEPENDENCYPART_ARC
(25,29),-1.36469 # DEPENDENCYPART_ARC
(26,23),-1.7214 # DEPENDENCYPART_ARC
(26,25),-1.01858 # DEPENDENCYPART_ARC
(26,27),0.0164294 # DEPENDENCYPART_ARC
(26,30),-1.27456 # DEPENDENCYPART_ARC
(27,23),-1.63374 # DEPENDENCYPART_ARC
(27,24),-2.51302 # DEPENDENCYPART_ARC
(27,25),-1.26899 # DEPENDENCYPART_ARC
(27,26),-1.35632 # DEPENDENCYPART_ARC
(27,28),-1.44347 # DEPENDENCYPART_ARC
(27,29),1.37523 # DEPENDENCYPART_ARC
(27,30),-1.19813 # DEPENDENCYPART_ARC
(28,25),-1.64109 # DEPENDENCYPART_ARC
(29,23),-1.77027 # DEPENDENCYPART_ARC
(29,25),-1.53864 # DEPENDENCYPART_ARC
(29,28),0.935151 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0482739 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0130938 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0601704 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.367812 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.368802 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0369136 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0343863 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.396026 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.389006 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.047194 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.34589 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.3463 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.427308 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.427617 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.937086 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.101913 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0340155 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0786855 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0786855 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0199577 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.3153 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.3153 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0367148 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0336595 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0336595 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00764264 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.170548 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.170548 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00381431 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00381431 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0745994 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.164853 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.164853 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0786855 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0199577 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.3153 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.3153 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0199577 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.3153 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.3153 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.351872 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.351872 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.111142 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.699559 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0986056 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.212069 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.101969 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.212069 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.00584134 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.00584134 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.465329 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0263937 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.464694 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0263937 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0738805 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0738805 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00279949 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.960438 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00279949 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.016401 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.016401 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0391605 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0224586 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.192255 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.192255 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0365045 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0321231 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0321231 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.192255 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.192255 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0352419 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.620862 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0712983 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0945082 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0945082 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.068292 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0777532 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0227336 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0795424 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0795424 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0014881 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.010373 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0387357 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0387357 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.105591 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.131915 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0825798 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0273556 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0855259 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0273556 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0855259 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0440186 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.133417 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0411085 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0996362 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0226322 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0996362 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0287366 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0235914 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0319178 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.120183 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0850178 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.000489179 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0265371 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.000489179 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0246076 # DEPENDENCYPART_SIBL
(4,1),(4,30),0.0675488 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0491811 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0164532 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0200452 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0164532 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0346521 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0125761 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0296344 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.158172 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0450414 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0108117 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0318924 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0108117 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0113402 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.0162036 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0971408 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0356129 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0971408 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0308663 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0383504 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0325711 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0458249 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0543783 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0414179 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.031708 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0414179 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0392104 # DEPENDENCYPART_SIBL
(4,3),(4,30),-0.0108129 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00222382 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.100243 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00333029 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0133654 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0083219 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0350789 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0850283 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0363761 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.00514935 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0363761 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.031554 # DEPENDENCYPART_SIBL
(4,5),(4,30),-0.00725659 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0504354 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.022715 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00520876 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0308519 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0225338 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00989413 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.016955 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0218898 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.016955 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.00147043 # DEPENDENCYPART_SIBL
(4,6),(4,30),-0.0481832 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00333029 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0133654 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0083219 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0350789 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0850283 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0363761 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.00514935 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0363761 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.031554 # DEPENDENCYPART_SIBL
(4,7),(4,30),-0.00725659 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00316433 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0303844 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0353786 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00823695 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0419762 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0214223 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0419762 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.00690266 # DEPENDENCYPART_SIBL
(4,8),(4,30),-0.0616707 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0128518 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0462138 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0109783 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0477783 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0202866 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0477783 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.051027 # DEPENDENCYPART_SIBL
(4,9),(4,30),0.0252755 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0505538 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0179532 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.000570373 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.00309248 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.000570373 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.00974056 # DEPENDENCYPART_SIBL
(4,11),(4,30),-0.0240701 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0620233 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00243752 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.00563804 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.00243752 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0183318 # DEPENDENCYPART_SIBL
(4,12),(4,30),0.0162689 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0242216 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.00376771 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0242216 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0338303 # DEPENDENCYPART_SIBL
(4,15),(4,30),-0.0283355 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.35301 # DEPENDENCYPART_SIBL
(4,16),(4,19),5.50546e-05 # DEPENDENCYPART_SIBL
(4,16),(4,22),-0.0540544 # DEPENDENCYPART_SIBL
(4,16),(4,30),-0.0261733 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0161903 # DEPENDENCYPART_SIBL
(4,18),(4,22),-0.00112398 # DEPENDENCYPART_SIBL
(4,18),(4,30),-0.0468274 # DEPENDENCYPART_SIBL
(4,19),(4,22),-0.0540544 # DEPENDENCYPART_SIBL
(4,19),(4,30),-0.0261733 # DEPENDENCYPART_SIBL
(4,22),(4,30),0.0119145 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.190982 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.101969 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.212069 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.105961 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.00858735 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.133179 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.100575 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.140059 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0887387 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0365045 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.937266 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.448382 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0392839 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0319862 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.450314 # DEPENDENCYPART_SIBL
