# _root_ ' Carpe_Diem ' és un homenatge a la vida : ' aprofita el temps al màxim , que la vida sigui extraordinària , que cada moment sigui únic ' .
#goldHeads=2,4,2,0,6,4,6,9,7,12,12,6,14,12,12,15,12,21,20,21,12,21,12,27,26,27,12,27,12,4,
#predictedHeads=2,4,2,0,6,4,6,9,7,12,12,4,14,12,12,15,21,21,20,21,12,21,27,27,26,27,21,27,12,4,
(12,8),-2.19525 # DEPENDENCYPART_ARC
(12,9),-0.487307 # DEPENDENCYPART_ARC
(12,10),0.136564 # DEPENDENCYPART_ARC
(12,11),0.961939 # DEPENDENCYPART_ARC
(12,14),0.52025 # DEPENDENCYPART_ARC
(12,15),0.751198 # DEPENDENCYPART_ARC
(12,16),-0.540692 # DEPENDENCYPART_ARC
(12,17),-0.0670831 # DEPENDENCYPART_ARC
(12,18),-1.16126 # DEPENDENCYPART_ARC
(12,20),-1.21869 # DEPENDENCYPART_ARC
(12,21),-0.0548698 # DEPENDENCYPART_ARC
(12,22),-1.41767 # DEPENDENCYPART_ARC
(12,23),-0.276359 # DEPENDENCYPART_ARC
(12,24),-1.84374 # DEPENDENCYPART_ARC
(12,26),-2.20237 # DEPENDENCYPART_ARC
(12,27),-0.784884 # DEPENDENCYPART_ARC
(12,28),-1.87332 # DEPENDENCYPART_ARC
(12,29),-0.707962 # DEPENDENCYPART_ARC
(12,30),-0.29045 # DEPENDENCYPART_ARC
(13,14),-1.13814 # DEPENDENCYPART_ARC
(13,15),-1.19137 # DEPENDENCYPART_ARC
(14,4),-0.69319 # DEPENDENCYPART_ARC
(14,7),-1.60127 # DEPENDENCYPART_ARC
(14,8),-4.01291 # DEPENDENCYPART_ARC
(14,10),-2.00685 # DEPENDENCYPART_ARC
(14,11),-1.48374 # DEPENDENCYPART_ARC
(14,12),0.512131 # DEPENDENCYPART_ARC
(14,13),0.930556 # DEPENDENCYPART_ARC
(14,15),0.103788 # DEPENDENCYPART_ARC
(14,16),-0.758974 # DEPENDENCYPART_ARC
(14,17),-0.657142 # DEPENDENCYPART_ARC
(14,18),-0.904432 # DEPENDENCYPART_ARC
(14,20),-1.71957 # DEPENDENCYPART_ARC
(14,21),-1.82746 # DEPENDENCYPART_ARC
(14,22),-2.817 # DEPENDENCYPART_ARC
(14,23),-1.29608 # DEPENDENCYPART_ARC
(14,24),-1.612 # DEPENDENCYPART_ARC
(14,26),-3.19251 # DEPENDENCYPART_ARC
(14,27),-2.78913 # DEPENDENCYPART_ARC
(14,28),-2.11396 # DEPENDENCYPART_ARC
(14,29),-2.07939 # DEPENDENCYPART_ARC
(15,11),-2.36569 # DEPENDENCYPART_ARC
(15,13),-2.01289 # DEPENDENCYPART_ARC
(15,14),-1.90212 # DEPENDENCYPART_ARC
(15,16),2.47028 # DEPENDENCYPART_ARC
(15,17),-0.623267 # DEPENDENCYPART_ARC
(15,18),-1.54368 # DEPENDENCYPART_ARC
(16,4),-3.16445 # DEPENDENCYPART_ARC
(16,10),-3.23051 # DEPENDENCYPART_ARC
(16,13),-2.66713 # DEPENDENCYPART_ARC
(16,14),-2.68255 # DEPENDENCYPART_ARC
(16,17),-1.21111 # DEPENDENCYPART_ARC
(16,18),-1.65684 # DEPENDENCYPART_ARC
(16,20),-1.9959 # DEPENDENCYPART_ARC
(16,21),-1.77507 # DEPENDENCYPART_ARC
(16,22),-2.98988 # DEPENDENCYPART_ARC
(16,28),-2.4551 # DEPENDENCYPART_ARC
(18,17),-1.16343 # DEPENDENCYPART_ARC
(18,20),-2.35898 # DEPENDENCYPART_ARC
(18,27),-2.87111 # DEPENDENCYPART_ARC
(18,29),-2.44011 # DEPENDENCYPART_ARC
(19,20),-0.635853 # DEPENDENCYPART_ARC
(20,4),-2.67752 # DEPENDENCYPART_ARC
(20,10),-3.4445 # DEPENDENCYPART_ARC
(20,12),-2.9653 # DEPENDENCYPART_ARC
(20,15),-2.47343 # DEPENDENCYPART_ARC
(20,18),-1.29458 # DEPENDENCYPART_ARC
(20,19),1.89674 # DEPENDENCYPART_ARC
(20,21),-0.900899 # DEPENDENCYPART_ARC
(20,22),-0.781356 # DEPENDENCYPART_ARC
(20,27),-2.55903 # DEPENDENCYPART_ARC
(20,28),-3.59345 # DEPENDENCYPART_ARC
(21,1),-2.2346 # DEPENDENCYPART_ARC
(21,2),-2.25326 # DEPENDENCYPART_ARC
(21,3),-2.52442 # DEPENDENCYPART_ARC
(21,4),-1.75993 # DEPENDENCYPART_ARC
(21,6),-1.36207 # DEPENDENCYPART_ARC
(21,7),-2.78286 # DEPENDENCYPART_ARC
(21,9),-1.9158 # DEPENDENCYPART_ARC
(21,10),-0.96571 # DEPENDENCYPART_ARC
(21,11),-1.44619 # DEPENDENCYPART_ARC
(21,12),-2.10649 # DEPENDENCYPART_ARC
(21,14),-0.892347 # DEPENDENCYPART_ARC
(21,15),-1.61824 # DEPENDENCYPART_ARC
(21,16),-1.64954 # DEPENDENCYPART_ARC
(21,17),-0.559909 # DEPENDENCYPART_ARC
(21,18),1.92836 # DEPENDENCYPART_ARC
(21,19),-0.861932 # DEPENDENCYPART_ARC
(21,20),0.737298 # DEPENDENCYPART_ARC
(21,22),1.35339 # DEPENDENCYPART_ARC
(21,23),-0.495882 # DEPENDENCYPART_ARC
(21,24),-1.28017 # DEPENDENCYPART_ARC
(21,26),-1.14816 # DEPENDENCYPART_ARC
(21,27),0.087199 # DEPENDENCYPART_ARC
(21,28),-1.54903 # DEPENDENCYPART_ARC
(21,29),-1.20612 # DEPENDENCYPART_ARC
(21,30),-1.17912 # DEPENDENCYPART_ARC
(22,15),-2.40814 # DEPENDENCYPART_ARC
(22,19),-2.10281 # DEPENDENCYPART_ARC
(22,20),-2.02419 # DEPENDENCYPART_ARC
(22,21),-1.419 # DEPENDENCYPART_ARC
(22,23),-0.752843 # DEPENDENCYPART_ARC
(22,24),-1.55022 # DEPENDENCYPART_ARC
(22,26),-2.14834 # DEPENDENCYPART_ARC
(22,27),-1.76351 # DEPENDENCYPART_ARC
(22,28),-2.46653 # DEPENDENCYPART_ARC
(22,29),-1.93142 # DEPENDENCYPART_ARC
(23,22),-1.21294 # DEPENDENCYPART_ARC
(24,23),-1.08966 # DEPENDENCYPART_ARC
(24,25),-1.50788 # DEPENDENCYPART_ARC
(24,26),-2.30672 # DEPENDENCYPART_ARC
(24,28),-2.90345 # DEPENDENCYPART_ARC
(24,29),-2.34475 # DEPENDENCYPART_ARC
(25,26),-0.41245 # DEPENDENCYPART_ARC
(26,10),-4.05935 # DEPENDENCYPART_ARC
(26,21),-3.05758 # DEPENDENCYPART_ARC
(26,22),-2.03224 # DEPENDENCYPART_ARC
(26,23),-2.25686 # DEPENDENCYPART_ARC
(26,24),-1.31878 # DEPENDENCYPART_ARC
(26,25),1.68269 # DEPENDENCYPART_ARC
(26,27),-1.30259 # DEPENDENCYPART_ARC
(26,28),-1.08589 # DEPENDENCYPART_ARC
(26,29),-2.00283 # DEPENDENCYPART_ARC
(27,2),-3.2029 # DEPENDENCYPART_ARC
(27,6),-2.22253 # DEPENDENCYPART_ARC
(27,7),-3.49841 # DEPENDENCYPART_ARC
(27,11),-2.48795 # DEPENDENCYPART_ARC
(27,12),-2.72655 # DEPENDENCYPART_ARC
(27,14),-1.51395 # DEPENDENCYPART_ARC
(27,15),-2.24037 # DEPENDENCYPART_ARC
(27,17),-1.83928 # DEPENDENCYPART_ARC
(27,18),0.0859781 # DEPENDENCYPART_ARC
(27,20),-1.46341 # DEPENDENCYPART_ARC
(27,21),-1.89213 # DEPENDENCYPART_ARC
(27,22),-2.00508 # DEPENDENCYPART_ARC
(27,23),-0.459473 # DEPENDENCYPART_ARC
(27,24),1.92829 # DEPENDENCYPART_ARC
(27,25),-0.85904 # DEPENDENCYPART_ARC
(27,26),0.749131 # DEPENDENCYPART_ARC
(27,28),1.39044 # DEPENDENCYPART_ARC
(27,29),-0.325534 # DEPENDENCYPART_ARC
(27,30),-0.559274 # DEPENDENCYPART_ARC
(28,23),-2.7609 # DEPENDENCYPART_ARC
(28,26),-2.1823 # DEPENDENCYPART_ARC
(28,27),-1.07189 # DEPENDENCYPART_ARC
(28,29),-0.644481 # DEPENDENCYPART_ARC
(28,30),-1.59882 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.440719 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.424348 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.441389 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.441389 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.969993 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.976332 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.976332 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.942442 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.942442 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.95807 # DEPENDENCYPART_SIBL
(2,1),(2,3),1.16708 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00756748 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0779187 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0574269 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0131133 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.110313 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0245403 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0245403 # DEPENDENCYPART_SIBL
(2,1),(2,30),0.14484 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00270421 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0526149 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.107265 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0255295 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0601553 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0241718 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0241718 # DEPENDENCYPART_SIBL
(2,3),(2,30),-0.03231 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0165303 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0653819 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0666769 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0526376 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0957447 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0957447 # DEPENDENCYPART_SIBL
(2,4),(2,30),0.0533453 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0241305 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00170541 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00699796 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.031557 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.031557 # DEPENDENCYPART_SIBL
(2,6),(2,30),0.000805691 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00104862 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0729736 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0217032 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0217032 # DEPENDENCYPART_SIBL
(2,7),(2,30),0.217506 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0598947 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0670967 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0670967 # DEPENDENCYPART_SIBL
(2,12),(2,30),0.0416367 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.050316 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.050316 # DEPENDENCYPART_SIBL
(2,14),(2,30),-0.00329228 # DEPENDENCYPART_SIBL
(2,17),(2,23),0.0363187 # DEPENDENCYPART_SIBL
(2,17),(2,30),0.00573379 # DEPENDENCYPART_SIBL
(2,23),(2,30),0.00573379 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0355325 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.209984 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0149457 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.127935 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0131885 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.145392 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.811352 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.031365 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0333203 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.148208 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0206965 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0573709 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0131885 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0930266 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0369318 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0206965 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0248391 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.0930266 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0472085 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.811352 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.0244141 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0859491 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0246851 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0159271 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0165163 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.152659 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0385306 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00299032 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0400122 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.050146 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0102977 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.119456 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0165163 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.00826066 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.00377661 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0102977 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.0772293 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.00826066 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.00771291 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.0385306 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.0109621 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0149457 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.127935 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0131885 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.145392 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.811352 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.031365 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0333203 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.148208 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0206965 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0573709 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0131885 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0930266 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0369318 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0206965 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0248391 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0930266 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.0472085 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.811352 # DEPENDENCYPART_SIBL
(4,3),(4,30),-0.0244141 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0240057 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.210514 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0870157 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0177478 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0756284 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.214014 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0952968 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0233037 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.124798 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.210514 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.147859 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0415922 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0233037 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.186253 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.147859 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.043743 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.0177478 # DEPENDENCYPART_SIBL
(4,6),(4,30),-0.00909629 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00860519 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.176535 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0678882 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0161684 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0228905 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00438205 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0405729 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0654496 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.00860519 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0701377 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0765201 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0405729 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.00976511 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.0701377 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.0694096 # DEPENDENCYPART_SIBL
(4,7),(4,29),-0.0678882 # DEPENDENCYPART_SIBL
(4,7),(4,30),-0.0309158 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.103684 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0421962 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0915212 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.208091 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0355056 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0270949 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.152493 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.204592 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.163752 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0497574 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0270949 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.180331 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.163752 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.0519083 # DEPENDENCYPART_SIBL
(4,9),(4,29),-0.0421962 # DEPENDENCYPART_SIBL
(4,9),(4,30),-0.0296838 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0288159 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0184452 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.00329804 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.123161 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.00109943 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0424355 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.00728658 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0345101 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.035877 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.00109943 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0134459 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.0345101 # DEPENDENCYPART_SIBL
(4,10),(4,28),0.0309881 # DEPENDENCYPART_SIBL
(4,10),(4,29),-0.0288159 # DEPENDENCYPART_SIBL
(4,10),(4,30),-0.0313875 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0399951 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0149288 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0554711 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.00331625 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.060972 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.00450702 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0935097 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.0277169 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.00331625 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.00181552 # DEPENDENCYPART_SIBL
(4,11),(4,27),-0.0935097 # DEPENDENCYPART_SIBL
(4,11),(4,28),-0.0320777 # DEPENDENCYPART_SIBL
(4,11),(4,29),-0.103122 # DEPENDENCYPART_SIBL
(4,11),(4,30),-0.0703646 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0564284 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0291537 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.00595181 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.017208 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0403536 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0781541 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.000538569 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.00595181 # DEPENDENCYPART_SIBL
(4,12),(4,26),0.0591164 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.0781541 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.00277179 # DEPENDENCYPART_SIBL
(4,12),(4,29),0.0417243 # DEPENDENCYPART_SIBL
(4,12),(4,30),0.0136037 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0669224 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0582401 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.100484 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.163702 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.126982 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0285651 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.0582401 # DEPENDENCYPART_SIBL
(4,14),(4,26),-0.139441 # DEPENDENCYPART_SIBL
(4,14),(4,27),-0.126982 # DEPENDENCYPART_SIBL
(4,14),(4,28),-0.030716 # DEPENDENCYPART_SIBL
(4,14),(4,29),0.0172213 # DEPENDENCYPART_SIBL
(4,14),(4,30),0.0166299 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0333164 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0489883 # DEPENDENCYPART_SIBL
