# _root_ ' Si fa falta un estudi , que no vingui a_canvi_de vendre l' aigua ' perquè ' aquest estudi arribarà tard ' , ha dit Castellà .
#goldHeads=10,3,10,3,6,3,3,10,10,25,10,11,14,12,10,20,20,19,20,10,20,20,10,25,0,25,25,
#predictedHeads=3,3,25,3,6,4,10,10,10,3,10,11,14,12,20,20,20,19,20,25,20,20,20,25,0,25,25,
(14,11),-1.70618 # DEPENDENCYPART_ARC
(14,12),-0.920571 # DEPENDENCYPART_ARC
(14,13),1.62301 # DEPENDENCYPART_ARC
(14,15),-0.674199 # DEPENDENCYPART_ARC
(14,16),-1.45468 # DEPENDENCYPART_ARC
(14,17),-1.55397 # DEPENDENCYPART_ARC
(14,19),-1.66659 # DEPENDENCYPART_ARC
(14,20),-1.58756 # DEPENDENCYPART_ARC
(14,21),-2.44401 # DEPENDENCYPART_ARC
(14,22),-2.3383 # DEPENDENCYPART_ARC
(14,25),-2.84955 # DEPENDENCYPART_ARC
(16,17),-0.748211 # DEPENDENCYPART_ARC
(16,19),-2.1759 # DEPENDENCYPART_ARC
(16,20),-1.75573 # DEPENDENCYPART_ARC
(16,22),-1.59285 # DEPENDENCYPART_ARC
(16,23),-1.69672 # DEPENDENCYPART_ARC
(16,27),-1.79856 # DEPENDENCYPART_ARC
(19,3),-2.66792 # DEPENDENCYPART_ARC
(19,4),-3.22737 # DEPENDENCYPART_ARC
(19,11),-2.13221 # DEPENDENCYPART_ARC
(19,12),-2.89935 # DEPENDENCYPART_ARC
(19,13),-2.817 # DEPENDENCYPART_ARC
(19,15),-2.58106 # DEPENDENCYPART_ARC
(19,16),-2.31956 # DEPENDENCYPART_ARC
(19,17),-0.791813 # DEPENDENCYPART_ARC
(19,18),1.34057 # DEPENDENCYPART_ARC
(19,20),-0.968783 # DEPENDENCYPART_ARC
(19,21),-1.92843 # DEPENDENCYPART_ARC
(19,22),-1.80703 # DEPENDENCYPART_ARC
(19,25),-2.63898 # DEPENDENCYPART_ARC
(20,1),-2.17846 # DEPENDENCYPART_ARC
(20,2),-3.29018 # DEPENDENCYPART_ARC
(20,3),-3.22965 # DEPENDENCYPART_ARC
(20,4),-2.07332 # DEPENDENCYPART_ARC
(20,6),-2.33518 # DEPENDENCYPART_ARC
(20,7),-2.35057 # DEPENDENCYPART_ARC
(20,8),-0.889486 # DEPENDENCYPART_ARC
(20,10),-1.46286 # DEPENDENCYPART_ARC
(20,11),-1.29029 # DEPENDENCYPART_ARC
(20,12),-1.79429 # DEPENDENCYPART_ARC
(20,14),-1.34641 # DEPENDENCYPART_ARC
(20,15),-0.516879 # DEPENDENCYPART_ARC
(20,16),0.775068 # DEPENDENCYPART_ARC
(20,17),0.667443 # DEPENDENCYPART_ARC
(20,18),-1.48913 # DEPENDENCYPART_ARC
(20,19),0.705109 # DEPENDENCYPART_ARC
(20,21),1.21469 # DEPENDENCYPART_ARC
(20,22),0.298032 # DEPENDENCYPART_ARC
(20,23),0.512362 # DEPENDENCYPART_ARC
(20,24),-0.477214 # DEPENDENCYPART_ARC
(20,25),-0.835644 # DEPENDENCYPART_ARC
(20,26),-1.15336 # DEPENDENCYPART_ARC
(20,27),-1.05202 # DEPENDENCYPART_ARC
(21,11),-2.15998 # DEPENDENCYPART_ARC
(21,17),-2.01961 # DEPENDENCYPART_ARC
(21,19),-1.61086 # DEPENDENCYPART_ARC
(21,20),-0.544736 # DEPENDENCYPART_ARC
(21,22),-0.892357 # DEPENDENCYPART_ARC
(21,23),-1.50197 # DEPENDENCYPART_ARC
(21,24),-1.64093 # DEPENDENCYPART_ARC
(21,25),-2.07825 # DEPENDENCYPART_ARC
(24,1),-4.85035 # DEPENDENCYPART_ARC
(24,2),-6.57012 # DEPENDENCYPART_ARC
(24,8),-3.87751 # DEPENDENCYPART_ARC
(24,11),-4.35781 # DEPENDENCYPART_ARC
(24,12),-4.59691 # DEPENDENCYPART_ARC
(24,16),-3.03375 # DEPENDENCYPART_ARC
(24,19),-4.08095 # DEPENDENCYPART_ARC
(24,20),-4.14712 # DEPENDENCYPART_ARC
(24,21),-3.2894 # DEPENDENCYPART_ARC
(24,22),-2.76506 # DEPENDENCYPART_ARC
(24,23),-2.55843 # DEPENDENCYPART_ARC
(24,25),-0.683437 # DEPENDENCYPART_ARC
(24,26),-1.00242 # DEPENDENCYPART_ARC
(24,27),-1.76721 # DEPENDENCYPART_ARC
(25,1),-2.03566 # DEPENDENCYPART_ARC
(25,2),-4.25215 # DEPENDENCYPART_ARC
(25,3),-1.98712 # DEPENDENCYPART_ARC
(25,4),-3.7918 # DEPENDENCYPART_ARC
(25,6),-3.7814 # DEPENDENCYPART_ARC
(25,7),-2.92244 # DEPENDENCYPART_ARC
(25,8),-1.6724 # DEPENDENCYPART_ARC
(25,10),-1.49008 # DEPENDENCYPART_ARC
(25,11),-2.32786 # DEPENDENCYPART_ARC
(25,12),-1.41022 # DEPENDENCYPART_ARC
(25,14),-2.78809 # DEPENDENCYPART_ARC
(25,15),-1.41483 # DEPENDENCYPART_ARC
(25,16),-0.748855 # DEPENDENCYPART_ARC
(25,17),-0.942978 # DEPENDENCYPART_ARC
(25,19),-1.61218 # DEPENDENCYPART_ARC
(25,20),-0.306286 # DEPENDENCYPART_ARC
(25,21),-1.18003 # DEPENDENCYPART_ARC
(25,22),-0.794707 # DEPENDENCYPART_ARC
(25,23),-0.76156 # DEPENDENCYPART_ARC
(25,24),3.37415 # DEPENDENCYPART_ARC
(25,26),1.73927 # DEPENDENCYPART_ARC
(25,27),-0.0885796 # DEPENDENCYPART_ARC
(26,21),-2.32823 # DEPENDENCYPART_ARC
(26,27),-0.907441 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.385683 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.053015 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.382852 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.386029 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.376397 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.432651 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.408617 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.271658 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.945726 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.94592 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.946554 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.943555 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.967946 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.413699 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.41333 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.410956 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.411519 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.408372 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.932951 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.933584 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.930585 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.954927 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.940849 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.937852 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.962192 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.932923 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.957265 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.976516 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00232939 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00243405 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0796199 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.176748 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.103817 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.139235 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0796199 # DEPENDENCYPART_SIBL
(2,3),(2,27),0.0284171 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.156507 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.231857 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0836763 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0991107 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.11383 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.231857 # DEPENDENCYPART_SIBL
(2,4),(2,27),0.115034 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.195038 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.100336 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0942034 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.130487 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.195038 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.0961805 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.11216 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00376486 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0880248 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0949831 # DEPENDENCYPART_SIBL
(2,7),(2,27),-0.05576 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0680523 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0164609 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0388662 # DEPENDENCYPART_SIBL
(2,8),(2,27),-0.00308828 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0785082 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.137636 # DEPENDENCYPART_SIBL
(2,11),(2,27),0.102122 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.00886774 # DEPENDENCYPART_SIBL
(2,16),(2,27),-0.0143079 # DEPENDENCYPART_SIBL
(2,23),(2,27),-0.05576 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.203075 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0530426 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00864196 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00990513 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0863318 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0319233 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.066318 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0326389 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0953263 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.820424 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0877664 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0864938 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.820424 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.00990513 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.0815928 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.0114331 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.213798 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.159146 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.623325 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0716112 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.184976 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.162566 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.156897 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.183515 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.101481 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.125945 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.167675 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.101481 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.623325 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.168021 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.0533328 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.131721 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.179933 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0116118 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0861045 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.106361 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.204721 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.102706 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.139038 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.00995514 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.125074 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.139038 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.179933 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.106261 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.128736 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.121457 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.000664577 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0743065 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0636306 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.173658 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0599751 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0938153 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.000986112 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0823429 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0938153 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.121457 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.0635305 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0843879 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.110113 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0853801 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0914035 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0308298 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0869078 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0272552 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0505066 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.10356 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0272552 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0227337 # DEPENDENCYPART_SIBL
(3,7),(3,25),0.0609289 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.00227396 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0394546 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.015946 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0999326 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0275134 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0588542 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.248815 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0131855 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0588542 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.04811 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.0622483 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0972466 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0231044 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0911029 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0162253 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0997726 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0214231 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.039137 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0997726 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0759719 # DEPENDENCYPART_SIBL
(3,9),(3,25),-0.000222064 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.030127 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0935467 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0137786 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0879694 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0280944 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0337325 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0879694 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.105458 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.00493339 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0626771 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.00354155 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.073213 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0959721 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0346908 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.073213 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.0897671 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.0306525 # DEPENDENCYPART_SIBL
(3,11),(3,27),0.0799051 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0786114 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0347313 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0114794 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0786114 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.104482 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0173197 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.0475906 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0555688 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0503818 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.000782043 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.10552 # DEPENDENCYPART_SIBL
(3,15),(3,25),0.0226231 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.0226478 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.0357662 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0739697 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0975894 # DEPENDENCYPART_SIBL
(3,16),(3,25),-0.0385956 # DEPENDENCYPART_SIBL
(3,16),(3,27),-0.112048 # DEPENDENCYPART_SIBL
(3,20),(3,22),0.0999489 # DEPENDENCYPART_SIBL
(3,20),(3,23),0.129382 # DEPENDENCYPART_SIBL
(3,20),(3,25),0.00355904 # DEPENDENCYPART_SIBL
(3,20),(3,27),0.0711207 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.10552 # DEPENDENCYPART_SIBL
(3,22),(3,25),0.0226231 # DEPENDENCYPART_SIBL
(3,22),(3,27),0.0226478 # DEPENDENCYPART_SIBL
(3,23),(3,25),0.0609289 # DEPENDENCYPART_SIBL
(3,23),(3,27),-0.00227396 # DEPENDENCYPART_SIBL
(3,25),(3,27),0.11375 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.293632 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.451392 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0666984 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0792973 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00948911 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0506294 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0176054 # DEPENDENCYPART_SIBL
(4,1),(4,15),1.16511 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.179075 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0757298 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0141676 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.192993 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0668866 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0494109 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00319198 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0514014 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0669871 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0145122 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.194053 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.210978 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0267661 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.025557 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0907913 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.122001 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0421977 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.110429 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0425724 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.113643 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0240826 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.02153 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00933282 # DEPENDENCYPART_SIBL
